Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014,Test_30_West_51415,Test_31_West_51615,Test_32_West_51815,Test_33_West_52015,Test_34_West_52115,Test_35_West_52115,Test_36_West_60915,Test_37_West_61015,Test_38_West_61315,Test_39_West_61315,Test_40_West_61415,Test_41_West_61415,Test_42_West_61615,Test_43_West_61715,Test_44_West_61815,Test_45_West_70915,Test_46_West_71015,Test_47_West_71515,Test_48_West_71515,Test_49_East_71515,Test_50_West_71615,Test_51_East_71615,Test_52_East_80215,Test_53_East_80215,Test_54_East_80315,Test_55_East_80315,Test_56_West_80615,Test_57_West_80615,Test_58_East_80615
0,No PPV fan,,,,,Rear door is closed,Rear door is closed,Rear door is closed,,,All vents closed,All vents closed,All vents closed,All vents closed,All vents closed,All vents closed,C doors opened,C doors opened,C doors opened,C doors opened,C doors opened,All vents closed,All vents closed,"All vents closed, fan on","All vents closed, fan on",Basement C doors opened,Basement A and C doors opened,Basement A and C doors opened,Basement A and C doors opened,Basement C doors opened,Note: Data lost,All vents closed,All exterior vents closed,All exterior vents closed,All vents closed,All vents closed,All vents closed,All exterior vents closed,All vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,"A side door, C side basement doors open","A side door, C side basement doors open","A side door, C side basement doors open","A side door, C side basement doors open",All Closed,"A side door, C side basement doors open","A side door, C side basement doors open","A side door, C side basement doors open",All exterior vents closed,All exterior vents closed,All exterior vents closed,C side door open,All exterior vents closed,All exterior vents closed,All exterior vents open,All exterior vents open,All exterior vents open,All exterior vents open,All exterior vents closed,All exterior vents closed,C side A8 door open
60,,,,,,Fixed straight stream at Door AB,,,,,,,,,,,Fan at 1200 rpm,Fan at 1200 rpm,,,,,,,,"Monitor on, straight stream, near target",,,"Hose on, wide fog, fixed","Hose on, straight stream, fixed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,Fixed narrow fog at Door AB,,Ignition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Electric PPV fan 1600 rpm,,,,,Fixed wide fog at Door AB,,,,,A door open,,,,,,Fan at 1400 rpm,,,Pilot lit,,,,Basement BC door opened,Basement BC door opened,Stairwell door opened,"Monitor on, straight stream, near target","Monitor on, wide fog, near target",Stairwell door opened,Stairwell door opened,,,,,,Gas on,,,,,,,,,,,,,,,,,,,,,,,,,,Ignition,,Fan on 50%,Fan on 100%,Fan on 100%,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,Fixed straight stream at Room C ceiling,Narrow fog at Room C ceiling,,,Water flow stopped,Fixed straight stream at Room B ceiling,,,,,,,,,,,,,,,,Ignition,,,,,,,,,,,,Gas on,,,,,,Ignition,,,,,,,,,Ignition,,,,,Ignition,Ignition,Ignition,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,Pilot lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,Smoke out of C Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,Rear door opened,Rear door opened,,,,Straight stream rotated right at Room B ceiling,,,,BC door open,,,,,,Fan at 1600 rpm,,,Main gas value on,,Gas on,,,Basement CD door opened,1st floor A door opened,Stairwell door opened,Stairwell door opened,1st floor BC door opened,1st floor BC door opened,,,,,All burners ignited,,Ignition,,,,,,,,,,Ignition,,,,,,,,,,,,,,,,,Fan on 100%,A door closed,A door closed,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprinkler on,,,,,,,
190,,,,,,,,Flames at ceiling,,,,,,,,,,,,All burners ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,Left burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,Rear door closed,Fixed straight stream at Room C ceiling,Fixed narrow fog stream at Room C ceiling,,Fixed straight stream at Room A,,,,,,,,,Center burner ignited,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignition,Ignition,,,,,,,Ignition,,
215,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,Right burner ignited,,,,,,,,,,,,,,,,,,Gas on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Electric PPV fan 1800 rpm,,Water flow stopped,Hose rotated right,Hose rotated right,,Straight stream rotated right at Room A,,,,CD door open,,Left burner ignited,Left burner ignited,,,Fan at 1800 rpm,,,,,,,,,1st floor A door closed,1st floor BC door opened,1st floor BC door opened,1st floor BC and stairwell doors closed,1st floor BC and stairwell doors closed,,,,,,Stairwell door opened,,,,,,,,,,,,,,,,,,,,,,Ignition,,,Ignition,,,Close BC door,A door opened,A door opened,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior fog on,,,,,,,,,,,,,,
270,,Fixed straight stream at Door BC,,Hose fixed,Hose fixed,,Fixed narrow fog at Room B Ceiling,,,,,,,,,,,,,,,,,Stairwell door opened,Stairewell door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,Center burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
