Device Name:,,RHTemp101A,RHTemp101A
Device Description:,,Temperature and Humidity Data Logger,Temperature and Humidity Data Logger
Serial Number:,,P33502,P33502
Device ID:,,MultiChannel,MultiChannel
,,Channel 1,Channel 2
Date,Time,Temperature (C),Humidity (RH)
12/30/14,2:40:56 PM,38.81,5.2
12/30/14,2:41:02 PM,38.59,5.5
12/30/14,2:41:08 PM,38.36,5.2
12/30/14,2:41:14 PM,38.14,7.5
12/30/14,2:41:20 PM,37.94,11.7
12/30/14,2:41:26 PM,37.77,13.7
12/30/14,2:41:32 PM,37.61,10.5
12/30/14,2:41:38 PM,37.45,8.2
12/30/14,2:41:44 PM,37.28,7.6
12/30/14,2:41:50 PM,37.09,7.4
12/30/14,2:41:56 PM,36.92,8.5
12/30/14,2:42:02 PM,36.76,7.7
12/30/14,2:42:08 PM,36.59,6.2
12/30/14,2:42:14 PM,36.43,6
12/30/14,2:42:20 PM,36.26,6.5
12/30/14,2:42:26 PM,36.1,6.7
12/30/14,2:42:32 PM,35.94,6.4
12/30/14,2:42:38 PM,35.78,5.6
12/30/14,2:42:44 PM,35.61,8.1
12/30/14,2:42:50 PM,35.46,8.7
12/30/14,2:42:56 PM,35.3,8
12/30/14,2:43:02 PM,35.16,7.1
12/30/14,2:43:08 PM,35.01,6.5
12/30/14,2:43:14 PM,34.86,6.3
12/30/14,2:43:20 PM,34.74,6.8
12/30/14,2:43:26 PM,34.62,6.9
12/30/14,2:43:32 PM,34.49,6.7
12/30/14,2:43:38 PM,34.36,6.7
12/30/14,2:43:44 PM,34.25,6.7
12/30/14,2:43:50 PM,34.13,6.9
12/30/14,2:43:56 PM,34.02,6.9
12/30/14,2:44:02 PM,33.92,7.2
12/30/14,2:44:08 PM,33.81,7
12/30/14,2:44:14 PM,33.7,6.9
12/30/14,2:44:20 PM,33.6,7
12/30/14,2:44:26 PM,33.5,7.1
12/30/14,2:44:32 PM,33.39,7.4
12/30/14,2:44:38 PM,33.3,7.3
12/30/14,2:44:44 PM,33.2,7.1
12/30/14,2:44:50 PM,33.09,7
12/30/14,2:44:56 PM,33,7.1
12/30/14,2:45:02 PM,32.9,7.2
12/30/14,2:45:08 PM,32.81,7.1
12/30/14,2:45:14 PM,32.72,6.9
12/30/14,2:45:20 PM,32.62,6.8
12/30/14,2:45:26 PM,32.52,6.7
12/30/14,2:45:32 PM,32.43,6.7
12/30/14,2:45:38 PM,32.34,6.9
12/30/14,2:45:44 PM,32.24,6.9
12/30/14,2:45:50 PM,32.14,6.4
12/30/14,2:45:56 PM,32.06,6.6
12/30/14,2:46:02 PM,31.97,7
12/30/14,2:46:08 PM,31.88,7.2
12/30/14,2:46:14 PM,31.8,7.4
12/30/14,2:46:20 PM,31.71,7.5
12/30/14,2:46:26 PM,31.63,7.3
12/30/14,2:46:32 PM,31.55,7.4
12/30/14,2:46:38 PM,31.46,7.4
12/30/14,2:46:44 PM,31.38,7.4
12/30/14,2:46:50 PM,31.3,7.4
12/30/14,2:46:56 PM,31.23,7.8
12/30/14,2:47:02 PM,31.15,8
12/30/14,2:47:08 PM,31.07,7.8
12/30/14,2:47:14 PM,31,7.9
12/30/14,2:47:20 PM,30.92,7.8
12/30/14,2:47:26 PM,30.84,7.7
12/30/14,2:47:32 PM,30.77,7.8
12/30/14,2:47:38 PM,30.7,7.7
12/30/14,2:47:44 PM,30.62,7.5
12/30/14,2:47:50 PM,30.55,7.6
12/30/14,2:47:56 PM,30.48,7.8
12/30/14,2:48:02 PM,30.42,8.2
12/30/14,2:48:08 PM,30.36,9.9
12/30/14,2:48:14 PM,30.29,12.4
12/30/14,2:48:20 PM,30.23,12.7
12/30/14,2:48:26 PM,30.16,11.8
12/30/14,2:48:32 PM,30.13,12.1
12/30/14,2:48:38 PM,30.15,12.5
12/30/14,2:48:44 PM,30.25,12.1
12/30/14,2:48:50 PM,30.42,11.6
12/30/14,2:48:56 PM,30.68,11.7
12/30/14,2:49:02 PM,30.99,11.8
12/30/14,2:49:08 PM,31.37,14.5
12/30/14,2:49:14 PM,31.79,16.6
12/30/14,2:49:20 PM,32.25,18.9
12/30/14,2:49:26 PM,32.74,20.4
12/30/14,2:49:32 PM,33.24,21.7
12/30/14,2:49:38 PM,33.76,22.2
12/30/14,2:49:44 PM,34.29,22.8
12/30/14,2:49:50 PM,34.83,23.2
12/30/14,2:49:56 PM,35.37,23.3
12/30/14,2:50:02 PM,35.91,23
12/30/14,2:50:08 PM,36.44,23.3
12/30/14,2:50:14 PM,36.98,23.7
12/30/14,2:50:20 PM,37.51,23.4
12/30/14,2:50:26 PM,38.05,23.6
12/30/14,2:50:32 PM,38.57,23.7
12/30/14,2:50:38 PM,39.09,23.6
12/30/14,2:50:44 PM,39.6,23.4
12/30/14,2:50:50 PM,40.11,23.2
12/30/14,2:50:56 PM,40.61,23.4
12/30/14,2:51:02 PM,41.1,23.4
12/30/14,2:51:08 PM,41.58,23.1
12/30/14,2:51:14 PM,42.06,22.7
12/30/14,2:51:20 PM,42.53,22.5
12/30/14,2:51:26 PM,42.99,21.8
12/30/14,2:51:32 PM,43.45,21.8
12/30/14,2:51:38 PM,43.89,21.9
12/30/14,2:51:44 PM,44.33,21.7
12/30/14,2:51:50 PM,44.76,21.4
12/30/14,2:51:56 PM,45.19,21.1
12/30/14,2:52:02 PM,45.6,20.9
12/30/14,2:52:08 PM,46.02,20
12/30/14,2:52:14 PM,46.42,20
12/30/14,2:52:20 PM,46.81,20.2
12/30/14,2:52:26 PM,47.2,19.7
12/30/14,2:52:32 PM,47.58,19.5
12/30/14,2:52:38 PM,47.95,19.2
12/30/14,2:52:44 PM,48.32,18.8
12/30/14,2:52:50 PM,48.68,18.6
12/30/14,2:52:56 PM,49.04,18.2
12/30/14,2:53:02 PM,49.39,17.7
12/30/14,2:53:08 PM,49.73,17.6
12/30/14,2:53:14 PM,50.07,17.2
12/30/14,2:53:20 PM,50.4,17
12/30/14,2:53:26 PM,50.72,16.9
12/30/14,2:53:32 PM,51.04,16.5
12/30/14,2:53:38 PM,51.36,16.2
12/30/14,2:53:44 PM,51.66,15.8
12/30/14,2:53:50 PM,51.96,15.6
12/30/14,2:53:56 PM,52.26,15.4
12/30/14,2:54:02 PM,52.56,15.2
12/30/14,2:54:08 PM,52.84,15.2
12/30/14,2:54:14 PM,53.13,15.1
12/30/14,2:54:20 PM,53.4,14.9
12/30/14,2:54:26 PM,53.68,14.8
12/30/14,2:54:32 PM,53.94,14.5
12/30/14,2:54:38 PM,54.21,14.5
12/30/14,2:54:44 PM,54.47,14.3
12/30/14,2:54:50 PM,54.72,14.2
12/30/14,2:54:56 PM,54.98,14.1
12/30/14,2:55:02 PM,55.22,14.1
12/30/14,2:55:08 PM,55.47,14
12/30/14,2:55:14 PM,55.7,13.8
12/30/14,2:55:20 PM,55.94,13.5
12/30/14,2:55:26 PM,56.17,13.4
12/30/14,2:55:32 PM,56.4,13.4
12/30/14,2:55:38 PM,56.62,13.4
12/30/14,2:55:44 PM,56.84,13.2
12/30/14,2:55:50 PM,57.06,13.1
12/30/14,2:55:56 PM,57.27,13
12/30/14,2:56:02 PM,57.48,12.8
12/30/14,2:56:08 PM,57.69,12.8
12/30/14,2:56:14 PM,57.89,12.7
12/30/14,2:56:20 PM,58.09,12.5
12/30/14,2:56:26 PM,58.29,12.4
12/30/14,2:56:32 PM,58.48,12.3
12/30/14,2:56:38 PM,58.67,12.3
12/30/14,2:56:44 PM,58.86,12.1
12/30/14,2:56:50 PM,59.05,12
