Device Name:,,RHTemp101A,RHTemp101A
Device Description:,,Temperature and Humidity Data Logger,Temperature and Humidity Data Logger
Serial Number:,,P42866,P42866
Device ID:,,MultiChannel,MultiChannel
,,Channel 1,Channel 2
Date,Time,Temperature (C),Humidity (RH)
12/30/14,2:42:15 PM,37.15,9.3
12/30/14,2:42:21 PM,36.98,8.5
12/30/14,2:42:27 PM,36.82,8.8
12/30/14,2:42:33 PM,36.65,8.2
12/30/14,2:42:39 PM,36.51,8
12/30/14,2:42:45 PM,36.38,9.1
12/30/14,2:42:51 PM,36.25,9.1
12/30/14,2:42:57 PM,36.14,8.6
12/30/14,2:43:03 PM,36.07,9.1
12/30/14,2:43:09 PM,36.01,8.8
12/30/14,2:43:15 PM,35.97,9
12/30/14,2:43:21 PM,35.94,9.4
12/30/14,2:43:27 PM,35.94,9.6
12/30/14,2:43:33 PM,35.92,9.7
12/30/14,2:43:39 PM,35.92,9.2
12/30/14,2:43:45 PM,35.92,8.8
12/30/14,2:43:51 PM,35.92,8.6
12/30/14,2:43:57 PM,35.92,8.5
12/30/14,2:44:03 PM,35.94,8.8
12/30/14,2:44:09 PM,35.95,8.9
12/30/14,2:44:15 PM,35.97,9.2
12/30/14,2:44:21 PM,35.97,9.4
12/30/14,2:44:27 PM,35.98,9.1
12/30/14,2:44:33 PM,35.98,9.4
12/30/14,2:44:39 PM,36.01,9
12/30/14,2:44:45 PM,36,8.9
12/30/14,2:44:51 PM,36.01,8.4
12/30/14,2:44:57 PM,36,8.4
12/30/14,2:45:03 PM,36.01,9.1
12/30/14,2:45:09 PM,36.02,9.9
12/30/14,2:45:15 PM,36.03,10.6
12/30/14,2:45:21 PM,36.04,11.2
12/30/14,2:45:27 PM,36.06,11.7
12/30/14,2:45:33 PM,36.08,12.2
12/30/14,2:45:39 PM,36.12,12.7
12/30/14,2:45:45 PM,36.15,13.1
12/30/14,2:45:51 PM,36.18,13.4
12/30/14,2:45:57 PM,36.22,13.8
12/30/14,2:46:03 PM,36.26,14.1
12/30/14,2:46:09 PM,36.3,14.3
12/30/14,2:46:15 PM,36.34,14.6
12/30/14,2:46:21 PM,36.39,14.8
12/30/14,2:46:27 PM,36.44,14.9
12/30/14,2:46:33 PM,36.49,15.1
12/30/14,2:46:39 PM,36.53,15.2
12/30/14,2:46:45 PM,36.57,15.3
12/30/14,2:46:51 PM,36.62,15.4
12/30/14,2:46:57 PM,36.66,15.4
12/30/14,2:47:03 PM,36.72,15.5
12/30/14,2:47:09 PM,36.77,15.6
12/30/14,2:47:15 PM,36.81,15.7
12/30/14,2:47:21 PM,36.86,15.8
12/30/14,2:47:27 PM,36.9,15.9
12/30/14,2:47:33 PM,36.95,16
12/30/14,2:47:39 PM,37,16.1
12/30/14,2:47:45 PM,37.04,16.2
12/30/14,2:47:51 PM,37.07,16.3
12/30/14,2:47:57 PM,37.12,16.4
12/30/14,2:48:03 PM,37.17,16.4
12/30/14,2:48:09 PM,37.2,16.5
12/30/14,2:48:15 PM,37.25,16.6
12/30/14,2:48:21 PM,37.29,16.6
12/30/14,2:48:27 PM,37.34,16.6
12/30/14,2:48:33 PM,37.36,16.6
12/30/14,2:48:39 PM,37.4,16.5
12/30/14,2:48:45 PM,37.44,16.5
12/30/14,2:48:51 PM,37.5,16.5
12/30/14,2:48:57 PM,37.53,16.7
12/30/14,2:49:03 PM,37.58,16.9
12/30/14,2:49:09 PM,37.63,17.3
12/30/14,2:49:15 PM,37.68,17.8
12/30/14,2:49:21 PM,37.74,18.4
12/30/14,2:49:27 PM,37.79,19.1
12/30/14,2:49:33 PM,37.84,19.8
12/30/14,2:49:39 PM,37.91,20.5
12/30/14,2:49:45 PM,37.97,21.3
12/30/14,2:49:51 PM,38.04,22
12/30/14,2:49:57 PM,38.11,22.7
12/30/14,2:50:03 PM,38.19,23.3
12/30/14,2:50:09 PM,38.27,24
12/30/14,2:50:15 PM,38.34,24.5
12/30/14,2:50:21 PM,38.42,25.1
12/30/14,2:50:27 PM,38.5,25.6
12/30/14,2:50:33 PM,38.6,26
12/30/14,2:50:39 PM,38.68,26.4
12/30/14,2:50:45 PM,38.76,26.8
12/30/14,2:50:51 PM,38.86,27.1
12/30/14,2:50:57 PM,38.95,27.4
12/30/14,2:51:03 PM,39.05,27.7
12/30/14,2:51:09 PM,39.15,28
12/30/14,2:51:15 PM,39.24,28.2
12/30/14,2:51:21 PM,39.34,28.3
12/30/14,2:51:27 PM,39.42,28.5
12/30/14,2:51:33 PM,39.54,28.7
12/30/14,2:51:39 PM,39.63,28.8
12/30/14,2:51:45 PM,39.74,28.9
12/30/14,2:51:51 PM,39.84,29
12/30/14,2:51:57 PM,39.94,29.1
12/30/14,2:52:03 PM,40.05,29.1
12/30/14,2:52:09 PM,40.15,29.2
12/30/14,2:52:15 PM,40.26,29.2
12/30/14,2:52:21 PM,40.36,29.2
12/30/14,2:52:27 PM,40.46,29.2
12/30/14,2:52:33 PM,40.58,29.2
12/30/14,2:52:39 PM,40.69,29.2
12/30/14,2:52:45 PM,40.8,29.2
12/30/14,2:52:51 PM,40.9,29.2
12/30/14,2:52:57 PM,41,29.1
12/30/14,2:53:03 PM,41.11,29.1
12/30/14,2:53:09 PM,41.22,29.1
12/30/14,2:53:15 PM,41.33,29
12/30/14,2:53:21 PM,41.44,29
12/30/14,2:53:27 PM,41.54,28.9
12/30/14,2:53:33 PM,41.66,28.8
12/30/14,2:53:39 PM,41.77,28.8
12/30/14,2:53:45 PM,41.88,28.7
12/30/14,2:53:51 PM,41.99,28.6
12/30/14,2:53:57 PM,42.09,28.6
12/30/14,2:54:03 PM,42.2,28.5
12/30/14,2:54:09 PM,42.32,28.4
12/30/14,2:54:15 PM,42.41,28.3
12/30/14,2:54:21 PM,42.52,28.3
12/30/14,2:54:27 PM,42.63,28.2
12/30/14,2:54:33 PM,42.74,28.1
12/30/14,2:54:39 PM,42.85,28
12/30/14,2:54:45 PM,42.96,27.9
12/30/14,2:54:51 PM,43.07,27.8
12/30/14,2:54:57 PM,43.18,27.7
12/30/14,2:55:03 PM,43.28,27.6
12/30/14,2:55:09 PM,43.4,27.6
12/30/14,2:55:15 PM,43.5,27.5
12/30/14,2:55:21 PM,43.6,27.4
12/30/14,2:55:27 PM,43.72,27.3
12/30/14,2:55:33 PM,43.81,27.2
12/30/14,2:55:39 PM,43.93,27.1
12/30/14,2:55:45 PM,44.02,27
12/30/14,2:55:51 PM,44.13,26.9
12/30/14,2:55:57 PM,44.23,26.8
12/30/14,2:56:03 PM,44.34,26.8
12/30/14,2:56:09 PM,44.46,26.7
12/30/14,2:56:15 PM,44.56,26.6
12/30/14,2:56:21 PM,44.66,26.5
12/30/14,2:56:27 PM,44.76,26.4
12/30/14,2:56:33 PM,44.87,26.3
12/30/14,2:56:39 PM,44.97,26.3
12/30/14,2:56:45 PM,45.07,26.2
12/30/14,2:56:51 PM,45.19,26.1
12/30/14,2:56:57 PM,45.27,26
12/30/14,2:57:03 PM,45.38,25.9
12/30/14,2:57:09 PM,45.49,25.9
12/30/14,2:57:15 PM,45.6,25.7
12/30/14,2:57:21 PM,45.69,25.7
12/30/14,2:57:27 PM,45.8,25.6
12/30/14,2:57:33 PM,45.89,25.5
12/30/14,2:57:39 PM,46.01,25.5
12/30/14,2:57:45 PM,46.1,25.4
12/30/14,2:57:51 PM,46.21,25.3
12/30/14,2:57:57 PM,46.3,25.2
12/30/14,2:58:03 PM,46.39,25.2
12/30/14,2:58:09 PM,46.5,25.1
12/30/14,2:58:15 PM,46.6,25
12/30/14,2:58:21 PM,46.69,24.9
12/30/14,2:58:27 PM,46.8,24.8
12/30/14,2:58:33 PM,46.9,24.8
12/30/14,2:58:39 PM,46.99,24.7
12/30/14,2:58:45 PM,47.1,24.6
12/30/14,2:58:51 PM,47.19,24.5
12/30/14,2:58:57 PM,47.29,24.5
12/30/14,2:59:03 PM,47.39,24.4
12/30/14,2:59:09 PM,47.48,24.3
12/30/14,2:59:15 PM,47.58,24.3
12/30/14,2:59:21 PM,47.66,24.2
12/30/14,2:59:27 PM,47.77,24.2
12/30/14,2:59:33 PM,47.86,24.1
12/30/14,2:59:39 PM,47.96,24
12/30/14,2:59:45 PM,48.05,24
12/30/14,2:59:51 PM,48.15,23.9
12/30/14,2:59:57 PM,48.24,23.9
12/30/14,3:00:03 PM,48.35,23.8
12/30/14,3:00:09 PM,48.43,23.7
12/30/14,3:00:15 PM,48.53,23.7
12/30/14,3:00:21 PM,48.61,23.6
12/30/14,3:00:27 PM,48.71,23.6
12/30/14,3:00:33 PM,48.8,23.5
12/30/14,3:00:39 PM,48.9,23.4
12/30/14,3:00:45 PM,48.98,23.4
12/30/14,3:00:51 PM,49.08,23.3
12/30/14,3:00:57 PM,49.17,23.3
12/30/14,3:01:03 PM,49.26,23.2
12/30/14,3:01:09 PM,49.35,23.1
12/30/14,3:01:15 PM,49.44,23.1
12/30/14,3:01:21 PM,49.54,23.1
12/30/14,3:01:27 PM,49.62,23
12/30/14,3:01:33 PM,49.71,22.9
12/30/14,3:01:39 PM,49.81,22.9
12/30/14,3:01:45 PM,49.9,22.8
12/30/14,3:01:51 PM,49.98,22.8
12/30/14,3:01:57 PM,50.08,22.7
12/30/14,3:02:03 PM,50.16,22.7
12/30/14,3:02:09 PM,50.25,22.6
12/30/14,3:02:15 PM,50.34,22.6
12/30/14,3:02:21 PM,50.42,22.5
12/30/14,3:02:27 PM,50.51,22.5
12/30/14,3:02:33 PM,50.6,22.5
12/30/14,3:02:39 PM,50.68,22.4
12/30/14,3:02:45 PM,50.76,22.4
12/30/14,3:02:51 PM,50.86,22.3
12/30/14,3:02:57 PM,50.93,22.2
12/30/14,3:03:03 PM,51.03,22.2
12/30/14,3:03:09 PM,51.11,22.2
12/30/14,3:03:15 PM,51.2,22.1
12/30/14,3:03:21 PM,51.28,22.1
12/30/14,3:03:27 PM,51.37,22
12/30/14,3:03:33 PM,51.44,22
12/30/14,3:03:39 PM,51.53,21.9
12/30/14,3:03:45 PM,51.62,21.9
12/30/14,3:03:51 PM,51.71,21.9
12/30/14,3:03:57 PM,51.79,21.8
12/30/14,3:04:03 PM,51.87,21.7
12/30/14,3:04:09 PM,51.95,21.7
12/30/14,3:04:15 PM,52.03,21.7
