Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
0,Livingroom38Ft,1,0,Living Room 3 0.03 m BC,TC Livingroom 3,Temperature
1,Livingroom37Ft,1,0,Living Room 3 0.30 m BC,TC Livingroom 3,Temperature
2,Livingroom36Ft,1,0,Living Room 3 0.61 m BC,TC Livingroom 3,Temperature
3,Livingroom35Ft,1,0,Living Room 3 0.91 m BC,TC Livingroom 3,Temperature
4,Livingroom34Ft,1,0,Living Room 3 1.22 m BC,TC Livingroom 3,Temperature
5,Livingroom33Ft,1,0,Living Room 3 1.52 m BC,TC Livingroom 3,Temperature
6,Livingroom32Ft,1,0,Living Room 3 1.83 m BC,TC Livingroom 3,Temperature
7,Livingroom31Ft,1,0,Living Room 3 2.13 m BC,TC Livingroom 3,Temperature
8,Livingroom4Front8Ft,1,0,Living Room 4 Front 0.03 m BC,TC Livingroom 4 Front,Temperature
9,Livingroom4Front7Ft,1,0,Living Room 4 Front 0.30 m BC,TC Livingroom 4 Front,Temperature
10,Livingroom4Front6Ft,1,0,Living Room 4 Front 0.61 m BC,TC Livingroom 4 Front,Temperature
11,Livingroom4Front5Ft,1,0,Living Room 4 Front 0.91 m BC,TC Livingroom 4 Front,Temperature
12,Livingroom4Front4Ft,1,0,Living Room 4 Front 1.22 m BC,TC Livingroom 4 Front,Temperature
13,Livingroom4Front3Ft,1,0,Living Room 4 Front 1.52 m BC,TC Livingroom 4 Front,Temperature
14,Livingroom4Front2Ft,1,0,Living Room 4 Front 1.83 m BC,TC Livingroom 4 Front,Temperature
15,Livingroom4Front1Ft,1,0,Living Room 4 Front 2.13 m BC,TC Livingroom 4 Front,Temperature
16,Livingroom4Rear8Ft,1,0,Living Room 4 Rear 0.03 m BC,TC Livingroom 4 Rear,Temperature
17,Livingroom4Rear7Ft,1,0,Living Room 4 Rear 0.30 m BC,TC Livingroom 4 Rear,Temperature
18,Livingroom4Rear6Ft,1,0,Living Room 4 Rear 0.61 m BC,TC Livingroom 4 Rear,Temperature
19,Livingroom4Rear5Ft,1,0,Living Room 4 Rear 0.91 m BC,TC Livingroom 4 Rear,Temperature
20,Livingroom4Rear4Ft,1,0,Living Room 4 Rear 1.22 m BC,TC Livingroom 4 Rear,Temperature
21,Livingroom4Rear3Ft,1,0,Living Room 4 Rear 1.52 m BC,TC Livingroom 4 Rear,Temperature
22,Livingroom4Rear2Ft,1,0,Living Room 4 Rear 1.83 m BC,TC Livingroom 4 Rear,Temperature
23,Livingroom4Rear1Ft,1,0,Living Room 4 Rear 2.13 m BC,TC Livingroom 4 Rear,Temperature
24,FrontDoor1T,1,0,TC Front Door 0.15 m BS,TC Front Door,Temperature
25,FrontDoor2T,1,0,TC Front Door 0.46 m BS,TC Front Door,Temperature
