Time,Test_1_04202015,Test_2_04202015,Test_3a_04202015,Test_3b_04202015,Test_4_04202015,Test_5_04212015,Test_6_04212015,Test_7_04212015,Test_8_04212015
0,,,,,,,,,
60,,,,,,,,,
64,,,,,,,,,
95,Ignition,,,,,,,,
120,,,,,,,,,
128,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,Ignition,
135,,,,,Ignition,,,,
140,,,,,,,,,
147,,,,,,,,,
150,,,,,,,,,
157,,,,,,,,,
160,,,,,,,,,Ignition
165,,,,,,,,,
170,,,,,,,,,
180,,,,,,,,,
185,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
195,,,,,,,,,
197,,,,,,,,,
202,,,,,,,,,
210,,,,,,,,,
215,,,,,,,,,
223,,,,,,,,,
225,,,,,,,,,
229,,,,,,,,,
240,,,,,,,,,
244,,,,,,,,,
245,,,,,,,,,
270,,,,,,,,,
275,,,,,,,,,
280,,,,,,,,,
281,,,,,,,,,
285,,,,,,,,,
300,,,,,Water on Fire,,,,
305,,,,,,,,,
308,Door Closed,,,,,,,,
314,,,,,,Ignition,,,
316,,,,,,,,,
320,,,,,,,,,
330,,,,,,,,,
335,,,,,,,,,
339,,,,,,,,Water on Fire SS Exterior,
345,,,,,,,,,
354,,,,,,,,,
355,,,,,,,,,
356,,,,,,,Ignition,,
357,,,,,,,,,
360,,,,,,,,,
369,,,Ignition,,,,,,
380,,,,,,,,,
389,,,,,,,,,
390,,,,,,,,,
405,,,,,,,,,
408,,,,,,,,,
410,,,,,,,,Water on Fire SS Exterior,
412,,,,,,,,,
419,,,,,,,,,
420,,,,,,,,,
425,,,,,,,,,
427,,,,,,,,Water on Fire SS Exterior,
431,,,,,,Door Closed (1),,,
437,,,,,,,,,Water on Fire
440,,,,,,,,,
441,,,,,,,,,
450,,,,,,,,,
453,Door Open,,,,,,,,
455,,,,,,,,,
465,,,,,,,,,
470,,,,,,,,,
473,,,,,,,,,
479,,,,,,,,,
480,,,,,,,,,
482,,,,,,,,,
488,,,,,,,,,
490,,,,,,,,,
491,,,,,,,,,
495,,,,,,,,Water on Fire Fog Exterior,
498,,,,,,,,,
499,,,,,,,,,
504,,,,,,,,,
510,,,,,,,,,
513,,,,,,,,,
515,,,,,,,,,
517,,,,,,,,,
519,,,,,,,,,
523,,,,,,,,,
525,,,,,,,,,
527,,,,,,Door Open (1),,,
540,,,,,,,,,
545,,,,,,,,,
546,,,,,,,,,
548,,,,,,,,,
549,,,,,,,,,
555,,,,,,,,,
556,,,,,,,,,
558,,,,,,,,,
560,,,,,,,,,
562,,,,,,,,,
563,,,,,,,,,Knockdown on Siding
565,,,,,,,,,
570,,,,,,,,,
572,,,,,,,,,
576,,,Rear Living Room Window Fail,,,,,,
578,,,,,,,,,
580,,,,,,,,,
582,,,,,,,,,
585,,,,,,,,,
593,,,,,,Door Closed(2),,,
600,,,,,,,,,
605,,,,,,,,,Knockdown on Siding
612,,,,,,,,,
615,,,,,,,,,
619,,,,,,,,,
623,,,,,,,,,
627,,,,,,,,,
630,,,,,,,,,
633,,,,,,,,,
645,,,,,,,,,
647,,,,,,,,,
648,,,,,,,,,
649,,,,,,,,,
650,,,,,,,,,
654,,,,,,,,,
658,,,,,,,,,
660,,,,,,,,,
663,,,,,,,,,
667,,,,,,,,,
668,,,,,,,,,
673,,,,,,,,,
679,,,,,,,,,Knockdown on Siding
687,,,,,,,,,
690,,,,,,,,,
692,,,,,,,,,
695,,,,,,,,,
700,,,,,,,,,
701,,,,,,,,,
705,,,,,,,,,
711,,,,,,,,,Door Open
720,,,,,,,,,
721,,,,,,,,,
722,,,,,,,,,
723,,,,,,,,,
728,,,,,,,,,
730,,,,,,,,,
735,,,,,,,,,
739,,,,,,,,,Water on Fire
740,,,,,,,,,
750,,,,,,,,,
755,,,,,,,,,
760,,,Vent Living Room Window,,,,,,
765,,,,,,,,,
775,,,,,,,,,
781,,,,,,,Open Bedroom Window,,
785,,,,,,,,,
787,,,,,,,,,
790,,,,,,,,,
798,,,,,,,,,
800,,,,,,,,,
804,,,,,,,,,
806,,,,,,,,,
808,,,,,,,,,
810,,,,,,,,,
811,Door Closed,,,,,,,,
825,,,,,,,,,
826,,,,,,,,,
830,,,,,,,,,
834,,,,,,,,,
