Serial Number,Heat Flux [kW/m^2],milli Volts,kW/m^2/V
91831,50,14.84,3369.27
150823,20,9.33,2143.62
150803,20,8.14,2457.00
150813,20,9.08,2202.64
65287,20,12.79,1563.72
65285,20,12.75,1568.63
150253,50,,4821.6
150323,50,,5197.5
65286,20,12.47,1603.85
135521,20,11.37,1759.01
90321,50,16.8,2976.19
179081,50,8.01,6242.20
179083,50,8.31,6016.85
150313,50,9.03,5537.10
179084,100,8.81,11350.74
150792,100,8.92,11210.76
179082,50,9.48,5274.26
146592,50,7.56,6613.76
146131,100,9.12,10964.91
91834,100,,12220.91
99440,20,6.18,3236.25
100672,20,6.12,3267.97
