Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
0,23.8135227,20.4447262,19.5629286,19.4061264,19.3607471,19.1941173,19.2541976,19.1348933,19.1140192,19.1247382,19.1370374,19.1460377,19.6218554,18.8171266,18.905943,18.7947643,18.8247942,18.8106115,18.9984476,18.7398659,18.7154722,18.9875151,18.9571374,18.9207759,20.5295771,20.8925636,20.1257745,19.9099709,19.4735885,19.3706122,18.8492581,19.6992722,19.0071009,18.9104438,19.5686015,18.9710604,24.9005948,22.7585009,20.7522669,19.8628771,19.4949071,19.4733345,19.4266248,19.6442594,19.2825234,19.3361242,19.3953876,19.2755382,20.184002,20.4872102,20.2134684,19.254707,19.3769505,19.4129428,19.4065655,19.5086262,19.235896,19.3267269,19.0423174,19.3372882,0.2021562,0.095843293,0.360076,-0.0002193
1,117.1915143,88.6255689,48.2167008,42.525708,36.616581,29.9796579,31.251533,26.8742839,24.8927014,22.3398499,22.0917091,20.1628173,39.2937592,33.2333972,27.2831742,25.1912181,20.7431709,20.2788,20.0525732,19.5508356,19.2013061,19.4769517,19.2770972,19.2080359,40.7495453,48.2295468,42.1610183,37.5659262,33.8852315,32.624456,26.4251839,24.0474028,21.8400081,20.6045949,20.3074216,19.4356178,88.9054899,72.0775135,60.3724672,49.3345929,48.4040528,44.1919555,39.5825715,31.2907326,31.9745414,26.647574,25.7251615,24.8769598,27.2080348,36.5144792,42.7542505,33.9155459,29.0798043,25.7418964,22.2137076,22.4638462,20.7561461,21.5008872,20.1745925,19.7714525,1.210915638,0.954668218,0.3443101,0.0155466
2,211.3106605,171.7642831,92.4370972,75.6437067,67.3282796,52.6639821,47.1498537,39.8026286,34.5680528,29.4625439,29.274767,25.1508529,42.9314011,37.583554,33.51917,30.1361802,23.3780664,21.907115,21.8132441,21.719235,20.9715553,20.9763937,20.6745084,20.4933472,62.0236144,120.7005653,110.346677,85.7921496,61.9071323,65.085783,55.3521405,40.3715588,41.4043877,36.0584021,31.5805017,26.5364577,123.2461043,106.1993435,85.582369,69.4930098,63.564233,56.5680603,49.0436271,40.3477292,41.2865063,35.0498602,32.6856679,31.7099378,34.3847556,45.01494,50.0870142,40.8346391,32.203295,27.7676114,23.6188752,24.1240746,21.9697266,22.8815268,21.9639414,21.145369,1.27021479,1.17960976,0.3519391,0.0079176
3,288.3939092,235.5678409,145.7519251,114.3430309,104.7924502,77.7281509,60.2253419,51.6988444,43.3446947,35.8981203,36.7687556,32.1938494,46.3561716,40.1576168,36.4086129,32.4949503,25.2778262,24.0908032,23.6910479,24.5747834,24.4051991,24.5088299,23.5923356,25.0453509,135.1598297,172.1105201,138.4088924,100.4539549,68.1839751,70.2959656,64.5543275,46.8224035,48.5800841,43.7597249,37.6462338,32.8554019,173.4399373,133.8144637,109.3097461,85.7378613,77.498626,65.4512544,56.9691643,47.056183,47.7699647,40.8653044,38.657588,37.0664386,44.3295984,53.6439591,59.1886882,47.2997461,36.4082272,33.673995,28.5025181,27.9358109,26.7280638,25.6815375,24.6684945,23.4038309,1.429918188,1.37568851,0.3539935,0.0058632
4,324.0607439,283.4431458,187.7166879,150.8352321,132.7958948,100.7638713,78.3358599,63.822608,53.6226939,43.2865543,44.2200046,38.4566251,49.5482198,42.8516626,47.7081822,44.3547422,33.1539279,32.518414,29.9624037,28.9680165,28.5343944,28.421715,26.0991677,28.2128711,157.8437092,196.1614327,161.8135934,108.1075225,75.4097687,74.9955801,67.670976,51.1678337,54.5018831,51.3684368,48.1200745,42.7230787,193.5241697,171.0981451,124.9973384,99.7528778,92.5665425,76.2524588,65.0679248,50.7511311,51.6410647,45.1784831,41.9162256,39.0491842,52.0419979,70.1191549,61.6581655,50.3871726,39.7819963,37.0784467,30.2279142,29.188987,29.3052004,27.7310478,27.35156,25.988809,1.511117595,1.518590703,0.3520084,0.0078483
5,381.9320967,341.6189936,236.1071122,193.2708714,167.7559117,125.8570263,100.1488623,79.5647213,68.3612009,56.5101598,54.4232817,46.6785992,52.7761251,45.6417734,51.2021256,48.2007871,38.97017,35.6943046,33.6297962,34.3633005,33.677461,31.9562017,29.9139239,30.3418698,185.6369901,208.9041577,168.3274668,122.2565169,82.246745,78.8219321,73.7644148,54.4373707,56.5185017,51.4668093,48.6944688,44.8123335,183.2274551,192.015655,158.3452702,134.9207146,132.0917203,101.8390218,88.4091157,60.3759218,63.6418756,54.7856395,50.299799,45.7803121,55.9898502,74.2269088,62.0323813,54.671321,48.3953326,41.3806281,34.3514777,33.3078032,34.2507986,31.2652597,31.197842,29.2116173,1.675201044,1.68000273,0.3498962,0.0099605
6,420.7925021,386.6974039,270.7673506,218.4341629,187.7852667,135.3462007,106.7546923,84.7740099,74.4180509,63.4104465,60.584432,50.9509906,56.1143017,48.5156963,52.7087062,48.5645096,39.537231,39.1094075,40.4815147,37.9635508,36.1665925,33.869098,31.4644383,32.2215764,213.9670447,237.3447177,196.3717761,140.6076454,95.7018433,89.3765501,85.1662838,60.3423098,66.2782693,60.6510311,57.4944029,50.0873243,186.7926074,207.3699555,163.7606851,152.6931612,137.1913084,108.0971657,96.5886792,65.6284709,68.1188186,59.5710082,54.7306046,51.4594054,59.8853854,77.0346728,64.0066885,62.4619419,55.0609733,47.6174704,40.9426098,37.7129505,38.8081647,34.2260707,35.5759144,32.8322842,1.710578379,1.805806856,0.3483727,0.011484
7,444.8649315,411.0700972,291.9158521,232.6382399,203.8854997,145.9747688,113.4759012,89.2077429,77.7947327,65.6713454,63.2903721,54.0869971,59.3771501,51.5406239,56.6098463,49.7729993,39.8470417,38.8241689,39.1233506,36.3431019,34.0275875,32.5986404,30.7117159,31.8956652,250.6561361,276.7975716,231.6187133,161.0805722,109.1987523,102.9701201,94.9089164,66.5952279,74.2696274,65.5286507,57.9866323,52.0635764,196.1453564,210.2191986,179.4527354,159.6976366,151.7076169,119.8242931,104.7669037,76.4445106,82.6136579,68.9419885,62.6357526,59.0919317,63.7493856,84.5547394,75.6473537,76.6833045,64.792191,59.4191373,52.5509414,45.8754758,45.2226684,38.0235065,36.5349019,33.0655325,1.889149689,1.990277744,0.3461798,0.0136769
8,468.9891498,431.6944506,311.9092651,237.6505605,206.1791186,152.9657268,118.1374367,93.710104,78.5289223,65.165685,62.0823612,53.2395718,62.3718023,54.4147308,62.4517523,51.0468292,44.7202716,39.980293,39.1581963,37.4009257,34.8923239,32.3878226,31.3085677,31.2798039,279.2971024,298.2590521,255.0449719,175.8888247,118.2850722,115.0014722,107.8248941,73.5264889,81.7095257,71.1615191,65.1812444,56.9626872,205.0246456,219.142886,187.9860262,168.8467184,167.9764588,138.8861116,113.9252938,85.2847871,88.5249378,76.2353392,66.6432086,61.5767831,67.2099102,87.1652295,80.6712071,82.4888004,72.1453255,65.1416178,55.0412772,46.0749687,45.150644,38.291662,36.0621371,33.3254033,1.826818194,2.050983725,0.3459028,0.0139539
9,493.1161987,451.7755951,338.6132052,262.9571916,232.858187,174.215682,131.7973861,101.6402556,86.2212173,69.857931,67.6825207,58.1489656,65.05705,56.565194,63.2476023,52.8537382,45.2293181,40.2220022,38.4866568,36.249758,33.7624139,32.3092146,30.6073227,30.0539097,286.2655896,292.7841169,255.0037733,174.1938572,115.8583748,115.7069253,110.1209233,77.2283838,83.1097204,73.7242682,68.521822,61.0570612,245.6845257,250.4979257,211.1999077,183.942184,189.1700402,158.7604093,135.2590378,101.2376418,103.7162152,89.3879137,79.2492225,71.3220362,70.4271174,87.3605703,84.1003152,91.2052077,82.9859597,75.305809,63.8595824,50.6294272,46.5541118,38.6597247,37.4114508,34.0171563,1.961252067,2.129572088,0.3427173,0.0171394
