Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2,North_Heat_Flux_3,South_Heat_Flux_3,North_Heat_Flux_4,South_Heat_Flux_4,North_Heat_Flux_5,South_Heat_Flux_5
0,0.2021562,0.095843293,0.028638795,0.013019629,0.012803226,0.035294175,0.3051683,0.106211,0.9680814,0.7296701
1,1.210915638,0.954668218,0.040094313,0.022901998,0.639487446,0.402510458,1.1379221,0.7083111,1.1315479,1.0096844
2,1.27021479,1.17960976,0.715296021,0.410824197,1.114217589,0.918432865,1.2292166,0.9010454,1.4174086,1.217528
3,1.429918188,1.37568851,1.133759355,0.994197694,1.279985673,1.142433229,1.5046422,1.1661658,1.5510605,1.3668498
4,1.511117595,1.518590703,1.318732278,1.275139327,1.346697219,1.403610124,1.5098854,1.2851251,1.6140825,1.4517592
5,1.675201044,1.68000273,1.428907407,1.454276873,1.672168701,1.765649928,1.6611176,1.464953,1.6529957,1.4510409
6,1.710578379,1.805806856,1.505052909,1.584786889,1.845686106,2.106199501,1.6298637,1.5486891,1.775904,1.5555134
7,1.889149689,1.990277744,1.658691621,1.666826238,1.997303256,2.202827109,1.5984041,1.5885817,1.8199063,1.7017942
8,1.826818194,2.050983725,1.880726514,1.723453781,1.99797711,2.170042742,1.6653328,1.6059179,1.9146449,1.8792515
9,1.961252067,2.129572088,2.006063358,1.862904988,1.953839673,2.1019642,1.7647492,1.6285221,1.7560104,1.8557374
10,1.916777703,2.230278134,1.952491965,2.240631092,1.878704952,2.204709465,1.7442388,1.6278517,1.8823628,1.8749653
11,1.848381522,2.174278043,1.787397735,2.295690005,1.986184665,2.496004056,1.8111161,1.6693007,2.0816069,1.9483092
12,1.958556651,2.234513435,1.917788484,2.443768677,2.489216676,2.922043964,1.8199577,1.7993945,1.8508004,1.7985564
13,2.112869217,2.354984219,1.953839673,2.52235704,1.99460784,2.692867121,1.9826017,1.8677818,2.0014672,1.9279798
14,1.938341031,2.317023373,2.282343498,2.61804347,2.186993157,2.553886503,1.9419921,1.8604546,1.8889426,2.0008688
15,1.99460784,2.416317652,2.346022701,2.629808195,2.308623804,2.605180704,1.9082193,1.8454889,2.1616438,2.3133047
16,2.063677875,2.430435322,2.434971429,2.731769145,2.691372876,3.218044445,1.9645587,1.8760907,2.0938412,2.4402617
17,2.116912341,2.551219832,2.193731697,2.521102136,2.652626271,3.809417955,2.006659,1.896899,2.100935,2.5874285
18,2.09568594,2.628553291,2.246966163,2.620553278,2.531669478,3.661339283,1.8543473,1.921347,2.0428478,2.584148
19,2.148583479,2.707769106,2.094675159,2.872632119,2.575806915,3.590750933,1.9612688,2.1118544,2.0315902,2.5199032
20,2.242923039,2.822279096,2.323111665,3.14980904,2.528637135,3.325025011,1.8534735,1.9602578,2.0259357,2.4142334
21,2.441709969,3.037338269,2.271224907,3.240475854,2.631062943,3.196554214,2.1294131,1.8482904,2.1263288,2.4832193
22,2.213947317,2.871847804,2.37870462,3.459770328,3.533690376,3.622437259,1.9830643,1.8984315,2.0205383,2.6012687
23,2.139149523,2.682200437,2.433960648,3.125652138,2.979445461,3.61412352,1.9324309,1.9969418,2.1389744,2.7240114
24,2.248313871,2.703690668,2.52358323,3.056789281,2.821426698,3.628554916,1.9394219,1.9596592,2.148073,2.7204197
25,2.491912092,2.927691032,2.599391805,3.448476192,2.730456408,3.421338893,2.175009,2.0605879,2.1629289,2.707202
26,2.521898595,3.097887387,2.563003689,3.581025427,2.657006322,3.444554617,2.3347229,2.0708364,2.1010378,2.5118098
27,2.305254534,2.818357521,2.624324403,3.395613361,2.558960565,3.302279876,2.1542415,2.072752,2.2900523,2.3821709
28,2.609499615,2.61804347,2.55053739,3.119063892,2.773583064,3.322201477,2.2183944,2.0047958,2.3145209,2.321039
29,2.430928305,2.633259181,2.464621005,3.090514826,2.526278646,3.128161946,2.1137861,1.9637299,2.1227819,2.6726492
30,2.448785436,2.710749503,2.551548171,3.333025024,2.281332717,2.781651579,2.2977116,2.0019702,2.1521339,2.7366784
31,2.505726099,2.515768794,2.505726099,3.467456615,2.080187298,2.538513929,2.3305077,2.1665211,2.4500747,3.1777955
32,2.438340699,2.576161049,2.619270498,3.412711428,2.325807081,2.580710076,2.4140915,2.3132089,2.6032089,3.1695104
33,2.716979328,2.990436232,2.43935148,3.299926931,2.583893163,2.520474684,2.2524756,2.4018059,2.5987881,3.1816267
34,2.581197747,2.948710674,2.618933571,3.412554565,2.889822879,2.503219754,2.1455027,2.5438483,2.3225914,2.821492
35,2.760779838,2.904475308,2.698111416,3.22824054,2.681265066,2.542278641,2.3428962,2.984678,2.3411999,2.6747084
36,2.718663963,3.015691175,2.961925257,3.21726013,2.633421432,2.753729965,2.2562796,3.0893182,2.330919,2.7294949
37,2.465631786,2.960789125,3.159701406,3.120789385,2.842653099,3.807692462,2.3921932,3.3179702,2.2399329,2.8407679
38,2.529647916,3.099299154,3.660374928,3.801888531,2.915766258,4.347458045,2.2177261,3.2874641,2.3202268,2.9029294
39,2.740564218,3.360162323,3.648245556,4.130830242,2.538408018,3.934751492,2.259004,3.1892652,2.3233111,2.7773851
40,2.882747412,3.315456368,3.700806168,4.497889662,2.807612691,3.555299895,2.3914221,3.1719528,2.264093,2.9561594
41,2.810645034,3.037338269,3.519202515,4.434046421,2.859162522,3.358593693,2.3026979,3.1143648,2.3585746,3.0413561
42,3.186318639,2.889259597,3.092652933,3.918908329,2.799526443,3.318436765,2.3561586,3.0744483,2.4683747,3.2398612
43,2.642855388,2.89725961,2.961925257,3.392005512,2.866237989,3.383691773,2.6940407,3.4099913,2.5346352,3.0883604
44,2.585577798,2.99451467,3.074458875,3.288162206,2.745281196,3.513417474,2.3943008,3.2910798,2.4586079,2.8885384
45,2.464284078,2.57725909,3.386790204,3.481260559,2.998313373,3.776790451,2.5327333,3.4748107,2.4070491,2.6356779
46,2.576480769,2.573337515,3.197774157,3.493495873,2.739890364,3.514044926,2.3895716,3.7439779,2.504615,2.6708293
47,3.203501916,2.776004511,3.230456076,3.566437168,2.757073641,3.744006084,2.2498026,3.6036594,2.347574,2.717235
48,3.483488253,2.85176934,3.32883876,3.690202075,2.715968547,3.814123845,2.2798228,3.5219347,2.4979838,3.0068273
49,3.550536726,2.820867329,2.779984677,3.291613192,2.663071008,3.855065088,2.3214091,3.4015147,2.5608515,3.2890924
50,3.770550057,3.165965929,3.236857689,3.398123169,3.03908154,4.116398846,2.4293587,3.7771419,2.5861426,3.5735604
51,3.613542075,3.422907523,3.425873736,3.712476621,2.787060144,3.78510419,2.3097917,3.7400988,2.3878752,3.3116008
52,3.69271992,3.550750868,3.394876452,3.916398521,2.915766258,3.476868395,2.3789308,3.615656,2.5888156,3.71862
53,3.773245473,3.667143214,3.447773991,3.703849156,2.736858021,3.269338646,2.4927919,3.6949622,2.4667812,3.7618649
54,3.508420851,3.34745642,3.300536892,3.863692553,2.667114132,3.113259961,2.4479671,3.8392555,2.5284153,3.6144108
55,3.735509649,3.623221574,3.083892831,3.673888323,2.848380858,3.144318835,2.4218022,3.8155738,2.6594455,3.9135572
56,3.25134555,3.512633159,3.330860322,3.698358951,2.882747412,3.084397169,2.3329752,3.7643073,2.4973155,4.0932654
57,2.981467023,3.215534637,2.988879417,3.604398014,3.293461425,3.067455965,2.4514112,4.0705654,2.5647069,3.927182
58,3.07951278,3.452084041,3.052895547,3.410515346,3.090631371,3.354201529,2.2922627,3.8191895,2.5694361,3.8037209
59,2.911386207,3.259456277,2.734499532,3.260240592,3.384094788,2.997181341,2.4318775,3.5860598,2.712495,4.0137436
60,3.365563803,3.27216218,2.699796051,3.271221002,2.960240622,3.463064451,2.3807814,3.3838193,2.6182704,4.0672131
61,3.498986895,3.298515164,2.907006156,3.696476595,2.806938837,3.356554474,2.4067407,3.3855433,2.4678607,3.7544179
62,3.37263927,3.269966098,2.621628987,3.755457083,3.045483153,3.514672378,2.4405649,3.7059051,2.7467818,4.0651298
63,3.465631122,3.421025167,2.739553437,4.115928257,3.525941055,3.819143461,2.4032966,3.6348839,2.5962693,3.9942523
64,2.829176019,3.156867875,2.818731282,3.789339491,3.938002776,4.488007293,2.2865054,3.042314,2.7203085,4.110434
65,2.731130262,2.989495054,2.810308107,3.525495925,3.852086391,4.565340752,2.4965958,3.0149447,2.5288779,3.7919639
