Time (s),Mass_Loss_1,Mass_Loss_2,Mass_Loss_3,Mass_Loss_4,Mass_Loss_5
0,-0.0002193,0,0,4.61E-05,0.010096
1,0.0155466,0.0003001,-0.002366,0.0117076,0.0028615
2,0.0079176,0.0004848,0.0129267,0.0007735,0.0034499
3,0.0058632,0.0149811,0.0103529,0.0044913,0.0068191
4,0.0078483,0.0109415,0.0110916,0.0062117,0.0068999
5,0.0099605,0.0128228,0.0129498,0.0064772,0.0095652
6,0.011484,0.0137231,0.0118187,0.0095716,0.0121844
7,0.0136769,0.0166085,0.0141848,0.0118577,0.0141113
8,0.0139539,0.0184321,0.022287,0.0140168,0.015542
9,0.0171394,0.0194362,0.0219292,0.0139937,0.0171804
10,0.0197132,0.0214214,0.0212598,0.013451,0.0189689
11,0.0216637,0.0216984,0.0226679,0.0181271,0.0196612
12,0.0243529,0.0224255,0.0219638,0.0192702,0.0210458
13,0.0265228,0.0263381,0.0261189,0.0208635,0.0266303
14,0.0280232,0.029085,0.0262343,0.0215794,0.0267803
15,0.0283579,0.0294775,0.0264305,0.0266943,0.028511
16,0.0302046,0.0310933,0.0311164,0.0266827,0.0286148
17,0.0317858,0.0323744,0.0336556,0.0276872,0.0310494
18,0.0321782,0.0356753,0.0358023,0.028253,0.0304379
19,0.0344981,0.037245,0.0372797,0.030389,0.0304033
20,0.0409729,0.0415616,0.0400727,0.0310009,0.0342686
21,0.0407883,0.0413192,0.0446663,0.031913,0.0348339
22,0.0424849,0.0429928,0.0469285,0.0349265,0.0401184
23,0.0443431,0.0453588,0.0493176,0.0383672,0.04073
24,0.0469862,0.0484751,0.0513951,0.0403531,0.0424838
25,0.0497677,0.051222,0.051926,0.0404455,0.0454491
26,0.051372,0.0551115,0.0546614,0.0410921,0.0451837
27,0.0541189,0.0571313,0.0555617,0.042316,0.048126
28,0.0554,0.0575584,0.058828,0.0448099,0.0496606
29,0.0564273,0.0603399,0.0599013,0.0480428,0.0544605
30,0.0593819,0.0635139,0.0606862,0.0495553,0.0547835
31,0.0612055,0.0647834,0.0635139,0.0514604,0.0578296
32,0.0640909,0.0671149,0.0652336,0.0534116,0.0590411
33,0.0657529,0.0691693,0.0668725,0.0556747,0.0630911
34,0.0680151,0.0695386,0.0705889,0.0565522,0.0647064
35,0.069377,0.0741668,0.0720316,0.0593232,0.0658602
36,0.0712468,0.0753094,0.0744438,0.0622674,0.0688256
37,0.0726664,0.0808148,0.0772831,0.0636876,0.0701294
38,0.0741553,0.0827885,0.0797992,0.0653155,0.0727486
39,0.0773639,0.0842773,0.0840811,0.0686639,0.0746062
40,0.0807571,0.0870358,0.0883631,0.0704535,0.0747101
41,0.083908,0.0900597,0.0884439,0.0705343,0.0759447
42,0.0846236,0.0921949,0.0901405,0.0733746,0.0796253
43,0.0857777,0.0924488,0.0922757,0.0770924,0.0819215
44,0.088063,0.0960268,0.094988,0.0805562,0.0831214
45,0.0903367,0.0975041,0.0958075,0.0817686,0.0854637
46,0.0965807,0.1022246,0.1009089,0.0819418,0.087356
47,0.0958767,0.1032403,0.1013937,0.0840085,0.0880829
48,0.0981158,0.107303,0.1018669,0.0875762,0.0910136
49,0.1022592,0.1093805,0.10466,0.0871605,0.0956981
50,0.1045214,0.1115965,0.108284,0.089412,0.096275
51,0.1081917,0.1128545,0.1107424,0.0958777,0.0965058
52,0.1090919,0.1144704,0.1144473,0.0963165,0.0996557
53,0.1116426,0.1171942,0.1176213,0.0972171,0.1042595
54,0.1118965,0.1183945,0.1209106,0.1010388,0.105321
55,0.1115157,0.1213377,0.1230343,0.1041793,0.1089094
56,,0.1232882,0.1241885,0.1073891,0.1109747
57,,0.126289,0.1239346,0.1102871,0.1112286
58,,0.1300747,0.1285397,0.1101832,0.1136862
59,,0.1322561,0.1311481,,0.1187515
60,,0.1331217,0.1312404,,0.1205399
61,,0.1367573,0.1317136,,0.1234822
62,,0.1383155,0.136515,,0.1238283
63,,0.1407969,0.1395851,,0.1259052
64,,0.1442594,0.1444095,,0.1285936
65,,0.1452174,0.1474103,,0.1314089
66,,0.1452405,0.1488069,,0.1336589
67,,0.150111,0.150365,,0.1350319
68,,0.152604,0.1560897,,0.137605
69,,0.1527079,0.1602216,,0.1387472
70,,0.1545431,0.1673428,,0.1409741
71,,0.1585826,0.1683238,,0.144401
72,,0.1596329,0.1680815,,0.1449779
73,,0.1613988,0.1713939,,0.1497432
74,,0.1638456,0.1733098,,0.1519931
75,,0.1661424,0.17376,,0.1529277
76,,0.1696511,0.1760798,,0.1535046
77,,0.1708976,0.1768878,,0.1576584
78,,0.1728481,0.1815275,,0.1595853
79,,0.1767146,0.1863058,,0.1615122
80,,0.1770955,0.1873099,,0.1628852
81,,0.1791037,0.188868,,0.1651698
82,,0.1815506,0.1935424,,0.1698889
83,,0.1847938,0.1949736,,0.1712851
84,,0.1862019,0.1953314,,0.1753234
85,,0.186652,0.1967856,,0.1760734
86,,0.1910263,0.1982052,,0.1771695
87,,0.1943734,0.2014369,,0.1817041
88,,0.1976743,0.2042762,,0.1832733
89,,0.1991632,0.2068153,,0.1860078
90,,0.200906,0.2106702,,0.1895962
91,,0.2007328,0.2119745,,0.1928615
92,,0.2052918,0.2133825,,0.1943961
93,,0.2073578,0.2143867,,0.1971999
94,,0.2081426,0.214883,,0.1985153
95,,0.2112473,0.2150215,,0.1999229
96,,0.2126554,0.2163718,,0.2000037
97,,0.2124015,0.2202267,,0.2040652
98,,0.2146175,0.2246703,,0.206719
99,,0.2166026,0.225409,,0.2060844
100,,0.2195458,0.2293216,,0.2101343
101,,0.2220388,0.2299333,,0.2135265
102,,0.22362,0.2314337,,0.2157419
103,,0.2260899,0.2331188,,0.2199648
104,,0.2264246,0.2358542,,0.2201148
105,,0.2272325,0.2395706,,0.222261
106,,0.2340652,0.2417289,,0.2233455
107,,0.235681,0.2425253,,0.225584
108,,0.2397091,0.2457108,,0.2257224
109,,0.2429985,0.2492541,,0.2281801
110,,0.2431485,0.2519664,,0.2292531
111,,0.2453414,0.2544132,,0.2322992
112,,0.2473727,0.255475,,0.2344107
113,,0.2501543,0.2553365,,0.2366837
114,,0.250616,0.2562137,,0.2398914
115,,0.2539746,0.2582104,,0.2418067
116,,0.255752,0.2601609,,0.2437336
117,,0.255071,0.2613613,,0.2430875
118,,0.257137,0.2638889,,0.2452336
119,,0.2610496,0.2648469,,0.2481412
120,,0.2642582,0.2676053,,0.2478989
121,,0.2651585,0.2699252,,0.2492373
122,,0.2671321,0.2728914,,0.2494566
123,,0.2695443,0.2735608,,0.2520527
124,,0.2712063,0.2742302,,0.2543026
125,,0.2747034,0.2751536,,0.2550065
126,,0.2752343,0.2789355,,0.2620909
127,,0.2767232,0.2791201,,0.2627717
128,,0.2766194,0.2813854,,0.2622063
129,,0.2796086,0.2822625,,0.2625755
130,,0.2837521,0.2826133,,0.2658178
131,,0.2852179,0.2821874,,0.2668908
132,,0.2875032,0.2812888,,0.2670524
133,,0.2895922,0.2802449,,0.2689908
134,,0.2896614,,,0.2686562
135,,0.2904924,,,0.2741368
136,,0.2942897,,,0.274333
137,,0.2971058,,,0.2760637
138,,0.3006722,,,0.2785214
139,,0.3004529,,,0.2811752
140,,0.3018379,,,0.2822021
141,,0.3004414,,,0.2836213
142,,0.3023919,,,0.284002
143,,0.307551,,,0.2863789
144,,0.3076665,,,0.2880866
145,,0.3076203,,,0.2887904
146,,0.3097901,,,0.289125
147,,0.3098709,,,0.2910865
148,,0.3126986,,,0.2932903
149,,0.3134719,,,0.2955633
150,,0.316138,,,0.2984017
151,,0.3167267,,,0.2994056
152,,0.3201199,,,0.2994517
153,,0.3208124,,,0.3031786
154,,0.3213549,,,0.3040901
155,,0.3211125,,,0.3059477
156,,0.3238248,,,0.3059939
157,,0.3251059,,,0.3061093
158,,0.3291455,,,0.3086708
159,,0.3289608,,,0.30949
160,,0.3294341,,,0.3103669
161,,0.3296187,,,0.3129976
162,,0.3302304,,,0.3146014
163,,0.3303574,,,0.3149822
164,,0.3336814,,,0.3163437
