Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
0,727.2508984,725.8223916,653.7732031,606.9846467,583.6131662,515.3639152,441.6938968,381.358367,336.264709,281.4748865,266.9358385,221.1497612,,1.899594426,2.47372951,2.186661968
1,699.839164,733.6490744,674.206034,620.525393,589.5952581,519.2595417,440.5941411,376.2016159,346.2910338,285.0543453,260.020268,223.2473285,,1.862869383,2.381807792,2.122338588
2,680.6496523,710.8999566,660.0185937,591.7967972,555.9527416,490.5697648,418.9656186,365.3105806,333.1029796,275.8451541,249.2549153,221.0192781,,1.845686106,2.40941568,2.127550893
3,702.9390088,712.439541,646.1603768,576.1054106,532.4813887,466.1312481,402.4401531,357.8178224,326.9157449,270.8479691,246.0623108,212.1606849,,1.83625215,2.442513773,2.139382962
4,711.5081208,711.0253717,640.2213897,570.2495615,515.3934821,447.8534142,380.6500099,335.5342768,303.7478252,256.443179,232.9849705,201.067769,,1.914756141,2.442670636,2.178713389
5,725.0904891,733.7244729,667.4538125,591.967705,536.8664855,454.4612002,380.9378603,344.1033245,311.4961941,256.1760535,227.6174964,195.2845396,,1.884769638,2.473258921,2.17901428
6,747.0198387,742.1468542,680.3548875,608.8857484,550.6456285,471.4002554,396.6759389,363.6599842,326.8601986,265.7045676,234.6303774,201.9731996,,1.811656479,2.428396103,2.120026291
7,753.9487103,772.0937464,709.1095579,638.2545441,585.7905457,506.0482053,420.4873119,379.4624365,332.8100151,282.671755,256.7167667,221.2909881,,1.776616071,2.470278524,2.123447298
8,758.6524841,794.1586709,732.9919326,661.4659655,603.3926267,521.4065121,437.0326214,386.7546785,333.28246,282.4798518,259.3282093,222.9293637,,1.744944933,2.488788358,2.116866646
9,740.2408382,780.2259191,743.6680074,686.8735822,647.2235992,555.0282508,471.5489076,422.5661724,362.0272702,307.5397125,274.3913892,229.9560207,,1.807950282,2.527219793,2.167585038
10,743.5268777,800.1269166,758.0291447,703.6091421,663.9877949,579.8352612,508.8519573,455.7080219,395.9267342,331.1349483,294.5423562,241.5893476,,1.850066157,2.519376643,2.1847214
11,758.9009724,803.4480936,777.2067277,720.1972976,687.0697051,598.7483842,521.0855819,469.2683595,424.7759499,352.9200864,315.7244904,258.4898427,,1.843327617,2.545415901,2.194371759
12,766.5317855,810.8512836,788.5830103,734.8625838,711.4001787,629.9184346,550.1771355,493.1331931,453.9816871,384.5086947,357.7856636,294.8148595,,1.788408516,2.506200151,2.147304334
