Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
0,814.4379653,866.6830384,836.114187,744.0001851,658.0963552,590.0474181,500.7269691,410.8797478,345.0569914,278.3160771,257.7300849,220.4998001,,1.719001554,2.256317392,1.987659473
1,821.2253575,854.4339289,809.9124977,721.750324,641.7169685,558.8789482,478.2402598,394.0384634,330.0055601,267.4294407,247.1149765,211.6411506,,1.653300789,2.303376292,1.978338541
2,827.5877027,852.4003853,800.1679744,697.9907186,631.8683832,551.450036,465.638975,382.9080325,318.0228019,258.3527953,241.0481512,206.2855993,,1.655322351,2.332082221,1.993702286
3,830.0837536,854.6840598,800.2453868,685.1641515,615.2353157,540.2595067,451.1685465,369.0235191,315.2272925,260.133127,240.0847642,206.9416754,,1.667451723,2.299454717,1.98345322
4,827.1434691,870.698182,819.2550052,701.667603,630.3431695,547.311534,452.3648922,364.1597822,310.2374149,255.0960965,241.5158593,210.0927954,,1.841979909,2.196395726,2.019187818
5,824.6821894,877.2931383,842.538064,740.7694184,668.1084208,581.4813343,491.0495491,404.5645988,342.6444773,281.033629,257.2223597,220.4105967,,1.841642982,2.080317106,1.960980044
6,821.5815643,869.5700514,833.7074011,739.0604486,667.3470309,579.158302,487.1726708,405.0136739,339.6322527,281.4830786,263.4713946,224.7889429,,1.804244085,2.181336878,1.992790482
7,823.2301561,855.2690789,821.5692727,722.5702312,657.5659011,571.2913267,480.7927019,397.2596908,328.0132369,272.8974521,260.4728331,221.9514203,,1.836926004,2.180866289,2.008896147
8,820.8899942,841.5030023,801.7864103,706.757964,641.3054271,564.3293889,478.4806474,391.2697729,322.797934,264.1349124,251.2598501,217.6989127,,1.88342193,2.214121245,2.048771588
9,817.1520022,845.7936831,791.0193481,699.1003863,628.6861613,545.6927537,461.1960026,380.2283043,317.5171774,260.3070417,244.568979,214.4431568,,2.00471565,2.298199813,2.151457732
10,813.8266768,822.2216587,776.4236688,676.2756464,620.7220097,538.891425,455.3904289,371.976294,314.2089529,261.0749494,247.8232739,216.328901,,1.881400368,2.106356364,1.993878366
11,816.210316,805.4782833,766.2122636,660.1550955,596.1680763,509.037709,434.4335806,356.2923249,301.9462724,249.3978134,236.8793405,205.5191988,,1.683624219,1.740238122,1.711931171
12,822.9032679,824.5066641,786.4783751,694.1312414,603.500807,509.683706,423.9183704,344.9200892,291.0139353,238.2254679,225.3939529,194.1642615,,1.69137354,1.565806466,1.628590003
