Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2
0,1.719001554,2.256317392,1.899594426,2.47372951
1,1.653300789,2.303376292,1.862869383,2.381807792
2,1.655322351,2.332082221,1.845686106,2.40941568
3,1.667451723,2.299454717,1.83625215,2.442513773
4,1.841979909,2.196395726,1.914756141,2.442670636
5,1.841642982,2.080317106,1.884769638,2.473258921
6,1.804244085,2.181336878,1.811656479,2.428396103
7,1.836926004,2.180866289,1.776616071,2.470278524
8,1.88342193,2.214121245,1.744944933,2.488788358
9,2.00471565,2.298199813,1.807950282,2.527219793
10,1.881400368,2.106356364,1.850066157,2.519376643
11,1.683624219,1.740238122,1.843327617,2.545415901
12,1.69137354,1.565806466,1.788408516,2.506200151
13,1.681939584,1.51529658,1.781669976,2.446278485
14,1.653974643,1.548551536,1.821090435,2.407690187
15,1.646225322,1.539139756,1.831198245,2.434043171
16,1.638812928,1.537727989,1.894877448,2.433886308
17,1.429244334,1.579139821,1.857815478,2.461023607
18,1.438341363,1.754512655,1.74191259,2.572396337
19,1.548516492,1.933022749,1.726077021,2.586357144
20,1.585578462,1.909336436,1.733152488,2.552631599
21,1.598381688,1.962199267,1.705187547,2.541023737
22,1.70485062,2.005493455,1.713273795,2.520004095
23,1.698449007,1.943689433,1.799864034,2.457258895
24,1.866912507,2.21490556,1.822438143,2.507298192
25,2.15970207,2.641886646,1.883758857,2.435925527
26,2.049190014,2.691455354,1.882748076,2.388396038
27,1.84299069,2.627925839,1.958893578,2.340239097
28,1.842653763,2.492082481,1.920146973,2.278278212
29,1.798179399,2.43294513,1.983152322,2.178042755
30,1.912060725,2.472945195,1.893866667,2.255062488
31,1.910039163,2.390748983,1.919473119,2.26980761
32,1.908354528,2.276709582,1.959567432,2.310905716
33,1.924190097,2.139925046,1.954850454,2.327690057
34,1.87331412,2.120474034,1.867923288,2.370043067
35,1.89352974,2.028081727,1.921494681,2.36706267
36,2.079176517,2.030591535,2.061656313,2.359690109
37,1.922505462,2.035924877,1.976750709,2.265729172
38,1.815025749,1.999062072,2.035712934,2.171768235
39,1.865901726,2.025571919,2.060645532,2.077807298
40,1.886454273,2.107140679,2.187667011,2.138827005
41,1.858489332,2.107297542,2.036723715,2.10980735
42,1.966305972,2.099454392,2.024594343,2.122826979
43,1.785039246,2.098670077,1.888138908,2.135532882
44,1.797168618,2.103846556,1.825470486,2.256474255
45,1.787397735,2.091768105,1.847707668,2.280631157
46,1.887128127,2.178513344,1.825807413,2.290670389
47,1.828502829,2.116709322,1.871292558,2.392788202
48,1.858826259,2.130042677,1.851750792,2.396552914
49,1.794136275,2.162042729,1.8867912,2.331925358
50,1.841642982,2.138513279,1.925537805,2.339768508
51,1.743597225,2.150278004,1.836589077,2.306356689
52,1.673853336,2.157179976,1.91037609,2.322513578
53,1.639149855,2.278905664,1.833893661,2.435298075
54,1.714621503,2.208944766,1.798853253,2.368474437
55,1.744608006,2.244082078,1.86994485,2.586827733
56,1.727424729,2.23216049,1.823785851,2.481258934
57,1.833893661,2.219454587,1.812330333,2.422278446
58,1.846696887,2.120474034,1.724392386,2.404866653
59,1.692047394,2.122826979,1.716979992,2.445337307
60,1.689015051,2.159532921,1.729446291,2.430278459
61,1.762465137,2.18980748,1.781669976,2.376945039
62,1.810308771,2.342121453,1.84299069,2.372552875
63,1.925537805,2.276552719,1.87331412,2.390121531
64,1.815699603,2.221807532,1.870281777,2.368003848
65,1.69811208,2.154983894,1.749998838,2.319846907
66,1.800537888,2.151846634,1.796157837,2.375533272
67,1.831198245,2.115454418,1.858826259,2.481886386
68,1.913071506,2.081885736,1.867923288,2.478749126
69,1.857478551,2.13961132,1.948785768,2.423847076
70,1.74191259,2.213964382,1.979446125,2.370827382
71,1.732478634,2.353886178,1.976750709,2.306042963
72,1.716306138,2.439062787,1.955187381,2.289258622
73,1.794810129,2.362513643,1.886454273,2.325180249
74,1.708556817,2.374121505,1.79919018,2.315611606
75,1.756737378,2.376317587,1.795147056,2.42039609
76,1.737195612,2.364552862,1.752357327,2.41725883
77,1.802896377,2.311376305,1.743260298,2.538827655
78,1.807950282,2.325493975,1.758422013,2.499768768
79,1.814351895,2.320788085,1.716979992,2.388239175
80,1.828502829,2.276866445,1.930928637,2.463219689
81,1.903974477,2.269964473,1.848381522,2.344944987
82,1.86657558,2.251925228,1.852761573,2.482200112
83,1.864217091,2.162513318,1.887465054,2.415533337
84,1.878031098,2.115925007,1.887801981,2.362513643
85,1.890497397,2.075454353,1.914082287,2.503219754
86,1.84635996,2.097728899,1.941036447,2.396239188
87,1.846696887,2.082199462,1.941036447,2.293180197
88,1.951144257,2.06431708,2.003367942,2.275140952
89,2.063004021,1.969885554,2.072437977,2.292709608
90,2.063677875,2.028081727,1.942721082,2.316552784
91,1.975403001,2.080317106,1.992923205,2.318121414
92,1.885780419,2.052709218,1.962936702,2.205023191
93,1.91374536,2.097728899,1.92722244,2.164238811
94,1.903300623,2.114356377,1.98113076,2.196709452
95,1.881063441,2.127689732,1.997303256,2.156395661
96,1.832209026,2.121415212,2.036723715,2.08470927
97,1.835915223,2.168160386,1.941036447,2.093964187
98,1.865564799,2.192631014,1.989217008,2.250670324
99,1.880389587,2.088473982,1.914082287,2.267454665
100,1.83288288,2.09255242,1.897572864,2.232003627
101,1.853435427,2.006120907,1.912397652,2.238121284
102,1.884769638,1.956709062,1.836589077,2.32470966
103,1.934297907,1.950434542,1.770551385,2.438592198
104,2.029985175,1.951846309,1.712936868,2.524553122
105,2.127694005,1.973650266,1.720012335,2.506200151
106,1.919473119,2.003767962,1.757748159,2.53020019
107,2.026278978,2.052238629,1.720349262,2.441102006
108,1.937667177,2.005650318,1.838947566,2.379454847
109,1.862532456,2.001885606,1.750335765,2.423219624
110,1.835241369,2.035140562,1.770214458,2.449572608
111,1.907680674,2.049415095,1.804581012,2.363768547
112,1.894203594,2.069179833,1.710241452,2.346513617
113,1.783017684,2.007062085,1.731467853,2.506043288
114,1.882074222,2.089572023,1.699796715,2.533023724
115,1.798516326,2.099924981,1.746292641,2.512474671
116,1.901952915,2.119846582,1.688678124,2.535847258
117,1.80929799,2.096630858,1.670484066,2.467768716
118,1.857478551,2.134434841,1.698785934,2.459141251
119,1.956872016,2.180081974,1.730120145,2.482200112
120,1.70485062,2.20863104,1.690025832,2.610514046
121,1.765160553,2.209572218,1.609163352,2.521886451
122,1.84299069,2.152630949,1.748988057,2.459454977
123,1.808624136,2.167689797,1.808961063,2.411611762
124,1.733826342,2.265258583,1.615228038,2.482670701
125,1.669136358,2.363297958,1.743597225,2.509180548
126,1.705861401,2.409729406,1.715632284,2.385258778
127,1.709230671,2.362984232,1.84635996,2.419925501
128,1.836926004,2.210983985,1.755726597,2.456160854
129,1.744271079,2.202199657,1.859500113,2.507455055
130,1.737195612,2.173336865,1.77897456,2.447847115
131,1.66778865,2.188866302,1.814351895,2.408631365
132,1.670820993,2.262905638,1.772572947,2.414592159
133,1.822438143,2.279689979,1.753705035,2.371611697
134,1.964958264,2.144787799,1.8530985,2.413023529
135,2.017518876,2.16314077,1.84299069,2.453964772
