Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
0,20.0611271,19.7722842,20.6367744,20.1123924,19.7092273,19.3341204,19.3238849,19.1991984,19.18064,19.1532912,19.1630016,19.1494183,19.0257159,18.7595876,19.0005928,18.9085853,18.9216066,18.850971,19.0247077,18.7639736,18.7136754,18.9804797,18.9326862,18.9161345,20.077901,20.4064765,20.1433369,19.993467,19.6562812,19.5440509,19.0010653,19.8847261,19.1184519,18.9832506,19.6828746,19.047356,19.9199022,19.9696494,19.7039347,19.7915358,19.6304951,19.8978485,19.7406696,19.7464068,19.3110744,19.3561254,19.4632904,19.3344424,19.9396038,19.8132542,19.5863789,19.3215242,19.3920429,19.437886,19.4342718,19.5416346,19.2690561,19.3301761,19.0719585,19.4387905,0.037398897,-0.017568656,0.1851497,0.0014539
1,21.0231063,21.8188709,22.713942,22.7303643,21.9034091,20.4315157,19.7808415,19.3504365,19.1893642,19.1623976,19.1451226,19.1250903,19.5592281,19.6198098,19.2383161,19.2467349,19.0701231,18.8764292,19.0486438,18.7673787,18.720505,18.9679207,18.9345714,18.9149798,20.2598765,20.565856,20.2435814,20.0367227,19.7059865,19.582016,19.0238536,19.8809102,19.1383275,18.9867965,19.6700856,19.0273375,19.9951852,20.0476183,19.8528757,20.1190024,20.2387262,20.6687469,21.0922963,20.6088772,19.8597951,19.5021409,19.4979823,19.3231706,20.1575985,20.0285493,19.664728,19.3782592,19.5342631,19.5622452,19.4776922,19.5341594,19.274115,19.3234594,19.0717031,19.4309402,0.025606452,-0.023843176,0.1854843,0.0011193
2,22.3986967,24.133745,24.016735,24.2361398,22.6359665,21.7925706,21.1065888,20.4433777,20.0313103,19.5847029,19.3162364,19.1947183,19.7378986,19.772298,19.3838762,20.0263918,19.7603817,19.2973482,19.2494708,18.8150122,18.7909533,19.1052193,19.0019418,18.8953416,20.4765252,21.0162644,20.7497768,20.2395001,19.7486096,19.6702473,19.115939,19.9509181,19.1971038,19.1239163,19.7751786,19.0652432,20.0497473,20.0790393,19.8755575,20.0995428,20.1627337,20.5912579,21.1604945,21.0709132,20.4984804,20.2510564,20.1344243,19.8239357,20.2470676,20.0990282,19.6889337,19.3929803,19.686892,19.9971015,19.9052209,19.9107961,19.5341091,19.5508414,19.2429267,19.4972815,0.024258744,-0.026196121,0.1977732,-0.0111696
3,39.2208875,28.6254213,26.6961702,24.9720076,22.7387129,21.775628,21.3062808,20.8159523,20.5976155,20.1186302,19.8493888,19.5780295,19.896411,19.6812604,19.3794378,19.8142202,19.5900019,19.2324763,19.2754407,18.8710084,18.8986606,19.4480621,19.2984126,19.2312967,20.6502227,21.5546001,21.338925,20.7203363,19.9430179,19.946436,19.3964833,20.1405695,19.6619677,19.5909987,20.215257,19.4133095,20.1905744,20.1667661,19.882789,20.300026,20.6582897,21.2823016,21.575742,21.3424698,20.7219489,20.4803978,20.4795538,20.2088784,20.4470561,20.2640454,19.8366438,19.6007879,19.9045616,20.1607935,20.252977,20.1052041,19.7531833,19.9218429,19.580622,19.8048073,0.035377335,-0.020549053,0.2165585,-0.0299549
4,48.6229555,32.2952284,28.2252703,25.4748317,23.5841738,22.2290988,21.5487353,20.7716306,20.4462358,20.080738,19.8965769,19.6935477,19.9413185,19.5939844,19.3996525,19.7151774,19.6341414,19.2610728,19.254244,18.8627363,18.8668188,19.3543143,19.2430391,19.2146795,20.6920871,21.4367672,21.1728226,20.6840154,19.997748,20.0934723,19.5903306,20.2788946,19.6694644,19.6140838,20.2273142,19.6096247,20.3525215,20.2236212,19.9214103,20.4244445,20.7746539,21.4630709,21.7060808,21.4470321,20.9786286,20.7945787,20.8225425,20.463406,20.9029592,37.9075327,27.0162179,20.2754646,20.0180071,20.4018091,20.509475,20.3856459,19.9041537,19.909217,19.676601,19.8768281,0.02358489,-0.019137286,0.1910345,-0.0044309
5,44.95018,30.5732403,27.2045186,24.7687119,23.3382853,22.0163052,21.5197747,20.9195206,20.6347666,20.215428,20.0472056,19.7674339,19.880029,19.4844395,19.3554666,19.5972824,19.6036267,19.2730986,19.2404205,18.8629768,18.8404512,19.2865474,19.190854,19.1370438,20.6691637,21.2910082,21.0106466,20.5359228,19.9592881,19.990823,19.4769848,20.2028055,19.5641896,19.5311562,20.172174,19.5510306,20.3873375,20.2409901,19.940295,20.4968502,20.8151449,21.4125548,21.6278856,21.3688251,21.0828284,21.1307062,21.2553715,20.9576524,20.833833,35.0323963,26.0543799,20.7449271,20.1709667,20.4825786,20.5757934,20.4815745,20.0441062,19.9337953,19.6332157,19.8239732,0.012466299,-0.030274559,0.1867651,-0.0001615
6,40.4897389,28.5812585,25.7583279,23.9228825,22.6214274,21.5668147,21.1622451,20.639942,20.4363946,20.1571108,20.0937132,20.0033517,19.8349995,19.4074887,19.3347512,19.5089387,19.4989788,19.2128339,19.2189245,18.8650475,18.8467029,19.2494815,19.1480918,19.1356953,20.6389526,21.1675377,20.8920241,20.4393433,19.9427623,19.9355582,19.4023094,20.1228463,19.5012521,19.4328372,20.0625541,19.4633747,20.4511832,20.2767765,19.9529201,20.4259668,20.7431727,21.3978667,21.5259933,21.2661583,20.9342638,20.9744755,21.12497,20.8720269,20.954922,33.4586851,25.7817561,21.1093037,20.2561202,20.4841964,20.3618384,20.3123892,19.9367995,19.871252,19.5869818,19.778519,0.02358489,-0.032313778,0.1868344,-0.0002308
7,37.2527705,27.1655497,24.7948848,23.2663981,22.1190037,21.2517483,20.9263594,20.4430138,20.2542595,19.9957968,19.9244446,19.8440311,19.7872518,19.3631486,19.3124595,19.4486456,19.4398424,19.1582138,19.2163775,18.8625,18.829708,19.203618,19.1147694,19.0761629,20.6056429,21.1005165,20.8128058,20.3730545,19.8999975,19.9014951,19.3465732,20.0766209,19.4440135,19.3637805,19.9848255,19.3943359,20.4941634,20.3042157,19.9488497,20.3254749,20.5179361,21.1056277,21.2048993,21.0906663,20.7568578,20.7836941,20.8606183,20.6088549,21.5226488,31.9295349,24.4895287,20.731112,20.0940835,20.3157327,20.1930286,20.1557181,19.7862184,19.755933,19.4609989,19.6806841,0.026617233,-0.019607875,0.186569,3.46E-05
8,34.8930737,26.1794113,24.1382537,22.813017,21.7643541,21.0091725,20.7246899,20.3000831,20.1318256,19.8885125,19.7959037,19.7322547,19.7635406,19.3348725,19.3069826,19.4040335,19.3743534,19.1428468,19.2025323,18.8608173,18.8112986,19.1741978,19.0785131,19.0334524,20.5834517,21.0798701,20.7507725,20.3497473,19.900974,19.8534903,19.2962561,20.0563317,19.3941851,19.2975753,19.9300711,19.3224504,20.5430297,20.306416,19.9559836,20.2585808,20.3839224,20.886339,20.9852028,20.9673144,20.5754496,20.6314154,20.6745864,20.4357546,21.4551022,29.9586737,23.6395186,20.4520731,19.9527304,20.1709824,20.0707131,20.0698378,19.7018683,19.6768796,19.3640627,19.6172066,0.02021562,-0.010196095,0.1868344,-0.0002308
9,33.3327231,25.5236561,23.6964106,22.4596854,21.5057768,20.8483558,20.5919106,20.1755865,20.0209946,19.7989166,19.7203737,19.6533427,19.7670206,19.3242952,19.3017277,19.3604016,19.3303525,19.1083164,19.2143749,18.8680987,18.815539,19.15906,19.0831328,19.007296,20.5823723,21.0799329,20.7341291,20.3217271,19.8915485,19.8432974,19.2750402,20.0385425,19.3725033,19.2701764,19.9099124,19.3170968,20.5961114,20.3428258,19.9650598,20.2327295,20.3091361,20.7414076,20.8372157,20.8652378,20.4589405,20.514086,20.5493016,20.289619,21.2825648,28.3751941,23.0906705,20.2929834,19.8782545,20.0566441,19.988291,20.0071579,19.6521046,19.6339386,19.346179,19.581488,0.034029627,-0.007058835,0.1868228,-0.0002192
10,33.0158197,25.0856131,23.3804081,22.2005586,21.3093174,20.7011397,20.4708463,20.0950965,19.9260686,19.7286545,19.6569573,19.5964122,19.8141455,19.3106411,19.2994721,19.32167,19.295807,19.0889515,19.1942522,18.8559574,18.8178425,19.1347587,19.0645357,19.0111181,20.5945492,21.0791967,20.7239028,20.3115024,19.8634883,19.8156007,19.2511235,20.0313486,19.3326386,19.2378864,19.87841,19.286715,20.8229377,20.6418956,20.2788527,20.236917,20.2233864,20.6162318,20.7044356,20.7802719,20.3382923,20.3785704,20.4157003,20.1882997,21.2370751,27.3930183,22.7313456,20.1935304,19.8353505,19.9814648,19.9173041,19.9540149,19.6096011,19.596737,19.296812,19.5450544,0.030997284,-0.002666671,0.1872267,-0.0006231
