Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2,North_Heat_Flux_3,South_Heat_Flux_3,North_Heat_Flux_4,South_Heat_Flux_4,North_Heat_Flux_5,South_Heat_Flux_5
0,0.035040408,-0.003294123,0.037398897,-0.017568656,0.02695416,-0.009725506,0.0239854,0.0131842,0.0096965,0.0061799
1,0.0336927,0.007372561,0.025606452,-0.023843176,0.011455518,-0.012705903,0.0265556,0.0067908,0.0089341,0.007968
2,0.024595671,0.007058835,0.024258744,-0.026196121,-0.008086248,-0.019921601,0.027121,-0.001566,0.0099108,0.008
3,0.024595671,0.004549027,0.035377335,-0.020549053,0.002021562,-0.009725506,0.0275837,-0.002021,0.0125756,0.0089511
4,0.024932598,0.007058835,0.02358489,-0.019137286,0.011118591,-0.008784328,0.0279435,-0.0054212,0.012884,0.0097721
5,0.034366554,0.015843163,0.012466299,-0.030274559,0.022574109,0.00156863,0.0297427,-0.0129639,0.0104676,0.0084892
6,0.033355773,0.005647068,0.02358489,-0.032313778,0.038409678,0.008941191,0.0262472,-0.0146161,0.0107592,0.0048664
7,0.029312649,0.000313726,0.026617233,-0.019607875,0.035040408,0.006117657,0.0248592,-0.0079115,0.0114106,0.0038264
8,0.036388116,0.001098041,0.02021562,-0.010196095,0.038072751,0.00313726,0.0262986,-0.0004406,0.0098162,0.0045312
9,0.033018846,0.016784341,0.034029627,-0.007058835,0.038409678,0.005333342,0.0270182,0.0058809,0.0071687,0.0067286
10,0.031671138,0.021490231,0.030997284,-0.002666671,0.029986503,0.01098041,0.0286632,0.0041808,0.0105277,0.0069452
11,0.035377335,0.017568656,0.026280306,-0.005647068,0.025943379,0.010196095,0.0244994,0.0065753,0.0129527,0.0057307
12,0.038409678,0.016000026,0.011792445,-0.01411767,0.024932598,-0.00784315,0.0328269,0.0045161,0.0131328,0.0055825
13,0.042789729,0.021803957,0.024258744,-0.024784354,0.026617233,-0.023215724,0.0283548,0.0007088,0.0139208,0.0048185
14,0.034703481,0.015843163,0.027964941,-0.029647107,0.026280306,-0.027921614,0.0282519,-0.0001293,0.0143406,0.0053863
15,0.042115875,0.024156902,0.026617233,-0.03607849,0.011118591,-0.020862779,0.0279949,-0.0011829,0.0143147,0.0056018
16,0.0336927,0.022274546,0.017520204,-0.035921627,0.025943379,-0.016784341,0.0256817,0.002792,0.0149143,0.006083
17,0.04380051,0.010509821,0.018530985,-0.041725558,0.034703481,-0.012235314,0.0339064,-0.0029788,0.0157286,0.0061799
18,0.050202123,-0.000156863,0.023921817,-0.035137312,0.033018846,-0.009882369,0.0318503,-0.004176,0.0135523,0.0064468
19,0.054582174,-0.003607849,0.042789729,-0.031686326,0.026617233,0.000470589,0.0345233,-0.0018534,0.0133635,0.0051446
20,0.029649576,0.008156876,0.039757386,-0.025568669,0.03706197,0.005490205,0.0410003,-0.0108088,0.0138007,0.0055802
21,0.035714262,0.011607862,0.039083532,-0.016156889,0.026280306,0.009254917,0.0379674,-0.0149034,0.0155402,0.0081174
22,0.055256028,0.026352984,0.050202123,-0.003294123,0.041105094,0.008156876,0.0362196,-0.0095876,0.0158573,0.0071607
23,0.061657641,0.037490257,0.04716978,-0.00156863,0.027628014,0.012392177,0.0405376,-0.0095158,0.0142896,0.0074994
24,0.066711546,0.048784393,0.052560612,-0.001098041,0.027628014,0.011294136,0.0426966,-0.0006082,0.0155838,0.0077446
25,0.057614517,0.050353023,0.073450086,0.006745109,0.034703481,0.019451012,0.0398694,0.0053781,0.0157467,0.0074207
26,0.075134721,0.052235379,0.071091597,0.016784341,0.046158999,0.024313765,0.0493278,0.0182366,0.0147872,0.007082
27,0.080188626,0.054588324,0.075808575,0.026980436,0.057951444,0.021647094,0.0522579,0.0237679,0.0161752,0.0081494
28,0.08086248,0.052705968,0.082547115,0.036705942,0.069070035,0.021333368,0.0568329,0.0242229,0.0187799,0.0104142
29,0.083894823,0.053019694,0.077156283,0.03607849,0.059973006,0.02352945,0.0612537,0.0321008,0.0187713,0.0122992
30,0.087264093,0.051451064,0.075471648,0.043764777,0.070417743,0.038745161,0.0645436,0.0385181,0.0203402,0.0143711
31,0.096024195,0.060392255,0.088948728,0.045803996,0.086253312,0.054274598,0.0650062,0.0435705,0.0220702,0.0148454
32,0.095013414,0.065098145,0.100404246,0.048313804,0.085242531,0.060078529,0.0716888,0.0463003,0.0210508,0.0177075
33,0.106132005,0.061960885,0.11455518,0.056784406,0.088274874,0.064784419,0.0670624,0.0532444,0.0219251,0.0200564
34,0.112196691,0.068549131,0.110175129,0.061960885,0.085579458,0.07058835,0.0674736,0.053412,0.0212223,0.0207269
35,0.115902888,0.081255034,0.112533618,0.060078529,0.093665706,0.074509925,0.0758012,0.0562854,0.0215648,0.0210861
36,0.120956793,0.093333485,0.112533618,0.057411858,0.087937947,0.078745226,0.0781144,0.061266,0.0241194,0.0214202
37,0.127695333,0.101019772,0.125673771,0.062117748,0.087264093,0.086902102,0.087984,0.059949,0.0274361,0.0253962
38,0.13814007,0.10666684,0.120282939,0.077804048,0.100404246,0.095529567,0.085825,0.0613618,0.0267678,0.0279344
39,0.137803143,0.107921744,0.138813924,0.092862896,0.100404246,0.095529567,0.0910169,0.0671804,0.0281471,0.0280541
40,0.149932515,0.118745291,0.137803143,0.102274676,0.112870545,0.098039375,0.0967228,0.0757049,0.0329203,0.0304965
41,0.160040325,0.128313934,0.153975639,0.115764894,0.127358406,0.104000169,0.105256,0.080039,0.0284386,0.032029
42,0.160040325,0.131921783,0.169474281,0.125960989,0.138476997,0.113098223,0.1008352,0.0871507,0.0340598,0.0334178
43,0.177223602,0.138823755,0.165431157,0.135059043,0.13140153,0.110588415,0.1031998,0.0916045,0.0419256,0.0376322
44,0.180255945,0.147608083,0.170485062,0.123764907,0.145889391,0.1254904,0.1114759,0.093568,0.0406832,0.0401943
45,0.187668339,0.157961041,0.182277507,0.114823716,0.155323347,0.136000221,0.1260234,0.1003684,0.0430992,0.0437861
46,0.205188543,0.170196355,0.182614434,0.118274702,0.166778865,0.148078672,0.1266917,0.1086773,0.0421225,0.048599
47,0.212937864,0.176470875,0.197439222,0.121725688,0.181266726,0.161098301,0.1369212,0.1159088,0.0457209,0.0523345
48,0.217654842,0.188078737,0.21226401,0.132549235,0.19541766,0.171294396,0.1470479,0.1226373,0.0536972,0.0571714
49,0.231131922,0.190745408,0.228099579,0.149490439,0.193059171,0.186196381,0.1450431,0.1222063,0.0617163,0.0609308
50,0.244272075,0.198588558,0.224056455,0.171608122,0.19878693,0.193882668,0.1498751,0.1250797,0.0637725,0.0657677
51,0.25606452,0.195294435,0.252021396,0.182745395,0.215970207,0.208941516,0.1677125,0.1392792,0.0739506,0.0725681
52,0.276617067,0.204706215,0.258759936,0.194039531,0.2358489,0.226039583,0.1725445,0.1504616,0.0771891,0.0808531
53,0.297506541,0.230431747,0.277964775,0.200941503,0.255727593,0.237647445,0.1853443,0.1623862,0.0791425,0.0850196
54,0.297169614,0.239372938,0.28638795,0.223529775,0.2695416,0.246431773,0.1884799,0.1736644,0.0831006,0.0931369
55,0.314015964,0.256157279,0.304918935,0.236235678,0.278301702,0.259294539,0.1830311,0.1836495,0.0857736,0.0981175
56,0.317722161,0.282823989,0.329177679,0.256000416,0.301886592,0.265569059,0.2030788,0.1970109,0.0907599,0.0984767
57,0.338948562,0.300549508,0.340633197,0.264157292,0.324460701,0.283137715,0.2314027,0.2130781,0.0958489,0.1013262
58,0.358827255,0.310745603,0.358827255,0.280157318,0.338274708,0.303059316,0.2439455,0.2177953,0.0984192,0.1129635
59,0.361859598,0.320627972,0.382749072,0.288941646,0.350741007,0.320157383,0.2489317,0.2319229,0.110345,0.1216316
60,0.367587357,0.325333862,0.377021313,0.295529892,0.367587357,0.330196615,0.2623997,0.246721,0.1176959,0.1254389
61,0.402627765,0.355294695,0.415430991,0.325647588,0.39083532,0.343216244,0.2742741,0.2542876,0.1218082,0.1331732
62,0.403638546,0.374275118,0.430592706,0.361098626,0.40768167,0.370980995,0.2971492,0.2794061,0.1266403,0.1421287
63,0.431603487,0.411608512,0.445417494,0.376157474,0.419474115,0.396549664,0.3143183,0.3000228,0.1404681,0.152018
64,0.455525304,0.432314428,0.472708581,0.410196745,0.430255779,0.421647744,0.3277863,0.317838,0.1492069,0.1587945
65,0.498315033,0.456628193,0.458557647,0.416314402,0.425201874,0.422588922,0.3219776,0.3320374,0.159899,0.1705276
66,0.527290755,0.469804685,0.496967325,0.444706605,0.448449837,0.418510484,0.3416655,0.3392928,0.16689,0.1828354
67,0.54919101,0.489098834,0.526953828,0.461490946,0.47843634,0.441726208,0.3879296,0.3667339,0.1773766,0.1953347
68,0.552897207,0.492392957,0.542789397,0.499765518,0.522910704,0.490040012,0.3966684,0.3718342,0.1760914,0.2035
69,0.595350009,0.532863611,0.568732776,0.512628284,0.518193726,0.49568708,0.4248381,0.3908227,0.1934662,0.2160951
70,0.612533286,0.578040155,0.594676155,0.534275378,0.551886426,0.517334174,0.4326516,0.4068659,0.2077566,0.2294565
71,0.647236767,0.594197044,0.633759687,0.559059732,0.55592955,0.518589078,0.443755,0.413403,0.2151589,0.2437278
72,0.659029212,0.621961795,0.666778533,0.590118606,0.605120892,0.54431461,0.4703825,0.4401018,0.2153645,0.2482056
73,0.662398482,0.638589273,0.688678788,0.616942179,0.575134389,0.53647146,0.5093986,0.4644061,0.2281129,0.2543834
74,0.675201708,0.642353985,0.671158584,0.624785329,0.62668422,0.563922485,0.5330447,0.4841368,0.2382395,0.2618303
75,0.67048473,0.660863819,0.703166649,0.64627556,0.624999585,0.582902908,0.5652239,0.5047057,0.2434314,0.2740663
76,0.698786598,0.673883448,0.77156283,0.683138365,0.655323015,0.60078529,0.5812621,0.5445504,0.265741,0.2870445
77,0.694406547,0.682510913,0.764150436,0.696785446,0.673517073,0.641726533,0.5853745,0.5602584,0.2887188,0.3084515
78,0.717317583,0.676236393,0.791441523,0.713883513,0.650606037,0.633099068,0.5847062,0.5577681,0.2897983,0.3249257
79,0.744271743,0.682040324,0.793126158,0.722354115,0.652964526,0.625569644,0.6028521,0.5686631,0.2957612,0.3275836
80,0.748314867,0.681569735,0.842654427,0.792785602,0.682614102,0.653334395,0.6018754,0.5683997,0.3246506,0.3542824
81,0.764487363,0.696001131,0.846023697,0.816158189,0.713948313,0.674197174,0.617708,0.5816414,0.3532829,0.3721216
82,0.773921319,0.700863884,0.846360624,0.827138599,0.720686853,0.673099133,0.6625841,0.6311359,0.3559046,0.3916847
83,0.770215122,0.704158007,0.854446872,0.853805309,0.752694918,0.696942309,0.6561072,0.6605645,0.4080288,0.4374678
84,0.852762237,0.738040415,0.900268944,0.873256321,0.724056123,0.709491349,0.6850479,0.679984,0.4145058,0.4813832
85,0.85579458,0.75451103,0.924190761,0.880942608,0.719676072,0.673255996,0.710339,0.6959314,0.4007808,0.4974743
86,0.819069537,0.755295345,0.951481848,0.91764855,0.746293305,0.708707034,0.7143485,0.6800319,0.412244,0.5061185
87,0.814689486,0.77804048,0.942384819,0.915138742,0.791441523,0.760314961,0.7260688,0.6631506,0.4551668,0.511578
88,0.82210188,0.800471889,0.972708249,0.945570164,0.765835071,0.763452221,0.7617949,0.6836955,0.4916126,0.5557088
89,0.863206974,0.828707229,1.011454854,0.970825107,0.820417245,0.799373848,0.7867261,0.7165243,0.5384936,0.5916504
90,0.908018265,0.881256334,0.994608504,0.972080011,0.881064105,0.859138651,0.8158211,0.7323759,0.5314511,0.5766129
91,0.932277009,0.954040766,1.071090933,0.992472201,0.871293222,0.86745239,0.8374624,0.7546928,0.595347,0.5911236
92,0.875336346,0.911217167,1.079514108,1.011295761,0.900268944,0.871060239,0.8696417,0.8043071,0.6138526,0.6076697
93,0.966643563,0.909962263,1.086926502,1.004550652,0.884096448,0.857726884,0.8873249,0.8375908,0.6181192,0.6317825
94,0.955524972,0.920472084,1.161724296,1.093648836,0.927896958,0.881413197,0.8673285,0.8461392,0.6151377,0.6442818
95,1.131063939,0.973805504,1.235174382,1.124864573,0.907681338,0.898040675,0.8307284,0.8084975,0.6333864,0.693058
96,1.196764704,1.073570372,1.243597557,1.150276379,1.037398233,0.9725506,0.8971945,0.8402248,0.6548735,0.7477966
97,1.18261377,1.130197915,1.261454688,1.189178403,1.080187962,1.005648693,0.8976572,0.8683603,0.6689069,0.7602959
98,1.093665042,1.142903818,1.366238985,1.275139327,1.145214873,1.060237017,0.9021294,0.8959451,0.6638693,0.7494727
99,1.1118591,1.129570463,1.472707917,1.333492363,1.1455518,1.101021397,0.9317384,0.9045414,0.7043246,0.7744236
100,1.16239815,1.164707775,1.371966744,1.366904182,1.32412311,1.24078633,0.963198,0.9484328,0.7239098,0.8027746
101,1.150942632,1.142119503,1.429244334,1.43372782,1.338947898,1.324394309,0.9964567,0.9796811,0.8117602,0.9012369
102,1.341306387,1.250982425,1.633085169,1.527061305,1.441710633,1.417414068,0.9808297,0.9601659,0.8102694,0.9427578
103,1.366575912,1.416002301,1.595686272,1.502904403,1.558961229,1.522669141,1.0340849,0.9786036,0.7386629,0.9122517
104,1.386454605,1.428551341,1.654648497,1.606590846,1.684971927,1.668394868,1.0504829,1.0097562,0.769557,0.9429014
105,1.379379138,1.452394517,1.750672692,1.694590989,1.680591876,1.731296931,1.0208739,0.9899536,0.7683233,0.9546106
106,1.411050276,1.437649395,1.879715733,1.825571594,1.659365475,1.740081259,1.0103874,0.9787233,0.7341393,0.9144307
107,1.36792362,1.448786668,2.057613189,1.922826654,1.692721248,1.706826303,1.0378374,0.9904804,0.7865719,0.9486004
108,1.530996288,1.532865236,1.975403001,1.981807142,1.776279144,1.736159684,1.0972097,1.0322407,0.7476587,0.9418239
109,1.584904608,1.577414328,2.067720999,2.053807259,1.908017601,1.830904936,1.021902,1.0274277,0.7976753,0.9580108
110,1.684971927,1.599218285,2.09568594,2.078591613,1.8530985,1.857101057,1.0439031,1.0084392,0.8451217,0.9781247
111,1.771562166,1.637492857,2.177559201,2.205650643,2.199796383,1.967375746,1.1308796,1.0762279,0.8878389,1.0002021
112,1.627020483,1.53255151,2.184297741,2.21490556,2.237869134,2.108081857,1.1178743,1.0982095,0.8680482,0.9808784
113,1.48584807,1.512943635,2.207882631,2.168787838,2.100739845,2.091140653,1.1827982,1.1823766,0.9488047,1.0574788
