Time (s),Mass_Loss_2,Mass_Loss_3,Mass_Loss_4,Mass_Loss_5
0,0.0014539,0,-0.0052646,0.0118051
1,0.0011193,-4.62E-05,-0.0303521,-0.0025387
2,-0.0111696,-9.23E-05,-0.0393458,-0.0347458
3,-0.0299549,-0.00045,-0.0051838,-0.0114357
4,-0.0044309,-8.08E-05,-0.0051722,0.0117705
5,-0.0001615,2.31E-05,-0.0049413,0.0128783
6,-0.0002308,-9.23E-05,-0.0045603,0.0136976
7,3.46E-05,0.0001154,-0.0046758,0.0135245
8,-0.0002308,-0.0063695,-0.0046527,0.0137207
9,-0.0002192,-0.0361167,-0.0040754,0.0138938
10,-0.0006231,-0.0205738,-0.0044333,0.0132245
11,-0.00045,0.0056079,-0.0045834,0.0137784
12,-0.00045,0.0058617,-0.0043525,0.0132245
13,2.31E-05,0.0059887,-0.0046412,0.0132245
14,0.0001962,0.006081,-0.0044564,0.013236
15,-0.0002077,0.006231,-0.0044564,0.0132937
16,-0.0002769,0.005654,-0.0042717,0.0129821
17,-0.0002192,0.006381,-0.004595,0.0129129
18,-0.0004962,0.006081,-0.0043179,0.013236
19,0.0027809,0.0062194,-0.0048836,0.0130398
20,0.0033001,0.005654,-0.0044103,0.0126937
21,0.0033117,0.0055271,-0.0044333,0.0126244
22,0.0014308,0.0056656,-0.0047566,0.011482
23,0.0008885,0.0056656,-0.0044218,0.0131668
24,0.0007962,0.004604,-0.0044795,0.0132476
25,0.0006808,0.004454,-0.0046873,0.0132014
26,0.0004962,0.004154,-0.0045603,0.0126937
27,0.0011077,0.0044309,-0.0042024,0.0131668
28,0.0027116,0.0046963,-0.0045257,0.0129129
29,0.0027463,0.0045117,-0.0044449,0.0124629
30,-0.0009462,0.0039347,-0.0030364,0.0124629
31,-0.00045,0.0040617,-0.0014201,0.0124975
32,0.0017539,0.0036578,-0.001524,0.0126937
33,0.0032655,0.0043386,-0.0016279,0.012786
34,0.0027232,0.0041771,-0.0014663,0.0131668
35,0.0034155,0.0042463,-0.0017433,0.0126244
36,0.0031963,0.0043617,-0.0018703,0.0127975
37,0.0027116,0.0044309,-0.0015124,0.0124975
38,0.0031501,0.0058156,-0.0016279,0.0121974
