Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.039233,0.277142,0.1778992,0.10481,0.0631806,0.0856876,0.2222603,0.2069635,0.1439833,0.1706264,0.0516057,0.0096632,-661.1752922,25.7524643,17.8419094,17.7258759,18.5442085,17.5152836,17.552866,17.631258,17.6469994,18.0710716,17.9563789,17.8894844,18.1199512,21.1776981,19.4776878,19.049305,18.8685017,18.881731,18.7769756,18.5487938,18.4627991,18.5168419,18.7051163,18.7743168,15.7453604,19.0901508,19.037569,19.1633663,3321.275635,3319.714844,18.3913956,18.6777782,18.961813,19.0336227,17.0353775,18.1547623,18.5088291,18.6580601,18.6319199,18.4168797,18.3387985,18.2657356,18.3232307,18.6168652,18.7332878,21.3514729,20.7422504,21.6219006,0,10
1,0.5546708,0.6367538,0.4175806,0.2320999,0.1222128,0.117952,0.643343,0.5609128,0.3436903,0.3031547,0.1062995,0.0388603,-661.1752922,26.5174656,18.1950512,17.8503933,18.578125,17.5313454,17.5810986,17.6416111,17.6603889,18.0871353,17.9541798,17.8842354,18.1477833,21.1732311,19.7417355,19.1117115,18.9134426,18.9224796,18.7732563,18.5731983,18.4644012,18.5324993,18.7120342,18.784277,15.6658268,19.1673412,19.10112,19.1790218,3321.276856,3319.716065,18.422636,18.6767159,18.9558125,19.0462437,17.0404053,18.143816,18.5241108,18.668787,18.6354218,18.4260864,18.3058052,18.2680988,18.3119011,18.6146622,18.7135944,21.3576221,20.7438488,21.5999928,0,10
2,1.1532896,1.1165067,0.7173746,0.3935846,0.2041366,0.1664999,1.0654342,0.9235408,0.5811578,0.4468641,0.1870298,0.0877336,-661.1752922,37.1115875,19.3321552,19.2026672,18.87714,17.7005234,17.6003437,18.1826305,17.7975254,18.1044827,17.9703712,17.8734245,18.1768951,21.165493,20.6917553,19.2958508,19.0467167,19.0340595,18.7765179,18.6171322,18.4790649,18.5513363,18.7137775,18.792099,15.5845251,19.4394989,19.3453102,19.2149487,3321.2771,3319.716309,18.5132923,18.7092457,18.9579353,19.0460854,17.0600376,18.1421356,18.5076122,18.6872578,18.6732635,18.4126186,18.2961426,18.2493134,18.3071785,18.6118431,18.7225609,21.3654327,20.7414131,21.64571,0,10
3,1.4691879,1.445542,0.9409133,0.51433,0.2769332,0.2058079,1.3087545,1.1407423,0.736594,0.5440405,0.2472182,0.1118529,-661.1752922,69.1099167,26.299015,23.9592648,20.0188084,18.2316036,19.1710587,20.3981266,19.0693569,18.3434792,17.9787483,17.8818054,18.1905899,21.1666374,22.1044064,19.598278,19.2204323,19.1952019,18.7624683,18.670351,18.5022583,18.5798378,18.7434235,18.7799473,15.3890867,19.8518543,19.6792736,19.2863636,3321.274414,3319.713867,18.596508,18.7377567,18.9545231,19.0521717,17.0691833,18.1330185,18.5003986,18.6838455,18.681633,18.3939934,18.3026123,18.2390594,18.3125134,18.6004448,18.7233295,21.3673401,20.7399044,21.6415462,0,10
4,1.6533236,1.5583773,1.0071755,0.5483613,0.3226427,0.2622326,1.4282713,1.2416026,0.7974664,0.5787346,0.27503,0.1329573,-661.1752922,109.3582001,47.8619881,39.7586784,23.9297886,19.6215782,21.9115963,22.6172562,20.4770756,20.6481838,18.971508,18.81884,18.4496517,21.1725426,23.5037746,19.8909626,19.3810349,19.3626099,18.7828293,18.7290993,18.5241413,18.6074123,18.7808838,18.7987881,15.3153887,20.2532692,20.0479107,19.3853321,3321.274658,3319.714111,18.6966476,18.7615395,18.955883,19.0584717,17.0518951,18.137043,18.4994812,18.6707592,18.7065525,18.412468,18.320322,18.2381382,18.3062687,18.5964813,18.707962,21.3554192,20.7234249,21.5014839,0,10
5,1.8237143,1.7223538,1.1224809,0.6084068,0.3450926,0.3586469,1.5218172,1.3258092,0.8528049,0.6137576,0.2868648,0.1462864,-661.1752922,130.6265717,55.3136482,47.1024475,25.9231071,22.5489655,22.6525059,21.9655418,20.9342499,21.8241787,20.4073944,20.5976944,19.0530415,21.1748314,24.9098682,20.2129879,19.5919437,19.5670166,18.7919617,19.0107002,18.6180248,18.7468395,18.9579506,18.8014622,15.315402,20.6642094,20.4090157,19.4761124,3321.275635,3319.714844,18.7920132,19.0708675,18.9733772,19.0805244,17.032877,18.1389561,18.5112743,18.6779957,18.7099876,18.4345379,18.3374443,18.2442341,18.2986774,18.6002979,18.6592999,21.3781948,20.7530422,21.5022564,0,10
6,2.1021692,1.9006714,1.1847458,0.6295127,0.3475952,0.3085842,1.7394186,1.5106416,0.9410211,0.6532202,0.3058851,0.1596948,-661.1752922,158.509903,66.1141434,46.788311,25.4334126,24.7208843,25.2060108,23.1879539,21.6448383,21.7118454,21.0178757,21.9283314,20.2820129,21.1676006,25.9791679,20.498064,19.7465496,19.6725922,18.7896557,19.1736641,18.7756958,19.0138168,19.1877537,18.8553944,15.2288761,21.0817871,20.7699699,19.5987396,3321.273926,3319.713135,18.8641586,19.2702942,18.9824696,19.1488838,17.0320892,18.1305637,18.5158081,18.6893768,18.7110977,18.4326115,18.3472996,18.2518101,18.2910442,18.5873413,18.6729622,21.3277054,20.7590885,21.4085712,0,10
7,2.3799132,2.1136244,1.3121966,0.703956,0.3935991,0.2822274,1.8773421,1.6150203,1.0189833,0.7023839,0.3411359,0.1801644,-661.1752922,179.591217,63.404644,49.5205765,27.5940323,26.4603748,27.1941757,25.8331127,24.6760159,23.9547195,23.27001,22.3658314,20.2679443,21.1713638,27.5091057,20.8138103,19.9322834,19.7952518,18.7949467,19.1466618,18.9158726,19.4307079,19.508276,18.9507408,15.2486649,21.5287876,21.183548,19.7186985,3321.272217,3319.711182,18.9454193,19.6117306,19.0170231,19.3722382,17.0362492,18.1259747,18.501339,18.6893501,18.7114525,18.427639,18.3423309,18.2498817,18.281889,18.5899773,18.6949921,21.351963,20.7499523,21.4009609,0,10
8,2.7669063,2.3236008,1.4227361,0.7674373,0.4337882,0.2977537,2.1448683,1.8146299,1.1343804,0.7841042,0.3834876,0.2011895,-661.1752922,194.9266357,68.7963104,48.3112907,29.6168747,26.7830105,27.653429,27.0099525,25.2049923,23.8636646,23.9976158,23.1867981,21.1304035,21.1624813,28.9075336,21.1490593,20.1243057,19.9352264,18.8058014,19.157135,18.9111481,19.4233303,19.5722847,19.0474586,15.3593798,22.0035152,21.6002522,19.850275,3321.275391,3319.714844,19.0432453,19.5272541,19.0506763,19.5274239,17.0543518,18.1353149,18.4855938,18.6891842,18.7223053,18.4301357,18.3372231,18.2630215,18.3437119,18.6137676,18.6978664,21.3612823,20.7604122,21.4747372,0,10
9,3.2946673,2.9408126,1.8824202,1.0025474,0.5350704,0.3405456,2.5215734,2.2305027,1.4376031,0.9723733,0.4779125,0.2461752,-661.1752922,207.1435242,83.5306549,54.4671669,31.7640762,29.8121357,28.9637737,29.9512367,28.1731281,26.7330971,26.472065,25.6661377,22.2185211,21.1673527,30.5242386,21.5867157,20.4193096,20.1223812,18.8205662,19.1965885,18.9114704,19.3173504,19.5236225,19.1287041,15.4332418,22.6091976,22.1260929,20.0476131,3321.275391,3319.714844,19.1426907,19.3676682,19.0908985,19.4821701,17.0440197,18.1611156,18.4634953,18.6887474,18.7112312,18.4445286,18.3455315,18.2891941,18.4938602,18.6665668,18.7274723,21.3627434,20.7793331,21.5334511,0,10
