Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.1527478,0.3661656,0.2925896,0.189888,0.1693208,0.1894485,0.2994168,0.3120458,0.2549859,0.2534977,0.1595561,0.1366069,-661.1752922,19.0328217,18.9685555,19.3552952,19.9637146,19.6457329,19.4468193,19.135313,18.8859463,19.1260185,18.6921558,18.2806568,18.1278706,22.1741924,24.198164,24.1742764,24.076931,24.1463127,24.3654404,23.5079956,22.9554996,22.6449089,22.4736481,22.1903381,16.7876396,23.6366482,24.4122829,24.5221577,3320.407227,3318.840332,22.6786289,22.3004761,22.3491402,22.2518787,21.6967716,22.2944031,23.7827053,23.1039238,22.832819,22.3792381,21.9447212,21.8211746,20.8168621,20.8596287,21.0435772,20.8069935,20.5919132,21.2469845,0,10
1,0.2864061,0.4373303,0.3330234,0.2213015,0.1677015,0.1941443,0.4212029,0.3993017,0.2930718,0.2748732,0.1587108,0.1278795,-661.1752922,23.9485874,20.8533535,20.4568825,20.4773102,19.7523785,19.4645691,19.121151,18.873682,19.1114616,18.6852112,18.2425156,18.1114197,22.2149887,24.2294579,24.1756878,24.0420055,24.137886,24.3592873,23.4810181,22.9531231,22.6485901,22.4799824,22.1712875,16.8118935,23.6690845,24.4273129,24.514492,3320.407715,3318.84082,22.631197,22.2943096,22.3588886,22.2506351,21.7357216,22.2143421,23.7848721,23.1041985,22.8217335,22.3586655,22.0037422,21.8134918,20.8122025,20.9084854,21.0757313,20.774622,20.5883923,21.1353741,0,10
2,0.3480217,0.4784597,0.3400954,0.2450252,0.1837476,0.1969466,0.4728927,0.4373003,0.3139052,0.2983863,0.1675023,0.1266894,-661.1752922,55.4734955,33.0924988,28.1265812,22.6206589,21.2741833,20.5174236,19.776247,18.9453716,19.1364422,18.6771069,18.2313633,18.1033134,22.3538399,24.2909946,24.1793499,24.0574055,24.1525211,24.3648376,23.4831657,22.9537582,22.6443005,22.4556179,22.1738205,16.8212852,23.7355518,24.4775047,24.5192871,3320.402344,3318.835693,22.6390228,22.2627392,22.3546009,22.2505131,21.7253628,22.1941357,23.7711315,23.1108971,22.7875328,22.3634739,22.035078,21.7633419,20.7570534,20.9637794,21.0589142,20.7946224,20.6049728,21.1170483,0,10
3,0.2804816,0.4503185,0.3294873,0.2383171,0.1839685,0.1896,0.4224637,0.3894503,0.3033257,0.300195,0.1708837,0.1363689,-661.1752922,54.9097824,35.1927567,30.4178333,23.1865063,22.6095161,22.1570206,21.5485897,19.9988251,19.811924,18.9643497,18.3514977,18.0834846,22.4484386,24.3476696,24.1944199,24.1038933,24.1585121,24.3696938,23.5005169,22.9480171,22.6207695,22.4559364,22.1722431,16.9708004,23.7903481,24.5269928,24.5332146,3320.40625,3318.839111,22.6855335,22.2850342,22.3571892,22.2489376,21.7711773,22.1880131,23.7578297,23.0983353,22.791256,22.3687172,22.0626812,21.7454643,20.667799,20.9625778,21.0949039,20.7770977,20.5923843,21.1700859,0,10
4,0.2435122,0.416495,0.3268737,0.225719,0.1844101,0.202324,0.3972491,0.3791297,0.2968153,0.2921381,0.1741805,0.1477145,-661.1752922,52.2098618,35.8349075,32.2550278,23.8671646,23.0023823,22.3082161,21.6175709,20.0811768,19.9228725,19.4847984,18.9948692,18.5863152,22.4809761,24.3930321,24.1989384,24.0826778,24.1581116,24.368536,23.5943546,22.9919147,22.6888905,22.5100765,22.177145,17.0339489,23.8205891,24.5337772,24.5358372,3320.404297,3318.836914,22.6961117,22.3577557,22.3458004,22.2538395,21.82234,22.2111053,23.7574272,23.0895996,22.8010788,22.3880234,22.0808487,21.7238369,20.4935474,20.9496498,21.0842552,20.7835274,20.5889435,21.1127911,0,10
5,0.9876386,1.0023185,0.6880102,0.443977,0.2778165,0.2467064,1.0619042,0.9530952,0.6241265,0.5063867,0.2568551,0.1974605,-661.1752922,90.4416733,67.8665695,43.4971352,27.4228821,24.9872761,23.3077202,22.5864697,21.0163498,20.3687878,19.5830269,19.0213356,18.9281349,22.7182007,24.5381184,24.2411709,24.1476307,24.2143421,24.3717976,23.6135139,23.0315247,22.7171421,22.5194054,22.1807919,17.0985012,23.9524727,24.6667747,24.5455284,3320.406006,3318.838867,22.7448101,22.4038372,22.3577843,22.2836342,21.7816315,22.1977005,23.7466946,23.0716572,22.7895794,22.3871231,22.1223927,21.7172527,20.3685074,20.9016876,21.0879078,20.7959137,20.5960159,21.0633411,0,10
6,2.71477,2.8628832,2.3522512,1.5920403,0.8457625,0.5666989,2.5757847,2.6454373,2.0520237,1.5952235,0.7813063,0.5164858,-661.1752922,215.8626709,215.3744049,154.8106079,59.6520729,41.6603012,40.3350945,40.7450562,29.9404449,27.613903,23.5363712,22.8083305,20.383749,23.7801704,25.5325661,24.5104465,24.5127068,24.5933132,24.4598446,23.8019047,23.087492,22.8503265,22.5909252,22.1871719,17.013195,24.7736931,25.3359337,24.7000866,3320.405273,3318.838135,23.0581799,22.4681797,22.3531704,22.3252506,21.7406197,22.1351089,23.7360382,23.0545464,22.7039318,22.3897133,22.1791706,21.7111263,20.1877155,20.832922,21.0840511,20.7950916,20.5826664,21.0120697,0,10
7,3.9006325,4.3549067,3.9977358,3.1169013,1.8866289,1.2325863,3.5634378,3.9017346,3.396913,2.8641081,1.6715375,1.0555204,-661.1752922,301.9095764,341.7366638,300.7348022,109.3329544,78.2819748,69.8022919,68.6514359,46.1184082,41.509819,31.1372261,32.3349838,25.510231,25.6882629,27.6206474,25.1158371,25.5692196,25.6185322,24.8118305,24.3409729,23.3252068,23.2866745,23.0960503,22.2671146,16.7878799,26.3770351,26.9777336,25.2280445,3320.404785,3318.837647,23.6855335,22.7435589,22.3664303,22.5139236,21.6932201,22.0930386,23.7258224,23.0238647,22.6649227,22.3684864,22.2166843,21.6963387,20.1839161,20.7103119,21.0817719,20.7897739,20.5773487,20.9312687,0,10
8,3.9321513,4.5751655,4.4037645,3.5777955,2.5440066,2.0602498,3.7192637,4.1421575,3.830344,3.2868504,2.2343672,1.7610098,-661.1752922,333.1322632,405.554657,414.7153931,130.974762,105.8921661,84.1758957,70.32547,48.2148018,43.2431793,36.1385384,38.2175407,30.346611,27.8068047,29.9159164,25.8147545,26.8729076,26.9531994,25.4914608,25.7354355,23.7526131,24.0645123,24.2143288,22.6377735,16.5402393,28.1360378,28.9434528,25.9775791,3320.405518,3318.838379,26.7239208,23.785181,22.4564018,23.5168076,21.4271832,22.0420437,23.7013988,22.9755459,22.6847858,22.3152161,22.1596336,21.699543,20.3146992,20.6303825,21.0462666,20.7527428,20.5911846,20.9932728,0,10
9,3.9712535,4.4834361,4.1920638,3.4365986,2.6588324,2.0507826,3.7134643,3.9636582,3.6447971,3.165832,2.3664944,1.7380012,-661.1752922,366.4221497,460.8787537,468.4810486,161.6476593,137.270401,114.2605896,93.8136063,57.9326477,48.0338097,42.3537788,40.430069,31.4909916,29.6566772,31.8501282,26.592411,28.1455173,28.1922607,26.1026154,27.3931713,24.4308605,25.2629204,25.3464947,23.1657257,16.5585976,29.6207943,30.8257275,26.8057365,3320.403809,3318.83667,28.1508083,25.5781364,22.6239376,24.6502876,21.2740364,22.018631,23.693161,22.9676762,22.6969891,22.2588253,22.1024971,21.7125149,20.3311119,20.6335049,20.8850422,20.7702904,20.5931683,20.7744617,0,10
10,4.3027926,4.6861067,4.1468641,3.2410826,2.5942061,1.9077137,3.9293007,4.1353553,3.5433973,2.9040639,2.0631006,1.5543296,-661.1752922,399.2721252,496.8718567,487.5148315,162.6000977,145.2044983,119.3319778,100.5158844,65.6675262,52.8650131,47.0073128,43.9873772,34.8283577,31.4084816,33.5672607,27.3821125,29.1738281,29.1197567,26.5981102,27.5156002,24.8235149,26.0099831,26.1039524,23.5323772,16.4945068,30.9450493,32.4179993,27.5459538,3320.406006,3318.838867,28.6052704,28.2605991,22.7931252,24.8679218,21.1274815,21.9650555,23.6748676,22.9398899,22.6555767,22.220787,22.1194172,21.7226143,20.3852673,20.7020817,20.8143044,20.7910347,20.5873394,20.5743675,0,10
11,4.7203564,5.2427068,4.7372276,3.9613013,2.9991878,2.1506808,4.2074169,4.3717906,3.8033257,3.5247766,2.2692799,1.6646119,-661.1752922,434.8901672,503.5864868,468.8882446,175.5620575,150.8753204,118.4173355,98.5238876,69.4946823,53.046978,48.6236572,44.892292,36.4048042,33.1738281,35.4548988,28.2405319,30.4460411,30.8238697,27.2954884,29.7917118,25.3841019,27.1441326,26.7329197,23.8841019,16.2818661,32.3580437,34.0284424,28.3971119,3320.404297,3318.837158,30.9449978,28.6691895,22.9963188,25.2963371,21.0859432,21.9208984,23.6678715,22.9279594,22.6406193,22.2369003,22.157505,21.7372112,20.5179501,20.7520046,20.8471432,20.7688313,20.6004391,20.3794994,0,10
12,5.8393898,7.1287068,6.8442413,4.8965058,3.6837262,2.4378789,4.6035373,5.0543568,4.5603244,3.9818842,2.4203428,1.461264,-661.1752922,434.6042175,470.405365,425.916626,164.1608582,149.9649811,125.9978561,99.9371262,70.2137375,53.5104065,51.01231,49.1220856,40.295002,35.3272629,37.8211746,29.3343792,31.8489838,32.9275932,27.9811115,31.8387566,26.6306305,28.4307404,27.2257671,24.2546272,16.2036228,33.9066963,36.5401077,29.2746906,3320.406738,3318.839844,31.6178837,28.8200455,23.2570305,25.8885136,20.9844666,21.9066925,23.6552048,22.9058075,22.6381683,22.1923676,22.1474705,21.7302074,20.6297455,20.7533398,20.9099712,20.7849731,20.6051922,20.2810135,0,10
13,6.7543808,7.4756007,6.6308494,4.5146361,4.0011901,3.0048526,5.2081817,6.0226157,4.8993544,4.2199747,2.8754757,2.0534562,-661.1752922,422.6837769,428.4363098,382.5630188,155.7147675,142.0234985,119.2912674,98.1445236,70.6585159,52.670208,48.9643288,44.8597298,38.6443634,37.9610329,40.866272,30.7096443,33.470787,35.6465454,29.0629387,33.6896515,27.2194252,29.1342487,27.6510124,24.5154839,16.1102505,35.9979248,40.7689018,30.2046776,3320.405518,3318.838379,33.9431992,29.4803658,23.4541931,25.8095036,20.9388618,21.8933525,23.6479416,22.9174747,22.638092,22.1623478,21.9980812,21.7331657,20.7112751,20.732769,20.966074,20.7662964,20.612709,19.9256191,0,10
