Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,HF Extra,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m
0,0.7212698,0.7439067,0.5853115,0.4485581,0.3600347,0.3188845,0.8049681,0.7365974,0.5201226,0.504578,0.335134,0.2711672,0,1553.378886,18.5794659,21.327364,18.5284557,18.9805393,19.5484562,19.38591,18.5373783,17.8830986,17.5566311,16.9005928,16.4942341,16.3672981,20.271595,20.7580376,21.1501904,21.6310616,22.3942757,22.4119644,22.364521,20.887619,20.4446678,19.9255371
1,2.2680572,2.1060479,1.6282871,1.1596146,0.7781183,0.593813,2.31431,2.0778049,1.4999403,1.2180276,0.7271197,0.5209288,0,1553.378886,43.1264076,67.7980881,48.1394463,24.4832687,23.4592113,22.8488522,20.586195,18.6185017,18.0322704,17.058712,16.5915356,16.4325676,21.1503696,20.8428249,21.7481022,21.9198456,22.4668293,22.4810867,22.4863091,20.8987923,20.4729137,19.9796162
2,2.5671297,2.5776832,2.0741346,1.5696255,1.1007347,0.814589,2.6194058,2.4521608,1.9100966,1.5983476,1.0316125,0.7298305,0,1553.378886,87.3667755,132.016098,90.3741837,32.6571922,33.1979866,31.3248959,28.3259697,24.7644024,23.9583435,20.8497543,20.5543652,18.9263725,22.4493351,21.1155205,22.7899094,22.50284,22.6793213,22.6552563,22.7097282,20.9233761,20.5327702,20.0695076
3,2.9050673,2.918895,2.3860741,1.783466,1.2915957,0.9182741,3.0026667,2.8635771,2.2471734,1.8196666,1.2215612,0.8553461,0,1553.378886,106.4068451,142.6124725,133.3592224,37.9783936,38.6628113,35.0203896,33.1174698,28.4324055,26.0741367,22.7003479,22.2914429,20.8383446,23.8292294,21.6334705,24.0222187,23.2536869,23.0247021,22.956234,23.0110893,20.992691,20.6237049,20.2800579
4,3.0406215,3.0452597,2.4993808,1.9110831,1.4073784,1.0131737,3.1249571,3.0221388,2.401633,1.9832717,1.3476864,0.9521406,0,1553.378886,133.668396,169.5693512,161.434906,47.0643387,44.7123184,38.3253975,36.8666916,30.7886753,27.9091873,25.4255123,24.5317211,21.5900784,25.1559563,22.2939777,25.1804981,24.0338535,23.3922367,23.2650032,23.3168335,21.079752,20.7289677,20.3925972
5,3.0427544,3.0276714,2.4372697,1.8394212,1.4026676,1.009311,3.1489109,3.0256572,2.3650119,1.9267087,1.3426143,0.9553142,0,1553.378886,166.1091614,209.0412598,184.7509613,52.9935417,48.8280792,42.7671204,40.4425316,33.2049103,31.4913101,29.3404522,28.4683475,24.6197071,26.3633175,23.0415382,26.2381821,24.7460995,23.769825,23.5823479,23.5940666,21.1895161,20.8717155,20.478899
6,3.4065232,3.3656362,2.7598173,2.0334647,1.5353798,1.0886086,3.5916781,3.4290985,2.694439,2.1868326,1.4767703,1.0498872,0,1553.378886,184.6064606,218.036026,181.8338165,54.1420021,52.9774055,46.5994568,44.5284843,35.8476753,33.1168861,30.9915981,29.4247799,25.6635036,27.6123085,23.8219242,27.284668,25.4223766,24.158289,23.8977413,23.881855,21.3133278,21.0175114,20.5682621
7,3.243005,3.2344009,2.6340575,2.0246296,1.5506898,1.1071644,3.4507289,3.2747587,2.6239638,2.1465479,1.5030605,1.0657552,0,1553.378886,192.8900909,216.1864624,177.6472778,56.3752708,56.7714233,48.9522133,45.1898117,36.5942612,32.5882683,30.9857082,30.0988026,25.8717003,28.8537388,24.641016,28.275404,26.0909805,24.5423813,24.2281017,24.1555042,21.4188595,21.1321278,20.6871376
8,3.1280683,3.1589068,2.7170774,2.1651721,1.691425,1.2434926,3.2845651,3.1577138,2.6410536,2.2833513,1.6449937,1.2126925,0,1553.378886,196.6175537,196.110733,174.8116608,59.4711723,63.3605118,53.7672272,50.0098877,40.0421791,35.1814423,33.5831451,31.3889427,26.42663,29.9262962,25.4556122,29.1683331,26.7885189,24.9595089,24.5688419,24.4807835,21.5542202,21.2598934,20.8472404
9,2.9460653,2.9838361,2.5860905,2.0454083,1.6550635,1.2281178,3.0210733,2.9339447,2.3868218,2.0986996,1.5834527,1.1776243,0,1553.378886,199.8348541,206.1117249,182.6706848,66.5002213,70.9823151,62.3686447,58.4768944,45.1274796,39.9515877,36.9829483,35.6246872,30.2641239,30.7373562,26.2351627,29.8847027,27.4127102,25.3869877,24.9430466,24.7737656,21.7042809,21.4000854,20.9966335
