Time (s),TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m
0,16.9177361,17.7049885,18.3763924,18.8596554,19.5306168,19.2130013,18.3084469,17.5254784,17.2201805,16.646246,16.3160172,16.2643623
1,50.111927,33.6901131,23.7235031,20.5268955,20.240633,19.4258804,18.536274,17.6754532,17.3452072,16.7548485,16.3755589,16.3299561
2,85.9688034,74.3726959,51.1558037,29.2085075,25.9101143,23.3490696,20.7003231,18.6814632,18.0613651,17.0475883,16.4727459,16.3772125
3,114.1525192,115.6147842,89.7381897,36.3396339,34.0646095,30.1741295,24.7214756,21.1883469,20.9958382,19.5524368,18.8913269,17.7934341
4,152.8669739,152.3980408,126.3453445,45.192524,41.3647079,35.6283226,28.7529736,24.3822803,22.7565613,21.0995255,20.932745,19.9138126
5,187.7060394,159.1737366,140.7427521,50.2009964,47.1706238,41.6389847,35.2834663,28.0190983,24.5767899,23.1790943,23.1484528,21.6304321
6,217.5208893,179.6962585,146.3170166,53.5182266,48.1937752,41.5782585,36.9823914,29.5755329,26.2116127,25.049324,25.0475941,22.5908432
7,239.2307587,218.3161774,164.0052795,62.4804077,56.808876,44.3012886,39.732563,32.2515831,28.5263824,27.3973961,27.7223473,24.4083862
8,246.4332886,232.1376038,180.4532471,65.7839127,60.8052902,48.4816093,43.8993149,34.7450142,30.1109428,28.4869461,28.9119225,26.1373463
9,249.0179901,237.441864,189.8651886,68.7157364,67.6231308,52.4714279,49.1012001,39.07864,34.0944328,31.5072556,31.7378082,28.1746655
10,241.464798,225.1290131,180.0504456,68.7064133,68.6987915,55.290535,52.7781143,41.9612541,36.1253624,33.2278214,32.7787819,29.5819511
11,241.8766174,213.0439453,170.13591,69.4628754,68.24646,56.0092316,53.134552,43.8159943,38.9489288,35.3211098,34.4725914,30.3622551
12,239.759201,198.9772797,152.4313965,70.0602951,71.2368317,60.1946678,55.6782112,44.6305847,39.4246979,35.6569519,34.5446663,30.468771
