Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.1932718,0.3948479,0.3617728,0.3265038,0.3014441,0.2706395,0.3246313,0.3460569,0.3002333,0.3245302,0.2840752,0.2660894,0,19.26194,19.0543442,19.5096169,19.8771591,20.3782978,20.2153664,19.3855495,18.5112095,18.1312981,17.4318504,16.9172935,16.7274437,26.4264641,27.6072464,26.8599472,25.8805428,25.7101364,25.5352879,24.9349194,23.082901,22.3587856,21.5321827,20.8569736
1,3.9053722,2.7175773,1.7838725,1.0804265,0.65181,0.4540009,4.4641009,3.2400441,1.8218804,1.2273999,0.6444451,0.4661844,0,22.3189087,23.2402172,22.5553379,20.2705631,20.5320683,20.3854504,19.5390148,18.6317024,18.1933422,17.48246,16.9725189,16.7662735,27.0921116,27.6181927,27.1199646,25.9572525,25.7154369,25.5288792,24.9738636,23.0859413,22.3667488,21.545084,20.846365
2,8.4184748,6.7387891,3.9929699,1.9388971,1.1237734,0.8139831,8.2646873,7.061946,4.2561252,2.6089171,1.3021224,0.8524105,0,33.7459946,35.4801674,41.9589996,24.7485905,23.9560642,23.3622017,23.8414936,20.1763515,18.4996471,17.6498356,17.1152897,16.8853722,31.4080334,27.9450722,29.1310711,26.6774998,25.9065895,25.6618385,25.1839924,23.0980492,22.4129391,21.6356773,20.8531857
3,8.5210884,7.0432007,4.8499194,2.5953072,2.3045654,1.8100119,7.4613523,6.4126871,4.2116916,3.2473879,2.5476515,2.0562331,0,50.8042679,56.4091187,66.940361,27.4763794,25.7805138,25.3781643,26.5762596,23.4376698,20.1727486,19.4050598,19.3973999,18.3843212,36.1115799,28.9607258,32.3741531,28.2279778,26.4347591,26.1827908,25.8464699,23.1610928,22.5369625,21.8970203,20.8708401
4,9.2213729,7.7521419,5.6470639,3.1651668,2.1986459,1.6443731,7.6184388,6.5442746,4.2338271,2.8941983,2.2062173,1.9048528,0,68.2766876,76.3876038,84.5805511,30.8554611,29.5724926,28.3820305,28.7068939,26.3283348,23.2146187,21.6014957,21.7902126,20.0428638,40.0967789,30.518631,35.0660172,29.809761,27.2491302,27.1879692,27.2066498,23.4505386,23.0967083,22.915514,20.9613934
5,11.7317329,10.6585303,7.1744758,4.2299517,2.7961817,1.7653265,9.5844158,9.6134772,6.2133193,4.1632473,2.6566163,1.8505844,0,79.154335,88.0037994,95.5115891,34.3351974,32.7513695,31.2595158,30.6337299,26.8083801,23.9112644,22.4258385,22.3612404,21.0581207,44.2673035,32.4021225,38.1102448,31.4445438,28.0019169,27.9869213,28.1842842,23.9734402,23.8775406,23.9169312,21.2181702
6,12.8242242,11.4221302,7.6000295,4.3330271,3.2686604,2.0802446,10.5597139,10.8730583,6.9612034,5.3943137,2.8231489,1.8887468,0,90.0554428,102.2185135,106.1823196,36.7080803,35.829689,32.5259247,32.1605263,26.4542904,23.4914703,22.8984451,22.7666473,21.0200768,49.2735367,34.7054901,41.9231491,33.3104553,29.0169735,28.9278717,29.23769,24.5409546,24.5972233,24.7460842,21.6017704
7,15.0580251,12.4311536,8.7192605,5.0388479,3.1908586,2.1415165,12.3275047,10.9007362,6.5692763,6.4997577,3.3767644,2.0436181,0,104.5206757,130.7315216,123.0848618,40.4620171,39.0516396,35.2157784,33.1496735,27.7333183,25.0276546,24.0736427,24.4806747,22.1363258,54.3827095,37.401989,45.5940285,35.4944725,30.1112576,29.9150715,30.0696869,25.1501732,25.2228184,25.3464947,21.9928722
8,10.4735906,9.3699892,6.5352228,4.1275308,3.0972314,2.4339405,8.4053843,7.7466233,5.248801,4.1558481,2.8969474,1.809407,0,129.7662201,157.5042267,137.984787,44.7387314,42.0601234,38.3676414,35.7043724,29.9716625,27.131979,25.256691,25.2650433,22.8082085,59.0723,40.2716103,48.7807121,37.6262856,31.1822662,31.0197659,31.1254368,25.6635361,25.6850052,25.8639183,22.4013042
9,10.0887304,9.7350128,7.7399334,5.1937882,3.1134984,1.9879959,7.4189919,7.0839945,5.0660211,3.7653335,2.5365775,1.760137,0,144.0355225,160.9172211,139.2285614,48.1004944,48.0505028,43.8466568,41.6319847,34.6537476,30.4249115,27.9496059,27.1205292,23.8508911,60.8143959,42.9039803,50.2098999,38.753582,32.0832443,31.8680286,31.5954685,26.1076069,26.0424881,26.0236435,22.7789536
10,9.7839704,9.5572363,7.3820255,5.1537034,3.4267667,2.2645149,7.8264586,7.2439637,5.3790093,4.4049553,2.4704716,1.6589788,0,167.2675018,186.5609283,165.0742035,52.715023,53.0778961,47.4925423,43.9543648,37.1377296,31.8177872,29.498867,29.371336,24.7244034,62.7756271,45.1706505,51.8705292,40.0744209,32.8127098,32.3703651,31.7731419,26.4843273,26.3247795,26.4090748,23.1080189
11,9.8000852,9.8202481,7.9359525,4.9426443,3.2965572,2.3660036,7.6106223,7.4872011,5.506288,3.9836928,2.7859538,1.7317334,0,198.1323853,198.7705994,181.0966797,59.6023521,59.444088,53.3082771,51.3790436,42.402195,34.9592705,31.8031425,31.79459,26.888731,64.4007263,47.1667137,53.3365822,41.2155495,33.4650269,32.8726959,32.0925827,26.8072014,26.5679951,26.4916039,23.4164124
12,10.5560607,11.6878478,10.2734232,6.8297416,4.3104101,3.4269398,7.9674079,8.5061248,6.872499,5.1604982,3.3047411,2.0796384,0,205.3254395,189.9910278,178.7967072,60.937973,62.3174286,56.4640236,53.0630417,43.8451385,37.2717743,33.7857094,34.0897255,29.0080395,66.2778091,49.0484505,55.6255531,42.5141144,34.2481499,33.5934029,32.8937798,27.1201916,26.8209839,26.9171066,23.6452713
13,14.8532718,15.1922361,12.0655763,7.4261063,4.548232,3.0929358,11.5577051,12.9564101,9.2094131,5.7182353,3.8328272,2.2414915,0,201.222641,174.7131348,169.2623901,62.4332085,62.1354027,59.623558,53.7726898,44.5088005,37.8553772,34.3691826,34.350605,29.2906837,69.1136398,51.0157509,59.1789169,44.7681732,35.1180153,34.4425507,33.9463234,27.508934,27.2688923,27.4650536,23.9161358
14,15.7260799,12.7823772,8.3774953,5.4267713,3.5570498,2.3331334,11.9144907,10.7471002,6.9563206,5.760493,3.4418558,2.075592,0,202.4933777,162.6830597,153.3772888,59.1584206,61.5581703,59.4134903,50.9210281,44.072094,37.0387421,33.1448517,33.1031647,28.3606663,73.8560715,53.34272,63.0954361,46.3907623,36.0142059,35.2679024,34.5769691,27.9786491,27.7882881,27.7938194,24.2074432
15,15.7196815,14.4248476,9.1657229,5.6019994,3.5479962,2.0638852,11.5463585,9.680561,6.2976291,5.1560587,2.8952567,1.9006478,0,215.0569,173.7735443,157.7656555,61.1445961,60.6794815,58.0408516,50.3239212,43.9253273,37.4497299,34.3470688,33.9764328,28.7643757,78.5510406,55.8912468,65.0589752,47.5710182,36.7809601,35.8082428,34.6559639,28.4296188,28.1389923,27.8216724,24.4479256
16,11.356589,12.2412004,10.5987381,7.3577166,4.5208504,2.5839015,8.2825895,8.2593689,6.3191135,4.9281626,3.1020278,2.1440623,0,229.3848267,180.3676758,155.7289429,62.8364487,61.7626343,58.3980331,50.8903618,43.9435883,38.6027718,37.4053917,38.1606674,31.8252068,80.8492355,58.5122643,66.4037094,48.6329498,37.5143929,36.2597847,34.9488831,28.7328796,28.4252892,28.1187019,24.6801376
17,12.1635157,13.9770241,12.8398134,8.3416773,4.626181,2.5997307,8.9492618,9.632711,8.2481501,6.0240698,3.2444681,1.9397623,0,229.6897888,202.5437622,164.6786957,67.1684113,66.3083725,62.2919044,54.8880997,45.9360542,39.8750458,38.0078201,38.4153404,32.9580956,82.2173996,60.9259682,68.9494019,50.2445641,38.3652229,36.7891502,35.3842278,29.063797,28.7957191,28.5108356,24.8789234
18,15.4817506,15.6525066,11.4649121,6.4603064,4.1966148,2.3779702,10.5057548,9.9507728,6.7321995,5.5194428,3.1765025,2.1613583,0,227.5921173,192.390274,159.3149109,66.0238495,68.5033875,65.4844589,56.8470459,47.8049164,41.9557152,38.6675835,38.4009018,32.715519,84.6020355,63.1461487,71.4696045,52.0881691,39.1510391,37.2003746,35.574482,29.3300591,28.8564453,28.2890759,25.112999
19,22.9322563,18.5718832,9.5820521,4.9886192,3.4084387,1.9008216,18.0650713,18.9353153,8.0739964,6.5219553,3.1803911,2.0000606,0,233.422226,179.2297363,146.218811,63.2793236,64.3453522,61.0332069,53.1387787,47.6045227,42.1378288,39.4607162,38.4591484,33.682972,89.0977554,65.4662933,73.8900223,53.7346191,39.76614,37.7091675,36.1173553,29.5306492,29.0694752,28.7911644,25.2592354
20,16.9185779,12.6357184,7.3494325,5.0314854,3.2438551,1.976105,13.9702314,9.4049544,5.3715224,4.2048474,2.9169821,2.2527578,0,258.041626,204.2011871,151.3565826,65.1144562,63.859478,61.8694992,52.2140884,46.0865746,40.87603,38.9065971,37.4378929,33.3600388,98.1570969,68.3004074,76.1516113,54.8891258,40.358757,38.116394,36.3737526,29.7611275,29.2758961,28.9660854,25.4600639
21,10.1510568,10.045107,8.0009848,5.3233687,3.3047275,2.0894089,7.6265074,7.279382,5.2390354,3.6869018,2.5495113,1.9984738,0,273.5697021,205.7378998,151.5518494,67.760994,69.6458435,66.5932922,54.2598305,46.6959686,42.1036224,38.9124222,37.2164383,33.0347748,99.2019882,70.9610291,75.6930313,55.1803894,40.8933411,38.4951286,36.712738,29.9870701,29.5029945,29.1948338,25.6790085
22,9.7010264,9.832154,7.8925978,5.3606722,3.9276574,2.34972,7.6597906,7.1621026,5.4711317,4.2051763,2.824586,2.3766072,0,284.6099548,227.6194611,164.3803558,71.885582,76.4212494,68.1380157,58.0559387,48.7127113,43.3798294,40.1690025,38.3631058,33.9523621,98.6120148,72.8665466,75.7750626,55.6372032,41.4519157,38.7913017,36.8752213,30.2366772,29.7255516,29.2692375,25.8639488
23,9.5083592,9.000095,6.9904485,4.7366572,3.6033482,2.2639847,7.5803649,6.5921247,5.0427464,3.8237052,2.5873826,2.1326373,0,286.3770142,248.9478455,196.4452515,75.686554,79.7357864,72.486145,62.5607758,52.3091927,46.9218636,42.8633308,41.1709366,37.0055466,98.3169556,74.2084961,75.9021301,56.1332817,42.089798,39.1249962,37.1994247,30.4865322,29.7813892,29.0563469,25.9894981
24,13.561241,11.9949656,8.5639825,5.042611,3.2160319,1.8648461,11.3257314,11.1151229,7.1630263,4.9501958,2.7429259,1.7980614,0,284.8969727,239.0107269,197.0132751,79.3225861,81.0436249,73.3210526,61.5822029,52.3348351,46.750988,43.1936569,41.238163,36.9709625,99.0816422,75.2541046,76.0746613,56.3424606,42.4337997,39.2851753,37.0968246,30.6517372,29.8522587,29.0471039,26.048193
25,23.6462859,26.6889887,18.116495,9.0288465,5.5087939,2.9289633,18.5683534,24.4282145,18.6705133,13.7685904,6.1298791,3.3548668,0,291.7727051,228.5496979,184.0714111,79.0668411,81.8809738,73.5505447,59.9421196,51.8797722,47.8287086,43.3846397,40.9910622,36.1656837,104.2525177,76.6947784,81.9592056,58.7630959,43.100647,39.7008629,37.5249329,30.7373562,29.9386692,29.1053734,26.0934162
26,17.3522566,24.6506477,15.1054873,7.6376562,4.8911636,2.9637269,11.769255,13.4621189,9.9107477,7.805474,5.2223183,3.3189259,0,299.7550659,216.9282379,174.5510559,77.541275,80.741478,72.5081558,58.7488518,52.1965675,47.9854507,43.5302582,40.7230453,36.9431496,110.1471024,79.6384811,89.6527252,62.561161,44.7624168,41.024292,39.2210655,30.9917221,30.4976139,29.9937515,26.1529922
27,10.9162747,11.5809655,9.7665408,7.005297,4.2872241,2.7343926,8.2662001,8.1451387,6.3270888,5.0325739,3.695628,2.231098,0,314.9807434,223.6604614,182.3727875,87.8282852,85.7855225,77.3904266,63.40205,54.9807205,50.244812,44.8079681,42.5358391,38.0205917,111.0916443,83.2989883,91.3077698,64.3490295,46.1686287,42.1527367,40.1254997,31.4758949,31.0982933,30.4494343,26.3352222
28,9.9432229,10.3497892,8.6839001,6.0054659,4.0756796,2.4084926,7.6194474,7.406982,5.8630588,4.5746442,3.2431156,2.1707998,0,333.8202515,241.1177063,200.3336639,95.7537918,91.2212753,80.4805908,68.573761,57.9090195,51.8136215,46.171978,44.9095268,39.7913017,110.3301392,86.04216,90.5261841,64.7645035,46.9362411,42.6652489,39.9711418,31.8634148,31.1827602,30.0575371,26.5265369
29,12.2739498,13.0870596,12.0368268,8.4580053,5.7009799,3.2716771,9.1615681,9.1124595,6.911236,5.5868579,5.2034672,3.5933622,0,350.9191589,243.7627106,203.1338654,96.8885422,97.4429855,84.3428421,70.0191269,58.5457878,50.578949,46.3974533,45.66996,41.2198563,110.2466965,87.7867508,90.2912064,65.356308,47.5893402,43.0456238,39.8753471,32.0567741,31.2991943,30.0229378,26.6261749
30,18.0750546,21.7228832,18.2622411,11.3079574,6.5351598,3.7911632,13.3686126,16.4105237,11.7167373,8.8020671,5.4286667,3.7086429,0,359.5930786,242.3868103,197.1600647,95.4296646,95.2911987,82.719574,67.6037292,56.2504387,48.1963158,44.8822823,43.813118,40.4755478,112.4652786,89.3117752,93.3945923,67.3838272,48.769558,44.0267906,41.0383339,32.307251,31.9341679,30.9460564,26.7296791
