Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface 0.2m,TC Surface 0.4m,TC Surface 0.6m,TC Surface 0.8m,TC Surface 1.0m,TC Surface 1.2m,TC Surface 1.4m,TC Surface 1.6m,TC Surface 1.8m,TC Surface 2.0m,TC Surface 2.2m
0,0.0906582,0.2958126,0.2164881,0.152421,0.1106566,0.1025014,0.2318418,0.24074,0.174094,0.2079513,0.1055387,0.0655978,0,17.1178379,17.5021,17.7767067,17.9064903,17.5708771,17.6957684,17.5401077,17.4010468,17.5222397,17.1447182,16.8724327,16.8889713,17.8486252,18.1656914,17.9733524,18.209404,17.9296436,18.0797081,18.2021446,17.9533672,17.8400917,17.7516861,17.443058
1,1.6500058,1.0377655,0.6437329,0.3430286,0.1861766,0.1443845,1.5036628,1.0607577,0.549745,0.421049,0.1899039,0.113043,0,17.4089661,17.7902622,17.8658257,17.9548702,17.5941639,17.7487202,17.6029491,17.4300308,17.5447769,17.1653404,16.8865929,16.8939915,17.9748802,18.2018871,18.0080376,18.2357216,17.928196,18.0797825,18.2113419,17.9557228,17.8447285,17.7498569,17.450737
2,17.4847301,8.1818362,3.8227791,1.713113,0.8089594,0.4858866,12.3212011,7.4808681,3.4642958,1.7657345,0.8316042,0.4393675,0,59.5103683,42.023716,34.9568634,20.9634323,19.7131157,19.358778,18.486721,17.8339844,17.7972183,17.3392563,17.0583458,17.0222435,24.2066593,20.451664,19.5631599,19.0506325,18.3937302,18.2448158,18.3718052,18.0565033,17.9097519,17.7685165,17.4648399
3,13.8721626,10.454507,6.4881782,3.8467731,2.0116124,0.8569264,10.0249137,8.3212924,5.2496149,4.5180812,1.4824342,0.7890973,0,125.924881,68.9752502,63.94133,25.3748455,25.818285,23.7742691,22.6499348,20.5454845,19.8154583,18.553936,17.7530155,17.9548416,34.3955917,26.5824318,23.1907387,20.9368706,19.543066,18.8510494,18.6500568,18.2579975,18.0511532,17.8251839,17.489954
4,12.729668,11.1415303,8.215914,5.1432322,2.1877522,1.2596247,8.8660538,7.7140196,4.7811904,3.8845433,1.8352806,1.2986968,0,206.1729431,110.0330505,95.3522339,30.8391953,30.9543438,27.3300037,25.804718,22.3223457,21.5853462,20.3810863,19.2352543,19.3381767,39.42873,31.8395615,27.57831,24.0222015,21.8897648,20.5140419,19.8673763,19.5324783,18.8271751,17.9789734,17.5133286
5,17.4743029,14.1894361,9.3140824,5.4311888,2.7866129,1.7631301,13.0362852,14.1784616,7.0673232,3.8583993,1.9556575,1.366929,0,239.5029907,124.6480255,119.1250763,36.4463692,33.0684509,29.4449444,27.2323093,23.7388115,23.3421764,21.3447857,21.1209373,20.3305683,45.9010773,37.1603813,31.7013645,27.4350262,23.7823677,22.1211529,21.0063496,20.6613541,19.9916172,18.5564556,17.724493
6,24.4636399,20.9628009,12.9116103,6.3001305,2.9507549,2.4275785,24.4067782,26.5216522,16.2846083,7.3720439,3.2885951,2.3421737,0,216.2810364,114.0195389,111.5705719,35.9839287,33.3614464,28.8883343,29.3428726,25.0562363,23.9281235,22.6421051,22.6378059,21.2014523,57.4608879,47.1080513,38.2875519,31.0568466,26.8075504,24.844223,22.7506447,22.1623058,21.5065632,19.3702011,18.146553
7,27.3228389,21.8262477,13.8392805,6.9962983,4.0371836,3.356958,20.686374,21.6043604,11.053814,6.104968,2.9066689,2.5611515,0,211.639267,103.6899796,102.3804855,34.371212,32.0773964,29.202549,27.4658527,24.7793064,23.9388466,22.9967175,22.2039165,20.5571671,71.2322998,59.0585442,47.5927048,36.4819832,31.0193825,28.0167828,25.2971668,23.9531136,23.2974262,20.2302361,18.7514267
8,30.5787471,26.7336358,14.6270468,7.2782013,5.4334947,4.0155746,16.6220437,24.0648828,13.6780003,6.7421234,3.5294334,3.0287009,0,211.010788,100.5469055,98.0055389,34.6846886,31.7338905,28.6121693,26.7757339,24.1798401,24.3290558,23.9897671,23.9637756,22.0735817,83.2391052,70.2390213,55.0388412,40.3753662,34.3822594,30.8162079,27.7160606,25.6652184,25.0942097,21.1417141,19.3975182
9,35.7748345,26.9444242,15.8611218,7.7368049,5.4580792,3.5363053,30.5031476,23.2113231,9.6563532,5.1637868,3.1318684,2.0533769,0,207.2863312,99.9605713,97.2276917,36.657341,33.3491402,29.7750988,27.159544,24.4110126,24.970993,24.4173069,24.1330662,22.5047817,94.7163925,80.4174423,61.4840088,43.3559532,36.8154602,32.7533722,29.2449951,27.083334,26.7781487,22.1887531,20.0416203
10,36.0115803,36.6615182,16.6931655,7.7210981,4.897641,3.1105827,23.8974445,26.000697,11.8108128,7.4600125,3.7039123,2.415325,0,204.2765808,104.2301025,101.1981277,37.6990662,35.3805466,31.6510601,29.0376034,25.330267,26.0910149,25.5293674,25.4519691,23.3539848,108.712326,90.6700516,66.8776932,46.4349289,39.2454109,34.330677,30.1094036,27.925251,27.49753,22.9765396,20.6036949
11,37.2690118,31.9438124,17.6025406,10.004463,4.8857168,3.2443358,24.0696599,20.8310198,11.8433649,6.8855039,3.7766119,2.0310031,0,213.9707184,109.571228,103.9723892,39.398159,41.3928375,35.9598274,32.6795349,27.8836975,27.8761368,26.0412865,26.3370152,23.9704437,118.160881,102.802124,73.9535751,50.4226875,41.4558105,35.844799,30.930748,28.5817013,28.1287766,23.6431923,21.0984898
12,37.890144,42.0556945,21.0856854,10.1630027,5.8407582,3.4472376,17.0648109,23.0243798,12.5940159,6.6382054,3.3299324,2.5730525,0,221.3751984,113.1760712,105.5020447,41.2520218,43.6103859,38.1049767,34.8971481,29.9745483,29.1757679,27.5109787,29.3040619,26.6140709,124.6923294,110.6481171,79.4278564,52.5746765,42.0453758,36.2808037,31.2045937,28.8482037,28.181385,24.0478554,21.5185165
13,32.6758088,40.491424,24.0977694,11.6541598,5.8880871,4.181289,25.0389063,29.434404,16.3272516,9.8111568,4.1487321,2.9108813,0,223.9009705,112.4491501,105.8681564,41.8253059,42.2976303,37.1749496,32.9475479,29.2662125,28.7451973,26.9141006,28.5439701,26.3029766,130.4481201,119.752243,88.4876404,56.8185616,44.2859688,37.5237923,32.3593369,29.8669147,29.1160927,24.6546364,21.9827251
14,34.5264083,39.6231066,22.3783357,11.6629948,6.8795636,5.1823923,38.7152683,40.678921,28.0123103,15.6389496,6.2076507,4.1377919,0,217.6577301,110.2846909,105.4026566,43.8304596,43.4976006,37.5415382,33.8265724,29.8310719,29.7486458,27.3399982,28.5379353,26.2169094,142.2382355,132.4078827,100.5389709,64.4340744,48.863369,40.6247826,34.4720268,31.7371826,30.6045456,25.3651009,22.5351353
