Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.2136524,0.2993303,0.2456988,0.2538602,0.2365969,0.2212584,0.2343633,0.2543444,0.2155979,0.2745444,0.2246476,0.2042044,0,21.4615402,21.6877556,22.1263428,22.7103882,22.9517555,23.0891495,22.3957863,22.1333294,22.0825615,21.5831089,21.2917194,21.2793732,21.617733,23.1339569,23.1890717,22.8958511,24.6756096,24.8229351,24.5622082,23.7626228,23.1216393,22.6389866,22.2191391
1,0.3309589,0.3315303,0.2607653,0.2561508,0.2393204,0.2181532,0.3218577,0.2831951,0.2237359,0.2604036,0.2157714,0.1960324,0,22.811348,21.7928848,22.1146564,22.6854534,22.9506874,23.0524864,22.3799419,22.1402206,22.0659389,21.5551224,21.2625732,21.2574501,21.6405334,23.1366749,23.1963348,22.6598549,24.6631966,24.8048611,24.5709743,23.7585316,23.1228428,22.6379223,22.226408
2,7.7283806,3.9363067,2.2913699,1.8526737,0.7823875,0.7825518,7.4376506,5.2818788,2.4937554,1.3086269,0.6581397,0.3093296,0,43.2717438,34.4295082,29.457407,24.9163094,24.3711948,24.1294899,23.0629444,22.2119179,22.1305103,21.5942574,21.2797318,21.2795258,23.7611809,25.2049007,24.1870079,30.1566639,24.851223,25.8658981,24.6149197,23.7608852,23.1418476,22.6285381,22.2321739
3,16.5820622,9.3099185,6.2238983,3.4941899,2.2836612,2.5459568,11.9951772,8.9628109,5.2608453,3.8707314,2.2592203,1.8163096,0,104.9155426,79.6228485,58.956398,32.1816139,31.6290932,30.0467892,31.0723763,26.0627155,25.0783043,24.2220745,23.5589314,22.0084038,30.6720886,33.531105,30.2834454,73.2965012,27.4891605,39.6052208,25.9756317,23.9871082,23.5463085,22.7364674,22.3204536
4,21.4831059,13.136577,7.3820255,4.0974263,2.7470863,2.5017259,12.0385462,10.5242693,5.6638401,3.8924358,2.391263,1.9676106,0,175.9786835,122.713356,80.3407669,39.2970924,37.4668007,34.5901566,34.5270767,29.4490509,27.9151745,26.1540394,25.911335,23.8344555,41.6362152,44.5226784,35.9795761,78.9844971,30.3598881,48.8834686,27.8248482,24.727169,25.1608257,23.7089462,22.9761257
5,22.3208404,19.5506008,14.3025007,6.7472813,4.2537332,3.700505,11.8315349,10.2444405,7.5227269,4.6603107,3.1009288,2.2787812,0,227.5612488,149.4727631,98.9108963,41.6585999,45.213623,41.2441101,40.1301613,34.3774948,31.745039,29.3174133,29.3616734,25.501627,50.8865852,57.8068237,43.9505005,81.1682968,33.6944199,55.345356,29.1556644,25.6054707,26.6029491,24.9532108,23.8888302
6,21.1766869,16.8934244,12.9764888,5.7502316,4.2711779,4.3545016,12.9480343,11.3149672,7.8738011,5.5353922,3.3879229,2.5959817,0,262.7867432,187.2763824,142.1838226,50.3632736,52.1566887,46.5417595,43.0036545,36.290493,32.4448051,31.5576229,33.2626648,29.0643692,58.7823486,66.619278,52.3719826,81.0244675,37.4721756,66.376442,31.2064018,26.6946182,28.0527859,26.1279659,24.7862759
7,21.7380994,17.0141067,12.1708885,5.7130918,3.7395198,3.7322392,12.642182,10.3441281,7.2922581,5.1937125,3.116145,2.418578,0,295.0996399,224.569458,182.8444366,59.0555115,60.2214584,49.207756,48.3509941,38.4193459,34.1674919,33.1647263,33.703968,29.042654,66.0795135,72.3854675,57.9108391,81.1618423,39.7531471,69.2223282,32.4897575,27.7514668,29.0608768,27.1518059,25.6758995
8,25.198761,20.348836,15.7687238,7.3974742,4.1843961,3.8995441,13.3015421,10.5008133,5.8158583,4.267823,2.5597399,2.0363982,0,318.9959412,253.4647675,224.2473755,65.394371,71.0819855,56.484169,56.318512,44.4390488,38.1529427,36.1255569,36.9418411,31.9778271,73.1378403,78.2485809,62.2397881,81.2699356,40.7150917,67.1705704,33.4286041,28.6729107,29.8116417,28.1137123,26.4052315
9,25.2243551,24.9810359,21.7383139,10.9057999,5.6047029,4.1129735,13.8426459,13.622088,10.9104221,7.4404456,3.8394209,2.6541378,0,339.142395,250.2702332,224.111496,69.0250549,73.841301,57.6261024,57.6010284,46.4945297,40.8884163,39.3422089,38.8379974,33.2245712,80.1842575,86.6699829,69.6124191,82.2435989,42.5308723,68.5588989,34.6098709,29.5248146,30.7949772,28.7819405,26.8067341
10,27.4652655,24.6022124,16.2493166,8.3138633,5.3325805,4.2470295,15.9291483,15.8790133,13.0238662,6.6003871,4.0029949,2.8152769,0,339.2330017,240.3065491,226.4347687,73.1338272,72.6995392,58.1402893,58.8177948,48.0379066,42.0153542,40.3567581,39.3793106,32.6181984,87.9415054,100.1484833,78.4173279,82.2235413,44.8841095,70.3853302,35.8266792,30.3194294,31.2781982,29.3562031,27.1584702
11,36.5836571,28.9668005,14.2356235,7.0051334,4.9582189,4.1323624,26.3858667,28.9953098,16.9283258,9.4481016,4.1336004,3.1462032,0,339.1707764,235.2533722,216.2730865,69.983345,71.8878784,60.0240135,57.4345055,47.2994499,41.9957657,41.2054863,40.9135246,33.7474518,99.6420288,115.1207047,84.1455154,82.3888702,46.9750023,73.0843887,36.7857323,31.1465282,31.9481411,29.9173851,27.437336
12,31.5522729,20.5558361,11.163427,5.4280802,3.5631591,3.2496374,30.0946722,27.8290833,15.7463596,9.0855396,4.606401,3.1888086,0,350.617218,232.2476654,201.8027039,71.1736069,74.3758316,61.9511337,61.150898,48.9030228,42.9080925,41.2484818,41.6803398,35.5728073,115.7983856,132.7187805,91.122345,81.8986664,48.572094,75.2008286,37.8997002,31.9572334,33.0088234,30.7658691,27.8854046
13,27.5816241,17.9154361,9.4947275,4.8650923,2.9514909,2.4771111,28.4690912,32.1426205,15.9960341,8.2862591,4.4473074,3.3802555,0,345.1184082,243.8298187,189.4579773,71.2008362,74.8171692,62.5885658,59.9381485,47.938694,42.517334,42.2773132,42.4283257,36.3751564,128.195755,139.0764771,93.9861984,81.6315613,49.8036385,73.8271103,38.3142281,32.5875053,33.8383369,31.534708,28.5645027
14,30.9415679,23.9568595,13.3316293,6.9563771,4.1728399,2.9410056,24.3180229,27.515009,16.5274468,11.3738728,5.3627299,3.824003,0,351.0983276,264.059967,203.090271,75.4430618,76.4821548,65.6390839,63.6492729,50.2870369,45.2963791,44.1264954,44.6545258,37.0102921,138.530426,150.6644745,99.5122757,81.8794022,51.3956757,74.0215302,38.7148094,33.1697922,34.2594681,32.0353584,29.1773014
15,27.3102787,21.4192831,10.3712021,4.7980116,3.9105808,3.1080833,28.8024274,30.633469,19.3951227,11.1561712,5.2333923,4.1425523,0,358.206543,269.3547974,205.2180786,78.8648453,79.6914139,68.915863,66.6133118,53.3160896,48.0064659,46.1959343,46.6109543,38.7089577,146.9189301,158.6695557,103.9593353,80.9587784,53.3018188,80.5608978,40.3822098,34.0160561,35.1520996,32.6379204,29.5952892
16,24.2806891,14.8653654,8.7215666,4.3585505,3.2364945,2.5986704,32.1771402,29.7756872,16.2221083,9.8029355,4.4996342,3.60685,0,352.4291992,258.0185242,197.0959778,78.3286514,77.8898697,67.6165085,66.4904251,53.286274,48.4820633,47.7642288,46.8087158,39.4780846,155.5738068,161.3824768,107.3753052,80.8175659,54.1592293,80.6082916,40.7984276,34.5338707,35.2475891,33.1939087,30.2368011
17,25.5473628,17.1734831,11.1472842,5.3367849,2.8931948,1.7512393,34.0566314,33.1176817,19.3238337,11.0724778,5.019774,3.4027087,0,348.8863525,254.2875977,192.1312256,78.5776367,77.4642868,66.3724594,64.951767,52.7340279,47.9642067,46.996769,46.657692,40.807518,161.027298,162.0694275,109.8955383,80.6380463,53.8325844,75.017868,40.2968712,34.6292992,34.9309311,33.1713295,30.5386887
18,29.9943472,23.8586361,15.4683148,7.7994682,4.3783487,3.0452966,28.4857329,29.810871,23.3080459,15.7420455,6.8697238,4.4483278,0,378.4439392,266.6064453,205.7579193,82.8891907,78.4795227,66.8781586,63.8634491,52.2243652,47.6733894,46.14534,45.6256218,41.420929,166.9597473,169.1086121,118.0965958,136.021698,55.4359322,76.6987534,41.0976448,34.9642792,35.4602432,33.3912888,30.7449322
19,37.7505609,37.8599536,24.1397406,10.8776587,6.5916159,4.3933551,20.2917666,26.9562897,19.2019261,13.8924041,7.2327988,4.9445982,0,416.1806641,302.9987793,250.7151337,93.4244766,89.0327911,74.046875,70.1588287,55.0759201,48.9322586,47.0257759,47.0460815,41.6828194,172.3221283,182.2146759,129.529068,257.1493225,59.9595718,88.7181625,43.1881676,35.6453323,36.2510338,33.97929,31.1138935
20,34.990421,32.5504711,20.5031627,11.7189501,7.4335981,5.8909201,20.7214222,38.1154273,22.7002986,13.555986,6.9447057,5.2523572,0,431.6459961,327.3582153,271.2468567,97.497261,92.3506851,75.8544083,72.0765228,58.039032,51.6092186,49.8629837,51.2135963,42.8227654,181.1065826,204.9549408,137.4887695,288.7500305,63.729351,96.7321396,45.1404228,36.6310768,37.4282188,34.8209114,31.7103958
21,35.1593897,28.4967889,16.2803723,7.6414193,5.6396659,4.7031987,38.0682635,42.2720446,23.8414118,16.1486739,8.6169643,5.9660187,0,435.0758057,336.2277527,289.1177979,103.0441284,99.7298965,81.9740143,77.0295563,61.4957047,54.0054016,53.0897141,55.0607834,45.4827995,191.1887512,219.7340546,149.3403625,337.8274231,67.1386108,102.667305,47.1015282,37.9023285,38.610836,36.0744476,32.5170822
22,31.9435315,28.2446008,16.9062498,7.6047703,5.3143997,3.7666242,47.3305694,46.6045812,26.6307998,16.4426697,8.9026904,6.4614163,0,439.0826111,326.9354553,281.65802,99.6845932,96.8532639,83.2985458,80.8250504,67.5136642,58.554657,56.6851349,58.7149048,47.6176834,201.7544098,223.3153381,155.4269562,328.9472351,70.0180206,104.7981262,48.0119514,38.8232384,39.6389313,37.1631584,33.2079086
23,34.0676095,26.2679535,15.5072112,6.2881869,4.7378417,3.3418104,33.1970681,38.9804804,21.786887,15.7445119,7.342778,5.4164319,0,449.7305603,335.7064209,262.8920288,99.2173004,95.7393341,83.1707687,80.4204102,67.5044327,57.3603401,57.2449417,59.8151321,50.0907097,210.1620178,225.5549622,160.9384308,298.5450439,70.8243256,100.7545547,47.8200264,39.3528175,39.8777275,37.9769478,33.8268585
24,35.3873674,29.0466242,15.7221404,7.6779047,5.4634524,4.3635144,21.2178964,28.7898364,17.3506891,11.6510971,7.8099148,5.9242859,0,474.169281,365.9295654,269.513031,103.9650497,102.4735565,87.9807739,87.1109543,68.5739517,58.2197838,57.203022,59.953949,50.1931915,214.2134857,225.2810059,162.9592896,269.0622559,72.7563858,100.8701706,48.7158279,39.840538,40.2916832,38.2816353,34.2140503
25,35.4238627,43.7650005,21.3064569,9.039154,5.6371632,4.2693722,16.3454404,23.1744974,17.5513727,11.0678738,5.900791,4.0764622,0,494.5628967,398.7754822,295.223053,109.0986633,107.4544144,91.6245346,86.0502319,66.8529968,57.5216675,55.7751923,57.5037384,49.6986237,215.1793671,231.3592224,169.184082,271.6001587,73.1185837,99.0772247,49.2474861,40.4652748,41.0034409,38.7871017,34.6431732
26,29.5620904,34.079836,19.9037284,11.1214401,7.3928202,5.2238966,14.5587386,15.3362441,12.138775,8.7385983,5.6318027,3.7450599,0,528.836853,430.6537476,332.4681091,116.6725769,114.5139008,95.8623505,87.9865952,69.6578064,61.8687935,57.6109886,58.1521645,50.6023407,213.7439575,230.316452,173.0305176,287.5394287,74.0975952,100.3983307,49.6886139,41.0933228,41.5904274,39.0584221,34.9080582
27,25.9153972,26.3380361,16.9757405,11.1636519,6.9908564,4.9066307,12.9394614,12.603868,8.8775446,7.0599611,4.5113845,3.3747018,0,553.5744629,467.5837402,393.7105408,133.7372589,129.8250732,104.2777939,97.804245,76.2825623,66.8236771,62.0791512,62.3835526,52.7816811,209.8661499,217.526123,167.8886414,221.9475555,74.4758759,99.149437,50.2213669,41.6462708,42.1381226,39.4568748,35.2197113
28,27.4799585,27.6825888,20.9385557,13.2842232,6.856304,4.5659617,14.6195056,15.7000449,13.7507542,11.2166804,5.9420438,4.4854588,0,555.6671143,485.4725647,436.3913574,146.392334,143.6957397,112.2962494,101.5095825,76.7009201,67.0569611,62.8413429,62.6982956,53.6953659,207.3912811,211.0735321,167.5505219,210.2134399,75.8813095,98.6821289,50.8151665,42.0891037,42.3203735,39.6903038,35.5367661
