Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.1112758,0.3374832,0.2878237,0.2051039,0.1838212,0.2105794,0.2852966,0.2911701,0.2523817,0.296742,0.1756176,0.1553311,-661.1752922,18.3884544,18.6413231,19.3394623,20.1263866,19.6401749,19.3702297,18.9648724,18.478344,18.5552082,17.937645,17.428463,17.319212,21.1366158,21.6737938,21.5682945,21.2383308,21.5194073,23.299408,21.3418694,20.7810783,20.3951759,20.1506786,19.8491116,16.036232,21.5363903,21.7627048,21.8919239,3320.474121,3318.907471,21.5617218,20.611784,20.2963848,19.9864845,18.674078,19.3260555,20.412859,19.970747,19.9819164,20.748888,19.6279144,19.3571453,18.7974567,18.8220367,19.075737,21.0447254,20.4857655,19.982811,0,10
1,0.3793034,0.5225656,0.3837577,0.2581141,0.2073016,0.222546,0.5364333,0.4792863,0.3498752,0.3519896,0.2034294,0.166518,-661.1752922,20.5731125,19.6536655,20.2430496,20.1815548,19.6949921,19.6605644,18.9984207,18.4643898,18.5351601,17.9137955,17.4388523,17.3219833,21.1848621,21.7114372,21.5687847,21.2676601,21.5252075,23.3078423,21.3488045,20.7713223,20.3964233,20.1655884,19.8458042,16.1109848,21.5611401,21.7806358,21.9113598,3320.470215,3318.903565,21.5341644,20.6179638,20.2999115,19.9869747,18.770359,19.3147697,20.4103127,19.9784527,19.9907551,20.7641811,19.6789112,19.368269,18.7827415,18.8787956,19.0686245,21.0178928,20.4908104,19.9931717,0,10
2,1.5511839,1.5370008,1.0775886,0.6506186,0.3769641,0.3159308,1.6234318,1.5052467,0.999452,0.7651951,0.3747806,0.2543472,-661.1752922,42.9118958,49.4331779,36.8142853,26.6181946,22.7524109,22.8538723,21.2919331,19.5071926,19.2938137,18.1939373,17.4798431,17.3469753,21.6694412,22.083189,21.6411018,21.3589802,21.6252098,23.3380108,21.3740959,20.7943497,20.4167938,20.1817932,19.8430328,16.1988373,21.888876,22.049715,21.9487629,3320.470215,3318.903565,21.6450901,20.6269569,20.2986565,20.0054626,18.9222794,19.3192139,20.412096,19.992012,19.9659672,20.7560959,19.7224674,19.3806877,18.8058147,18.9322891,19.0768757,21.0481396,20.4922161,19.8104305,0,10
3,3.6390034,3.9971891,3.419364,2.2263629,1.1642569,0.8043643,3.459554,3.7269882,3.0015679,2.3344882,1.1409999,0.73951,-661.1752922,130.8377075,159.0440826,122.3051529,48.2437859,37.9314766,37.4593735,30.0202045,26.2447395,25.1424809,23.7967701,21.5090389,18.8775826,23.2325039,23.5786228,22.0309792,21.9924965,22.1970406,23.5054207,21.6798096,20.8904305,20.5079422,20.2452888,19.8632679,16.2347469,23.1048088,23.1664829,22.1917629,3320.470215,3318.903565,22.0521374,20.9203491,20.3093987,20.0112724,19.0618668,19.3132496,20.4061375,19.995924,19.9736748,20.775568,19.7541008,19.3838387,18.827219,18.954071,19.1100636,21.0645714,20.4908104,19.8287697,0,10
4,4.4276826,4.9255773,4.1079678,2.911405,1.9314551,1.4633596,4.1052981,4.4583428,3.6361708,2.7991594,1.7451669,1.1792904,-661.1752922,248.2620697,300.0228577,281.5956421,97.9707642,74.0602722,68.5737839,56.4717789,40.1356049,37.520771,32.519577,28.9444904,25.1981068,25.5666313,25.9517574,22.723217,23.0850048,23.3156166,23.9922657,23.2488365,21.4189281,21.6739445,21.1127796,19.9436226,16.2547913,24.9905357,25.1120281,22.7950134,3320.468994,3318.902344,23.9025593,23.2671452,20.3669624,20.5679684,19.1920738,19.3172951,20.3934822,19.9927521,19.9856873,20.7792301,19.7664986,19.3954792,18.8483715,19.0132446,19.0669727,21.0462227,20.4929562,19.719656,0,10
5,5.3597364,5.8967186,4.7948803,3.6344051,2.1161333,1.3785332,4.6872495,5.0515421,4.100689,3.1143663,1.9777209,1.2433176,-661.1752922,332.2463379,377.3694458,350.7463684,111.9496918,97.7548981,83.0713959,72.4275742,52.3580704,47.8426895,40.7063293,37.7052231,31.5693378,28.0516281,28.3471317,23.506979,24.1597462,24.3925438,24.4179649,23.5791035,21.7212505,22.2632046,22.0871868,20.2440796,16.2690792,26.85145,27.115551,23.4682846,3320.467285,3318.900635,24.7238979,23.0488834,20.4889927,21.0325546,19.2933388,19.3011551,20.3891258,19.9948483,19.9862633,20.8021965,19.7697334,19.383522,18.8622532,19.0381508,19.0694504,21.0392094,20.4916344,19.7080803,0,10
6,6.5048378,7.2369419,6.1015208,4.2690549,2.4233659,1.9663348,5.4212445,6.0758607,5.1547255,3.4785725,2.3362311,1.6857956,-661.1752922,379.6121826,384.3642883,356.5679016,110.884407,103.4834976,80.8112869,74.4459991,55.1518135,48.9431419,42.2678566,38.6007767,32.174366,30.9748898,31.075779,24.4562283,25.4609795,25.5099545,24.8147449,25.1200562,22.1773052,22.742733,22.6983757,20.5812435,16.1995678,28.9079227,29.8818474,24.1797009,3320.467773,3318.901367,29.1892986,25.1670551,20.5916328,21.4324703,19.3505001,19.2887897,20.3999214,20.0007172,20.008831,20.8061638,19.7718029,19.3878727,18.8844738,19.0425034,19.0631599,21.0242004,20.5069904,19.8711529,0,10
7,6.0221036,6.4792949,5.7056391,4.4640801,2.909977,2.7150037,4.8582041,5.4352803,4.2007867,3.8574128,2.7893352,1.9088198,-661.1752922,391.8518677,377.5959473,340.1391907,101.6692886,95.0084915,73.6823883,62.728981,50.3001099,45.1781998,40.2257347,36.9535294,31.1862621,33.7654381,33.4975471,25.5332451,27.1469002,28.019125,25.9560223,28.0807438,23.0611572,24.2966633,23.7588978,20.9381371,16.2287846,30.7928886,32.7423668,25.1549129,3320.468262,3318.901856,32.8663979,27.7220192,20.6958866,22.2446995,19.4043446,19.2738705,20.3872967,19.9766865,20.0125217,20.7813911,19.7268906,19.3794117,18.9113579,19.0796547,19.0337811,21.0487633,20.5137196,20.0335445,0,10
8,5.656439,6.2563303,5.0527031,3.3227249,2.6434487,1.9561102,4.7278449,4.9084612,3.9680393,3.1789862,2.5716593,1.8753384,-661.1752922,409.0240173,378.7548218,326.6817932,108.7655106,98.5770721,74.3790436,57.5728073,49.3276062,42.6687469,38.6569862,35.5254517,31.2274361,35.7337418,35.144619,26.5128727,27.8160381,28.7056541,26.3957024,28.6985092,23.5977058,24.91366,24.097311,21.2933598,16.2297745,32.1843491,34.8462067,25.9895115,3320.468994,3318.902344,33.816906,27.8496723,20.8535805,22.5306015,19.4171104,19.2611828,20.3894234,19.9651394,20.0309696,20.7782059,19.7305374,19.3891373,18.8716736,19.0935669,19.0366707,21.0512695,20.532547,20.0888195,0,10
9,5.5353407,5.6385774,4.4139113,3.2122869,2.5682231,1.8937022,4.8972866,4.8380935,3.705995,3.3146386,2.4381795,1.6714351,-661.1752922,418.4617004,373.3930664,344.2615356,121.0101318,106.7426147,82.6051178,65.6415787,51.9974327,43.6055565,37.7242088,33.3990135,29.994339,37.1268387,36.4814682,27.4048653,28.3799877,29.2388763,26.6733437,28.188242,23.7553539,25.1405678,24.4341259,21.5904846,16.3370152,33.2391891,35.5572128,26.8581886,3320.467041,3318.900391,34.014595,28.044035,21.0021667,22.9489994,19.4279919,19.2359734,20.3767662,19.9528503,20.0296974,20.7564354,19.7136936,19.393177,18.8570919,19.0512371,19.046423,21.0325394,20.5510139,20.016552,0,10
