 Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.2115195,0.3209773,0.2360131,0.1980686,0.1478278,0.1755885,0.2888266,0.2700598,0.2211317,0.2321221,0.1504264,0.1242299,-661.1752922,19.3646736,18.9457054,19.3746929,20.3526382,20.3831291,20.1043015,19.6362648,19.3997402,19.5917015,19.1366806,18.7198734,18.6737232,23.7225685,24.190197,23.0266247,22.2382431,21.9323063,22.0105572,21.7343998,21.3362579,21.1278381,20.9549961,20.6458321,17.0254002,24.8737144,24.1835613,23.7560349,3319.350098,3317.775635,21.6838531,21.2897797,21.2296257,20.9403419,23.6421928,23.2919922,23.467207,21.8345604,21.1000195,20.6829033,20.7584381,20.3585873,19.6654301,19.8362198,19.9359875,20.3236618,20.0036011,21.0359974,0,10
1,0.5169905,0.4836008,0.3257976,0.2260462,0.1677751,0.1842226,0.5359291,0.4267451,0.2930718,0.2719135,0.1700384,0.1248646,-661.1752922,20.8971615,19.0716438,19.6271362,20.4188004,20.3627338,20.0914993,19.5972538,19.4044037,19.5902882,19.1428661,18.7119961,18.6525517,23.7173786,24.1914387,23.0263538,22.2311459,21.9263477,22.0227909,21.7572517,21.3462238,21.118845,20.9607925,20.655426,17.2176781,24.8670197,24.1772366,23.7527351,3319.350098,3317.775635,21.7055626,21.2766151,21.2236652,20.9298267,23.6430569,23.2527256,23.4487724,21.7736149,21.0997467,20.6746597,20.7980042,20.3556576,19.7244167,19.8340473,19.9474926,20.269083,20.0147209,20.9852753,0,10
2,3.7217105,3.4468126,2.2470927,1.1529065,0.6663104,0.4380202,3.1547103,3.0737419,1.885357,1.2828119,0.4740239,0.2681523,-661.1752922,81.7401123,114.3441238,59.8974266,29.6023388,24.0453472,23.228035,21.7611809,20.3610935,20.1888008,19.3506393,18.7556896,18.695837,24.6835823,25.09552,23.1766739,22.4104099,22.2473812,22.0625496,21.8269672,21.3571873,21.1582394,20.9611397,20.646286,17.3040161,25.6218681,24.7722282,23.8064251,3319.351807,3317.7771,21.7968502,21.3080578,21.2232513,20.9442101,23.6240978,23.2613983,23.4290638,21.6882553,21.0708923,20.6294575,20.7911415,20.3495541,19.6560059,19.8526287,19.9474583,20.2804432,20.0055733,20.9905529,0,10
3,6.487301,6.9390243,6.022652,4.1612348,2.5501159,1.9062747,5.2217976,5.7481818,4.6999729,3.6375736,1.8783931,1.1680242,-661.1752922,192.4295807,273.9458618,209.9261322,86.2361679,66.7180481,55.9139328,53.0135803,38.9869041,34.9930916,28.2026691,26.4154911,22.8379078,27.5375061,28.3019638,23.9390564,23.745676,24.1214828,23.0102463,24.1288395,21.6842995,21.9846821,21.4165173,20.6735554,17.2111282,28.2197857,27.0826015,24.4194756,3319.352295,3317.777588,23.3961906,22.8542061,21.2311687,21.0742741,23.6312408,23.2693043,23.4059315,21.6480083,21.0879097,20.5861378,20.7626381,20.3248386,19.5830193,19.8419437,19.9154987,20.2792549,20.0127411,20.9104614,0,10
4,7.319822,7.7499772,7.8752251,6.9153105,5.0707629,3.063398,5.9020856,6.5923592,6.1410536,5.9485977,3.2410868,2.3895396,-661.1752922,271.0596313,379.2843323,332.2436523,117.8527451,105.96315,93.4769287,88.5786285,61.5874786,52.0907516,41.3577423,40.7702942,30.0880146,31.1157818,32.0656204,25.0662575,26.1266918,27.2057934,23.9148579,26.5045052,22.6709461,24.7515659,23.1891384,20.949398,16.7887459,31.2503433,30.4915085,25.6242886,3319.356445,3317.781738,27.6314468,24.7567768,21.364336,21.9892445,23.5324879,23.2875195,23.3828926,21.6146755,21.1004715,20.5615082,20.7638226,20.2801056,19.398037,19.8571815,19.9216213,20.2903118,20.034811,20.6802158,0,10
5,8.7552276,9.531801,10.134903,7.6929569,5.4622011,3.7739707,6.2374389,7.0218364,6.809999,7.1344466,4.3604906,3.6488207,-661.1752922,303.2906799,403.9098206,377.2920227,126.8984375,119.1635895,101.5400925,94.8103638,68.0328369,62.1509933,52.722908,52.9034195,38.0734711,34.9730186,36.1353264,26.5829315,29.0226784,30.41535,25.3733521,31.5313721,24.0360184,27.8463078,25.2969799,21.4972763,16.4593487,34.3170357,34.5557442,27.1934929,3319.356201,3317.781494,37.8840446,30.5637455,21.5071907,23.3531342,23.1976871,23.2408409,23.3695354,21.6301136,21.0510578,20.5712662,20.7656078,20.2431812,19.332571,19.8650475,19.8979568,20.2845039,20.0430546,20.5176964,0,10
6,11.4824269,13.4964594,12.4090325,8.6736455,5.6874363,4.2394557,7.2114763,8.3951785,7.5331436,7.5497897,4.9342253,3.9168306,-661.1752922,326.65802,387.7288818,346.2952881,122.5937958,119.176239,99.783165,86.794693,65.342392,60.2083969,54.4266167,50.160511,39.5619125,39.859127,42.7771149,28.9853001,32.4415512,34.6853752,26.7405186,33.6329193,25.0885029,29.3643532,26.3893795,22.1002789,16.1451664,38.1999054,44.5142784,28.8832073,3319.356201,3317.781494,46.4798088,34.1712952,21.7861938,24.6038704,22.754509,23.1832409,23.3463974,21.6406822,21.0221825,20.5947495,20.7602444,20.2431297,19.3423977,19.8201694,19.9267769,20.3144512,20.0597134,20.466032,0,10
7,12.3587897,13.3484477,11.1259143,8.739581,7.0882375,4.9183701,6.7611447,9.1725065,6.1892307,6.7289692,4.1657235,3.0849528,-661.1752922,299.2580566,327.8803711,298.8383484,107.2452011,105.1066895,89.8129349,78.434494,57.4407959,51.8388443,49.4349747,44.1184807,38.2645607,44.8280907,48.414856,31.4950352,36.003727,41.0693893,28.6014614,36.631813,26.2261124,30.8626385,27.7766819,22.753027,15.9993315,42.0883713,51.2762985,30.722168,3319.35376,3317.779053,48.9019356,36.0507965,22.111063,25.3610096,22.8230953,23.1438866,23.3388519,21.6270523,21.029789,20.5590916,20.7625427,20.2401161,19.4108143,19.8084183,19.9359188,20.296627,20.0703697,20.4983139,0,10
8,11.3961651,14.4673303,10.3024802,6.0622391,5.1021192,3.4270155,5.8166084,5.5903238,6.2823297,4.4865112,3.5147245,2.1638972,-661.1752922,271.6125488,290.2373352,265.6903992,96.5609131,93.7727432,77.9821091,66.5474091,49.9571724,46.1704521,45.5383835,41.1358299,36.0207367,50.1928749,56.0224419,33.8962097,38.9864311,43.7570114,30.129797,38.2175179,27.1223946,31.2737083,28.1314507,23.1859512,15.9232912,44.5906715,56.5101128,32.0367126,3319.355469,3317.781006,44.3890495,34.4970322,22.3760796,25.3913651,23.0182858,23.0944118,23.328764,21.6040459,20.9794769,20.5307484,20.7368736,20.2208881,19.4474201,19.7842312,19.9033756,20.2473869,20.0841675,20.6726151,0,10
9,9.7884731,9.8765302,6.8414739,5.1811901,3.8956387,2.4264424,4.703639,5.037234,4.1241265,3.0352768,2.2090069,1.4331778,-661.1752922,244.4905701,251.0150452,228.1837006,87.9105453,88.414444,74.1474609,61.1395912,45.6751251,42.7198563,43.3910561,38.9231987,34.2561913,53.930645,58.8632736,35.914669,41.0504684,43.4428558,30.2764187,35.7151375,27.0778255,29.967762,27.8476124,23.5303383,15.9780712,45.5807228,57.2687035,33.1593094,3319.354981,3317.780518,40.573082,31.2508869,22.5919743,25.134716,23.182579,23.0829906,23.3181038,21.5872955,20.9392109,20.5211983,20.6446095,20.2208271,19.54006,19.7864494,19.8808994,20.2754269,20.113348,20.7131519,0,10
