Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.232374,0.3377538,0.28644,0.2427346,0.1616658,0.1860403,0.3198405,0.2939848,0.213482,0.2446186,0.160486,0.1351788,-661.1752922,19.4271259,19.6395664,21.1344337,20.0595226,19.5854855,19.464386,19.2903481,19.0238533,19.2708626,18.879549,18.4474564,18.3650036,20.0702076,21.2565594,20.7784214,21.1332817,20.9124107,21.2574558,21.2203732,21.0243816,20.8999901,20.9206924,20.8432751,17.1199055,21.5854492,21.7441158,21.7416344,3319.975098,3318.404785,21.4890213,21.2455387,21.3176956,21.2867565,19.2421894,19.5842361,20.2596951,20.2377338,20.2109642,20.0871696,20.3673344,20.2111721,19.7508621,19.9150982,20.2510815,20.0660114,19.7790775,20.6518154,0,10
1,1.4826959,0.6949303,0.3556232,0.3045798,0.1994994,0.19422,1.0044151,0.5904672,0.2968153,0.2876985,0.1861844,0.1453343,-661.1752922,25.4291725,20.2576027,21.6557541,20.5731888,19.9661179,19.6755943,19.3686123,19.041338,19.2697315,18.8890591,18.4364338,18.3448677,20.0584545,21.3373508,20.795126,21.1932449,20.9697132,21.2551899,21.2230358,21.0118732,20.8984833,20.9320774,20.8387318,16.9836769,21.6381474,21.7608089,21.7556648,3319.97583,3318.405762,21.500021,21.2318916,21.3196011,21.2928333,19.3060303,19.5690536,20.253252,20.2366047,20.1904774,20.1023674,20.3286304,20.2028294,19.7075672,19.9306831,20.2564068,20.0808334,19.7695866,20.7762718,0,10
2,13.519532,10.9061184,6.450973,3.7399347,1.0931532,0.8346595,4.8032364,5.1608465,3.4942437,2.6648224,1.5027224,0.8555841,-661.1752922,74.5647049,67.3491364,57.2895584,30.9647923,24.4189892,22.2899895,21.5716038,19.5779762,19.4966431,18.9220543,18.4546261,18.392313,20.060667,24.5340309,21.0739536,21.9131355,21.9637127,21.5061417,21.46908,21.0448055,20.9424,20.9297371,20.8265285,17.0376511,22.9545059,26.9488869,21.9394112,3319.974854,3318.404541,22.086132,21.2925091,21.3066425,21.2901134,19.4302006,19.559494,20.2486343,20.2365398,20.166502,20.1095181,20.3073101,20.2122536,19.7029438,19.9591064,20.2783718,20.0697536,19.7759819,20.8748474,0,10
3,25.7521161,23.0880006,17.1047288,10.462903,6.648808,3.9927775,7.5816256,9.2923662,6.9654352,6.9621269,3.9801706,2.6967433,-661.1752922,170.3139343,202.6250458,194.0386963,100.242012,73.9617081,63.2822037,59.5303764,42.3794327,38.083683,28.712204,25.5910149,21.4083233,20.0744476,42.3808365,23.2573223,27.1350822,31.6485043,23.296278,27.6552162,21.8259239,22.9082832,21.5949459,20.8801365,16.9148483,27.2139816,37.4005966,23.3979607,3319.97583,3318.405762,28.823225,23.3299351,21.3272438,21.4354782,19.5340309,19.5467014,20.2574844,20.2248898,20.1734562,20.0788803,20.3210983,20.2169323,19.7091427,19.9922752,20.2933025,20.0713959,19.7715454,20.9553947,0,10
4,25.8016455,24.7959536,20.02011,13.7130494,9.7884102,5.8593374,8.0148112,8.4786814,8.0202854,7.2214286,5.689117,4.1181949,-661.1752922,253.0282745,326.386322,304.8078918,149.3011932,133.871994,119.3179855,114.2070007,81.9857025,74.3992462,54.4895821,52.9045029,36.2648048,20.0683765,58.6153488,27.1642456,33.4358597,40.7278862,25.9900475,35.7291718,24.026123,28.7217026,25.2874737,21.3655968,16.7957211,32.6036758,47.6194077,25.8450451,3319.976318,3318.40625,43.658596,32.9237633,21.4846249,23.2306938,19.6012669,19.5489807,20.2354774,20.2123604,20.1890182,20.0823002,20.3279305,20.2256622,19.736496,20.0055714,20.2967224,20.0619011,19.8007946,21.0426407,0,10
5,26.460932,23.8567418,19.8140978,12.4656738,10.7703179,6.6692783,7.5854078,8.5882205,7.8974014,7.6232886,6.1888841,5.7287133,-661.1752922,302.0495911,378.7120972,348.458374,160.616333,153.6379242,128.2993927,132.5299072,91.1710587,80.7570114,64.8385773,59.6016922,40.0599747,20.0802155,74.7027359,31.8991108,39.4323463,49.2574959,28.6010761,39.6634712,25.3383217,30.5002365,27.1025486,22.1397038,16.7607784,36.7933502,53.961544,28.3951588,3319.977783,3318.407715,48.1878777,34.5751572,21.7345695,24.6601772,19.5633564,19.5429802,20.2457981,20.2200317,20.2023773,20.0869331,20.3617859,20.2189064,19.7529049,20.0265369,20.3248997,20.0680523,19.8863316,21.1705379,0,10
6,32.8762964,29.0165888,22.1429588,14.6767224,10.0716471,5.9925604,8.973972,11.7066804,10.3070693,9.4775341,7.1759072,5.5054512,-661.1752922,345.0741882,430.2828674,408.2585754,191.0950317,188.395813,146.5089417,155.943161,112.0632553,94.9937286,81.232254,77.099472,50.6067009,20.0709209,87.5184708,36.6549377,44.0120163,51.8389015,30.145649,41.6131744,26.7882748,32.2064743,28.8284225,22.8217564,16.6981621,41.5862923,62.0069237,31.4220695,3319.97583,3318.405762,54.4178009,38.4666595,21.9697895,26.383522,19.5403748,19.5382328,20.2433319,20.2133865,20.2143326,20.0738316,20.3790531,20.217577,19.7751255,20.0312862,20.322813,20.0819168,19.9810925,21.2886753,0,10
7,36.6021417,38.2807182,29.8814871,18.4280114,13.9066815,8.8390927,10.0503803,10.1304449,10.307232,13.1667869,11.1716769,7.4248394,-661.1752922,378.1151733,467.4840393,426.4249268,201.0691528,201.4554749,155.9221191,152.8734283,117.6179657,99.8398056,90.9115372,87.4770279,58.7395897,20.0774288,103.1800613,41.978714,49.7635651,56.7917404,32.9257698,46.4141121,28.0435772,33.2802773,29.5858555,23.5653324,16.7126865,47.313324,71.1530151,34.6671791,3319.976318,3318.40625,64.8774643,43.2392769,22.365881,27.4325199,19.4674969,19.5394306,20.234663,20.2183819,20.2223606,20.0700932,20.3741779,20.210804,19.7835407,20.0415993,20.3232517,20.0584259,20.0559673,21.2553616,0,10
8,34.5280674,32.7961652,28.082877,18.1063508,15.6220022,9.9144191,10.1714101,11.3367811,9.1249404,10.5616025,10.2685119,8.473394,-661.1752922,395.2849121,500.1031494,447.8395081,208.7419586,204.7744598,154.9922028,142.843399,117.8747406,105.7127991,91.3124237,88.6003113,62.3133163,20.085844,119.154747,47.5371284,56.1117668,65.7620316,37.0523033,53.6820908,29.4584961,33.6480064,29.8082867,24.1166553,16.7180843,54.6264992,84.0126038,38.6718102,3319.977051,3318.407227,76.5928802,47.0167198,22.7607021,28.4149303,19.3528347,19.5341816,20.2525654,20.2230053,20.2042122,20.0766144,20.3882866,20.2287102,19.8375435,20.0466061,20.3069878,20.0558357,20.1646404,21.0202732,0,10
9,29.3457249,29.4381653,25.0488082,18.4206488,14.8566442,10.7412495,11.5390463,14.4456242,12.1631891,14.351978,10.1570956,7.2918659,-661.1752922,421.2566223,543.618103,508.7081909,235.4345245,221.6684265,180.8398743,153.9629211,124.4257965,113.0328674,94.1607666,88.2092972,60.9154396,20.0768375,124.4959564,52.5583229,61.0008354,68.9368439,39.0279198,56.35495,30.7189484,35.8211632,31.7054253,24.9115601,16.8312321,64.1454773,99.5561523,41.9905243,3319.976563,3318.406494,80.8209763,49.6376305,23.2648449,29.7193928,19.3783875,19.51301,20.2454548,20.2310791,20.1982403,20.1116543,20.3443623,20.2193222,19.8452396,20.0835495,20.3158245,20.0859413,20.2672634,21.0636158,0,10
