Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.2596271,0.3997185,0.3268737,0.2996715,0.3028426,0.297072,0.3561495,0.3446495,0.2792372,0.3274899,0.2808629,0.265296,0,19.0160446,19.2879753,19.4334755,19.6206608,20.4005737,20.096035,19.2919979,18.3514671,18.1501751,17.4617996,17.0142593,16.8293381,26.5561581,25.8250217,25.3986168,25.8040867,26.4049835,26.3984108,3316.497315,23.698576,22.4227028,21.6427765,20.8629436
1,0.2499108,0.4021538,0.3156507,0.304089,0.3043147,0.304873,0.3637138,0.3441804,0.2890028,0.3307785,0.2802712,0.2593456,0,19.1318035,19.474453,19.470602,19.6258583,20.404253,20.1251526,19.2842789,18.3562908,18.1660385,17.4590187,16.9867249,16.8216076,26.597908,25.8332157,25.4083233,25.7888527,26.3969383,26.420187,3316.496582,23.713213,22.4343243,21.6555462,20.8696537
2,0.2821404,0.388895,0.3333308,0.3142329,0.3002664,0.3007832,0.3697653,0.3437113,0.2937229,0.329463,0.2724095,0.2634712,0,20.0018616,19.5899944,19.3881531,19.6323395,20.4088306,20.1498528,19.3127937,18.3608723,18.1786213,17.4864311,16.9924603,16.8475056,26.6220665,25.8574123,25.3788681,25.7858524,26.4124393,26.4277554,3316.493164,23.7196674,22.4604702,21.6646633,20.8765011
3,0.3063127,0.3864597,0.3256438,0.3191413,0.3028426,0.2955573,0.3826247,0.3493407,0.2937229,0.3156512,0.2792567,0.2554579,0,20.6635399,19.8701725,19.3624859,19.6260567,20.4036903,20.162178,19.3243656,18.3724518,18.1593876,17.483181,17.0048199,16.8507252,26.6607113,25.8878021,25.3926468,25.770155,26.4178982,26.4245338,3316.494385,23.7243805,22.4678402,21.6671143,20.86833
4,0.3072606,0.3943067,0.314882,0.3251949,0.3116754,0.3046458,0.3964927,0.3615378,0.2930718,0.3562647,0.3098582,0.2681523,0,21.8157463,20.2603683,19.4580002,19.6273174,20.4167194,20.1831818,19.3552551,18.3980408,18.1812,17.4536304,16.991993,16.8615036,26.7068481,25.8837681,25.3659363,25.811842,26.4338779,26.437109,3316.495606,23.7347183,22.4834881,21.6732998,20.8661766
5,0.301573,0.3970126,0.3357907,0.3680612,0.3255133,0.3009347,0.3917019,0.3577848,0.2873752,0.3730362,0.3337814,0.2884633,0,21.3418655,20.0985928,19.4485092,19.5866833,20.4433079,20.188509,19.3727398,18.4269409,18.1990986,17.4699993,17.0217037,16.8949986,26.7592812,25.8879337,25.3719902,25.787672,26.4546566,26.4314575,3316.496582,23.7282982,22.4918289,21.6691437,20.8832569
6,0.316503,0.3989067,0.3382505,0.3243769,0.3208025,0.3046458,0.3949798,0.3648216,0.3238336,0.3319294,0.3148457,0.2875112,0,21.0963993,19.9211044,19.4480247,19.6188679,20.4739552,20.1443615,19.3756752,18.4416599,18.2100296,17.5102234,17.0246468,16.893755,26.8198986,25.8866978,25.3813381,25.8340435,26.4715385,26.4385281,3316.497315,23.7486267,22.4951344,21.6766205,20.8694992
7,0.3283521,0.4054008,0.330256,0.3253585,0.2975429,0.2893468,0.4148993,0.360365,0.3360406,0.3345603,0.291007,0.2699771,0,21.1211739,20.0120144,19.4390278,19.6349449,20.4706631,20.1592922,19.3678226,18.4558487,18.2135792,17.5282249,17.046854,16.9052906,26.8988304,25.8977757,25.3916645,25.8405914,26.458828,26.4375172,3316.49292,23.7487469,22.5122948,21.6714344,20.8658276
8,0.3468368,0.4116244,0.3483974,0.3240496,0.3054924,0.2964661,0.4358274,0.3716238,0.3373427,0.3362046,0.2924441,0.256648,0,20.912569,20.0207558,19.444355,19.6645832,20.4862347,20.2120743,19.4008789,18.4668808,18.2093983,17.5278549,17.0533333,16.9186192,26.9757671,25.9181747,25.4702797,25.8625145,26.4467545,26.4356384,3316.5,23.7635136,22.5202579,21.68964,20.8817692
9,0.3724309,0.4435538,0.3905223,0.3443375,0.2964389,0.2995714,0.4199422,0.3983635,0.3241591,0.4235154,0.3019965,0.2587108,0,20.8801441,19.973856,19.4460754,19.6894722,20.5035152,20.2225246,19.3725891,18.4625168,18.2194939,17.5348988,17.0257378,16.9188175,27.0773849,25.9508533,25.5078888,25.8562889,26.4371357,26.4309292,3316.497803,23.7565212,22.5147724,21.6868057,20.8918304
10,0.385465,0.4416597,0.3630028,0.3620076,0.3026954,0.2946484,0.4673455,0.3927341,0.3189507,0.3779691,0.3116334,0.2624398,0,20.9109612,19.9184875,19.5301533,19.6907024,20.518795,20.2397003,19.322916,18.4261189,18.2085495,17.5452633,17.045248,16.9272804,27.1656914,25.9671841,25.5397205,25.8616676,26.4606342,26.4212036,3316.49585,23.7456398,22.49366,21.6709766,20.8862324
11,0.412481,0.4524832,0.3517797,0.3224135,0.3202873,0.2809399,0.4842393,0.4054003,0.307232,0.3516607,0.310619,0.2743408,0,20.9976788,19.9943104,19.5588837,19.7057457,20.5091534,20.2384109,19.2779408,18.3845387,18.2061157,17.5317993,17.0534763,16.9625168,27.2854195,26.0187778,25.5671616,25.9197083,26.4770966,26.4316292,3316.497315,23.7432213,22.4848042,21.6742382,20.875082
12,0.4397341,0.4681773,0.3507035,0.3243769,0.3140308,0.291013,0.5006287,0.4084495,0.3322971,0.401811,0.3298083,0.2870351,0,21.063448,20.0130768,19.5415573,19.7256508,20.5036125,20.238945,19.2731552,18.3911533,18.2047501,17.5152168,17.0311661,16.945549,27.4092026,26.0540504,25.5869637,25.9111729,26.4972649,26.4381962,3316.496338,23.7312679,22.5027542,21.6743927,20.8646145
13,0.4565599,0.5009185,0.3404029,0.3292852,0.3211706,0.2945727,0.527104,0.4199429,0.3160211,0.3478789,0.3226229,0.2965559,0,21.4166622,20.4985619,19.5185337,19.7455597,20.507946,20.2391014,19.2820511,18.3715439,18.2144203,17.5115662,17.0134277,16.9224949,27.5329762,26.1059437,25.5893841,25.9487305,26.5253563,26.4625053,3316.49585,23.7363434,22.4941998,21.6722717,20.8715992
14,0.5193603,0.485495,0.3556232,0.3232316,0.2983526,0.2816972,0.5717337,0.4246341,0.358827,0.348701,0.291007,0.2602976,0,21.7346439,20.7850895,19.4770145,19.7260895,20.46381,20.1877518,19.2891712,18.4041367,18.2173653,17.5107098,16.9897251,16.8904343,27.6866283,26.1787224,25.6316051,25.8980045,26.5120449,26.4805298,3316.49707,23.7335968,22.4929695,21.6623211,20.8639145
15,0.5129618,0.4863067,0.3497811,0.3232316,0.2953348,0.2729874,0.5883753,0.4567687,0.350038,0.3595532,0.285935,0.2462545,0,21.6781635,21.0788536,19.4789143,19.7352066,20.454319,20.2078724,19.3431129,18.4299831,18.2093754,17.5160351,17.0095215,16.8953819,27.8735065,26.2700977,25.6535225,25.8930969,26.4969444,26.4884529,3316.49707,23.7248936,22.49259,21.6554985,20.8623962
16,0.5432956,0.499295,0.3876012,0.3384475,0.3017385,0.265868,0.6120769,0.4584106,0.3733127,0.3789556,0.3271877,0.248476,0,21.7465553,21.1442833,19.5322762,19.7433434,20.4305611,20.2346077,19.3713818,18.4487686,18.2209511,17.5234241,17.0165367,16.9229374,28.0518456,26.3310432,25.6774864,25.91819,26.4755821,26.4523792,3316.496582,23.7174873,22.4738159,21.6590691,20.8636951
17,0.5850046,0.5488126,0.4258826,0.3998019,0.3790987,0.2922248,0.6113205,0.4757679,0.3573622,0.3868481,0.3593953,0.2855277,0,21.8691597,21.8504372,19.9785042,19.7628899,20.4899616,20.2678127,19.367382,18.4588299,18.2196045,17.5148487,17.0296574,16.9429016,28.2576637,26.4074802,25.7528439,25.9569035,26.509737,26.4627438,3316.497803,23.7116089,22.4770203,21.6626568,20.8513527
18,0.6238698,0.5515185,0.4827666,0.3847496,0.3751976,0.3306239,0.6345179,0.4816319,0.357525,0.4143075,0.3544923,0.3265464,0,25.3662148,22.4821053,20.7015915,19.9569969,20.535553,20.2913837,19.408062,18.4885082,18.2291546,17.5247746,17.057869,16.943697,28.4595375,26.4909401,25.893795,25.9490051,26.6079273,26.530714,3316.49585,23.7192116,22.4725113,21.6615543,20.8627663
19,0.662498,0.5526008,0.4306486,0.3759145,0.3436941,0.3584955,0.6569588,0.4865576,0.3653375,0.3926031,0.3455317,0.3484441,0,27.6711483,24.3961067,21.3548183,19.9479351,20.5598984,20.3032036,19.4141903,18.5026226,18.252037,17.5461292,17.0841904,16.9783726,28.6903725,26.5898876,25.9769459,26.0657921,26.6385555,26.5764332,3316.49585,23.7438526,22.4827843,21.6544037,20.859024
20,0.6871442,0.562342,0.4225003,0.4017652,0.3333156,0.3282003,0.6748611,0.49594,0.4153049,0.4578807,0.4093551,0.3374159,0,27.2511425,24.3901176,21.706934,19.9145775,20.6081715,20.3214874,19.4305859,18.5095272,18.2939606,17.5701599,17.0804462,16.9674015,28.9467678,26.6850681,26.076725,26.1568966,26.6786289,26.6074409,3316.496582,23.7726707,22.5207119,21.6923695,20.8609848
21,0.7288532,0.5620714,0.4360295,0.3620076,0.3219802,0.306918,0.7225166,0.4950018,0.3711968,0.4039486,0.3664962,0.3280538,0,26.2008286,23.5984879,21.7135983,19.9147949,20.6372356,20.3122158,19.4399204,18.4869404,18.3109207,17.6057549,17.097414,16.9725647,29.1802979,26.7690659,26.14077,26.2776051,26.7067795,26.6329403,3316.496826,23.7876434,22.5224438,21.699789,20.8801689
22,0.8117973,0.6072597,0.4217316,0.3695337,0.3276479,0.3061606,0.7974038,0.5266672,0.3747776,0.3919454,0.3407978,0.2864004,0,25.8397484,23.2935314,22.0400314,19.9184875,20.6511784,20.3462772,19.4398136,18.4647903,18.2811337,17.6155396,17.1315746,16.969038,29.4822979,26.8478298,26.1784286,26.2892132,26.6821404,26.6143475,3316.497315,23.8004017,22.5223408,21.7163639,20.8880291
23,0.8513734,0.6308008,0.4407955,0.3726423,0.3449454,0.295633,0.8311912,0.5322966,0.428163,0.3759959,0.3211858,0.2753722,0,25.7977791,22.8377495,21.7225456,19.910841,20.7251415,20.3177528,19.4165936,18.4636002,18.2643394,17.5922852,17.1022091,16.9682255,29.8015633,26.939476,26.2078362,26.2782097,26.656044,26.5991993,3316.497803,23.8026199,22.5135803,21.7121429,20.8986015
