Time (s),10F,10B,12_5F,12_5B,15F,15B,17_5F,17_5B,20F,20B,22_5F,22_5B,25F,25B
,,,,,,,,,,,,,,
0,28.26333333,26.9,27.72666667,26.55,27.19,26.68,47.15,26.32666667,29.14666667,26.79,27.23,26.73,27.59,27.34
2,29.67333333,26.92333333,33.62,26.61666667,27.65,26.84,57.06333333,26.33333333,33.44333333,26.64666667,27.855,26.73,27.74,27.49
4,35.01333333,26.92333333,43.28333333,26.62,32.27,26.87333333,66.91666667,26.40666667,47.94333333,26.78666667,31.64,26.77,28.595,27.56
6,42.27,26.95333333,51.53666667,26.67333333,38.95666667,26.92333333,76.89,26.44333333,60.05,26.85666667,45.165,26.73,36.335,27.6
8,48.60666667,27.01333333,58.41333333,26.64,44.54,26.89666667,84.88333333,26.54666667,69.51,27.01,57.81,26.82,43.77,27.615
10,54.01666667,27.03666667,64.71,26.64666667,49.45,26.95333333,91.59,26.56333333,77.44666667,27.13666667,68.525,26.87,50.875,27.65
12,58.79,27.09,70.52333333,26.73,54.19666667,27.06666667,98.18,26.71666667,84.20333333,27.42333333,80.065,26.87,58.075,27.745
14,63.13666667,27.14666667,76.1,26.70333333,58.82,27.07333333,104.7966667,26.78,90.63666667,27.73333333,91.7,26.865,65.01,27.605
16,67.28,27.18,81.56666667,26.81333333,63.31666667,27.07333333,110.6,26.96,96.59333333,28.02,100.85,26.99,71.045,27.68
18,71.40666667,27.23,86.83333333,26.81333333,67.64333333,27.15666667,115.6,27.18,101.9933333,28.44333333,107.8,26.995,75.715,27.775
20,75.38333333,27.31,91.96666667,26.89666667,71.81,27.21333333,120.0333333,27.41333333,106.28,29.04,114,27.07,86.43,27.785
22,79.39666667,27.48666667,96.86666667,27.03,75.79333333,27.29666667,124.1,27.70666667,110.2266667,29.72666667,119.55,27.235,96.35,27.85
24,83.21333333,27.59666667,101.6333333,27.14666667,79.31666667,27.40666667,127.7,28.07666667,113.7366667,30.47333333,124.5,27.405,103.45,27.96
26,86.98333333,27.79333333,106.1,27.32,82.51666667,27.54666667,131.0333333,28.42,116.66,31.32666667,129.3,27.74,111.9,28.065
28,90.62,28.01333333,110.2333333,27.48333333,85.30666667,27.74,134.2,28.8,123.4133333,32.31666667,134,28.11,120.1,28.27
30,94.06666667,28.29,114.2333333,27.76666667,87.76666667,27.74,137.2333333,29.35666667,130.6766667,33.42333333,138.3,28.575,127.55,28.565
32,97.36666667,28.57666667,117.8333333,28.04,89.95666667,28.15666667,140,29.99,137.1,34.71,142.55,29.16,132.95,28.775
34,100.5333333,28.92666667,120.9,28.40333333,91.84333333,28.40666667,142.5333333,30.69,136.47,36.03,146.9,29.955,136.6,29.235
36,103.5333333,29.20666667,123.5333333,28.76666667,93.44,28.68333333,144.7666667,31.42666667,145.9666667,37.48,151.2,30.825,139.4,29.815
38,106.2666667,29.63333333,125.7,29.15,94.96666667,28.98666667,146.9666667,32.3,150.7333333,38.99,155.5,31.985,142.15,30.6
40,108.7666667,30.01,127.5666667,29.56666667,96.83333333,29.35333333,149.1333333,33.23333333,151.1,40.61333333,159.4,33.185,144.85,31.355
42,111,30.46333333,129.1666667,29.98333333,104.5966667,29.74,151.2333333,34.24666667,158.2,42.24666667,163.1,34.645,147.9,32.37
44,113.0666667,30.90333333,130.7666667,30.45,110.7066667,30.1,153.1333333,35.34333333,164.0666667,44.02666667,166.65,36.225,151.2,33.48
46,114.9333333,31.40333333,132.2666667,30.97666667,115.9333333,30.61666667,155.1666667,36.52333333,166.8333333,45.68333333,170.1,38.045,155.4,34.805
48,116.6,31.9,133.6666667,31.53666667,120.9333333,31.20333333,157.1333333,37.82,169.4,47.42,173.25,39.855,160.2,36.29
50,118.1,32.43333333,135.0333333,32.06,125.5333333,31.71666667,159.0333333,39.11666667,173.2,49.13333333,176.25,41.755,165.35,37.86
52,119.5,32.90666667,136.2666667,32.67666667,129.7333333,32.35,160.8666667,40.44,175.5,50.81333333,179.1,43.775,170.5,39.64
54,120.8333333,33.51333333,137.4666667,33.36666667,133.5333333,33.11,162.6666667,41.83,177.9333333,52.41666667,181.75,45.79,175.55,41.495
56,122.1,34.12333333,138.5333333,34.06,137.2,33.86666667,164.4333333,43.35333333,181.1666667,54.11666667,184.35,47.855,180.85,43.35
58,123.2333333,34.72,139.6666667,34.75666667,140.5,34.68333333,166.1,44.80666667,184.0666667,55.67333333,187.05,49.915,186.65,45.34
60,124.3666667,35.33666667,140.7333333,35.52,143.6,35.48,167.8,46.27333333,186.7333333,57.28666667,189.6,51.96,192.5,47.34
62,125.4333333,36.03,141.7333333,36.35333333,146.1333333,36.36666667,169.6666667,47.68333333,189.3,58.6,192.1,54.01,198.1,49.25
64,126.4333333,36.66333333,142.8,37.15333333,148.2666667,37.30666667,171.4,49.17333333,191.8666667,59.99,194.65,56.02,203.6,51.365
66,127.4,37.35333333,143.9666667,38.07,149.9666667,38.20333333,173.1333333,50.58333333,193.5333333,59.43,197.25,57.81,208.95,53.4
68,128.3,38.09666667,144.9666667,39.02666667,151.7333333,39.31666667,174.7666667,51.94666667,196.1333333,60.36,199.8,59.65,214.1,55.265
70,129.2333333,38.83666667,146.1,39.96666667,153.5333333,40.30666667,176.3666667,53.22333333,199.6333333,60.44,202.3,61.425,219.3,56.985
72,130.1666667,39.61333333,147.2666667,40.98666667,155.4,41.36333333,178.0333333,54.51333333,202.4666667,61.35333333,204.75,63.055,224.3,58.825
74,131.1333333,40.35666667,148.3,42.03333333,157.8333333,42.38666667,179.7333333,55.85,204.8666667,62.20666667,207.45,64.61,229.1,60.505
76,132.1333333,41.12666667,149.3666667,42.96666667,159.3,43.51,181.3,57.04333333,207.5,63.08666667,210.4,66.145,233.75,62.3
78,133.0333333,41.92333333,150.3333333,44.01333333,161.7333333,44.62333333,183,58.07,209.9,63.82333333,213.4,67.525,238.25,63.835
80,133.9666667,42.72333333,151.2333333,45,163.2,45.82666667,184.8333333,59.08666667,212.2333333,64.54333333,216.5,68.83,242.9,65.43
82,134.8666667,43.44,152.1,46.08,164.5666667,46.86666667,186.6333333,60.06333333,214.5,69.39333333,219.8,69.91,247.5,66.86
84,135.7333333,44.28666667,152.9333333,47.06666667,166.1,47.92,188.3666667,61.00333333,216.7,65.86666667,222.95,71.055,252.15,68.17
86,136.5666667,45.09,153.7666667,48.08333333,167.4666667,48.96666667,190.1333333,61.86333333,219,66.38666667,225.95,72.065,256.95,69.335
88,137.5,45.92666667,154.6,49.01666667,168.6333333,50.19666667,191.9,62.73333333,221.1666667,67.03,229,72.9,262.05,70.53
90,138.2,46.71333333,155.4,49.95,169.9666667,51.26333333,193.8333333,63.52333333,223.6333333,70.77333333,232.25,73.8,267.45,71.78
92,138.8333333,47.41666667,156.1333333,50.95666667,171.1666667,52.28,195.8,64.39666667,226.0666667,68.01333333,235.5,74.5,273.25,72.75
94,139.7,48.2,156.9,51.82666667,172.4333333,53.37333333,197.5666667,65.26333333,228.2,68.47666667,239.05,75.2,279.45,73.65
96,140.3666667,48.90333333,157.6666667,52.75666667,173.7,54.34333333,199.3333333,66.02333333,230.2666667,68.90333333,242.85,75.85,285.95,74.6
98,141.0666667,49.65,158.4666667,53.64,174.9,55.23,201.1666667,66.6,232.4333333,74.26666667,247.5,76.45,292.75,75.45
100,141.7666667,50.28,159.3333333,54.45666667,176.0666667,56.21333333,202.8333333,67.09333333,234.4,69.54,254.15,77.05,300.2,76.15
102,142.3666667,50.96666667,160.0666667,55.22,177.4,57.20333333,204.5666667,67.68666667,236.7333333,69.90666667,262.2,77.6,308.3,76.9
104,143.0333333,51.62333333,160.8666667,56.04666667,178.5333333,58.05333333,206.2,68.19,238.8666667,70.16,271.6,78.05,316.7,76.55
106,143.5666667,52.24666667,161.7,56.81333333,179.5,58.86333333,207.7666667,68.61666667,240.9,75.9,282.75,78.5,324.9,76.35
108,144.2333333,52.88333333,162.4666667,57.43333333,180.8333333,59.89666667,209.3666667,69.08666667,242.9333333,70.81666667,295.5,78.8,333.05,76.25
110,144.8333333,53.34333333,163.3666667,58.17333333,181.9333333,60.47666667,210.8,69.44,244.8666667,71.31666667,309.15,79.15,340.95,75.3
112,145.4,53.88666667,164.2,58.44333333,183.1333333,61.2,212.4,69.78,247.3,71.54333333,321.4,79.4,348.55,76.35
114,146,54.43666667,165.0666667,59.37333333,184.2,61.83666667,213.8666667,70.05,249.3333333,77.03333333,329.45,79.7,356,77.65
