Time (S),sample15,Sample B1,Sample a4,Front ,,sample 15,Sample B1,sample a4,Back
,front,Front,front,,,back,Back,,
,,,,,,,,,
,,,,,,,,,
0,28.69,28.37,27.73,28.26333333,,26.94,27.2,26.56,26.9
2,31.27,29.94,27.81,29.67333333,,27.02,27.19,26.56,26.92333333
4,40.14,32.93,31.97,35.01333333,,27.02,27.19,26.56,26.92333333
6,48.71,36.68,41.42,42.27,,27.02,27.2,26.64,26.95333333
8,55.94,40.31,49.57,48.60666667,,27.11,27.2,26.73,27.01333333
10,62.07,43.68,56.3,54.01666667,,27.11,27.27,26.73,27.03666667
12,67.63,46.64,62.1,58.79,,27.19,27.35,26.73,27.09
14,72.8,49.52,67.09,63.13666667,,27.19,27.44,26.81,27.14666667
16,77.7,52.24,71.9,67.28,,27.19,27.54,26.81,27.18
18,82.5,55.02,76.7,71.40666667,,27.19,27.69,26.81,27.23
20,86.9,57.55,81.7,75.38333333,,27.27,27.85,26.81,27.31
22,91.3,60.19,86.7,79.39666667,,27.36,28.12,26.98,27.48666667
24,95.4,62.64,91.6,83.21333333,,27.44,28.37,26.98,27.59666667
26,99.3,65.25,96.4,86.98333333,,27.53,28.79,27.06,27.79333333
28,103.1,67.86,100.9,90.62,,27.77,29.04,27.23,28.01333333
30,106.6,70.4,105.2,94.06666667,,28.02,29.45,27.4,28.29
32,110,72.9,109.2,97.36666667,,28.21,29.87,27.65,28.57666667
34,113,75.4,113.2,100.5333333,,28.53,30.35,27.9,28.92666667
36,115.8,77.9,116.9,103.5333333,,28.78,30.78,28.06,29.20666667
38,118.3,80.3,120.2,106.2666667,,29.12,31.37,28.41,29.63333333
40,120.4,82.8,123.1,108.7666667,,29.44,31.86,28.73,30.01
42,122.3,85.1,125.6,111,,29.87,32.36,29.16,30.46333333
44,124.2,87.3,127.7,113.0666667,,30.21,32.94,29.56,30.90333333
46,125.7,89.5,129.6,114.9333333,,30.71,33.52,29.98,31.40333333
48,127.1,91.4,131.3,116.6,,31.12,34.09,30.49,31.9
50,128.3,93.2,132.8,118.1,,31.62,34.77,30.91,32.43333333
52,129.5,94.9,134.1,119.5,,32.04,35.27,31.41,32.90666667
54,130.5,96.5,135.5,120.8333333,,32.62,35.93,31.99,33.51333333
56,131.5,98,136.8,122.1,,33.12,36.68,32.57,34.12333333
58,132.5,99.2,138,123.2333333,,33.7,37.32,33.14,34.72
60,133.4,100.4,139.3,124.3666667,,34.2,38.08,33.73,35.33666667
62,134,101.6,140.7,125.4333333,,34.78,38.91,34.4,36.03
64,134.7,102.7,141.9,126.4333333,,35.36,39.65,34.98,36.66333333
66,135.2,103.7,143.3,127.4,,36.02,40.48,35.56,37.35333333
68,135.7,104.5,144.7,128.3,,36.68,41.39,36.22,38.09666667
70,136.2,105.4,146.1,129.2333333,,37.34,42.29,36.88,38.83666667
72,136.7,106.1,147.7,130.1666667,,38.09,43.2,37.55,39.61333333
74,137.1,107,149.3,131.1333333,,38.75,44.11,38.21,40.35666667
76,137.6,107.7,151.1,132.1333333,,39.5,45.01,38.87,41.12666667
78,138.1,108.4,152.6,133.0333333,,40.32,45.92,39.53,41.92333333
80,138.6,109.1,154.2,133.9666667,,41.07,46.91,40.19,42.72333333
82,139.1,109.7,155.8,134.8666667,,41.73,47.74,40.85,43.44
84,139.6,110.3,157.3,135.7333333,,42.55,48.71,41.6,44.28666667
86,140.1,110.9,158.7,136.5666667,,43.47,49.54,42.26,45.09
88,140.6,111.7,160.2,137.5,,44.38,50.45,42.95,45.92666667
90,141,112.2,161.4,138.2,,45.2,51.36,43.58,46.71333333
92,141.4,112.6,162.5,138.8333333,,46.03,52.07,44.15,47.41666667
94,142.1,113.4,163.6,139.7,,46.93,52.92,44.75,48.2
96,142.6,113.9,164.6,140.3666667,,47.76,53.64,45.31,48.90333333
98,143.2,114.4,165.6,141.0666667,,48.58,54.39,45.98,49.65
100,143.8,114.9,166.6,141.7666667,,49.32,55.05,46.47,50.28
102,144.2,115.4,167.5,142.3666667,,50.06,55.79,47.05,50.96666667
104,144.7,115.9,168.5,143.0333333,,50.88,56.36,47.63,51.62333333
106,145.1,116.3,169.3,143.5666667,,51.62,57,48.12,52.24666667
108,145.6,116.8,170.3,144.2333333,,52.28,57.67,48.7,52.88333333
110,146,117.3,171.2,144.8333333,,52.85,58.16,49.02,53.34333333
112,146.5,117.7,172,145.4,,53.42,58.72,49.52,53.88666667
114,146.9,118.2,172.9,146,,54,59.3,50.01,54.43666667
116,147.5,118.5,173.7,146.5666667,,54.49,59.79,50.5,54.92666667
118,148,119,174.5,147.1666667,,55.15,60.2,50.83,55.39333333
120,148.6,119.3,175.3,147.7333333,,55.82,60.71,51.41,55.98
122,149.2,119.7,175.9,148.2666667,,56.29,61.1,51.82,56.40333333
124,149.6,120.1,176.6,148.7666667,,56.87,61.59,52.31,56.92333333
126,150.3,120.5,177.3,149.3666667,,57.28,61.92,52.72,57.30666667
128,151,120.8,178,149.9333333,,57.77,62.34,53.13,57.74666667
130,151.7,121.2,178.7,150.5333333,,58.11,62.74,53.54,58.13
132,152.3,121.5,179.2,151,,58.52,63.06,53.88,58.48666667
134,152.8,121.9,179.6,151.4333333,,58.93,63.4,54.28,58.87
136,153.5,122.3,180,151.9333333,,59.25,63.73,54.69,59.22333333
138,154.1,122.6,180.7,152.4666667,,59.58,64.06,55.03,59.55666667
140,154.7,122.9,181.6,153.0666667,,59.91,64.3,55.36,59.85666667
142,155.4,123.1,182.1,153.5333333,,60.24,64.55,55.6,60.13
144,155.9,123.5,182.7,154.0333333,,60.56,64.79,56.1,60.48333333
146,156.6,123.8,183.1,154.5,,60.89,65.02,56.26,60.72333333
148,157.2,124.1,183.7,155,,60.97,65.2,56.59,60.92
150,157.9,124.5,184.3,155.5666667,,61.22,65.53,56.91,61.22
152,158.4,124.7,184.8,155.9666667,,61.54,65.69,57.24,61.49
154,158.9,125,185.4,156.4333333,,61.87,65.94,57.57,61.79333333
156,159.4,125.3,186,156.9,,62.03,66.1,57.9,62.01
158,159.9,125.6,186.6,157.3666667,,62.2,66.26,58.22,62.22666667
160,160.5,125.9,187.2,157.8666667,,62.2,66.43,58.39,62.34
