Time (s),sample 16,sample b3,sample c4,Front,,sample 16,sample b3,samole c4,Back
,front,front,front,,,back,back,back,
,,,,,,,,,
0,26.23,30.18,26.77,27.72666667,,26.81,26.84,26,26.55
2,30.71,38.65,31.5,33.62,,26.88,26.86,26.11,26.61666667
4,40.42,47.06,42.37,43.28333333,,26.9,26.86,26.1,26.62
6,49.24,54.04,51.33,51.53666667,,26.98,26.94,26.1,26.67333333
8,56.61,60.01,58.62,58.41333333,,26.88,26.94,26.1,26.64
10,63.08,65.73,65.32,64.71,,26.9,26.94,26.1,26.64666667
12,68.87,71,71.7,70.52333333,,26.98,27.03,26.18,26.73
14,74.3,76.2,77.8,76.1,,26.9,27.03,26.18,26.70333333
16,79.8,81.3,83.6,81.56666667,,26.98,27.19,26.27,26.81333333
18,85,86.3,89.2,86.83333333,,26.98,27.19,26.27,26.81333333
20,90.2,91.1,94.6,91.96666667,,27.06,27.36,26.27,26.89666667
22,95.1,95.8,99.7,96.86666667,,27.13,27.53,26.43,27.03
24,99.8,100.4,104.7,101.6333333,,27.23,27.69,26.52,27.14666667
26,104.3,104.7,109.3,106.1,,27.31,27.94,26.71,27.32
28,108.2,108.7,113.8,110.2333333,,27.48,28.19,26.78,27.48333333
30,112.1,112.6,118,114.2333333,,27.65,28.53,27.12,27.76666667
32,115.5,116.3,121.7,117.8333333,,27.98,28.86,27.28,28.04
34,118.5,119.4,124.8,120.9,,28.23,29.36,27.62,28.40333333
36,121.1,122.2,127.3,123.5333333,,28.56,29.86,27.88,28.76666667
38,123.4,124.4,129.3,125.7,,28.98,30.27,28.2,29.15
40,125.6,126.2,130.9,127.5666667,,29.4,30.77,28.53,29.56666667
42,127.4,127.7,132.4,129.1666667,,29.73,31.27,28.95,29.98333333
44,129.4,129,133.9,130.7666667,,30.13,31.85,29.37,30.45
46,131.2,130.1,135.5,132.2666667,,30.63,32.52,29.78,30.97666667
48,133.1,131,136.9,133.6666667,,31.23,33.1,30.28,31.53666667
50,134.8,131.9,138.4,135.0333333,,31.64,33.76,30.78,32.06
52,136.4,132.6,139.8,136.2666667,,32.22,34.51,31.3,32.67666667
54,137.9,133.4,141.1,137.4666667,,32.9,35.34,31.86,33.36666667
56,139.2,134.1,142.3,138.5333333,,33.47,36.17,32.54,34.06
58,140.5,134.9,143.6,139.6666667,,34.15,37.08,33.04,34.75666667
60,141.7,135.5,145,140.7333333,,34.78,37.99,33.79,35.52
62,142.9,136.2,146.1,141.7333333,,35.63,38.9,34.53,36.35333333
64,144.1,137,147.3,142.8,,36.37,39.89,35.2,37.15333333
66,145.5,137.8,148.6,143.9666667,,37.3,40.88,36.03,38.07
68,146.7,138.5,149.7,144.9666667,,38.28,42.03,36.77,39.02666667
70,148,139.4,150.9,146.1,,39.2,43.02,37.68,39.96666667
72,149.2,140.3,152.3,147.2666667,,40.19,44.18,38.59,40.98666667
74,150.1,141.1,153.7,148.3,,41.25,45.25,39.6,42.03333333
76,151,142,155.1,149.3666667,,42.26,46.15,40.49,42.96666667
78,151.9,142.7,156.4,150.3333333,,43.33,47.31,41.4,44.01333333
80,152.6,143.3,157.8,151.2333333,,44.32,48.37,42.31,45
82,153.2,144.2,158.9,152.1,,45.47,49.46,43.31,46.08
84,153.8,145,160,152.9333333,,46.54,50.44,44.22,47.06666667
86,154.5,145.8,161,153.7666667,,47.61,51.43,45.21,48.08333333
88,155.1,146.8,161.9,154.6,,48.6,52.25,46.2,49.01666667
90,155.6,147.8,162.8,155.4,,49.42,53.23,47.2,49.95
92,156,148.8,163.6,156.1333333,,50.49,54.13,48.25,50.95666667
