Time (s),sample 17,sample b4,sample c3,Front,,sample 17,sample b4,sample c3,Back
,front,front,front,,,back,back,back,
,,,,,,,,,
0,25.66,26.36,29.55,27.19,,25.92,26.16,27.96,26.68
2,25.66,27.49,29.8,27.65,,26.08,26.39,28.05,26.84
4,25.58,35.12,36.11,32.27,,26.1,26.47,28.05,26.87333333
6,25.66,44.29,46.92,38.95666667,,26.25,26.47,28.05,26.92333333
8,25.58,51.85,56.19,44.54,,26.17,26.47,28.05,26.89666667
10,25.58,58.4,64.37,49.45,,26.26,26.47,28.13,26.95333333
12,25.58,64.61,72.4,54.19666667,,26.35,26.64,28.21,27.06666667
14,25.66,70.6,80.2,58.82,,26.35,26.64,28.23,27.07333333
16,25.75,76.5,87.7,63.31666667,,26.35,26.64,28.23,27.07333333
18,25.83,82.1,95,67.64333333,,26.43,26.81,28.23,27.15666667
20,25.93,87.7,101.8,71.81,,26.52,26.89,28.23,27.21333333
22,26.08,93.3,108,75.79333333,,26.43,27.06,28.4,27.29666667
24,26.25,98.5,113.2,79.31666667,,26.43,27.31,28.48,27.40666667
26,26.35,103.6,117.6,82.51666667,,26.52,27.47,28.65,27.54666667
28,26.52,108,121.4,85.30666667,,26.6,27.89,28.73,27.74
30,26.6,112,124.7,87.76666667,,26.6,27.64,28.98,27.74
32,26.77,115.3,127.8,89.95666667,,26.6,28.64,29.23,28.15666667
34,26.93,118.1,130.5,91.84333333,,26.6,29.14,29.48,28.40666667
36,27.02,120,133.3,93.44,,26.6,29.64,29.81,28.68333333
38,27.1,121.9,135.9,94.96666667,,26.6,30.22,30.14,28.98666667
40,28.6,123.4,138.5,96.83333333,,26.68,30.82,30.56,29.35333333
42,47.79,124.8,141.2,104.5966667,,26.68,31.48,31.06,29.74
44,62.62,125.9,143.6,110.7066667,,26.77,32.14,31.39,30.1
46,74.9,126.8,146.1,115.9333333,,26.85,33.11,31.89,30.61666667
48,86.2,128,148.6,120.9333333,,27.1,33.95,32.56,31.20333333
50,96.6,129,151,125.5333333,,27.1,34.83,33.22,31.71666667
52,105.8,129.9,153.5,129.7333333,,27.43,35.74,33.88,32.35
54,114.2,130.7,155.7,133.5333333,,27.6,37.02,34.71,33.11
56,121.9,131.9,157.8,137.2,,27.93,38.13,35.54,33.86666667
58,129.1,132.7,159.7,140.5,,28.28,39.32,36.45,34.68333333
60,135.6,133.8,161.4,143.6,,28.6,40.48,37.36,35.48
62,140.7,134.8,162.9,146.1333333,,29.1,41.64,38.36,36.36666667
64,144.5,135.9,164.4,148.2666667,,29.45,42.94,39.53,37.30666667
66,147.4,137,165.5,149.9666667,,29.95,43.97,40.69,38.20333333
68,150.5,138.2,166.5,151.7333333,,30.61,45.5,41.84,39.31666667
70,153.5,139.6,167.5,153.5333333,,31.19,46.73,43,40.30666667
72,157,140.7,168.5,155.4,,31.94,48,44.15,41.36333333
74,160.8,143.3,169.4,157.8333333,,32.61,49.16,45.39,42.38666667
76,164.7,143,170.2,159.3,,33.52,50.39,46.62,43.51
78,168.7,145.3,171.2,161.7333333,,34.43,51.58,47.86,44.62333333
80,171.9,145.6,172.1,163.2,,35.43,52.96,49.09,45.82666667
82,174.3,146.5,172.9,164.5666667,,36.51,53.85,50.24,46.86666667
84,176.5,147.9,173.9,166.1,,37.5,54.87,51.39,47.92
86,178.4,149,175,167.4666667,,38.66,55.71,52.53,48.96666667
88,179.9,150.2,175.8,168.6333333,,39.98,57.01,53.6,50.19666667
90,181.3,151.6,177,169.9666667,,41.22,57.98,54.59,51.26333333
92,182.4,153,178.1,171.1666667,,42.37,58.9,55.57,52.28
