Time (s),sample 9,sample b5,sample c5,Front,,sample 9,sample b5,sample c5,Back
,front tc C,front tc C,front tc,,,back tc C,back tc C,back tc C,
0,81,25.94,34.51,47.15,,26.81,25.9,26.27,26.32666667
2,89.8,29.08,52.31,57.06333333,,26.81,25.94,26.25,26.33333333
4,98.2,37.65,64.9,66.91666667,,26.89,26.08,26.25,26.40666667
6,105.8,47.17,77.7,76.89,,27.06,26.02,26.25,26.44333333
8,112.4,53.85,88.4,84.88333333,,27.14,26.15,26.35,26.54666667
10,117.9,58.57,98.3,91.59,,27.31,26.01,26.37,26.56333333
12,122.4,63.74,108.4,98.18,,27.56,26.15,26.44,26.71666667
14,126,69.99,118.4,104.7966667,,27.81,26.09,26.44,26.78
16,129.1,75.9,126.8,110.6,,28.14,26.22,26.52,26.96
18,131.9,81.7,133.2,115.6,,28.56,26.38,26.6,27.18
20,134.3,87.5,138.3,120.0333333,,28.99,26.48,26.77,27.41333333
22,136.4,93.5,142.4,124.1,,29.48,26.72,26.92,27.70666667
24,138.5,98.8,145.8,127.7,,30.14,26.89,27.2,28.07666667
26,140.5,103.2,149.4,131.0333333,,30.81,27.08,27.37,28.42
28,142.7,106.8,153.1,134.2,,31.66,27.05,27.69,28.8
30,145,109.8,156.9,137.2333333,,32.47,27.56,28.04,29.35666667
32,147.3,112.2,160.5,140,,33.48,28.12,28.37,29.99
34,149.6,113.9,164.1,142.5333333,,34.48,28.74,28.85,30.69
36,151.8,115.4,167.1,144.7666667,,35.64,29.27,29.37,31.42666667
38,154.2,116.7,170,146.9666667,,36.96,29.91,30.03,32.3
40,156.5,118,172.9,149.1333333,,38.29,30.71,30.7,33.23333333
42,158.8,119.3,175.6,151.2333333,,39.69,31.62,31.43,34.24666667
44,161,120.3,178.1,153.1333333,,41.1,32.58,32.35,35.34333333
46,163.2,121.7,180.6,155.1666667,,42.58,33.65,33.34,36.52333333
48,165.6,122.9,182.9,157.1333333,,44.07,34.95,34.44,37.82
50,167.8,124.2,185.1,159.0333333,,45.47,36.3,35.58,39.11666667
52,170,125.6,187,160.8666667,,46.87,37.61,36.84,40.44
54,172.1,127,188.9,162.6666667,,48.35,38.99,38.15,41.83
56,174.3,128.4,190.6,164.4333333,,49.91,40.58,39.57,43.35333333
58,176.4,129.7,192.2,166.1,,51.22,42.16,41.04,44.80666667
60,178.3,131.1,194,167.8,,52.53,43.75,42.54,46.27333333
62,180.6,132.7,195.7,169.6666667,,53.76,45.27,44.02,47.68333333
64,182.7,134.1,197.4,171.4,,55.16,46.85,45.51,49.17333333
66,184.7,135.7,199,173.1333333,,56.3,48.48,46.97,50.58333333
68,186.5,137.2,200.6,174.7666667,,57.61,49.76,48.47,51.94666667
70,188.4,138.6,202.1,176.3666667,,58.68,51.22,49.77,53.22333333
72,190.3,140.1,203.7,178.0333333,,59.56,52.64,51.34,54.51333333
74,192.1,141.6,205.5,179.7333333,,60.64,53.94,52.97,55.85
76,193.9,142.9,207.1,181.3,,61.47,55.36,54.3,57.04333333
78,195.8,144.2,209,183,,62.21,56.57,55.43,58.07
80,197.8,145.7,211,184.8333333,,63.03,57.64,56.59,59.08666667
82,199.8,147.2,212.9,186.6333333,,63.68,58.76,57.75,60.06333333
84,201.7,148.6,214.8,188.3666667,,64.3,59.91,58.8,61.00333333
86,203.5,150.4,216.5,190.1333333,,64.97,60.84,59.78,61.86333333
88,205.3,152.1,218.3,191.9,,65.64,61.7,60.86,62.73333333
90,207.4,154,220.1,193.8333333,,66.28,62.62,61.67,63.52333333
92,209.3,156,222.1,195.8,,66.78,63.43,62.98,64.39666667
94,211.1,157.9,223.7,197.5666667,,67.43,64.33,64.03,65.26333333
96,212.9,159.7,225.4,199.3333333,,68.24,64.99,64.84,66.02333333
98,214.5,161.8,227.2,201.1666667,,68.72,65.65,65.43,66.6
100,216.3,163.4,228.8,202.8333333,,68.98,66.23,66.07,67.09333333
102,218.1,165.3,230.3,204.5666667,,69.23,66.95,66.88,67.68666667
104,219.9,166.8,231.9,206.2,,69.64,67.56,67.37,68.19
106,221.5,168.3,233.5,207.7666667,,70,67.99,67.86,68.61666667
108,223.1,169.9,235.1,209.3666667,,70.4,68.49,68.37,69.08666667
110,224.6,171.1,236.7,210.8,,70.5,69.06,68.76,69.44
112,226.2,172.8,238.2,212.4,,70.9,69.52,68.92,69.78
