Time (s),A1 front tc,11 front tc,C6 front tc,Front,,A1 back tc,11back tc,C6 back tc,Back
,temp C,temp c,temp C,,,temp C,temp C,temp c,
,,,,,,,,,
0,29.65,25.64,32.15,29.14666667,,26.4,26.49,27.48,26.79
2,41.97,25.71,32.65,33.44333333,,25.97,26.49,27.48,26.64666667
4,54.87,25.73,63.23,47.94333333,,26.3,26.58,27.48,26.78666667
6,63.42,25.63,91.1,60.05,,26.35,26.66,27.56,26.85666667
8,71.5,25.73,111.3,69.51,,26.56,26.83,27.64,27.01
10,80.3,25.64,126.4,77.44666667,,26.43,26.99,27.99,27.13666667
12,89,25.81,137.8,84.20333333,,26.63,27.33,28.31,27.42333333
14,98.1,25.81,148,90.63666667,,26.9,27.49,28.81,27.73333333
16,106.6,25.98,157.2,96.59333333,,26.83,27.91,29.32,28.02
18,113.8,25.98,166.2,101.9933333,,26.94,28.33,30.06,28.44333333
20,119.2,26.14,173.5,106.28,,27.57,28.83,30.72,29.04
22,122.8,26.48,181.4,110.2266667,,28.13,29.41,31.64,29.72666667
24,125.5,26.81,188.9,113.7366667,,28.54,30.16,32.72,30.47333333
26,127.7,26.98,195.3,116.66,,29.19,30.91,33.88,31.32666667
28,129.7,40.84,199.7,123.4133333,,29.91,31.84,35.2,32.31666667
30,131.6,57.53,202.9,130.6766667,,30.9,32.84,36.53,33.42333333
32,133.4,72.7,205.2,137.1,,32.03,34.08,38.02,34.71
34,135.1,67.11,207.2,136.47,,33.34,35.33,39.42,36.03
36,136.7,92,209.2,145.9666667,,34.88,36.65,40.91,37.48
38,138.5,102.6,211.1,150.7333333,,36.52,38.14,42.31,38.99
40,140.4,100,212.9,151.1,,38.16,39.8,43.88,40.61333333
42,142,117.7,214.9,158.2,,40.09,41.45,45.2,42.24666667
44,143.9,131.4,216.9,164.0666667,,42.14,43.18,46.76,44.02666667
46,145.9,135.7,218.9,166.8333333,,43.9,44.83,48.32,45.68333333
48,148.1,139.3,220.8,169.4,,45.9,46.48,49.88,47.42
50,150.3,146.5,222.8,173.2,,47.75,48.12,51.53,49.13333333
52,153,148.4,225.1,175.5,,49.59,49.85,53,50.81333333
54,155.8,150.9,227.1,177.9333333,,51.36,51.41,54.48,52.41666667
56,158.6,155.5,229.4,181.1666667,,53.27,53.05,56.03,54.11666667
58,161.8,158.8,231.6,184.0666667,,54.82,54.61,57.59,55.67333333
60,164.7,161.9,233.6,186.7333333,,56.64,56.08,59.14,57.28666667
62,167.5,164.6,235.8,189.3,,57.95,57.4,60.45,58.6
64,170.4,167.1,238.1,191.8666667,,59.5,58.63,61.84,59.99
66,173,167,240.6,193.5333333,,60.78,54.28,63.23,59.43
68,175.6,169.8,243,196.1333333,,62.33,54.45,64.3,60.36
70,178.1,174.8,246,199.6333333,,63.48,52.56,65.28,60.44
72,180.6,178,248.8,202.4666667,,64.67,52.9,66.49,61.35333333
74,183.1,180.4,251.1,204.8666667,,65.92,53.39,67.31,62.20666667
76,185.5,183.1,253.9,207.5,,67.08,53.72,68.46,63.08666667
78,187.8,185.3,256.6,209.9,,67.98,54.21,69.28,63.82333333
80,190.2,187.7,258.8,212.2333333,,69.05,54.38,70.2,64.54333333
82,192.5,189.8,261.2,214.5,,69.81,67.47,70.9,69.39333333
84,194.9,191.7,263.5,216.7,,70.8,55.2,71.6,65.86666667
86,197.4,193.7,265.9,219,,71.6,55.36,72.2,66.38666667
88,199.5,195.7,268.3,221.1666667,,72.3,55.69,73.1,67.03
90,202.1,198,270.8,223.6333333,,73.1,65.42,73.8,70.77333333
92,204.5,200.4,273.3,226.0666667,,73.6,56.34,74.1,68.01333333
94,206.7,202.4,275.5,228.2,,74.3,56.43,74.7,68.47666667
96,209,204.4,277.4,230.2666667,,75,56.51,75.2,68.90333333
98,211.4,206.6,279.3,232.4333333,,75.4,71.9,75.5,74.26666667
100,213.4,208.5,281.3,234.4,,75.8,56.92,75.9,69.54
102,215.9,210.6,283.7,236.7333333,,76.4,56.92,76.4,69.90666667
104,218.3,212.3,286,238.8666667,,76.7,57.08,76.7,70.16
106,220.4,214.6,287.7,240.9,,77,73.5,77.2,75.9
108,222.6,216.8,289.4,242.9333333,,77.3,57.65,77.5,70.81666667
110,224.4,218.9,291.3,244.8666667,,77.8,58.15,78,71.31666667
112,226.8,222.2,292.9,247.3,,78.1,58.23,78.3,71.54333333
114,228.8,224.2,295,249.3333333,,78.5,74.2,78.4,77.03333333
116,231,226.4,297.3,251.5666667,,78.4,74.5,78.7,77.2
118,233.2,228.4,299,253.5333333,,78.7,74.7,79,77.46666667
120,235.3,230.4,300.8,255.5,,78.9,75,79,77.63333333
