Time (s),D2 front tc,sample7 ,Front,,D2 back tc,sample7 ,Back
,degrees C,fron. Deg ,,,Degrees C,back deg ,
,,,,,,,
0,26.25,28.21,27.23,,25.83,27.63,26.73
2,27.33,28.38,27.855,,25.83,27.63,26.73
4,34.4,28.88,31.64,,25.83,27.71,26.77
6,45.14,45.19,45.165,,25.83,27.63,26.73
8,54.18,61.44,57.81,,25.91,27.73,26.82
10,60.25,76.8,68.525,,25.93,27.81,26.87
12,65.63,94.5,80.065,,25.93,27.81,26.87
14,73.2,110.2,91.7,,25.93,27.8,26.865
16,80.8,120.9,100.85,,26.1,27.88,26.99
18,88.2,127.4,107.8,,26.1,27.89,26.995
20,95.3,132.7,114,,26.1,28.04,27.07
22,101.2,137.9,119.55,,26.26,28.21,27.235
24,105.5,143.5,124.5,,26.43,28.38,27.405
26,108.9,149.7,129.3,,26.68,28.8,27.74
28,111.8,156.2,134,,26.93,29.29,28.11
30,114.2,162.4,138.3,,27.27,29.88,28.575
32,116.5,168.6,142.55,,27.68,30.64,29.16
34,118.5,175.3,146.9,,28.27,31.64,29.955
36,120.4,182,151.2,,28.85,32.8,30.825
38,122.2,188.8,155.5,,29.68,34.29,31.985
40,123.9,194.9,159.4,,30.6,35.77,33.185
42,125.5,200.7,163.1,,31.68,37.61,34.645
44,127.1,206.2,166.65,,32.86,39.59,36.225
46,128.8,211.4,170.1,,34.35,41.74,38.045
48,130.5,216,173.25,,35.84,43.87,39.855
50,132.1,220.4,176.25,,37.5,46.01,41.755
52,133.8,224.4,179.1,,39.31,48.24,43.775
54,135.5,228,181.75,,41.13,50.45,45.79
56,137.2,231.5,184.35,,43.11,52.6,47.855
58,139,235.1,187.05,,45.25,54.58,49.915
60,140.8,238.4,189.6,,47.39,56.53,51.96
62,142.5,241.7,192.1,,49.53,58.49,54.01
64,144.3,245,194.65,,51.75,60.29,56.02
66,146.2,248.3,197.25,,53.71,61.91,57.81
68,148.1,251.5,199.8,,55.76,63.54,59.65
70,150.1,254.5,202.3,,57.73,65.12,61.425
72,152.1,257.4,204.75,,59.53,66.58,63.055
74,154.3,260.6,207.45,,61.32,67.9,64.61
76,156.9,263.9,210.4,,63.12,69.17,66.145
78,159.6,267.2,213.4,,64.75,70.3,67.525
80,162.6,270.4,216.5,,66.06,71.6,68.83
82,165.6,274,219.8,,67.22,72.6,69.91
84,168.4,277.5,222.95,,68.51,73.6,71.055
86,171.2,280.7,225.95,,69.73,74.4,72.065
88,174,284,229,,70.5,75.3,72.9
90,176.6,287.9,232.25,,71.6,76,73.8
92,179.2,291.8,235.5,,72.3,76.7,74.5
94,182,296.1,239.05,,73.1,77.3,75.2
96,184.7,301,242.85,,73.8,77.9,75.85
98,187.4,307.6,247.5,,74.6,78.3,76.45
100,190.2,318.1,254.15,,75.3,78.8,77.05
102,193,331.4,262.2,,75.9,79.3,77.6
104,195.8,347.4,271.6,,76.3,79.8,78.05
106,198.5,367,282.75,,76.9,80.1,78.5
108,201.3,389.7,295.5,,77.2,80.4,78.8
110,204.2,414.1,309.15,,77.5,80.8,79.15
112,207.1,435.7,321.4,,77.8,81,79.4
114,209.8,449.1,329.45,,78.1,81.3,79.7
116,212.6,456.3,334.45,,78.5,81.6,80.05
118,215.4,459.2,337.3,,78.7,81.7,80.2
120,218.3,460.1,339.2,,78.9,82.1,80.5
122,221.4,460.5,340.95,,79,82.3,80.65
124,224.5,461.2,342.85,,79.1,82.5,80.8
126,227.7,462.7,345.2,,79.5,82.8,81.15
128,231.2,466.2,348.7,,79.5,83.1,81.3
130,235.6,467.1,351.35,,79.8,83.1,81.45
132,240.3,467,353.65,,80.1,83.1,81.6
134,245.2,467.8,356.5,,80.1,83.4,81.75
136,250.4,468,359.2,,80.1,83.4,81.75
138,255.7,466.4,361.05,,80.3,83.5,81.9
140,261.5,466,363.75,,80.6,83.6,82.1
142,267.6,466,366.8,,80.7,83.6,82.15
144,273.9,465.3,369.6,,80.6,83.6,82.1
146,280.3,463,371.65,,80.7,83.6,82.15
148,287,459.6,373.3,,80.9,83.6,82.25
150,293.4,456.8,375.1,,81.1,83.5,82.3
152,300.1,456.7,378.4,,81.4,83.5,82.45
154,306.8,456.9,381.85,,81.6,83.5,82.55
156,313,457.9,385.45,,81.6,83.4,82.5
158,318.3,459.1,388.7,,81.6,83.4,82.5
160,323.1,464.3,393.7,,81.8,83.2,82.5
162,327.6,468.5,398.05,,81.6,83,82.3
164,332,471.1,401.55,,81.5,82.9,82.2
166,335.7,470.9,403.3,,81.6,82.7,82.15
168,339,471.5,405.25,,81.5,82.7,82.1
170,343.1,472.8,407.95,,81.4,82.6,82
172,348,472.1,410.05,,81.2,82.7,81.95
174,352.9,472.6,412.75,,81,82.5,81.75
176,356.4,472.1,414.25,,80.7,82.6,81.65
178,358.8,473.5,416.15,,80.7,82.5,81.6
180,361.2,472,416.6,,80.6,82.5,81.55
182,363.9,473.3,418.6,,80.4,82.4,81.4
184,366.2,473.6,419.9,,80.3,82.2,81.25
186,368,474.2,421.1,,80.3,82.2,81.25
188,369.7,474.5,422.1,,80.3,82,81.15
190,371.4,473,422.2,,80.1,81.8,80.95
192,373,473.6,423.3,,79.9,81.8,80.85
194,374.8,470.6,422.7,,80,81.7,80.85
196,376.7,470.1,423.4,,79.8,81.6,80.7
198,378.4,469.2,423.8,,79.6,81.6,80.6
200,380.4,472.2,426.3,,79.6,81.6,80.6
202,382.6,473.3,427.95,,79.4,81.5,80.45
204,385,471.6,428.3,,79.1,81.4,80.25
206,387.5,469,428.25,,79,81.5,80.25
208,389.8,463.8,426.8,,79,81.6,80.3
210,392.3,462.9,427.6,,78.9,81.8,80.35
212,394.7,461.3,428,,78.6,82.2,80.4
214,397.6,459.9,428.75,,78.6,82.5,80.55
216,400.5,460.3,430.4,,78.4,82.8,80.6
218,403.4,457.6,430.5,,78.2,83.1,80.65
220,406.2,457.7,431.95,,78.2,83.3,80.75
222,409.3,456.3,432.8,,78.1,83.4,80.75
224,412.4,454.2,433.3,,77.9,83.6,80.75
226,415.8,453.1,434.45,,77.9,83.8,80.85
228,419.4,452.1,435.75,,77.8,84,80.9
230,423,452.6,437.8,,77.7,84.2,80.95
232,425.8,450.7,438.25,,77.7,84.3,81
234,427.6,449.2,438.4,,77.6,84.5,81.05
236,428.9,448.2,438.55,,77.4,84.6,81
238,429.7,449.9,439.8,,77.3,84.7,81
240,430.1,452.2,441.15,,77.3,84.9,81.1
242,430,449.1,439.55,,77.4,85.1,81.25
244,429.5,446.9,438.2,,77.5,85.3,81.4
246,428.6,443.1,435.85,,77.6,85.4,81.5
248,427.5,441.2,434.35,,77.6,85.8,81.7
250,426,442.1,434.05,,77.5,85.9,81.7
252,424.2,440.6,432.4,,77.5,86.2,81.85
254,422.2,439.1,430.65,,77.6,86.4,82
256,420.2,438.5,429.35,,77.7,86.7,82.2
258,418.1,436.4,427.25,,77.8,86.9,82.35
260,416,433.9,424.95,,77.9,87.2,82.55
262,413.9,434,423.95,,77.8,87.4,82.6
264,412.1,433.7,422.9,,77.9,87.5,82.7
266,410.2,430.5,420.35,,78.1,87.8,82.95
268,408.7,431.7,420.2,,78.1,88.1,83.1
270,407.2,432.4,419.8,,78.5,88.3,83.4
272,406,428.1,417.05,,78.6,88.4,83.5
274,404.8,429.2,417,,78.6,88.5,83.55
276,404,428.9,416.45,,78.6,88.9,83.75
278,403,429.8,416.4,,78.7,89,83.85
280,402.2,427.7,414.95,,78.8,89.2,84
