Time (s),,,Front,,,Back
,,,,,,
0,28.91,26.27,27.59,26.1,28.58,27.34
2,29.09,26.39,27.74,26.39,28.59,27.49
4,30.74,26.45,28.595,26.37,28.75,27.56
6,45.98,26.69,36.335,26.44,28.76,27.6
8,60.48,27.06,43.77,26.48,28.75,27.615
10,74.3,27.45,50.875,26.54,28.76,27.65
12,88.5,27.65,58.075,26.65,28.84,27.745
14,101.9,28.12,65.01,26.37,28.84,27.605
16,113.4,28.69,71.045,26.52,28.84,27.68
18,121.4,30.03,75.715,26.62,28.93,27.775
20,127.1,45.76,86.43,26.64,28.93,27.785
22,131.4,61.3,96.35,26.61,29.09,27.85
24,134.9,72,103.45,26.66,29.26,27.96
26,137.9,85.9,111.9,26.7,29.43,28.065
28,140.7,99.5,120.1,26.78,29.76,28.27
30,143.2,111.9,127.55,26.87,30.26,28.565
32,145.5,120.4,132.95,26.87,30.68,28.775
34,147.7,125.5,136.6,26.98,31.49,29.235
36,150.2,128.6,139.4,27.29,32.34,29.815
38,153.1,131.2,142.15,27.62,33.58,30.6
40,156.1,133.6,144.85,27.9,34.81,31.355
42,159.8,136,147.9,28.32,36.42,32.37
44,164,138.4,151.2,28.8,38.16,33.48
46,169.6,141.2,155.4,29.55,40.06,34.805
48,176.1,144.3,160.2,30.46,42.12,36.29
50,182.8,147.9,165.35,31.54,44.18,37.86
52,189.2,151.8,170.5,32.87,46.41,39.64
54,195.1,156,175.55,34.28,48.71,41.495
56,200.7,161,180.85,35.77,50.93,43.35
58,206.1,167.2,186.65,37.7,52.98,45.34
60,211.3,173.7,192.5,39.57,55.11,47.34
62,216.2,180,198.1,41.28,57.22,49.25
64,221.3,185.9,203.6,43.45,59.28,51.365
66,226.2,191.7,208.95,45.55,61.25,53.4
68,231,197.2,214.1,47.57,62.96,55.265
70,235.9,202.7,219.3,49.62,64.35,56.985
72,240.7,207.9,224.3,51.68,65.97,58.825
74,245.4,212.8,229.1,53.64,67.37,60.505
76,250.1,217.4,233.75,55.61,68.99,62.3
78,254.7,221.8,238.25,57.57,70.1,63.835
80,259.5,226.3,242.9,59.46,71.4,65.43
82,264.3,230.7,247.5,61.12,72.6,66.86
84,269.2,235.1,252.15,62.84,73.5,68.17
86,274.2,239.7,256.95,64.47,74.2,69.335
88,279.5,244.6,262.05,66.06,75,70.53
90,285.4,249.5,267.45,67.66,75.9,71.78
92,291.7,254.8,273.25,69.1,76.4,72.75
94,298.3,260.6,279.45,70.2,77.1,73.65
96,305.4,266.5,285.95,71.5,77.7,74.6
98,312.3,273.2,292.75,72.7,78.2,75.45
100,319.7,280.7,300.2,73.7,78.6,76.15
102,327.6,289,308.3,74.7,79.1,76.9
104,335.8,297.6,316.7,75.5,77.6,76.55
106,343.5,306.3,324.9,76.3,76.4,76.35
108,350.5,315.6,333.05,77,75.5,76.25
110,356.9,325,340.95,77.8,72.8,75.3
112,362.6,334.5,348.55,78.5,74.2,76.35
114,368.1,343.9,356,79.1,76.2,77.65
116,373.7,352.6,363.15,79.5,76.7,78.1
118,380,360.3,370.15,79.9,71.8,75.85
120,385,365.8,375.4,80.4,76.4,78.4
122,389.1,369.9,379.5,80.8,72.9,76.85
124,392.1,373.4,382.75,81,78.4,79.7
126,395.1,374.2,384.65,81.1,74.6,77.85
128,400.1,375.5,387.8,81.5,81.4,81.45
130,405.4,376.9,391.15,81.3,81.2,81.25
132,408.8,379.7,394.25,81.7,81.2,81.45
134,409.6,381.2,395.4,81.7,80.4,81.05
136,410.4,380.8,395.6,82,81.2,81.6
138,412.2,381,396.6,81.9,81.1,81.5
140,414.6,385.2,399.9,81.8,81.1,81.45
142,416.9,393.4,405.15,81.7,81.1,81.4
144,420.5,401.1,410.8,81.8,80.8,81.3
146,426.4,407.4,416.9,82,80.8,81.4
148,433.4,413.4,423.4,81.9,80.8,81.35
150,441.9,418.3,430.1,81.7,80.7,81.2
152,450.4,423.4,436.9,81.7,80.5,81.1
154,459,430,444.5,81.8,80.4,81.1
156,509.1,438.8,473.95,81.8,80.3,81.05
158,525.2,445.3,485.25,81.8,80.1,80.95
160,525.6,449.5,487.55,81.8,80.3,81.05
162,515.9,451.1,483.5,81.7,80.3,81
164,507.5,451.4,479.45,81.7,80.3,81
166,501.9,451.9,476.9,81.6,79.9,80.75
168,500.4,452.2,476.3,81.6,80.1,80.85
170,499.8,452.5,476.15,81.7,80.2,80.95
172,499.6,453.3,476.45,81.6,80.1,80.85
174,500.8,453.8,477.3,81.6,80,80.8
176,498.9,454.3,476.6,81.6,79.9,80.75
178,497.2,454.1,475.65,81.5,79.7,80.6
180,495,454.1,474.55,81.5,79.5,80.5
182,492.5,453.8,473.15,81.4,79.4,80.4
184,491.7,452.8,472.25,81.3,77.2,79.25
186,489.9,452.2,471.05,81,76,78.5
188,489.8,451.5,470.65,81,76.6,78.8
190,484.9,451,467.95,80.8,74.8,77.8
192,476,450,463,80.7,77,78.85
194,472,448.8,460.4,80.5,78.7,79.6
196,469.1,447.9,458.5,80.2,78.5,79.35
198,469.6,447.1,458.35,79.9,78.2,79.05
200,470.2,446.2,458.2,79.9,78,78.95
202,468.2,445.9,457.05,79.7,77.6,78.65
204,467.5,446,456.75,79.3,75.6,77.45
206,464,446.3,455.15,79.1,77.5,78.3
208,459,446.9,452.95,79,75.7,77.35
210,458.6,447.8,453.2,78.7,75.4,77.05
212,456.4,448.6,452.5,78.6,75.5,77.05
214,452.2,449.1,450.65,78.6,75.8,77.2
216,455.3,449.3,452.3,78.9,75.5,77.2
218,453.5,449.5,451.5,79.3,73.2,76.25
220,449,449.8,449.4,79.8,73.3,76.55
222,449.1,450.2,449.65,80.6,74.1,77.35
224,449.2,450.6,449.9,80.7,74,77.35
226,450,451.4,450.7,80.9,75.5,78.2
228,450.3,451.1,450.7,81.5,75.4,78.45
