Raw,Time,Mass,Skip,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,HF Extra,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Center 2.4m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,Skip,Skip,Skip,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Surface Offset 2.4m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Back Center 2.4m,TC Back Outside Center 0.2m,TC Back Outside Center 0.4m,TC Back Outside Center 0.6m,TC Back Outside Center 0.8m,TC Water In,TC Water Out,TC Ambient,Event,Event,CO2,CO,78 T1m,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip
13.3540001,-127,-0.0427434,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0315502,1553.378886,31.4113636,34.9235954,29.0923424,28.0646915,26.8671341,26.5401974,26.2863712,26.0773392,26.1673126,25.8093643,25.627676,25.5852833,-3.85499E+12,-3.87304E+12,3326.198486,3327.179199,3327.53418,3326.377197,3326.466553,3326.377197,3325.930664,3326.55542,3326.377197,3326.109131,3326.644775,3325.93042,3327.001221,3326.019775,3327.533936,0.1000626,0.1000657,0.1000313,3326.02002,3325.841065,3325.48291,27.6642399,27.8200474,27.6697731,27.4911995,27.5846767,27.6189308,27.6065712,27.5886898,27.4390984,27.5054855,27.5523357,27.649683,27.6931057,3328.42041,3327.801025,-3.88411E+12,3328.421387,3327.800781,3328.243897,-3.87907E+12,-3.88109E+12,3327.800537,25.7973595,0,10,0,-33199.04759,NaN,-0.0427434,-0.0427434,-0.0427434,0,0,0,0,0
14.355,-125.9990001,-0.0403906,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0350817,1553.378886,31.3904457,34.8686371,29.0875626,28.0727272,26.8672543,26.561079,26.2793179,26.0736847,26.1526928,25.8125095,25.6194801,25.5827599,-3.85497E+12,-3.87302E+12,3326.200195,3327.180664,3327.535645,3326.378662,3326.467773,3326.378662,3325.932373,3326.557129,3326.378662,3326.110596,3326.64624,3325.932129,3327.002686,3326.021484,3327.5354,0.1000626,0.1000657,0.1000313,3326.021484,3325.842285,3325.484375,27.6654892,27.8212986,27.6793175,27.489809,27.5863075,27.63451,27.6119709,27.5956001,27.4444981,27.5157928,27.558115,27.6539478,27.6973724,3328.421875,3327.80249,-3.8841E+12,3328.422852,3327.802246,3328.245117,-3.87905E+12,-3.88107E+12,3327.802002,25.8133411,0,10,0,-33199.04759,NaN,-0.0403906,-0.0403906,-0.0403906,0,0,0,0,0
15.3559999,-124.9980002,-0.0409442,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0332655,1553.378886,31.3159103,34.7973022,29.0614204,28.0352554,26.870882,26.5530033,26.2954063,26.078064,26.1650181,25.8119812,25.6257591,25.5788345,-3.85497E+12,-3.87302E+12,3326.20044,3327.180908,3327.535889,3326.378906,3326.468018,3326.378906,3325.932373,3326.557373,3326.378906,3326.11084,3326.646484,3325.932373,3327.00293,3326.021484,3327.535645,0.1000626,0.1000657,0.1000313,3326.021729,3325.842529,3325.484619,27.6559162,27.8105946,27.6855812,27.487402,27.5786171,27.6207886,27.6076756,27.6075211,27.4353008,27.5175304,27.5681458,27.6681271,27.6915646,3328.422119,3327.802734,-3.88409E+12,3328.422852,3327.80249,3328.245361,-3.87905E+12,-3.88107E+12,3327.802246,25.7652283,0,10,0,-33199.04759,NaN,-0.0409442,-0.0409442,-0.0409442,0,0,0,0,0
16.3570004,-123.9969997,-0.0404828,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0311466,1553.378886,31.2559433,34.7341194,29.0284119,28.0105228,26.8434753,26.5350323,26.2834721,26.0812321,26.1632748,25.8068428,25.6259079,25.5820045,-3.85497E+12,-3.87302E+12,3326.200195,3327.180664,3327.535645,3326.378662,3326.467773,3326.378662,3325.932373,3326.557129,3326.378662,3326.110596,3326.64624,3325.932129,3327.002686,3326.021484,3327.5354,0.1000626,0.1000657,0.1000313,3326.021484,3325.842285,3325.484375,27.671896,27.8231831,27.6876144,27.4928246,27.5855503,27.6277256,27.6161137,27.5918274,27.4377117,27.5161705,27.5554714,27.6516876,27.6951084,3328.421875,3327.80249,-3.8841E+12,3328.422852,3327.802246,3328.245117,-3.87905E+12,-3.88107E+12,3327.802002,25.7570648,0,10,0,-33199.04759,NaN,-0.0404828,-0.0404828,-0.0404828,0,0,0,0,0
17.3580003,-122.9959998,-0.0420052,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0283214,1553.378886,31.1744785,34.6689949,28.9870434,27.9751625,26.8095798,26.5154743,26.2707119,26.0797997,26.1625919,25.8046513,25.6320286,25.5941658,-3.85497E+12,-3.87302E+12,3326.200684,3327.181152,3327.536133,3326.37915,3326.468262,3326.37915,3325.932617,3326.557617,3326.37915,3326.111084,3326.646729,3325.932373,3327.003174,3326.021729,3327.535889,0.1000626,0.1000657,0.1000313,3326.021973,3325.842773,3325.484863,27.6670742,27.8172283,27.6778889,27.4864902,27.5905323,27.6285534,27.6033745,27.5873775,27.4343929,27.5181293,27.5600739,27.6506367,27.693676,3328.422119,3327.802979,-3.88409E+12,3328.423096,3327.802734,3328.245606,-3.87905E+12,-3.88107E+12,3327.80249,25.7363701,0,10,0,-33199.04759,NaN,-0.0420052,-0.0420052,-0.0420052,0,0,0,0,0
18.3580003,-121.9959998,-0.0419591,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0270097,1553.378886,31.1177082,34.5906448,28.9414234,27.9393139,26.7808609,26.4954376,26.2518044,26.0639133,26.1383781,25.803112,25.6244431,25.5828056,-3.85499E+12,-3.87303E+12,3326.198731,3327.179443,3327.534424,3326.377441,3326.466797,3326.377441,3325.930908,3326.555664,3326.377441,3326.109131,3326.64502,3325.930664,3327.001465,3326.02002,3327.53418,0.1000626,0.1000657,0.1000313,3326.020264,3325.841309,3325.483154,27.6704369,27.8126755,27.6733322,27.4808044,27.5825825,27.6243801,27.6037216,27.5873489,27.4381332,27.5113106,27.5562744,27.6521111,27.6872349,3328.42041,3327.80127,-3.88411E+12,3328.421631,3327.801025,3328.244141,-3.87907E+12,-3.88109E+12,3327.800781,25.7427597,0,10,0,-33199.04759,NaN,-0.0419591,-0.0419591,-0.0419591,0,0,0,0,0
19.3590002,-120.9949999,-0.0420052,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0260007,1553.378886,31.0367546,34.5091553,28.9013252,27.9248295,26.7640915,26.4907494,26.2425861,26.0452518,26.1404858,25.7976646,25.6167259,25.5762253,-3.85497E+12,-3.87302E+12,3326.199951,3327.180664,3327.5354,3326.378418,3326.467773,3326.378418,3325.932129,3326.556885,3326.378418,3326.110352,3326.64624,3325.931885,3327.002441,3326.02124,3327.535156,0.1000626,0.1000657,0.1000313,3326.021484,3325.842041,3325.484131,27.6627388,27.8094997,27.6776981,27.4957314,27.5869503,27.6219578,27.5986633,27.5871906,27.4428787,27.5085125,27.5497017,27.6598701,27.6874542,3328.421631,3327.802246,-3.8841E+12,3328.422607,3327.802002,3328.244873,-3.87906E+12,-3.88108E+12,3327.801758,25.7369347,0,10,0,-33199.04759,NaN,-0.0420052,-0.0420052,-0.0420052,0,0,0,0,0
20.3600001,-119.994,-0.0402983,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0258998,1553.378886,30.9758282,34.4180374,28.8692513,27.891983,26.7674484,26.4880657,26.2304611,26.039547,26.1321297,25.7881794,25.6249981,25.5773144,-3.85498E+12,-3.87303E+12,3326.198975,3327.179688,3327.534668,3326.377441,3326.467041,3326.377441,3325.931152,3326.555908,3326.377441,3326.109375,3326.645264,3325.930908,3327.001709,3326.020264,3327.534424,0.1000626,0.1000657,0.1000313,3326.020508,3325.841553,3325.483154,27.657793,27.8147354,27.6787872,27.485508,27.5721951,27.6313438,27.6012573,27.5886536,27.4330292,27.5080929,27.5598431,27.648138,27.6828861,3328.420654,3327.801514,-3.88411E+12,3328.421875,3327.80127,3328.244385,-3.87907E+12,-3.88109E+12,3327.801025,25.7002544,0,10,0,-33199.04759,NaN,-0.0402983,-0.0402983,-0.0402983,0,0,0,0,0
21.3610001,-118.993,-0.0409442,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0293304,1553.378886,30.9102707,34.3522758,28.8200989,27.870327,26.7552032,26.4780846,26.2314281,26.0273018,26.12743,25.789526,25.6063137,25.5699787,-3.85496E+12,-3.87301E+12,3326.201172,3327.182129,3327.537109,3326.380127,3326.469238,3326.380127,3325.933594,3326.55835,3326.380127,3326.111816,3326.647461,3325.93335,3327.003906,3326.022461,3327.536865,0.1000626,0.1000657,0.1000313,3326.022705,3325.84375,3325.48584,27.6591396,27.8164597,27.6767368,27.478178,27.588253,27.6262779,27.5995865,27.5915108,27.4324894,27.5162277,27.5427113,27.6457138,27.6846104,3328.422852,3327.803711,-3.88408E+12,3328.424072,3327.803467,3328.246582,-3.87904E+12,-3.88106E+12,3327.803223,25.6728935,0,10,0,-33199.04759,NaN,-0.0409442,-0.0409442,-0.0409442,0,0,0,0,0
22.362,-117.9920001,-0.0414516,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0303394,1553.378886,30.8698483,34.2741013,28.8142452,27.8550396,26.7444267,26.466177,26.2172565,26.0376682,26.1359177,25.7757225,25.6034641,25.5678825,-3.85496E+12,-3.873E+12,3326.201416,3327.182129,3327.537354,3326.380127,3326.469482,3326.380127,3325.933838,3326.558594,3326.380127,3326.112061,3326.647705,3325.933594,3327.00415,3326.022705,3327.537109,0.1000626,0.1000657,0.1000313,3326.022949,3325.843994,3325.48584,27.6687355,27.8166313,27.676157,27.4889126,27.5797501,27.6222992,27.5974998,27.5916824,27.4353046,27.5190372,27.561739,27.6609669,27.6798782,3328.423096,3327.803955,-3.88408E+12,3328.424316,3327.803711,3328.246826,-3.87904E+12,-3.88106E+12,3327.803467,25.696106,0,10,0,-33199.04759,NaN,-0.0414516,-0.0414516,-0.0414516,0,0,0,0,0
