Time (s),Gas 1,Gas 2,Gas 3,Gas 4,Gas 5,Gas 6,Gas 7,Gas 8,Gas 9,Gas 10,Gas 11,Gas 12
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.12,0.01,0.03,0.00,0.09,0.14,0.07,0.03,0.09,0.03,0.03,0.01
2.00,0.21,0.16,0.17,0.13,0.23,0.21,0.18,0.16,0.17,0.16,0.16,0.13
3.00,0.25,0.23,0.23,0.21,0.28,0.24,0.23,0.22,0.23,0.21,0.22,0.21
4.00,0.29,0.26,0.26,0.25,0.30,0.27,0.26,0.26,0.25,0.24,0.26,0.25
5.00,0.30,0.28,0.28,0.27,0.32,0.29,0.27,0.30,0.28,0.27,0.30,0.27
6.00,0.30,0.31,0.31,0.29,0.33,0.33,0.29,0.30,0.29,0.28,0.31,0.29
7.00,0.33,0.32,0.32,0.31,0.35,0.35,0.31,0.31,0.31,0.31,0.31,0.31
8.00,0.35,0.32,0.33,0.34,0.37,0.34,0.31,0.35,0.33,0.32,0.31,0.32
9.00,0.37,0.33,0.35,0.35,0.40,0.33,0.36,0.34,0.33,0.33,0.34,0.34
10.00,0.39,0.36,0.39,0.36,0.39,0.34,0.36,0.35,0.35,0.36,0.39,0.32
11.00,0.39,0.38,0.40,0.36,0.37,0.38,0.36,0.36,0.35,0.37,0.40,0.34
12.00,0.41,0.41,0.43,0.38,0.39,0.39,0.38,0.36,0.36,0.40,0.41,0.36
13.00,0.41,0.41,0.44,0.38,0.38,0.39,0.37,0.36,0.36,0.43,0.42,0.39
14.00,0.41,0.41,0.41,0.38,0.41,0.38,0.38,0.41,0.38,0.43,0.41,0.43
15.00,0.43,0.42,0.46,0.42,0.38,0.38,0.40,0.42,0.37,0.42,0.45,0.42
16.00,0.45,0.45,0.49,0.46,0.40,0.39,0.40,0.47,0.37,0.42,0.48,0.44
17.00,0.45,0.45,0.47,0.45,0.41,0.39,0.42,0.44,0.37,0.42,0.51,0.44
18.00,0.46,0.45,0.50,0.44,0.42,0.41,0.40,0.41,0.36,0.38,0.48,0.45
19.00,0.54,0.43,0.55,0.44,0.43,0.42,0.41,0.39,0.39,0.42,0.44,0.46
20.00,0.59,0.44,0.57,0.46,0.42,0.43,0.42,0.41,0.45,0.48,0.44,0.46
21.00,0.55,0.43,0.52,0.52,0.46,0.43,0.40,0.46,0.49,0.51,0.48,0.47
22.00,0.54,0.41,0.50,0.59,0.49,0.40,0.41,0.46,0.48,0.50,0.49,0.51
23.00,0.52,0.44,0.54,0.64,0.48,0.41,0.41,0.44,0.47,0.49,0.46,0.54
24.00,0.52,0.42,0.66,0.63,0.46,0.43,0.42,0.47,0.50,0.48,0.49,0.53
25.00,0.50,0.40,0.71,0.70,0.48,0.42,0.44,0.47,0.51,0.50,0.51,0.51
26.00,0.49,0.41,0.60,0.71,0.48,0.41,0.45,0.48,0.50,0.50,0.52,0.51
27.00,0.50,0.41,0.59,0.70,0.48,0.39,0.48,0.49,0.47,0.50,0.51,0.49
28.00,0.53,0.42,0.58,0.66,0.51,0.47,0.48,0.45,0.48,0.53,0.55,0.52
29.00,0.58,0.47,0.55,0.57,0.52,0.45,0.52,0.46,0.44,0.49,0.57,0.58
