Time (s),NG 1,NG 2,NG 3
0,0,0,0
1,0.0141259,0.0106954,0.0081729
2,0.0428823,0.0873791,0.1224922
3,0.0980744,0.2063398,0.2315647
4,0.1338938,0.2525519,0.2703102
5,0.149836,0.2824182,0.2869587
6,0.1525603,0.3072395,0.2980576
7,0.1586142,0.3146052,0.3263095
8,0.1659799,0.3145043,0.3313545
9,0.178996,0.3218699,0.3617253
10,0.1832338,0.3481038,0.3676784
11,0.1916084,0.331859,0.3722189
12,0.1958462,0.3276212,0.3651559
13,0.2007903,0.3404355,0.3544605
14,0.2097704,0.3678802,0.3604136
15,0.2173378,0.3836205,0.3487092
16,0.2311611,0.3709072,0.3662658
17,0.2315647,0.3612208,0.3754477
18,0.2246026,0.3791809,0.395224
19,0.2299503,0.357992,0.4027915
20,0.2465987,0.3694946,0.3882619
21,0.2566887,0.3703018,0.372118
22,0.2651643,0.3738332,0.3661649
23,0.2776758,0.4054148,0.3598082
24,0.265467,0.4178255,0.3635415
25,0.2750524,0.4114688,0.3675775
26,0.2954342,0.4120742,0.3769612
27,0.3047169,0.3859412,0.3822079
28,0.299672,0.3996636,0.3941141
29,0.3189438,0.3870511,0.4103589
30,0.3461867,0.3835196,0.3885646
31,0.3415453,0.3910871,0.3843268
32,0.3481038,0.3976456,0.3987555
33,0.3439669,0.3984528,0.3949213
34,0.3562767,0.3946186,0.382107
35,0.3608172,0.4055157,0.388161
36,0.3602118,0.40824,0.3885646
37,0.3513326,0.3977465,0.3617253
38,0.3521398,0.3824097,0.3755486
39,0.3587992,0.400269,0.3804926
40,0.3709071,0.3914907,0.3732279
41,0.388161,0.4033968,0.3624316
42,0.37908,0.3805935,0.3816025
43,0.3712098,0.3955267,0.3795845
44,0.365963,0.3782728,0.4024888
45,0.3688891,0.3724207,0.3899772
46,0.3641468,0.3653577,0.4067266
47,0.3490119,0.363037,0.3949213
48,0.3389219,0.3825106,0.4176237
49,0.3454804,0.3954258,0.3951231
50,0.3469939,0.3883628,0.3805935
51,0.351938,0.3892709,0.3772638
52,0.3414444,0.3734296,0.4019843
53,0.3376102,0.3743377,0.3922979
54,0.3240897,0.3624316,0.3817034
55,0.3295383,0.3712099,0.3768603
56,0.3416462,0.3764566,0.3724207
57,0.3370048,0.3753467,0.3859412
58,0.3502227,0.3764566,0.3797863
59,0.3712098,0.3823088,0.369091
60,0.3824097,0.3910871,0.3666694
61,0.3626333,0.3768602,0.3804926
62,0.3835196,0.3907844,0.3918943
63,0.3746404,0.3876565,0.4008744
64,0.3766584,0.4036995,0.3993609
65,0.3936095,0.4327586,0.3807953
66,0.3960311,0.3979483,0.394215
67,0.4047085,0.3893718,0.3974438
68,0.3946185,0.3848313,0.4184309
69,0.3894727,0.3825106,0.407231
70,0.3984527,0.3671739,0.4287227
71,0.385134,0.3596064,0.4235768
72,0.4003698,0.3692928,0.4231732
73,0.4043049,0.3678802,0.4305389
74,0.3817034,0.3866475,0.4160093
75,0.3736314,0.3840241,0.4150003
76,0.3632387,0.3791809,0.3943159
77,0.3747413,0.3768602,0.4108634
78,0.3848313,0.3769611,0.4347766
79,0.3691918,0.369091,0.4296308
80,0.3671738,0.3657613,0.4550575
81,0.3680819,0.3859412,0.4426468
82,0.3541578,0.3843268,0.456571
83,0.3754476,0.3850331,0.4570755
84,0.3845286,0.3860421,0.4236777
85,0.3734296,0.3752458,0.4101571
86,0.3675774,0.3993609,0.4106616
87,0.3655594,0.415303,0.4073319
88,0.3485074,0.4190363,0.3827124
89,0.357992,0.4127805,0.3880601
90,0.3628351,0.4125787,0.3996636
