Time,PUF 1,PUF 2,PUF 3,PUF 4
0,0,0,0,0
1,0.0022198,-0.0023207,0.0002018,-0.0007063
2,0.0075675,-0.0009081,0.0015135,0.0007063
3,0.0043387,-0.0004036,0.0001009,-0.0018162
4,0.0011099,0.0018162,0.0019171,-0.0025225
5,0.0007063,0.0082738,0.0071639,0.0022198
6,0.0028252,0.0097873,0.0034306,0.002018
7,0.0043387,0.0099891,0.0032288,0.0051459
8,0.0063567,0.0129152,0.0064576,0.0077693
9,0.0011099,0.0119062,0.0064576,0.0052468
10,-0.0025225,0.0148323,0.0086774,0.0011099
11,0.0034306,0.0153368,0.0086774,0.0006054
12,0.0045405,0.0167494,0.0124106,0.0012108
13,0.0091819,0.0170521,0.0099891,0.005045
14,0.0118053,0.0206844,0.0052468,0.008072
15,0.0094846,0.0247204,0.0048432,0.0086774
16,0.0099891,0.0258303,0.0066594,0.0091819
17,0.0129152,0.0325906,0.0082738,0.0078702
18,0.0164467,0.0366266,0.0127133,0.0103927
19,0.014126,0.0285546,0.013016,0.0129152
20,0.0157404,0.0275456,0.0102918,0.0164467
21,0.0139242,0.0290591,0.0101909,0.0183638
22,0.0198772,0.0346086,0.0139241,0.0197764
23,0.020079,0.0339023,0.0154376,0.0266375
24,0.0211889,0.0387455,0.0157403,0.0302699
25,0.021088,0.0379383,0.0184646,0.0329942
26,0.0273438,0.0389473,0.0183637,0.028151
27,0.0256285,0.0383419,0.0222988,0.0298663
28,0.0287564,0.0373329,0.0296645,0.0323888
29,0.0339023,0.0414698,0.0278483,0.0329942
30,0.0391491,0.0477256,0.0324897,0.0373329
31,0.0384428,0.0460103,0.0394518,0.0356176
32,0.0403599,0.0489364,0.0406626,0.0369293
33,0.0418734,0.0523669,0.0423778,0.0401581
34,0.0424788,0.060338,0.043185,0.0425797
35,0.0459094,0.063365,0.040259,0.0394518
36,0.0441941,0.0625578,0.0413688,0.0476247
37,0.047322,0.0645758,0.0436895,0.0528714
38,0.0511561,0.065383,0.0511561,0.0587236
39,0.0576137,0.071437,0.0558984,0.0557975
40,0.0577146,0.0772892,0.0590263,0.0610443
41,0.0640713,0.0715379,0.0631632,0.0680064
42,0.0787017,0.0729505,0.0688136,0.0610443
43,0.0816278,0.0807197,0.0693181,0.0618515
44,0.082435,0.0893971,0.0778945,0.0648785
45,0.079408,0.0871773,0.0793071,0.0652821
46,0.0856638,0.0916169,0.0837467,0.0661902
47,0.0861683,0.0934331,0.0869755,0.0705289
48,0.0920205,0.0969646,0.0907088,0.0721433
49,0.0989826,0.095552,0.0928277,0.0792063
50,0.0996889,0.0967628,0.0983772,0.083444
51,0.1059447,0.1006979,0.0942403,0.0870764
52,0.1083662,0.0994871,0.090507,0.0956529
53,0.1135121,0.0998907,0.0964601,0.0910115
54,0.1142184,0.1062474,0.0953502,0.0887917
55,0.1189607,0.1050366,0.1049356,0.0910115
56,0.1227949,0.112604,0.1043302,0.1018078
57,0.1193643,0.1163373,0.1185571,0.1017069
58,0.1223913,0.1200706,0.1154292,0.1103842
59,0.1241066,0.1280417,0.110586,0.1094762
60,0.1284453,0.1301606,0.115631,0.1120995
61,0.1290507,0.1260237,0.1224922,0.1141175
62,0.1343984,0.1351047,0.1235012,0.1175481
63,0.1340957,0.1353065,0.1234003,0.1275372
64,0.1363154,0.1371227,0.1243084,0.1329858
65,0.1376271,0.1381316,0.1227949,0.1381317
66,0.1504414,0.1480198,0.1268309,0.1361137
67,0.1520558,0.1454973,0.1274363,0.1238039
68,0.1500378,0.1456991,0.132683,0.1289498
69,0.1446901,0.147818,0.1368199,0.1311696
70,0.1480198,0.1574035,0.1360127,0.1235012
71,0.1603296,0.1474144,0.1353064,0.1217859
72,0.1555873,0.1479189,0.1390397,0.1199697
73,0.1514504,0.1554864,0.1312704,0.1309678
74,0.158917,0.1605314,0.1448919,0.1273354
75,0.1545783,0.1692087,0.1414613,0.1290507
76,0.1620449,0.1681997,0.1483225,0.1332885
77,0.1633566,0.1632557,0.1514504,0.1351047
78,0.1567981,0.1675943,0.1566972,0.135811
79,0.160935,0.1675943,0.1581098,0.1256201
80,0.1633566,0.1685024,0.167897,0.1270327
81,0.1712267,0.170924,0.1700159,0.1300597
82,0.1718321,0.1725384,0.1696123,0.1285462
83,0.1816194,0.1683006,0.1732447,0.1249138
84,0.1851509,0.1686033,0.1758681,0.1286471
85,0.187068,0.1795005,0.1822248,0.1338939
86,0.1836374,0.1848482,0.1945345,0.1326831
87,0.188077,0.189086,0.1862608,0.1401496
88,0.201093,0.1785924,0.1865635,0.1374254
89,0.2007903,0.1737492,0.1912048,0.139746
90,0.1946354,0.1746573,0.1858572,0.1364164
91,0.1996804,0.1768771,0.1927183,0.1365173
92,0.1883797,0.183032,0.1924156,0.1399478
93,0.1976624,0.1856554,0.1966534,0.147818
94,0.2099722,0.1797023,0.1923147,0.147818
95,0.2210712,0.1865635,0.1952408,0.160935
96,0.2289413,0.1884806,0.1976624,0.1600269
97,0.2276296,0.1881779,0.1964516,0.1593206
98,0.2359034,0.1932229,0.1909021,0.1571008
99,0.2319683,0.1974606,0.1953417,0.1470108
100,0.2426637,0.2082569,0.2030101,0.1400487
101,0.2429664,0.2131001,0.189994,0.1363155
102,0.2569914,0.2153199,0.1981669,0.1208778
103,0.2648616,0.2237955,0.1935255,0.1150256
104,0.27253,0.2294458,0.1987723,0.1088708
105,0.2893802,0.2345917,0.1962498,0.1077609
106,0.297654,0.2411502,0.188985,0.10766
107,0.3130916,0.2367106,0.189994,0.1082654
108,0.3218699,0.2421592,0.1947363,0.1068528
109,0.3295383,0.2517447,0.20412,0.1116959
110,0.3612208,0.2507357,0.2133019,0.1215841
111,0.3687883,0.235298,0.2078533,0.1142184
112,0.378071,0.2335827,0.2105776,0.1118977
113,0.4029932,0.2387286,0.2204657,0.1148238
114,0.4178255,0.2464979,0.2161271,0.119667
115,0.4383081,0.2388295,0.2126965,0.1273354
116,0.4439585,0.2344908,0.2150172,0.1416631
117,0.4498107,0.228235,0.2177414,0.1288489
118,0.4592952,0.2318674,0.2254098,0.1236021
119,0.4529386,0.2327755,0.2206675,0.1184562
120,0.4683762,0.226217,0.2237954,0.1055411
121,0.4681744,0.2224838,0.2325737,0.1083663
122,0.4664591,0.2204658,0.2245017,0.1031195
123,0.4477927,0.2274278,0.232271,0.1064492
124,0.4441603,0.2314638,0.2420583,0.1173463
125,0.4332631,0.2329773,0.2490203,0.1202724
126,0.4457747,0.2405448,0.2581013,0.1137139
127,0.4501134,0.2411502,0.2717228,0.1045321
128,0.446481,0.2498276,0.2714201,0.1011015
129,0.4558647,0.246397,0.2642562,0.118658
130,0.4661564,0.2457916,0.2607247,0.1238039
131,0.4669636,0.251442,0.2613301,0.1263264
132,0.5021776,0.2527537,0.2734381,0.144791
133,0.5056082,0.2495249,0.2741444,0.1481207
