Time (s),Gas_1,Gas_2,Gas_3,Gas_4,Gas_5,Gas_6,Gas_7,Gas_8,Gas_9,Gas_10,Gas_11,Gas_12,Gas_13,Gas_14,Gas_15,Gas_16,Gas_17,Gas_18
0,0.4323419,0.6705773,0.4868645,-0.1338142,-0.0505669,0.6950523,0.7097235,0.1305775,0.1521509,0.5028868,0.1109347,0.8216495,0.5852316,0.5481841,0.136035,0.5646023,0.5692945,0.330206
1,0.7991245,1.0135978,1.3806694,1.3452491,0.5399482,2.0370239,1.6567694,1.0822083,0.9623218,1.0734808,1.3322706,1.4454464,2.2577163,0.9651067,0.7575362,2.5318911,2.7834858,1.6664631
2,2.4630531,3.5516333,3.334991,5.3733202,2.599843,6.0243619,3.9398327,3.872077,2.4102943,2.4174587,4.023755,2.7200121,6.7605315,2.6039121,1.5348425,6.896874,6.9814525,5.329166
3,8.1079314,9.8241383,8.4697457,13.6850016,10.107277,11.9300611,7.9426903,8.907554,5.7937618,5.1219834,9.3656424,4.9670734,13.2113502,5.7416519,3.939241,13.3761249,13.8965055,10.978842
4,17.7499251,18.5351676,15.8968177,24.0477729,20.0473227,18.7157624,13.3143956,15.4874689,9.7625593,9.4107698,15.314029,9.355879,19.9243672,9.5025644,8.5094058,20.3955059,20.534994,17.5441388
5,28.6482936,28.9247965,24.3746029,33.7489926,29.7119478,26.701816,18.4753957,21.941436,15.1483453,14.2857844,20.8747682,15.0535012,25.3585123,13.136681,15.1754892,26.4489796,27.7194364,23.8211467
6,37.7172997,38.8910048,32.4087234,40.1416384,38.8793085,32.9969314,22.8045869,27.0589636,20.8371347,19.2821518,26.3285917,21.4376902,29.5626509,17.7237109,21.4756961,29.9912541,33.732063,28.1958294
7,44.6405809,45.002464,40.9264203,44.548627,44.4054942,39.6975526,25.4433421,31.6082402,25.2408202,24.2053269,30.0428369,27.0871906,33.4419092,22.2861976,27.9540073,34.9173871,36.6993127,32.3027177
8,50.1235044,51.2688805,46.7248304,47.6699018,49.3931078,44.8491913,29.4293224,33.6875208,28.6364845,28.1613256,32.6596301,31.6626752,35.8288208,26.028932,32.2746177,37.6519649,39.6685159,35.9229934
9,53.5391363,54.64524,51.8556268,50.2243015,51.5245957,51.3012993,32.0358383,36.2485115,32.1551846,32.2238072,35.8291794,35.4597696,38.0897842,29.4701247,37.2643226,40.3777891,41.6720757,37.9330349
10,57.8219054,56.4990137,56.7512571,53.4813478,53.7923317,56.367679,35.6068374,37.7780525,35.2366061,35.2581502,37.7430834,39.2438371,39.8777291,32.3069832,41.8005018,40.9246813,43.7570773,40.3642084
11,58.7706635,60.1773836,60.0998102,55.3754378,55.8470534,58.8878183,38.9382757,38.9101559,38.5129997,38.7203966,40.7007857,41.9963606,42.5279009,36.1944282,44.5278568,44.6788715,45.4351043,42.3508043
12,62.1303347,59.7606662,62.7005818,56.7815395,56.8375545,59.9754623,41.0290448,40.9586468,41.6414579,40.5290255,43.4924907,43.5149804,43.2908242,38.5705067,47.2203266,46.3374174,47.0945915,45.4741218
13,62.6004891,62.0687317,66.376901,57.1350854,57.991708,61.4242838,44.4161055,42.3702661,43.3820796,41.9049771,47.8275551,44.6598875,44.0272543,41.6432698,49.9921652,49.1357882,49.0406455,47.2356493
14,61.937633,65.3112102,68.3372532,58.3300449,58.8698676,61.3233874,46.4757919,42.9228816,45.7902294,42.6903399,50.0873552,46.3428701,44.7953669,44.7433442,51.6254759,50.8373534,49.4337558,49.833662
15,63.2818716,66.8506,69.5311468,58.0952999,58.2959253,60.5079273,47.5423241,44.3987979,46.8743793,43.6550523,51.865553,46.1763464,46.7633613,47.0837169,52.8390798,52.7239337,52.6160566,51.3830634
16,63.5415796,69.3584891,71.700381,58.7184274,58.7056884,61.3398256,48.8681678,46.5983634,49.5745355,44.7574333,53.7521506,47.2303333,46.7377226,49.9025219,51.1975251,53.2980373,54.3551146,53.6363309
17,63.9765079,69.7395492,76.4045988,59.6361026,61.7663987,61.6859881,50.0936192,47.8960611,50.1686591,45.4796787,54.0140391,47.5128937,46.8194209,50.9171546,51.0916423,53.8218083,55.6603145,55.6784224
18,63.1091444,70.0360305,80.6381734,59.563524,64.8408367,61.7462013,50.7527165,50.4214993,51.0655942,46.1396346,54.7609443,46.8925885,48.3775029,52.2695548,51.2666339,53.9851323,56.9344182,56.9632249
19,62.9614878,70.5212698,84.9558098,61.5270707,66.6230432,61.6979468,53.5656009,51.5192235,51.8413443,46.5175302,53.1495396,46.2784248,48.4978407,52.6008719,50.5405877,55.6171985,55.9512473,58.502313
20,65.0821661,71.9523354,86.6467596,59.6368286,70.331261,61.6141638,56.3787462,51.4808086,50.4857178,47.6855652,52.5484608,47.4613336,49.8706532,52.5817818,49.5291725,54.4574219,57.3704688,58.8279064
21,68.6514663,72.9134154,89.0636453,59.623745,71.6700844,62.3299024,57.8979803,53.0166393,52.7287328,48.3252992,52.7304767,46.4861915,48.950858,52.2252755,49.2184202,56.0216642,58.9322421,57.8740857
22,68.4130876,73.2978466,90.2491754,60.3104076,69.7378329,64.8617248,59.5756772,52.9499899,53.1468226,49.1616868,50.9096413,46.2472467,49.1721066,52.4975391,51.2036222,56.4386712,59.7585013,58.9003141
23,71.0640651,73.3954709,91.947406,59.7403916,68.3576604,65.9220236,61.3923194,52.7965991,54.8091526,50.6991187,51.9026158,47.0115657,50.7659851,52.6787543,51.3071327,56.3685163,60.9415237,59.0080364
24,72.6357339,74.9395765,93.2687502,61.0141014,66.3358032,65.8385475,61.7212646,54.3444551,56.8273609,52.8218715,52.1316468,47.6959522,51.1655549,52.1871802,53.6390551,57.0241206,63.030306,58.5220304
