Time (s),NG_1,NG_2,NG_3,NG_4,NG_5,NG_6,NG_7,NG_8,NG_9,NG_10,NG_11
0,83.7745518,80.5943203,80.0272196,78.292173,77.9250577,0.5107623,0.1953199,0.7599132,0.4393093,0.8834085,1.1668923
1,83.8578164,81.1908139,78.0955237,80.5526471,77.4814609,1.1032485,0.7987722,1.0223719,0.9439805,1.3282141,5.6484588
2,87.0352314,82.5694073,77.1904321,80.35717,76.5850094,3.8427774,3.4687354,1.3686199,1.0336728,4.8173062,9.7072492
3,85.4802681,83.8239495,79.5049584,81.3166272,78.5333534,10.1787494,10.3147934,3.8493044,2.9852641,12.3840076,16.6049866
4,84.0865952,84.1629214,81.0040975,83.0990467,78.4914176,19.5475787,20.4593928,7.9312051,8.7214651,22.3194855,23.5179931
5,82.7575575,84.001206,79.8560761,81.9024846,78.4770217,29.6085873,31.4281011,13.4419967,18.559886,33.4291707,30.9579721
6,83.0522188,83.0513497,77.7554808,83.2787736,80.413083,39.286422,42.1276025,19.154344,30.2637339,42.0764973,34.5913077
7,83.874313,83.5339789,78.4165048,82.3583035,80.6084999,47.0306845,49.9473174,23.9430752,42.6058753,49.1397499,38.875093
8,83.4221697,83.6875787,81.6079537,81.5841173,81.5339427,55.3608129,56.1155501,28.3796147,51.3183817,53.851143,45.2796851
9,84.547728,84.4524297,80.5162251,82.2538488,82.4105493,59.4006725,60.8036687,31.7962713,58.7212775,57.2375033,47.1663895
10,86.1530726,85.7454706,81.8609039,81.9791248,81.3509588,64.4292129,63.1723721,36.5631816,61.3563858,59.7840662,52.9140057
11,86.4362832,87.7149177,82.3353029,81.3908951,80.3494076,66.1881716,65.7539576,38.4817866,63.7440021,62.9544834,52.7640861
12,87.4489983,87.038035,78.4030053,82.9118941,79.3760671,67.0340891,66.8160407,40.7411628,64.9533349,64.0063286,55.438642
13,89.729177,87.3034801,76.8654419,82.5444195,75.6828669,69.888505,67.1773013,42.8196071,65.9086592,63.9118499,57.2407498
14,87.8614567,86.3042162,74.7974449,81.04615,75.6414104,71.0219533,68.2278604,45.3290339,67.217277,64.3591643,60.9736557
15,86.418571,85.8034007,72.438051,82.54751,74.2523662,72.7044258,67.7391101,47.3509406,67.4018853,65.1210461,60.9935063
16,85.6821352,86.8391917,73.5785352,79.9622344,76.2807954,74.2658837,68.1236942,49.6292986,67.6610142,65.5203486,66.5721942
17,84.2951849,84.0861611,76.4565198,79.5230851,79.2886927,76.2907998,69.1204521,48.4804057,68.5253935,67.1556017,64.9935388
18,82.7892901,84.8786705,81.2163377,78.0835121,80.2803967,76.0584801,68.2629647,51.111467,68.3786829,69.6246099,70.2399348
19,82.2203738,84.0535635,84.935089,79.5079797,81.4025823,75.781758,71.0341482,52.5087042,68.378181,69.2830618,69.4795929
20,82.8957768,87.5375831,88.4165191,77.5012496,83.4745471,77.4397506,73.0306157,54.0756447,71.0697003,70.8374498,72.7748196
21,80.3219121,88.9919347,88.9313809,78.1660595,85.5834005,76.1739943,75.7403789,57.5161783,73.193505,70.2796185,73.0194861
22,82.266665,89.5874701,91.9762555,76.7680865,86.626238,75.6544253,76.7438929,58.1046466,74.0909278,69.0514073,74.5425364
23,80.7134236,91.066461,91.1806173,75.6225297,88.0739685,76.5987302,76.3132176,56.8142535,73.0227351,70.304376,70.7080452
24,80.5113256,91.8375747,92.2792892,74.0047375,88.1091884,75.0094109,77.9657802,58.5573376,73.6173703,73.0141244,74.3492059
25,80.1428461,90.5374178,89.3352187,72.7245368,88.7554723,76.8368259,78.6973118,59.3515642,72.2880454,73.5164445,70.9256377
26,83.2241365,87.5819103,88.1238436,73.131438,88.21274,77.8100241,79.9379375,59.9127792,71.8944212,75.0106874,72.5606651
27,83.8164952,87.5614036,86.0522892,75.3020484,86.0370212,77.880842,80.1838154,59.2455029,72.220866,74.3999036,72.9235311
28,84.5406578,86.8439674,82.8907423,75.5262416,85.1864887,79.3391239,80.0212427,60.7654797,73.1480298,77.4726258,71.4321697
29,85.7210932,87.016793,80.655611,78.6715374,83.6655916,78.2775409,82.3430819,61.7514914,73.0164644,77.7092297,74.7845568
30,85.6246632,85.0173117,77.0480171,81.6073111,82.4238313,75.7402397,81.9731876,62.9406257,75.2383857,78.8015447,75.2023165
31,86.9683159,81.8677961,75.8227436,82.3182364,79.7869739,74.5077141,81.200543,63.8395079,77.2404382,77.3279148,74.8752457
32,88.4733903,81.996091,77.4039463,83.6645259,81.1349751,72.7357769,80.9757564,63.4551694,77.2723862,77.2294627,74.9236438
33,89.003925,80.8675913,77.275523,84.2942804,79.3551302,72.1705502,81.0749241,62.1920378,77.9075073,78.677738,80.2034626
34,87.9065855,80.845521,79.4855906,85.0517736,80.6895467,73.9308995,80.9741503,64.2428556,80.0482067,77.4147053,75.5480044
35,85.2901183,80.182894,82.0250989,86.7998038,79.7588701,73.8694601,79.5311232,66.4854837,80.032775,77.8880737,80.5803831
36,85.2188259,79.6376965,82.4526416,86.7977754,79.9527508,73.0449012,79.5437022,68.3950942,80.2759,78.2366559,78.2784388
37,85.6317036,80.7165234,84.7553904,88.5003204,82.2324281,74.0194905,79.7811514,70.7574511,79.2328453,75.6742411,83.5030319
38,86.0470999,80.8387606,89.3777721,88.5672266,81.5459989,74.0209831,79.2900416,72.9850355,79.3603989,77.2286826,78.4063527
39,87.5981092,80.9585155,86.9205183,88.3137976,83.0198404,75.7723441,78.0397934,76.1581825,78.9778296,79.7451247,80.8342952
40,87.0433332,83.5519115,85.949024,87.7556476,80.6993747,75.7692069,77.3004852,76.6664537,77.1001568,82.0656182,82.9501143
41,86.529575,84.3217374,87.6571109,87.0588762,81.3265042,76.0699945,77.9962341,76.991777,79.2205767,83.5319885,83.1812127
42,86.4819883,86.4603501,90.2447054,87.8319392,80.9087147,76.186502,78.3767983,74.6332304,78.0773549,82.8306274,82.1326457
43,86.2253863,87.4869618,88.0769623,87.6154639,80.4011779,76.4318532,76.4874294,75.3316116,76.4737082,81.9435516,85.8888468
44,85.7166687,86.7555445,87.5570355,85.9450393,79.9357693,76.6512904,79.2423191,74.32666,74.5097438,80.1244945,83.6004037
45,84.4339917,86.2203434,88.0589563,84.0596122,78.8005729,76.5817604,78.0502211,75.3292611,75.9667217,79.9504718,81.4071467
46,86.1953887,85.2283683,87.0835135,82.5269232,79.5910093,78.9088508,78.3080732,77.6964002,74.3716454,77.0611577,81.3413562
47,86.2182081,84.5178377,85.9748128,82.2434749,77.675392,78.1839551,78.3751046,76.5151443,76.0757523,75.3659119,79.2296574
48,87.255146,84.2657685,86.0461657,78.2117151,78.9113254,78.2990655,77.8188437,76.9131272,75.9480888,74.0693403,79.9404377
49,85.9301858,83.1159644,84.5311033,80.7076764,79.64427,78.6942891,78.2726041,77.649405,74.1346181,75.3942907,79.5196552
50,86.3954892,83.2037554,82.6669157,78.7814441,82.6314102,79.4605174,77.2615138,80.819216,73.9279522,74.0059755,80.316198
51,88.0893088,85.8501116,82.6796778,76.5994141,84.598705,79.7277252,79.3360084,82.8289844,74.9596563,76.7928552,80.0189192
52,87.847085,83.7444127,83.013252,76.6136881,84.5167339,80.8228859,79.226391,83.5918586,76.8899552,75.7076256,80.3228494
53,86.1078448,84.540595,83.0476337,75.498923,84.9786262,80.6599162,77.2832926,83.7089315,77.3294871,76.2673734,79.758603
54,85.8305272,84.7638564,83.415268,78.315941,86.0180976,80.6171325,76.0860157,82.6826972,78.5846553,75.705038,78.0360107
55,83.1480141,84.0972759,80.1664497,77.5035635,86.0831913,79.314475,76.5209717,82.5958437,80.784348,77.4581259,79.5255456
56,85.5153018,85.5367139,82.8670214,76.6148384,84.0231621,77.8655048,77.541029,83.1149535,82.1320373,79.2211866,80.2880089
57,84.7822665,86.6300419,82.5565831,76.0412634,83.9665386,78.291686,78.9546442,84.6403742,81.2708845,79.7417308,82.1275087
58,86.4447757,87.3302785,81.3937305,75.726562,83.4972563,77.9111503,79.7853579,84.4236147,82.6381247,81.5056781,81.3379386
59,86.5584135,85.8264539,81.458645,75.2786011,81.2350479,79.3309646,79.4321458,83.2465755,81.3145281,83.7537106,80.3051518
60,87.6895218,85.0734125,83.0414252,74.2211978,80.5498377,79.0031744,78.5255521,82.8828416,81.3754847,83.354075,79.8711578
61,85.9334433,83.557475,81.568451,76.0729206,82.7027581,78.2159891,80.7217374,78.7520043,79.3692875,81.4352177,82.7155693
62,84.6648436,82.1206299,82.0675504,76.3029695,82.7427207,78.1525712,81.2342693,78.8571359,76.6328573,81.0818154,79.2559168
63,85.508809,81.272727,82.568074,77.918247,80.2932365,79.0248929,81.4691844,78.0052463,75.093117,80.7131665,79.4074373
64,84.0107381,79.4283366,81.6185141,77.7635838,81.3138079,76.6696036,82.3861015,75.7596747,75.0452144,78.1920445,77.8132143
65,82.5728764,80.0055186,85.2843987,80.2103498,82.0105128,77.1356891,84.6792589,75.1033024,74.4467863,79.3104712,79.7591966
66,81.9617202,81.7337708,83.6831543,81.8446282,81.7442255,77.7136637,84.4013398,71.9838743,71.0224545,77.078388,81.4673193
67,82.6831175,83.1352334,84.6210908,83.6287073,83.4445263,75.5455463,86.0940406,70.318733,72.1661566,77.7935775,82.8129729
68,80.3329771,83.7330436,85.0494251,84.8287834,85.175593,77.1347418,86.2629317,68.5738094,72.5783488,76.9253564,85.6203912
69,81.7968039,83.0904652,85.095227,86.4634861,83.8001302,75.6864862,85.2119152,66.8607384,72.2967925,74.5770318,83.6673101
70,81.7442699,81.5165805,84.2861448,86.3557739,83.3301859,74.8564191,82.5640129,65.7376055,72.6807141,73.2889535,84.5243398
71,81.6531507,81.0309722,84.9658429,85.9992705,83.0094753,76.8041,80.2191119,66.4232126,72.759308,73.2476164,81.6284696
72,82.116628,80.2406609,84.792593,85.3405941,80.1698716,73.9579672,79.6399905,65.7964903,74.0670123,71.7935642,81.2078452
73,83.422928,80.0167256,83.984804,83.5288224,80.3137998,74.5414604,78.4396824,67.5347348,75.1895307,72.803532,81.339999
74,83.1683175,80.5570947,82.61926,79.7377242,78.3358775,74.7530615,77.438735,64.5278485,76.0508214,72.4918994,80.011761
75,83.5015651,81.0909324,81.9411234,77.6930628,77.1990164,74.9101316,76.7643082,65.3736117,75.7313349,72.2687758,77.6434269
76,82.7677564,82.2882,79.767331,77.6377643,78.0593446,77.0314373,75.3839679,68.5402492,76.9250927,71.42686,81.6625081
77,84.6201994,83.4931828,77.748186,75.7056037,78.624932,77.4047202,72.978779,69.1733024,78.370553,73.0563282,80.066093
78,84.0747994,85.8091765,78.4919062,73.9911266,80.6176482,79.0294769,72.1380619,68.4957315,78.9004161,74.0290391,80.9616157
79,84.1266832,87.372778,78.5542257,74.179402,80.7488649,78.1073877,73.9734719,70.713674,78.1391605,75.4864429,80.1129022
80,85.8946492,88.7902657,77.3371581,73.8372216,80.8647327,80.9088542,72.8851389,74.4419465,80.1061213,72.9040143,81.249109
81,83.7806004,88.202968,76.5266797,75.0125763,78.616809,81.43425,73.1846912,74.5810066,80.8256288,73.3256754,82.6831948
82,82.8543011,87.7781212,73.150424,74.9300614,78.2922863,80.7648654,73.3943173,76.6790924,81.4435478,73.3931302,83.418859
83,82.5054723,86.6266011,74.2134933,75.2442068,76.9047067,80.8058514,74.1063814,76.5504506,81.3124708,72.8654352,82.6429151
84,83.3734656,86.899456,74.49243,77.7419145,78.9933445,82.1480447,74.6478866,79.6091869,82.4123715,71.7846449,82.5570373
85,83.4738182,87.4436339,75.1297754,79.7475704,76.4006159,79.8364998,75.1938051,79.5085832,81.929519,72.0815159,81.8323711
86,85.0841727,87.3873738,74.0694469,81.6933932,78.1766698,79.1411281,76.0466885,81.5126219,81.9910689,72.9829493,84.2864477
87,86.3697413,86.5213827,75.9510472,82.3885962,79.9942335,77.1423093,76.9983429,82.7259966,82.7207246,72.9225134,85.3468895
88,88.9485086,84.5326026,78.2330449,80.218101,82.7893724,75.8978881,78.9228376,85.6343274,82.2834478,75.1042842,84.3737281
89,87.4903869,84.4101124,78.5030598,80.7536938,83.8550887,73.7653292,82.0367935,84.6496062,79.7112612,75.6494836,86.1919517
90,87.5779821,83.0428066,83.4613562,81.4701807,83.7872641,75.6989875,79.8415519,84.6514334,80.0976087,76.3932265,82.3475995
91,87.2184637,81.6077183,85.8698429,79.978246,85.2745264,74.2240883,80.6425893,83.3795064,75.8823352,77.8894386,83.97878
92,86.775476,80.0688821,89.2044506,80.0629598,85.1791701,73.596254,81.5158527,80.5652799,74.8514017,79.4576916,84.6090086
93,85.390108,79.6216737,91.3248995,80.0214479,84.8402508,75.1494002,82.1222275,76.4969654,74.5632729,76.8080197,84.6088184
94,83.2854827,80.4779766,90.5890226,80.7440644,82.0320414,74.558832,82.2473486,74.6461322,70.9756787,75.2754032,82.7118864
95,82.5498666,79.7004281,88.2953405,81.289936,80.9099473,74.8320453,81.6820638,74.7143088,70.3535185,74.9067026,81.652131
96,80.8007545,79.0989985,85.7836334,81.4537738,80.2666169,73.7149707,81.9156488,70.1500781,70.0797252,72.4027102,78.8467992
97,80.4774316,79.636333,85.014654,80.0531343,79.5656609,73.0878486,79.351309,68.7829062,71.7114885,71.4957905,79.0471992
98,83.0469192,77.2586098,83.7976711,78.3639192,77.9155652,74.9523934,80.2422045,70.2424365,74.0098366,71.8202102,80.7680772
99,84.2152158,79.9554711,86.705575,79.0083803,79.1099584,74.9133153,79.9470168,70.9535623,77.6394112,71.9881784,78.43694
100,85.2645837,81.1103237,85.8012316,79.2787607,78.2149972,75.7732327,78.9963897,73.317899,76.8258159,73.9046218,81.8070133
101,87.3299503,83.5872085,87.3071583,78.9833318,77.966266,77.0926909,78.660723,73.6196562,79.8261724,76.2944795,81.8378383
