Time (s),PUF_1,PUF_2,PUF_3,PUF_4,PUF_5,PUF_6,PUF_7,PUF_8,PUF_9,PUF_10
0,-0.0018125,1.5598673,1.4937698,0.550615,0.7223477,0.8343784,0.0069578,0.3739641,0.453248,0.0094138
1,0.6700048,1.6874662,1.6607576,1.0748846,1.2495929,0.491356,-0.0292371,0.6329872,0.2330452,-0.0881778
2,0.5797754,1.5116514,1.8124158,0.9493668,0.5381559,1.0314166,0.2198128,0.5693773,0.5170301,0.1840558
3,0.5722122,1.6882635,2.0960777,0.8245073,0.5090724,0.811589,-0.1401186,0.7558429,0.3634215,0.1095084
4,0.9352908,1.5758821,2.1500887,1.6830775,0.7384486,0.9497039,0.1512442,0.906146,0.4112864,0.1564691
5,0.5942105,1.8028803,2.2029505,1.7735104,0.3905037,1.0591473,-0.0407169,0.7027929,0.5411281,0.3195026
6,0.6703259,2.4085461,2.7609001,1.5054828,0.9136351,1.0049848,0.2711955,0.8486233,0.3667045,0.2785677
7,1.0434369,2.1230858,2.4022619,1.2176214,0.8654722,0.8862012,0.2200746,0.7713611,0.4647274,0.3117769
8,0.8021371,1.9692181,2.4036503,1.9348014,0.8307499,0.9757173,0.1373542,0.9454138,0.6089123,0.1651867
9,0.7757083,2.756699,2.7572252,1.8954238,1.0337662,1.095181,0.0283285,0.7018118,0.6887851,0.3639615
10,0.905828,3.0258656,2.8806724,1.9826923,0.9260328,0.663574,0.1859564,0.7957771,0.5683548,0.2550677
11,1.5528813,2.9335648,3.2401475,2.1746728,0.8197612,0.7775109,0.1173918,1.0402066,0.7113584,0.385192
12,1.3637279,3.0650636,3.0540017,1.5951665,0.9018325,0.835236,0.0188442,0.8274266,0.936933,0.4861015
13,1.119391,2.8731447,3.5219277,1.5995182,1.2294992,1.2117762,0.1262196,1.2201914,0.919929,0.3409564
14,1.3447578,2.937206,2.895408,2.2916103,1.2294712,0.8672084,0.2052843,1.202315,1.1301722,0.6103047
15,1.4922952,3.2793304,3.3458405,1.7750544,1.379672,0.7993949,0.108715,1.1429011,1.1575359,0.3654952
16,1.7379717,3.156988,3.9249886,2.5963307,2.1119381,1.1367901,0.2982503,1.1647076,1.1654123,0.5953146
17,2.1313321,3.5872191,4.659029,2.3288365,1.5881994,1.0538794,0.1785471,1.4280308,1.4762513,0.9504927
18,2.6941342,4.2352546,5.1906901,2.2671318,1.9098301,1.3285403,0.1813226,1.5418581,1.4726528,0.819371
19,2.1557717,4.3958141,5.1792575,2.7653891,1.4408086,1.17921,0.4240395,1.5720639,1.5217182,0.7776999
20,2.5181844,4.8571672,5.5577361,3.0899406,1.6942257,1.3739787,0.5647942,1.8873152,1.5980373,0.7712619
21,2.6723853,4.7630011,5.5400212,3.4323622,2.0584721,1.5980429,0.3499821,1.4844726,1.7567694,0.8204861
22,2.5284602,5.2174164,6.1439293,2.8999059,2.6144748,1.3183773,0.4368508,1.7006957,1.8587035,1.0895816
23,2.9942385,5.2041049,6.1274356,3.3329556,2.5296793,1.4031736,0.727111,1.7897385,1.4334528,0.8320244
24,3.0553288,6.1902655,6.1319018,3.0047861,2.3691361,1.4234405,1.0105672,1.6524919,1.7940614,1.2210148
25,3.1691169,5.6453052,7.8178053,3.2522366,2.6644779,1.6160223,1.0284497,2.1590832,1.9687388,1.2874889
26,3.3497342,6.1202668,9.0864015,3.6483902,3.1304787,1.6005907,0.8550903,2.1804233,1.6797608,0.9461797
27,2.8755329,6.4921559,9.3550961,3.8367683,2.9813227,1.9827967,1.0029499,2.4192459,1.8215673,1.4447491
28,3.2846733,6.3093488,9.4645796,4.2134455,2.8287371,1.797621,1.6621657,2.759265,1.9813593,1.7916928
29,3.6425499,6.8131273,9.7174545,4.0629738,2.9706227,1.9802389,1.7391639,2.9849176,2.1050085,1.3942817
30,4.220491,7.0958187,10.126758,4.694053,3.6766402,2.1272428,1.9639037,3.1519136,2.6479434,1.5773966
31,4.108026,7.1734067,10.6265937,5.0326333,2.9451419,2.2398007,2.3162526,3.4186246,3.0203614,1.708476
32,4.8148843,7.5531146,10.3063416,5.4560218,3.2012937,2.4871354,2.1134567,3.4633797,2.7403773,1.7224224
33,5.3968833,8.1230158,11.0974355,5.2715012,3.3264849,2.5598937,2.4536307,3.4947809,2.9308047,1.9014074
34,5.3467119,9.4383312,11.7449788,6.0891901,3.9394595,2.9063548,2.4605194,3.8347067,3.2205882,2.0065435
35,5.9810181,10.5862712,12.1389002,6.7964313,4.5614134,3.348586,2.7346717,3.9273567,3.2939664,2.0300337
36,6.209856,10.8911192,12.9439399,7.7230545,3.7918027,3.6205422,3.3049734,4.3723994,3.4974995,2.1882082
37,6.2171395,11.1437461,12.3987913,7.1861016,4.6461613,3.5578754,3.5109237,4.3378295,3.8341175,2.1900974
38,7.1788402,11.5071726,12.4691933,7.3940177,4.619727,3.6618546,3.795996,4.3419761,4.0118858,2.2880841
39,7.2866144,11.9929475,12.8938043,7.8313248,4.9115465,3.7856419,3.8532837,4.30422,4.1310932,2.3564555
40,7.5247331,12.4702551,13.7401599,7.8383926,5.1706907,3.6017526,3.8034418,4.3564862,4.5856221,2.6366055
41,8.6392334,13.1003813,14.6056976,8.3236034,5.1026791,4.1979531,4.1369048,4.7817887,5.1531378,2.8590588
42,8.0688463,14.2780836,14.6105064,8.4147044,5.0701313,4.0180678,4.3381565,5.4731302,5.0370561,2.8650836
43,8.6441361,14.1760775,15.0512161,9.1284383,5.7361039,4.2256052,4.9936307,5.8467582,5.6451405,3.1253762
44,9.3472785,14.5584164,14.8565913,10.2205324,6.4100969,4.4129131,4.9360995,6.4055011,5.912173,3.1178857
45,9.9001601,15.1440771,15.4289202,10.4365849,6.3380217,5.2920291,5.2876255,6.6493194,6.1180781,3.0847094
46,10.2710589,15.7307011,15.512849,12.0592916,6.5172406,5.550659,5.6997259,6.6635244,6.5599979,3.1373519
47,10.8379452,16.1086753,16.7656879,12.0183618,6.5853918,6.2281667,6.1415428,6.6703304,6.8077577,3.5757439
48,11.3568886,16.4307136,17.3692291,12.4621586,7.1553924,6.9639645,6.4266952,7.0933965,6.5685193,3.2264275
49,11.9008577,16.2968849,17.5928767,13.3346949,7.4044171,7.5834414,6.8889439,7.5266103,6.7939142,3.9155406
50,12.7535679,16.9757773,16.9437651,12.8688242,7.9785294,8.0336002,7.0735524,7.9081205,7.1348874,4.1200247
51,12.9859039,17.7150152,17.4706555,13.660654,8.3537411,8.4579677,7.6391244,8.4365891,7.0228237,4.0360448
52,13.1787409,18.5442683,18.4345252,13.2436572,8.2784675,9.2303581,7.868555,8.6794629,7.3073452,4.6069006
53,14.1497132,19.1020506,18.7645556,13.8426503,8.3907705,9.8945914,8.4763072,8.7034237,7.7197877,4.6225714
54,14.5755925,19.8119065,18.8187505,14.1080259,8.8884246,10.1972985,9.0813879,8.93381,7.90682,5.3146265
55,14.6381711,20.8140023,18.9378916,14.3946253,9.0620762,10.1611325,9.7549535,9.4010107,8.6973362,5.3924797
56,15.7051028,20.7100736,18.0919907,15.1942459,9.7005637,10.4205847,10.2341322,10.0767847,8.7427759,6.0691396
57,16.5092858,21.094147,18.7701044,16.1740685,10.3071301,9.9698122,10.9376023,10.6050987,9.212444,6.5764583
58,16.9267887,21.4946649,19.0677243,16.005025,11.2870549,9.9735112,11.261023,11.1846786,10.1068656,6.9849809
59,17.3298101,21.7548908,19.6317823,16.3078326,11.1148977,9.760676,11.6886836,11.5682317,10.7971637,7.1196818
60,16.9966921,22.7549246,20.7881145,17.0997662,10.9086314,10.1014575,11.7863607,11.850448,11.4452883,7.2458288
61,17.4111016,23.7950683,20.8346006,17.5447266,11.5693471,10.6193502,12.1781051,12.6050832,11.6409574,7.6776883
62,18.4280452,23.7062648,22.1949851,19.3171431,11.9083701,11.1707651,12.7416422,13.2174132,12.3622254,7.9684515
63,19.1917043,24.7798496,22.4388234,18.9698554,12.1749559,11.160795,13.162134,13.4728225,13.2920299,8.1100401
64,19.5756932,25.9082151,22.9275226,19.3211879,12.9729991,11.840611,14.0919247,14.6891576,13.6940446,8.1550914
65,20.5153647,25.9841105,24.0446662,19.3630337,13.1074468,12.4529326,14.6571031,14.7904279,14.2142473,8.3595759
