Unit,Min,Sec,Time ,Time (s),TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,956,42.3,-0.5,0,22.45,22.57,22.57,22.65,22.61,22.65,22.25,22.23,22.21,22.19,22.21,22.65,22.67,22.67,22.88,22.86,22.84,22.47,22.43,22.43,22.43,22.43,22.35,22.43,22.61,22.65,22.67,22.55,22.41,22.41,22.43,22.43,22.43,22.17,22.15,22.15,22.17,22.17,22.15,22.15,22.15,22.15,22.19,22.19,22.19,-0.103,-0.065,-0.027,-0.042,-0.019,-0.018,-0.049,-0.026,-0.034,-0.019,-0.018,-0.024
116,956,46.3,3.5,4,22.47,22.57,22.57,22.65,22.65,22.63,22.25,22.23,22.23,22.21,22.23,22.65,22.67,22.67,22.92,22.85,22.83,22.45,22.43,22.43,22.43,22.43,22.35,22.43,22.63,22.63,22.67,22.55,22.43,22.39,22.43,22.43,22.43,22.17,22.15,22.15,22.19,22.15,22.15,22.15,22.17,22.15,22.25,22.37,24.23,1.563,1.327,1.058,0.676,0.35,0.206,1.289,1.164,0.935,0.691,0.398,0.262
116,956,50.3,7.5,8,25.13,24.75,24.59,23.8,23.66,23.14,23.02,22.61,22.57,22.47,22.49,24.71,24.79,24.25,24.51,23.64,23.7,23,23.02,22.63,22.81,22.59,22.35,22.43,22.59,22.63,22.67,22.55,22.41,22.41,22.43,22.43,22.43,26.26,29.2,29.54,29.86,30.79,38.89,42.06,45.34,64.73,126.5,177.7,327.1,2.161,1.923,1.562,1.226,0.917,0.622,2.226,1.978,1.712,1.286,0.874,0.597
116,956,54.3,11.5,12,29.86,29,28.42,25.88,25.52,24.07,24.25,23.32,23.12,22.88,22.9,27.57,27.69,26.49,26.73,24.95,25.08,23.74,23.82,22.96,23.32,22.84,22.31,22.43,22.61,22.63,22.69,22.55,22.39,22.43,22.43,22.43,22.43,32.37,34.27,36.21,36.95,37.73,45.58,51.19,55.56,77.6,177.5,242.1,438.1,2.428,2.263,1.921,1.489,1.133,0.765,2.624,2.386,2.055,1.543,1.064,0.725
116,956,58.3,15.5,16,33.43,32.39,31.47,27.63,27.11,24.95,25.23,23.9,23.56,23.2,23.22,29.98,30.16,28.35,28.52,26.18,26.12,24.43,24.51,23.28,23.74,23.08,22.31,22.41,22.59,22.63,22.69,22.55,22.39,22.43,22.43,22.43,22.43,34.79,37.19,38.89,39.7,42.37,59.09,66.76,79.9,109.8,216.1,305.9,510.6,2.543,2.363,2.052,1.479,1.204,0.828,2.64,2.384,2.292,1.924,1.275,0.862
116,957,2.3,19.5,20,36.24,35.22,33.98,29.08,28.46,25.74,26.15,24.41,23.95,23.5,23.5,32.03,32.23,30.03,30.15,27.41,27.21,25.14,25.16,23.61,24.15,23.32,22.33,22.43,22.64,22.64,22.7,22.58,22.39,22.43,22.43,22.43,22.43,38.87,40.71,39.77,41.48,44.8,58.03,71.6,86,119.8,217.9,309.7,544.8,2.931,2.737,2.534,1.902,1.367,0.933,2.968,2.802,2.337,1.672,1.263,0.957
116,957,6.3,23.5,24,38.37,37.63,36.18,30.59,29.83,26.53,26.97,24.92,24.31,23.79,23.79,34.08,34.32,31.55,31.63,28.64,28.26,25.84,25.82,23.95,24.53,23.52,22.35,22.39,22.64,22.64,22.68,22.6,22.39,22.41,22.43,22.43,22.45,38.71,39.41,41.64,43.71,48.69,60.85,73,87.3,111.9,195.5,301,578.3,3.057,2.785,2.388,1.816,1.382,1.021,3.232,2.773,2.405,1.773,1.299,0.957
116,957,10.3,27.5,28,40.35,39.21,37.62,31.55,30.65,27.03,27.42,25.3,24.66,24.03,23.97,35.56,35.8,32.74,32.72,29.51,28.9,26.33,26.25,24.23,24.8,23.75,22.35,22.44,22.64,22.64,22.68,22.6,22.44,22.42,22.44,22.44,22.44,38.14,41.25,43.02,45.1,50.08,66.06,77.6,95.2,122.6,217.9,344.1,625.1,2.813,2.768,2.445,1.844,1.339,0.995,3.341,2.954,2.334,1.897,1.498,1.105
116,957,14.3,31.5,32,42.54,41.04,39.19,32.53,31.49,27.68,27.94,25.66,24.98,24.27,24.23,37.28,37.22,33.94,33.44,30.31,29.59,26.81,26.69,24.51,25.12,23.93,22.35,22.43,22.64,22.64,22.7,22.6,22.41,22.41,22.43,22.41,22.45,39.09,41.86,44.71,46.02,48.79,61.92,76,91.1,115,193,339.8,649.8,3.091,3.168,2.472,1.729,1.354,0.972,2.867,2.64,2.228,1.598,1.276,0.922
116,957,18.3,35.5,36,44.25,42.64,40.35,33.27,31.99,28.06,28.14,25.84,25.12,24.41,24.25,38.47,38.55,34.9,34.12,30.83,29.93,27.11,26.85,24.71,25.2,24.09,22.31,22.43,22.64,22.66,22.72,22.59,22.43,22.39,22.43,22.43,22.45,40.45,42.64,44.37,45.78,50.58,62.39,74.5,93.3,117.6,210.5,388.1,669.6,3.511,3.381,2.86,2.142,1.442,0.99,3.297,3.006,2.341,1.736,1.371,0.961
116,957,22.3,39.5,40,45.32,44.01,41.36,33.98,32.34,28.38,28.28,26.05,25.3,24.56,24.39,39.79,39.79,35.88,35,31.39,30.27,27.46,27.07,24.92,25.4,24.23,22.33,22.46,22.64,22.64,22.72,22.6,22.44,22.44,22.44,22.44,22.44,40.11,42.98,44.23,45.88,51.13,68.4,81.8,104.3,132.3,242.4,429.5,710,3.19,3.09,2.548,1.884,1.399,1.004,2.932,2.747,2.658,2.114,1.469,1.033
116,957,26.3,43.5,44,47.27,45.08,42.62,34.78,33.06,28.82,28.7,26.25,25.52,24.72,24.6,41.03,40.79,37.04,35.88,32.18,30.91,27.9,27.5,25.1,25.52,24.33,22.36,22.46,22.66,22.66,22.72,22.58,22.48,22.44,22.46,22.44,22.46,41.31,45.26,46.51,48.82,54.76,73.1,90,110,149,266.5,429.1,687,3.114,3.081,2.87,2.176,1.495,1.019,3.183,3.148,2.854,2.053,1.445,1.042
116,957,30.3,47.5,48,48.58,46.87,44.15,35.92,33.98,29.3,29.16,26.53,25.64,24.84,24.74,42.46,42.38,38.11,36.72,32.76,31.43,28.18,27.74,25.28,25.68,24.47,22.37,22.47,22.68,22.68,22.72,22.58,22.5,22.43,22.47,22.45,22.43,42.44,46.24,49.79,52.26,58.65,76.8,94.8,116.7,164.5,287.7,438.9,698.5,3.564,3.699,3.26,2.36,1.684,1.237,4.095,3.773,3.303,2.503,1.711,1.12
116,957,34.3,51.5,52,51.06,48.48,45.86,36.94,34.76,29.87,29.47,26.77,25.93,25.3,25.04,44.29,44.25,39.59,37.94,33.64,31.96,28.54,28,25.48,25.97,24.72,22.4,22.5,22.7,22.72,22.72,22.6,22.52,22.46,22.48,22.48,22.46,43.75,47.57,51.06,54.66,61.65,78.2,94.8,121.3,165.1,288.3,436.6,688,3.766,3.56,2.936,2.563,1.807,1.182,3.71,3.828,3.133,2.36,1.753,1.225
116,957,38.3,55.5,56,51.31,50.58,46.53,37.84,35.56,30.45,30.07,27.3,26.33,25.52,25.64,45.44,45.36,40.63,38.99,34.5,32.82,29.06,28.44,25.79,26.25,24.9,22.4,22.52,22.74,22.76,22.72,22.6,22.48,22.48,22.48,22.48,22.44,46.16,51,53.91,57.6,65.43,86.1,107.8,137.4,187.7,335,504.7,730,3.492,3.125,2.625,2.176,1.687,1.183,3.443,3.294,3.126,2.44,1.702,1.298
116,957,42.3,59.5,60,52.84,51.67,47.84,38.61,35.88,30.91,30.41,27.52,26.45,25.48,25.32,46.59,46.53,41.54,39.79,35.28,33.52,29.61,28.82,25.99,26.35,25,22.48,22.6,22.8,22.76,22.76,22.64,22.52,22.48,22.48,22.48,22.48,46.77,50.3,53.35,57.32,64.42,83.5,102.9,137.2,181.1,302.2,478.3,682.3,3.854,3.673,3.292,2.418,1.813,1.241,3.763,3.25,2.933,2.22,1.676,1.189
