Unit,Min,Sec,skip,Time,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1107,54.3,,0,28.3,27.55,26.91,25.58,24.96,24.61,24.33,23.91,23.73,23.52,23.46,27.29,27.45,27.01,25.84,25.32,24.92,24.75,24.21,24.01,23.89,23.81,27.41,27.03,26.73,25.72,24.88,24.55,24.13,23.73,23.65,23.58,23.52,22.31,22.39,22.43,22.51,22.51,22.6,22.68,22.78,22.96,23.2,23.51,23.69,-0.053,-0.048,0.005,-0.013,0.012,0.001,-0.016,0.01,0.011,0.019,0.016,-0.005
116,1107,58.3,,4,29.75,28.66,27.94,26.15,25.38,24.78,24.7,24.07,23.85,23.67,23.61,29.04,29.02,28.06,26.81,25.68,25.38,25.04,24.51,24.11,24.05,23.89,27.52,27.05,26.69,25.76,24.86,24.51,24.15,23.75,23.65,23.59,23.53,22.44,22.56,22.9,23.89,24.8,28.2,31.59,33.92,34.86,43.89,44.67,56.65,6.007,5.64,4.15,1.968,0.981,0.539,6.301,4.356,2.711,1.529,0.93,0.554
116,1108,2.3,,8,44.63,40.47,36.7,29.79,28.1,25.7,26.51,25.4,25.28,24.72,26.07,37.91,37.59,33.48,31.29,27.41,27.45,26.37,26.73,25,26.65,25,27.54,27.05,26.69,25.76,24.88,24.53,24.17,23.77,23.67,23.57,23.53,30.51,33.3,34.4,36.74,39.05,47.25,50.66,55.94,59.85,100.9,108.3,147.2,9.14,7.48,4.726,2.542,1.576,1.041,6.703,5.908,4.671,3.524,1.767,1.026
116,1108,6.3,,12,58.68,53.05,47.21,34.6,31.41,27.37,30.89,28.14,27.84,27.35,30.47,46.29,46.02,39.31,36.3,29.79,31.83,29.1,31.37,27.25,31.69,27.76,27.37,27.05,26.69,25.68,24.88,24.51,24.15,23.77,23.69,23.59,23.53,36.74,41.96,42.84,44.01,48.73,62.23,73.1,86.2,103.7,175.8,176.7,219.2,9.52,7.83,5.097,3.007,2.678,1.783,7.03,6.771,6.16,3.749,1.759,1.123
116,1108,10.3,,16,68.75,62.61,54.44,38.3,35.16,28.88,33.92,29.87,29.59,30.07,33.52,51.27,50.44,42.28,39.41,31.45,31.45,29.27,31.23,27.64,31.31,28.26,27.24,27.07,26.71,25.56,24.84,24.54,24.15,23.77,23.65,23.61,23.55,41.21,46.2,46.99,50.96,57.44,79.7,88.6,106.2,123.6,187.5,186.8,225.5,7.63,6.071,3.994,2.458,1.856,1.18,6.244,5.539,4.204,3.524,1.814,1.25
116,1108,14.3,,20,70.8,64.13,55.92,39.49,35.54,29.37,33.22,29.41,28.34,28.84,31.67,53.86,52.8,44.13,40.23,32.6,31.67,29.1,30.29,27.19,31.37,28.04,27.25,27.05,26.73,25.56,24.8,24.56,24.15,23.77,23.65,23.57,23.55,44.33,49.77,51.27,55.01,60.95,77.5,85.6,106.3,114.6,166.5,176.2,214.7,6.785,6.071,4.513,2.718,1.69,1.08,7.66,6.677,5.444,3.413,2.073,1.082
116,1108,18.3,,24,73.6,67.95,58.11,41.11,36.56,29.79,32.34,28.62,27.82,28.04,30.51,57.78,56.77,47.79,43.08,34.3,33.44,29.83,30.19,27.3,30.11,28.12,27.34,27.12,26.75,25.63,24.8,24.56,24.11,23.75,23.65,23.57,23.53,44.93,49.27,51.61,54.46,61.17,69.42,81.1,100.7,114.8,154.3,169.4,210.2,8.65,8.07,6.856,3.934,2.279,1.658,9.15,8.88,7.17,4.644,3.748,1.86
116,1108,22.3,,28,79.5,74.6,65.66,44.69,39.77,30.85,34.3,29.83,28.99,29.21,31.5,63.83,64.23,53.69,47.47,36.92,34.96,31.76,32.18,28.42,32.92,29.81,27.46,27.14,26.71,25.69,24.78,24.52,24.11,23.75,23.63,23.57,23.53,46.56,50.92,53.31,59.48,65.05,77.6,88.6,110.9,122.3,163.6,182.6,215.6,10.67,10.39,7.48,4.123,2.354,1.597,8.63,8.09,6.556,5.093,2.679,1.864
116,1108,26.3,,32,85.1,79.5,69.41,46.87,40.47,31.6,35.38,30.51,30.27,30.03,34.28,67.73,68.52,56.5,48.76,37.86,35.96,31.68,32.52,28.95,32.66,29.61,27.32,27.16,26.7,25.67,24.8,24.54,24.14,23.75,23.61,23.57,23.53,49.49,53.75,55.98,61.04,67.69,80.6,96.3,113.5,123.3,166.6,191.6,232.8,8.62,7.47,5.445,3.202,2.01,1.242,8.34,8.03,6.53,4.167,2.461,1.414
116,1108,30.3,,36,86.9,81.3,69.76,47.47,40.99,31.94,33.74,30.21,30.27,30.49,33.9,69.72,70.6,58.63,51.04,39.19,36.34,32.12,33.3,29.27,32.86,30.19,27.38,27.12,26.69,25.77,24.8,24.52,24.11,23.73,23.65,23.59,23.53,50.38,53.51,55.13,61.35,68.89,82.6,94.6,117.1,123.1,166.1,190.5,237.5,8.28,7.44,5.905,3.931,2.433,1.398,7.16,7.05,5.697,3.884,2.68,1.642
