Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Water In,TC Water Out,TC Ambient,Event,Event
0,0.4257521,0.4270479,0.2821353,0.2500971,0.1816131,0.1398402,0.313789,0.3329216,0.2029026,0.2112399,0.1850009,0.1470004,0.0912828,27.8756866,28.6782589,29.0456448,28.5215664,27.9344807,27.589592,27.20084,26.8824825,26.908865,26.6257401,26.3973026,26.1650028,49.6740417,46.7363434,45.1178093,40.5732727,40.0739479,38.4964371,39.0550385,37.7082634,36.6145248,35.6739235,35.4680901,44.3878288,45.5918045,47.1573524,43.2311516,41.2792816,38.272583,39.5302315,36.8022423,36.1292915,35.9796753,42.0425186,42.9806557,44.2369576,42.6285782,38.6161232,36.7634888,36.6494255,34.5063171,34.5851974,34.5032806,33.3740501,-3.88E+12,3327.953613,26.2883492,0,10
1,0.4297808,0.3677891,0.3537783,0.2240829,0.1501832,0.158396,0.3188319,0.3298723,0.1845106,0.2056494,0.1637828,0.1446202,0.0892648,27.5666523,28.6764736,29.0397186,28.5103607,27.9176121,27.5753593,27.2145195,26.8791866,26.9138718,26.6111202,26.3875847,26.1692543,49.4922333,46.7297707,45.2771683,40.6117668,40.0211067,38.4872055,39.1215401,37.7251663,36.6026649,35.6437187,35.4659462,44.331852,45.5470161,47.0918312,43.1873932,41.2600174,38.3059006,39.5161667,36.7907524,36.1346283,35.9535866,42.1665421,43.0298386,44.2196007,42.5765839,38.6404762,36.9542885,36.7915878,34.526638,34.5969124,34.4928856,33.4728279,-3.88E+12,3327.95459,26.2729702,0,10
2,6.6638533,5.5720126,3.2891458,1.0846804,0.373799,0.178618,2.1786558,1.8854666,0.5663466,0.4713637,0.2331855,0.1852422,0.1129762,6.7136965,42.4920654,33.9383812,31.0592937,28.3252869,27.5954723,27.2323742,26.9325066,26.9151306,26.6286087,26.3816624,26.1648483,52.2197495,51.1550827,48.0599251,40.7863121,40.2154579,38.4742661,39.032505,37.7170753,36.6356735,35.6995888,35.4664421,44.7593765,45.7344666,47.1627617,43.4053001,41.283226,38.3743172,39.5256119,36.7721863,36.1384888,35.9510918,42.7150536,43.0433464,44.2096977,42.5331764,38.6167183,37.0194702,36.958046,34.6042938,34.6105232,34.5304909,33.5569916,-3.88E+12,3327.953857,26.275362,0,10
3,25.6284109,23.8938124,23.4454483,16.853576,9.3759206,5.6041765,6.8703236,9.8480361,5.5632542,6.9206913,4.3302273,3.3625628,0.2728013,-179.919693,180.7672119,127.2356033,71.399025,52.0466461,43.2751274,41.1382751,33.4950256,33.2624779,31.1469078,30.933218,28.7151909,72.9519653,70.9495773,74.6959152,49.5676422,56.6489372,40.5960312,55.5067444,43.3612595,40.2903671,40.993351,36.4862671,48.4713669,49.5288963,53.4820976,58.0018005,44.6431389,47.8723602,44.9226494,37.8285789,39.1976509,36.3222504,43.0067291,43.0824814,44.1618881,42.4588547,38.5287476,37.0479813,37.072506,34.7025032,34.6136208,34.5497017,33.6268654,-3.88E+12,3327.951416,26.290556,5,10
4,37.1216084,33.2345182,25.5386255,19.5075213,14.1202133,10.2890943,10.0418074,12.2489805,5.7141331,9.4811514,9.5424464,8.5237748,0.3963025,-17557.11719,281.0186462,194.373642,133.0561981,90.8624878,71.6570511,67.0812149,48.9930305,46.0405006,42.1175613,42.3313942,37.708107,132.6068115,101.485527,101.5117264,67.0802689,85.4143982,47.0177841,97.8795166,65.4535751,64.0144424,80.9370041,55.9589958,54.5236282,55.4960632,57.4478416,66.300972,52.5077972,70.6570282,57.2161713,42.4698601,51.9692497,40.3271751,43.1651344,43.0713234,44.1232681,42.3073959,38.4694099,37.0412483,37.0448532,34.7388268,34.6252365,34.5564423,33.6857567,-3.88E+12,3327.953613,26.2920666,5,10
5,37.3225698,35.6186711,25.7607804,21.3029962,16.7747502,11.5755022,8.3574767,15.6306156,7.1200575,9.4916748,8.5069851,7.7363274,0.446046,-222912.6406,364.3710022,289.8282776,189.570282,121.3555984,80.590416,81.9201202,62.7318726,56.4927979,49.4480095,49.1961708,44.8253517,183.8876801,125.6756897,118.9540176,76.0474777,95.2224579,51.0413742,124.8727951,79.7524567,78.0354156,105.1201859,74.5567627,59.3325119,64.3893204,63.2522087,71.0386429,56.683609,76.9118195,59.6317406,44.2422562,57.604641,44.1089249,42.8949585,43.0428619,44.0892639,42.0786667,38.4460678,37.048893,36.9631653,34.7071648,34.5838165,34.5382462,33.6236572,-3.88E+12,3327.95044,26.2899704,0,10
6,50.7542874,37.1702242,29.32879,21.6285835,16.3745528,12.0799165,8.5874332,14.8521147,8.4771539,11.875869,10.4954021,9.157065,0.4817645,-920610.75,401.8473816,340.0180969,215.717514,139.026123,88.4447327,88.4658585,74.1925888,66.2996674,57.6929321,57.4822769,51.9062424,229.5053711,157.5570374,152.2603149,84.3413162,103.4812546,55.2995186,139.1123352,86.9428101,82.5086823,108.5731888,79.5368118,63.7033691,70.1789551,70.0171661,83.6855621,62.8757744,87.7425308,65.4017792,46.162632,62.5070572,46.3892975,42.6123581,43.049263,44.0696602,41.8304482,38.4043465,37.0874825,36.9213867,34.6922684,34.535183,34.4925995,33.4924278,-3.88E+12,3327.954346,26.3093052,0,10
7,51.1097618,41.5312947,28.1731228,21.0030959,17.5512965,12.3837768,9.3665623,17.1852716,9.6215224,10.1188001,9.26585,7.2663978,0.5096128,-1412605.625,425.5532532,369.9380798,247.0746155,165.830368,112.9687958,111.4280548,87.6143494,75.5277634,62.2087593,59.7459488,52.2472725,263.8354797,177.2785797,154.4072723,89.8804169,109.0990067,58.1757812,142.1167145,85.7046738,82.9991989,104.2235641,79.0830307,68.9393463,77.7924118,79.0536957,88.9141922,65.7090607,86.2212601,65.0716705,47.2608871,64.4415131,47.3277016,42.3506546,43.0282784,44.0475845,41.7785301,38.394474,37.0562859,36.8513184,34.7156906,34.5544968,34.4103508,33.4288559,-3.88E+12,3327.951904,26.2921486,0,10
8,52.1048529,40.5314711,35.2116705,21.9142494,16.4043633,13.5352955,8.7029158,15.2851103,10.727805,11.7178544,10.4339456,8.0214746,0.4808564,-2850286,469.5484619,417.2254944,265.8177185,179.8627777,127.7904282,124.6110382,91.4069138,79.4560013,69.1639023,67.8027573,59.761467,277.3406982,197.8149872,187.7835999,96.3391342,121.1100998,62.7966728,154.6889191,90.7062378,88.9348373,113.0295258,87.2602005,70.6769333,83.2687454,85.0283127,96.5110016,68.2763214,89.1131592,67.5142059,48.841568,68.9354935,49.3332062,41.3575974,42.9104385,44.0457611,41.8433495,38.3616638,37.0480957,36.8177147,34.7344513,34.5361748,34.3237991,33.3290863,-3.88E+12,3327.95166,26.2831211,0,10
9,48.2377657,36.9229064,27.1713496,23.1464092,16.9417628,12.988771,10.2795805,18.3275732,9.2973037,13.6962423,8.939632,7.0330595,0.5032561,-3590013,472.1095886,421.7989807,274.2203064,190.4693604,141.0631256,133.9151001,96.3120499,83.4702988,72.9115372,70.8831787,64.0410538,285.3648376,202.3360596,191.5467987,101.5048447,131.0491333,64.5428619,145.207016,89.0576477,86.2511597,113.2484283,87.4321289,75.6665421,86.3346405,84.8785477,100.399086,69.3054428,87.1050034,69.7303848,50.9384232,71.9741821,50.7556725,40.715107,42.870697,44.0283585,41.9420509,38.3572388,37.0881424,36.8319664,34.6981773,34.4878807,34.3388405,33.0491676,-3.88E+12,3327.956055,26.2699566,0,10
