Unit,Min,Sec,Time,Time (s),TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1401,16.3,-1,0,37.05,34.73,31.01,27.65,27.01,25.94,26.87,26,25.28,24.87,24.69,32.03,32.01,30.52,28.13,26.77,26.28,26.2,25.98,25.16,25.12,24.75,36.19,34.19,31.51,28.74,26.44,25.92,25.48,25.03,24.83,24.63,24.39,23.58,23.93,24.37,24.25,24.57,24.51,24.93,25.62,25.76,28.14,25.64,24.43,-0.091,-0.313,-0.156,-0.203,-0.063,-0.061,-0.231,-0.178,-0.287,-0.198,-0.063,-0.077
116,1401,20.3,3,4,36.75,34.47,30.89,27.55,26.55,25.84,26.22,25.62,25.12,24.77,24.61,31.99,31.87,30.37,27.89,26.69,26.04,26.08,25.68,25.12,24.91,24.69,36.57,34.17,31.47,28.7,26.49,26,25.52,25.01,24.79,24.61,24.41,23.2,23.42,23.64,23.56,23.78,23.74,24.15,24.77,25.01,26,24.97,24.61,-0.046,-0.27,-0.151,-0.195,-0.08,-0.093,-0.191,-0.157,-0.294,-0.196,-0.092,-0.092
116,1401,24.3,7,8,37.15,34.47,30.87,27.55,26.4,25.8,25.94,25.44,25.01,24.69,24.51,32.09,31.97,30.38,27.73,26.69,26,26,25.52,25.12,24.87,24.69,36.67,34.27,31.41,28.74,26.46,25.96,25.56,25.07,24.75,24.61,24.39,23.12,23.24,23.46,23.32,23.52,23.64,24.41,24.95,25.28,26.36,25.76,25.09,0.023,-0.213,-0.141,-0.184,-0.069,-0.082,-0.142,-0.118,-0.275,-0.201,-0.073,-0.073
116,1401,28.3,11,12,37.39,34.61,30.93,27.55,26.38,25.8,25.94,25.46,25.01,24.73,24.57,32.29,32.09,30.48,27.85,26.73,26,26.04,25.58,25.11,24.91,24.71,36.55,34.15,31.35,28.68,26.44,25.94,25.52,25.03,24.79,24.63,24.41,23.12,23.28,23.56,23.36,23.56,23.62,23.94,24.49,24.77,25.62,25.56,25.4,0.145,-0.218,-0.106,-0.171,-0.072,-0.083,-0.041,-0.097,-0.249,-0.193,-0.082,-0.096
116,1401,32.3,15,16,38.07,34.97,31.09,27.59,26.37,25.76,25.86,25.38,24.98,24.69,24.47,32.65,32.33,30.59,28.02,26.69,25.92,25.96,25.48,25.08,24.81,24.65,36.19,33.89,31.25,28.64,26.49,25.92,25.54,25.02,24.77,24.61,24.43,23.04,23.16,23.4,23.3,23.46,23.48,23.85,24.69,24.83,26.71,27.35,27.21,0.313,-0.144,-0.094,-0.171,-0.057,-0.085,0.101,-0.039,-0.219,-0.164,-0.027,-0.011
116,1401,36.3,19,20,38.91,35.21,31.21,27.71,26.49,25.76,25.88,25.38,25,24.69,24.51,33.15,32.67,30.95,28.58,26.97,26.67,26.27,25.72,25.14,24.88,24.65,35.83,33.69,31.21,28.58,26.53,25.96,25.6,25,24.75,24.57,24.41,23,23.12,23.38,23.36,23.52,24.03,24.61,25.04,25.4,27.05,30.85,32.97,0.545,-0.074,0.042,0.074,-0.024,-0.08,0.288,0.039,0.211,0.024,0.151,0.112
116,1401,40.3,23,24,40.26,35.57,31.41,27.95,26.71,25.8,25.98,25.42,24.99,24.67,24.49,33.95,33.23,31.95,29.68,27.15,26.73,26.4,25.88,25.2,25.03,24.75,35.79,33.73,31.19,28.54,26.42,26,25.56,24.93,24.73,24.57,24.39,23,23.1,23.34,23.28,23.62,23.62,24.45,25.34,26.22,30.57,35.43,57.08,0.82,0.052,-0.02,-0.058,0.053,0,0.462,0.126,-0.026,0.138,0.224,0.161
116,1401,44.3,27,28,41.66,36.33,33.07,28.98,27.95,26,27.05,25.76,25.2,24.87,24.77,34.83,33.89,32.35,29.74,27.69,28.01,27.07,26.89,25.44,25.66,24.85,35.91,33.63,31.11,28.48,26.38,25.92,25.56,24.95,24.77,24.57,24.33,23.62,24.29,24.15,24.95,25.26,26.12,27.33,28.96,34.05,44.14,46.98,67.03,1.083,0.352,0.517,0.524,0.379,0.377,0.645,0.188,0.106,0.251,0.284,0.267
116,1401,48.3,31,32,43.45,39.31,36.45,30.08,29.4,26.45,29.36,27.09,26.08,25.48,25.56,35.91,34.61,33.03,30.99,28.05,28.58,27.45,27.45,25.68,25.84,25.05,35.53,33.59,31.09,28.42,26.36,25.9,25.44,24.91,24.77,24.57,24.39,23.89,24.25,25.26,25.03,25.46,27.05,28.56,30.55,34.35,47.5,53.52,73.4,1.323,0.37,0.517,0.289,0.414,0.324,0.981,0.395,0.207,0.159,0.208,0.096
116,1401,52.3,35,36,45.79,39.97,37.71,31.55,31.17,26.91,31.21,28.58,27.57,26.51,27.11,37.47,35.81,33.29,31.81,28.56,29.3,27.88,28.18,26.04,26.89,25.54,35.33,33.51,31.05,28.24,26.33,25.88,25.28,24.92,24.73,24.55,24.33,25.4,26.06,26.43,25.86,27.15,30.59,33.33,35.79,41.8,57.89,58.98,69.02,1.86,0.592,0.217,0.063,0.331,0.254,1.375,0.521,0.041,-0.05,0.111,0.356
