Unit,Min,Sec,Time,Time (s),TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1332,16.3,0,0,25.53,25.39,25.03,24.34,23.92,23.59,23.45,23.27,23.15,23.09,23.05,24.97,25.19,25.07,24.68,24.22,23.92,23.72,23.55,23.45,23.37,23.37,24.66,24.7,24.74,24.26,23.82,23.55,23.43,23.27,23.23,23.19,23.17,22.6,22.71,22.67,22.75,22.69,22.79,22.83,22.93,23.25,23.88,24.24,26.35,-0.24,-0.279,-0.153,-0.195,-0.085,-0.093,-0.239,-0.147,-0.26,-0.177,-0.098,-0.102
116,1332,20.3,4,4,25.53,25.37,24.98,24.36,23.92,23.59,23.47,23.27,23.15,23.05,23.05,25.02,25.21,25.05,24.66,24.22,23.92,23.69,23.57,23.43,23.37,23.33,24.66,24.68,24.74,24.26,23.86,23.57,23.41,23.25,23.23,23.17,23.13,22.58,22.66,22.64,22.72,22.64,22.72,22.76,22.93,23.17,23.51,24.14,26.02,-0.198,-0.252,-0.138,-0.184,-0.08,-0.089,-0.195,-0.12,-0.249,-0.172,-0.09,-0.1
116,1332,24.3,8,8,25.71,25.47,25.07,24.38,23.94,23.62,23.47,23.27,23.15,23.07,23.03,25.17,25.31,25.17,24.71,24.26,23.94,23.7,23.56,23.45,23.37,23.33,24.73,24.73,24.75,24.26,23.84,23.6,23.43,23.27,23.21,23.17,23.11,22.59,22.65,22.65,22.75,22.67,22.71,22.77,22.91,23.17,23.43,24.2,26.09,-0.111,-0.209,-0.119,-0.174,-0.073,-0.088,-0.118,-0.078,-0.219,-0.159,-0.087,-0.097
116,1332,28.3,12,12,25.97,25.71,25.19,24.44,23.96,23.63,23.47,23.29,23.15,23.07,23.05,25.41,25.51,25.29,24.74,24.28,23.94,23.73,23.53,23.45,23.37,23.35,24.7,24.7,24.74,24.28,23.84,23.61,23.41,23.29,23.21,23.17,23.13,22.58,22.64,22.64,22.7,22.64,22.7,22.81,22.93,23.23,23.51,24.36,26.5,-0.042,-0.161,-0.089,-0.158,-0.066,-0.083,-0.045,-0.029,-0.188,-0.143,-0.079,-0.092
116,1332,32.3,16,16,26.36,25.99,25.35,24.5,24,23.68,23.47,23.27,23.15,23.09,23.05,25.71,25.79,25.43,24.83,24.32,23.96,23.76,23.6,23.45,23.37,23.33,24.72,24.7,24.72,24.26,23.84,23.62,23.45,23.29,23.23,23.17,23.15,22.59,22.67,22.67,22.73,22.67,22.73,22.79,22.99,23.31,23.66,24.6,27.26,0.042,-0.113,-0.064,-0.147,-0.058,-0.075,0.069,0.031,-0.158,-0.13,0.03,-0.041
116,1332,36.3,20,20,26.9,26.32,25.57,24.6,24.08,23.68,23.53,23.29,23.19,23.11,23.07,26.16,26.16,25.61,24.95,24.42,24.1,23.78,23.68,23.45,23.39,23.33,24.64,24.71,24.75,24.26,23.86,23.6,23.45,23.29,23.25,23.17,23.17,22.61,22.67,22.65,22.75,22.69,22.77,22.85,23.05,23.41,23.84,24.93,28.79,0.164,-0.009,-0.027,-0.129,-0.046,-0.071,0.182,0.11,-0.121,-0.111,-0.014,0.064
116,1332,40.3,24,24,27.55,26.84,25.84,24.71,24.14,23.72,23.56,23.31,23.31,23.11,23.09,26.68,26.6,25.86,25.09,24.71,24.67,24.2,24.28,23.58,23.64,23.42,24.57,24.71,24.75,24.26,23.84,23.62,23.48,23.29,23.21,23.19,23.19,22.63,22.69,22.71,22.75,22.71,22.79,24.14,23.48,23.98,24.66,25.77,33.2,0.343,0.083,0.03,-0.1,-0.034,-0.058,0.312,0.194,-0.068,-0.085,0.035,0.059
116,1332,44.3,28,28,28.43,27.5,26.16,24.85,24.24,23.76,23.92,23.47,23.39,23.29,23.21,27.38,27.18,26.12,25.27,24.73,24.66,24.28,24.46,23.66,23.88,23.56,24.58,24.69,24.75,24.26,23.86,23.58,23.49,23.29,23.23,23.19,23.19,22.63,22.71,22.73,22.77,22.73,22.85,23.37,23.35,24.18,26.48,26.98,36.96,0.496,0.161,0.084,-0.076,-0.02,-0.045,0.483,0.322,-0.015,-0.05,-0.027,-0.054
116,1332,48.3,32,32,29.41,28.25,26.54,25.03,24.36,23.84,23.88,23.47,23.35,23.25,23.27,28.19,27.85,26.5,25.45,24.77,25.05,24.44,24.36,23.76,23.9,23.56,24.6,24.69,24.75,24.3,23.84,23.6,23.47,23.31,23.23,23.19,23.19,22.63,22.73,22.75,22.87,23.01,22.97,23.58,23.56,24.38,26.82,28.91,46.13,0.633,0.274,0.156,-0.037,0.002,-0.039,0.75,0.46,0.057,-0.024,-0.011,-0.045
116,1332,52.3,36,36,30.58,29.09,27.08,25.27,24.52,23.92,23.82,23.48,23.31,23.23,23.27,29.23,28.67,26.96,25.71,24.85,24.65,24.26,24.2,23.76,23.82,23.6,24.71,24.69,24.75,24.28,23.82,23.58,23.46,23.27,23.23,23.21,23.17,22.67,22.77,22.81,22.85,22.99,23.03,23.52,23.64,25.13,28.27,30.32,53.6,1.109,0.531,0.252,0.016,0.04,-0.023,1.212,0.617,0.151,0.045,0.023,-0.029
