m,kW/m,,
Height,HRRPUL,,
0.40,178.79,8.194476904,
0.45,178.79,6.673221554,14.86769846
0.49,112.41,5.151963292,20.01966175
0.54,112.41,4.537798893,24.55746064
0.58,85.61,3.92363535,28.48109599
0.63,85.61,3.496221504,31.9773175
0.68,66.96,2.683709909,34.66102741
0.72,50.15,2.298611805,36.95963921
0.77,50.15,1.968042719,38.92768193
0.81,35.73,1.637474135,40.56515607
0.86,35.73,1.386380802,41.95153687
0.90,24.77,1.135286863,43.08682373
0.95,24.77,0.956337249,44.04316098
1.00,16.96,0.655676837,44.69883782
1.04,11.65,0.533964545,45.23280236
1.09,11.65,0.450655271,45.68345763
1.13,8.01,0.367346799,46.05080443
1.18,8.01,0.310811044,46.36161548
1.23,5.55,0.25427609,46.61589157
1.27,5.55,0.215474916,46.83136648
1.32,3.85,0.150056897,46.98142338
1.36,2.69,0.123440994,47.10486437
1.41,2.69,0.104809069,47.20967344
1.45,1.88,0.086176687,47.29585013
1.50,1.88,,
,,,
,,47.29585013,
