m,kW/m,,,,,,
Height,HRRPUL,,,,,,
0.34,412.87,12.59,,,,,
0.38,204.11,6.95,19.54,,,,
0.42,136.63,5.24,24.78,,,,
0.46,120.28,4.81,29.59,,,,
0.50,115.43,4.65,34.23,,,,
0.54,112.39,4.50,38.74,,,,
0.58,108.43,4.31,43.05,,,,
0.63,102.95,4.06,47.11,,,,
0.67,96.23,3.77,50.88,,,,
0.71,88.54,3.45,54.33,,,,
0.75,80.41,3.11,57.44,,,,
0.79,71.83,2.75,60.18,,,,
0.83,62.88,2.39,62.57,,,,
0.87,54.21,2.04,64.62,,,,
0.91,45.97,1.72,66.34,,,,
0.95,38.38,1.43,67.76,,,,
0.99,31.59,1.17,68.93,,,,
1.03,25.59,0.94,69.87,,,,
1.07,20.45,0.75,70.62,,,,
1.12,16.16,0.59,71.20,,,,
1.16,12.65,0.46,71.66,,69.3785,,72.2997
1.20,9.80,0.35,72.02,,,,
1.24,7.55,0.27,72.29,,,,
1.28,5.78,0.21,72.50,,,,
1.32,4.41,0.14,72.64,,,,
1.36,2.56,0.09,72.73,,,,
1.40,1.95,0.07,72.80,,,,
1.44,1.48,0.05,72.85,,,,
1.48,1.13,0.04,72.89,,,,
1.52,0.87,0.03,72.93,,,,
1.56,0.66,0.02,72.95,,,,
1.60,0.51,0.02,72.97,,,,
1.65,0.39,0.01,72.98,,,,
1.69,0.30,0.01,72.99,,,,
1.73,0.23,0.01,73.00,,,,
1.77,0.18,0.01,73.01,,,,
1.81,0.14,0.01,73.01,,,,
1.85,0.11,0.00,73.02,,,,
1.89,0.08,0.00,73.02,,,,
1.93,0.07,0.00,73.02,,,,
1.97,0.05,0.00,73.02,,,,
2.01,0.04,0.00,73.03,,,,
2.05,0.03,0.00,73.03,,,,
2.09,0.02,0.00,73.03,,,,
2.14,0.02,0.00,73.03,,,,
2.18,0.02,0.00,73.03,,,,
2.22,0.01,0.00,73.03,,,,
2.26,0.01,0.00,73.03,,,,
2.30,0.01,0.00,73.03,,,,
2.34,0.01,0.00,73.03,,,,
2.38,0.00,,,,,,
