s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000,-1.0895967E-007
 1.0007155E+000, 2.9034055E+002, 2.2444266E+002, 1.5070595E+002, 1.1673530E+002, 5.9015950E+001, 2.3941127E+001, 2.0078808E+001, 2.0012267E+001, 2.0007956E+001, 2.0006068E+001, 2.0004111E+001, 2.0003177E+001, 4.1995436E+001, 3.4279078E+001, 2.5363552E+001, 2.2856540E+001, 2.0588385E+001, 2.0150005E+001, 2.0083113E+001, 2.0062407E+001, 2.0041803E+001, 2.0032256E+001, 2.0021919E+001, 2.0016915E+001,-5.6843419E-017, 3.1804021E-001
 2.0035168E+000, 5.6994133E+002, 7.3122326E+002, 8.1723561E+002, 8.6121612E+002, 8.8785135E+002, 8.6074297E+002, 7.7120458E+002, 6.9540724E+002, 5.8446061E+002, 5.0444983E+002, 4.0184542E+002, 3.4003427E+002, 2.3278881E+002, 2.5637299E+002, 2.6050532E+002, 2.6278963E+002, 2.4556260E+002, 2.1959036E+002, 1.8581954E+002, 1.6436417E+002, 1.3787007E+002, 1.2118791E+002, 9.4908407E+001, 7.9433534E+001,-5.6843419E-017, 1.0715397E+000
 3.0014313E+000, 7.0423767E+002, 7.9572143E+002, 9.1104195E+002, 9.2699172E+002, 8.1318950E+002, 7.1086548E+002, 5.4618181E+002, 4.5370735E+002, 3.6368860E+002, 3.3520061E+002, 2.5722093E+002, 2.3208415E+002, 4.1227970E+002, 5.1651144E+002, 6.0197689E+002, 6.2660744E+002, 5.9107443E+002, 5.3946411E+002, 4.5298669E+002, 3.9208789E+002, 3.2644609E+002, 2.8533177E+002, 2.2560394E+002, 1.9350052E+002,-5.6843419E-017, 1.4243145E+000
 4.0033426E+000, 6.8330999E+002, 8.4508480E+002, 9.2360110E+002, 9.0617773E+002, 8.1547453E+002, 6.8958195E+002, 5.0365583E+002, 3.9506563E+002, 2.8487964E+002, 2.6936067E+002, 2.5168027E+002, 2.3769264E+002, 5.6183501E+002, 6.5665663E+002, 7.3205722E+002, 7.4380307E+002, 6.9147666E+002, 6.2093005E+002, 5.1260290E+002, 4.3272807E+002, 3.4967190E+002, 3.0965943E+002, 2.5014554E+002, 2.2192621E+002,-5.6843419E-017, 1.6094477E+000
 5.0041156E+000, 7.9455564E+002, 9.2596114E+002, 8.4788522E+002, 7.7569702E+002, 6.4144621E+002, 5.5985807E+002, 4.6637284E+002, 4.2051769E+002, 3.8546345E+002, 3.4805320E+002, 2.9180319E+002, 2.5719231E+002, 5.9303606E+002, 7.0776432E+002, 7.7178009E+002, 7.6828989E+002, 6.9149643E+002, 6.1722687E+002, 5.0592926E+002, 4.3055107E+002, 3.5073233E+002, 3.1347028E+002, 2.5996256E+002, 2.3508006E+002,-5.6843419E-017, 1.6665356E+000
 6.0004026E+000, 7.6326739E+002, 9.1476695E+002, 9.8719835E+002, 9.4701605E+002, 8.2430209E+002, 7.2078768E+002, 5.6761980E+002, 4.8245784E+002, 4.0960407E+002, 3.7585273E+002, 3.2897583E+002, 3.0308609E+002, 6.6041183E+002, 7.8918974E+002, 8.2487117E+002, 8.1765278E+002, 7.4932058E+002, 6.6749959E+002, 5.2624441E+002, 4.4960052E+002, 3.7321082E+002, 3.3414449E+002, 2.7680340E+002, 2.4706315E+002,-5.6843419E-017, 1.5098197E+000
 7.0015950E+000, 6.9008868E+002, 8.5516665E+002, 9.6446425E+002, 9.7108621E+002, 8.6689533E+002, 7.9773804E+002, 6.3678809E+002, 5.1932198E+002, 4.0712064E+002, 3.5264142E+002, 2.7614633E+002, 2.3986353E+002, 6.9131758E+002, 7.9269625E+002, 8.4375667E+002, 8.3481921E+002, 7.5789109E+002, 6.8939077E+002, 5.5436365E+002, 4.6742422E+002, 3.8688175E+002, 3.4777190E+002, 2.9353425E+002, 2.6696585E+002,-5.6843419E-017, 1.4301261E+000
 8.0025985E+000, 6.6344527E+002, 8.4930286E+002, 9.4097922E+002, 9.2144829E+002, 8.2730546E+002, 7.3091642E+002, 5.7285744E+002, 4.3163750E+002, 3.4743899E+002, 3.2417596E+002, 2.9940700E+002, 2.8633748E+002, 6.3261667E+002, 7.6171884E+002, 8.4958751E+002, 8.5658276E+002, 8.0627438E+002, 7.4298217E+002, 6.0628809E+002, 5.0312225E+002, 4.1415840E+002, 3.7017863E+002, 3.0823071E+002, 2.7676839E+002,-5.6843419E-017, 1.4883306E+000
 9.0002998E+000, 8.4041987E+002, 9.0126897E+002, 8.8516957E+002, 8.2587408E+002, 6.9434983E+002, 6.4272417E+002, 5.7769811E+002, 5.3091244E+002, 4.1117107E+002, 3.4890814E+002, 2.7952198E+002, 2.5745593E+002, 6.7211897E+002, 7.7416398E+002, 8.2275287E+002, 8.1295275E+002, 7.5820022E+002, 7.0909407E+002, 6.0744323E+002, 5.2189046E+002, 4.2122117E+002, 3.7054364E+002, 3.0668655E+002, 2.7692168E+002,-5.6843419E-017, 1.6137332E+000
