s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-3.1190927E-007,-5.5435307E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1246362E-007, 0.0000000E+000, 0.0000000E+000
 1.0007155E+000, 2.4016086E+001,-4.7862127E+000, 3.0699656E-001,-4.0429831E-001,-2.9593664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8221258E+001, 1.9129613E+001, 7.1128267E-004, 7.1128267E-004
 2.0035169E+000, 6.4903223E+001,-1.3268554E+001,-2.2393086E+001,-5.5291571E-001,-5.4800906E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8769792E+001, 2.8683186E+001, 1.4269346E-003, 1.4269346E-003
 3.0014312E+000, 7.4309293E+001,-1.5192036E+001,-5.3500380E+001,-6.4559919E-001,-6.0626282E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9786021E+000, 4.9652154E+000, 1.5748462E-003, 1.5748462E-003
 4.0033426E+000, 7.9822803E+001,-1.6336949E+001,-5.9810694E+001,-6.0514202E-001,-5.9544527E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9374898E+000, 3.0640640E+000, 1.5962765E-003, 1.5962765E-003
 5.0041156E+000, 8.1931238E+001,-1.6741888E+001,-5.7759123E+001,-6.7737600E-001,-6.2419449E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8192308E+000, 6.7466082E+000, 1.5992124E-003, 1.5992124E-003
 6.0004025E+000, 8.0602028E+001,-1.6544364E+001,-6.6783448E+001,-7.2780213E-001,-6.1719966E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4744802E+000,-3.4597587E+000, 1.5996088E-003, 1.5996088E-003
 7.0015950E+000, 7.7361988E+001,-1.5868940E+001,-6.0752603E+001,-6.3834769E-001,-6.0021143E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7520459E-001, 9.6095291E-002, 1.5996625E-003, 1.5996625E-003
 8.0025988E+000, 8.0866626E+001,-1.6562336E+001,-6.4236145E+001,-6.7586141E-001,-5.9238464E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6967499E-001,-6.1364030E-001, 1.5996698E-003, 1.5996698E-003
 9.0002995E+000, 8.0742080E+001,-1.6513989E+001,-6.1642366E+001,-6.1867094E-001,-5.9506723E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0246304E+000, 1.9611035E+000, 1.5996708E-003, 1.5996708E-003
 1.0003883E+001, 8.0668903E+001,-1.6487007E+001,-6.0833660E+001,-6.8517238E-001,-6.0666185E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5048494E+000, 2.6569968E+000, 1.5996709E-003, 1.5996709E-003
 1.1001574E+001, 8.1932713E+001,-1.6758348E+001,-6.5122348E+001,-6.3637969E-001,-6.0070043E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5916056E-001,-5.9036905E-001, 1.5996709E-003, 1.5996709E-003
 1.2004258E+001, 7.8218629E+001,-1.5954327E+001,-6.7781863E+001,-5.5130494E-001,-6.0984909E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9715162E+000,-6.0749642E+000, 1.5996709E-003, 1.5996709E-003
 1.3000994E+001, 7.9382936E+001,-1.6310864E+001,-6.0138995E+001,-4.9576459E-001,-6.0414415E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3490130E+000, 2.4312706E+000, 1.5996709E-003, 1.5996709E-003
 1.4000751E+001, 8.0834654E+001,-1.6498203E+001,-6.1641125E+001,-5.8067984E-001,-5.8603179E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0908143E+000, 2.1087852E+000, 1.5996709E-003, 1.5996709E-003
 1.5002377E+001, 8.0639323E+001,-1.6501648E+001,-7.0983022E+001,-6.5974327E-001,-6.0882449E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4391048E+000,-7.5111796E+000, 1.5996709E-003, 1.5996709E-003
 1.6003935E+001, 7.9423000E+001,-1.6200411E+001,-5.8461780E+001,-5.0024076E-001,-6.0552319E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1986923E+000, 4.2545127E+000, 1.5996709E-003, 1.5996709E-003
 1.7003336E+001, 8.0381428E+001,-1.6483936E+001,-6.0249836E+001,-5.1696450E-001,-6.0666487E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0880695E+000, 3.1246240E+000, 1.5996709E-003, 1.5996709E-003
 1.8001841E+001, 8.3385607E+001,-1.7100082E+001,-6.3051807E+001,-5.4009418E-001,-6.0347421E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5370547E+000, 2.6875899E+000, 1.5996709E-003, 1.5996709E-003
 1.9003536E+001, 7.9356440E+001,-1.6222560E+001,-6.8466052E+001,-5.4574499E-001,-6.0532352E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9373608E+000,-5.8839705E+000, 1.5996709E-003, 1.5996709E-003
 2.0002289E+001, 7.8770723E+001,-1.6109965E+001,-5.1050421E+001,-4.9739493E-001,-5.9924225E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1153549E+001, 1.1106950E+001, 1.5996709E-003, 1.5996709E-003
 2.1001467E+001, 8.0763694E+001,-1.6600756E+001,-6.8176442E+001,-5.0348999E-001,-6.0480688E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6380910E+000,-4.5230423E+000, 1.5996709E-003, 1.5996709E-003
 2.2000828E+001, 8.0300223E+001,-1.6358126E+001,-6.5319764E+001,-5.6705587E-001,-5.9591195E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8764391E+000,-1.9506819E+000, 1.5996709E-003, 1.5996709E-003
 2.3003046E+001, 8.0042727E+001,-1.6408742E+001,-6.1822322E+001,-4.8761695E-001,-5.9257741E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2542013E+000, 1.3181203E+000, 1.5996709E-003, 1.5996709E-003
 2.4001608E+001, 8.0087385E+001,-1.6321862E+001,-6.6059761E+001,-5.1812249E-001,-6.0089076E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8439785E+000,-2.8183690E+000, 1.5996709E-003, 1.5996709E-003
 2.5002398E+001, 8.2222179E+001,-1.6791984E+001,-6.9281784E+001,-5.2278986E-001,-6.0040357E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3297364E+000,-4.3803827E+000, 1.5996709E-003, 1.5996709E-003
 2.6002960E+001, 7.8431588E+001,-1.6074423E+001,-5.4000460E+001,-4.7198373E-001,-6.0687895E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8052856E+000, 7.8786521E+000, 1.5996709E-003, 1.5996709E-003
 2.7002844E+001, 7.9134304E+001,-1.6162198E+001,-6.7689394E+001,-6.0357975E-001,-5.9593241E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3383895E+000,-5.3268271E+000, 1.5996709E-003, 1.5996709E-003
 2.8000235E+001, 8.0091332E+001,-1.6373964E+001,-6.2737837E+001,-4.8798580E-001,-5.9885963E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3433604E-001, 4.8555690E-001, 1.5996709E-003, 1.5996709E-003
 2.9001102E+001, 8.0825275E+001,-1.6475912E+001,-6.5471875E+001,-5.9396361E-001,-5.8619412E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6599696E+000,-1.7223372E+000, 1.5996709E-003, 1.5996709E-003
 3.0002085E+001, 8.1602722E+001,-1.6658359E+001,-6.1332145E+001,-4.7962085E-001,-5.9055391E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0484123E+000, 3.1266915E+000, 1.5996709E-003, 1.5996709E-003
 3.1002306E+001, 7.7787753E+001,-1.5859915E+001,-6.0588492E+001,-4.5092152E-001,-6.0546889E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7363650E-001, 8.8237032E-001, 1.5996709E-003, 1.5996709E-003
 3.2000462E+001, 8.1035168E+001,-1.6511090E+001,-6.8573080E+001,-5.6370327E-001,-6.0229935E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6628878E+000,-4.6187282E+000, 1.5996709E-003, 1.5996709E-003
 3.3000534E+001, 8.0836217E+001,-1.6490998E+001,-6.6150856E+001,-5.8957927E-001,-6.0332238E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2923591E+000,-2.4012497E+000, 1.5996709E-003, 1.5996709E-003
 3.4003193E+001, 7.9221660E+001,-1.6159469E+001,-5.6940749E+001,-4.5636803E-001,-6.0737997E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6546546E+000, 5.6589995E+000, 1.5996709E-003, 1.5996709E-003
 3.5003757E+001, 8.0448232E+001,-1.6475568E+001,-6.7636614E+001,-6.4943351E-001,-5.9455437E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3680101E+000,-4.3193284E+000, 1.5996709E-003, 1.5996709E-003
 3.6003777E+001, 8.1323020E+001,-1.6560778E+001,-5.8199712E+001,-4.6014174E-001,-5.8873574E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1843976E+000, 6.0965009E+000, 1.5996709E-003, 1.5996709E-003
 3.7003994E+001, 7.9529578E+001,-1.6247954E+001,-6.3966375E+001,-4.6306087E-001,-6.0210397E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2848764E+000,-1.1538334E+000, 1.5996709E-003, 1.5996709E-003
 3.8002312E+001, 8.0352223E+001,-1.6381010E+001,-6.6124511E+001,-4.5591767E-001,-6.0652144E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6065125E+000,-2.6152809E+000, 1.5996709E-003, 1.5996709E-003
 3.9002426E+001, 7.7142868E+001,-1.5721643E+001,-5.9833468E+001,-4.2842937E-001,-5.9018356E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2082008E+000, 1.1534250E+000, 1.5996709E-003, 1.5996709E-003
 4.0000530E+001, 8.2156608E+001,-1.6766014E+001,-6.3310587E+001,-3.7446735E-001,-6.0263640E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6035074E+000, 1.6995135E+000, 1.5996709E-003, 1.5996709E-003
 4.1002827E+001, 8.0420003E+001,-1.6439862E+001,-6.8292844E+001,-4.4330113E-001,-6.0513395E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8322110E+000,-4.7620551E+000, 1.5996709E-003, 1.5996709E-003
 4.2000507E+001, 7.9934532E+001,-1.6324467E+001,-5.8592485E+001,-4.9467053E-001,-5.9329427E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5294520E+000, 4.5169764E+000, 1.5996709E-003, 1.5996709E-003
