m,kW/m
Height,HRRPUL
 4.0000000E-001, 3.8574247E+001
 4.1089109E-001, 3.8574247E+001
 4.2178218E-001, 3.8025625E+001
 4.3267327E-001, 3.8025625E+001
 4.4356436E-001, 3.7813349E+001
 4.5445545E-001, 3.7813349E+001
 4.6534653E-001, 3.7678493E+001
 4.7623762E-001, 3.7678493E+001
 4.8712871E-001, 3.7640597E+001
 4.9801980E-001, 3.7640597E+001
 5.0891089E-001, 3.7664033E+001
 5.1980198E-001, 3.7664033E+001
 5.3069307E-001, 3.7792239E+001
 5.4158416E-001, 3.8008393E+001
 5.5247525E-001, 3.8008393E+001
 5.6336634E-001, 3.8227253E+001
 5.7425743E-001, 3.8227253E+001
 5.8514851E-001, 3.8554640E+001
 5.9603960E-001, 3.8554640E+001
 6.0693069E-001, 3.8690050E+001
 6.1782178E-001, 3.8690050E+001
 6.2871287E-001, 3.8789207E+001
 6.3960396E-001, 3.8789207E+001
 6.5049505E-001, 3.9012101E+001
 6.6138614E-001, 3.9226668E+001
 6.7227723E-001, 3.9226668E+001
 6.8316832E-001, 3.9358370E+001
 6.9405941E-001, 3.9358370E+001
 7.0495050E-001, 3.9447918E+001
 7.1584158E-001, 3.9447918E+001
 7.2673267E-001, 3.9462047E+001
 7.3762376E-001, 3.9462047E+001
 7.4851485E-001, 3.9303280E+001
 7.5940594E-001, 3.9303280E+001
 7.7029703E-001, 3.9058887E+001
 7.8118812E-001, 3.8731502E+001
 7.9207921E-001, 3.8731502E+001
 8.0297030E-001, 3.8361843E+001
 8.1386139E-001, 3.8361843E+001
 8.2475248E-001, 3.7947906E+001
 8.3564356E-001, 3.7947906E+001
 8.4653465E-001, 3.7519263E+001
 8.5742574E-001, 3.7519263E+001
 8.6831683E-001, 3.7024842E+001
 8.7920792E-001, 3.7024842E+001
 8.9009901E-001, 3.6430229E+001
 9.0099010E-001, 3.5790425E+001
 9.1188119E-001, 3.5790425E+001
 9.2277228E-001, 3.5052585E+001
 9.3366337E-001, 3.5052585E+001
 9.4455446E-001, 3.4191695E+001
 9.5544554E-001, 3.4191695E+001
 9.6633663E-001, 3.3146811E+001
 9.7722772E-001, 3.3146811E+001
 9.8811881E-001, 3.2004797E+001
 9.9900990E-001, 3.2004797E+001
 1.0099010E+000, 3.0769549E+001
 1.0207921E+000, 2.9500425E+001
 1.0316832E+000, 2.9500425E+001
 1.0425743E+000, 2.8199900E+001
 1.0534653E+000, 2.8199900E+001
 1.0643564E+000, 2.6895025E+001
 1.0752475E+000, 2.6895025E+001
 1.0861386E+000, 2.5513114E+001
 1.0970297E+000, 2.5513114E+001
 1.1079208E+000, 2.4101542E+001
 1.1188119E+000, 2.4101542E+001
 1.1297030E+000, 2.2683232E+001
 1.1405941E+000, 2.1278158E+001
 1.1514851E+000, 2.1278158E+001
 1.1623762E+000, 1.9877992E+001
 1.1732673E+000, 1.9877992E+001
 1.1841584E+000, 1.8516234E+001
 1.1950495E+000, 1.8516234E+001
 1.2059406E+000, 1.7086326E+001
 1.2168317E+000, 1.7086326E+001
 1.2277228E+000, 1.5691365E+001
 1.2386139E+000, 1.5691365E+001
 1.2495050E+000, 1.4395940E+001
 1.2603960E+000, 1.3164003E+001
 1.2712871E+000, 1.3164003E+001
 1.2821782E+000, 1.2001315E+001
 1.2930693E+000, 1.2001315E+001
 1.3039604E+000, 1.0917051E+001
 1.3148515E+000, 1.0917051E+001
 1.3257426E+000, 9.8915847E+000
 1.3366337E+000, 9.8915847E+000
 1.3475248E+000, 8.9338374E+000
 1.3584158E+000, 8.9338374E+000
 1.3693069E+000, 8.0477532E+000
 1.3801980E+000, 7.1976606E+000
 1.3910891E+000, 7.1976606E+000
 1.4019802E+000, 6.3919635E+000
 1.4128713E+000, 6.3919635E+000
 1.4237624E+000, 5.6731987E+000
 1.4346535E+000, 5.6731987E+000
 1.4455446E+000, 5.0174190E+000
 1.4564356E+000, 5.0174190E+000
 1.4673267E+000, 4.4184922E+000
 1.4782178E+000, 4.4184922E+000
 1.4891089E+000, 3.8695205E+000
 1.5000000E+000, 3.3815356E+000
