s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1649802E-007,-3.6954891E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2019350E-007, 0.0000000E+000, 0.0000000E+000
 1.0029641E+000, 2.9054229E+001,-4.9641098E+000, 3.9332859E-001,-3.4286895E-001,-3.2060774E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1419633E+001, 2.4137373E+001, 7.2996239E-004, 7.2996239E-004
 2.0061035E+000, 6.6300341E+001,-1.5640784E+001,-2.1836210E+001,-4.3640741E-001,-6.9286948E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8070539E+001, 2.8380012E+001, 1.4289372E-003, 1.4289372E-003
 3.0026126E+000, 7.5871075E+001,-1.7914060E+001,-5.2260180E+001,-5.4290442E-001,-7.4594790E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1603902E+000, 5.1464711E+000, 1.5751047E-003, 1.5751047E-003
 4.0039840E+000, 8.3756547E+001,-1.9804669E+001,-5.8651997E+001,-5.3702440E-001,-7.8040925E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8009246E+000, 4.7550523E+000, 1.5963029E-003, 1.5963029E-003
 5.0083122E+000, 7.3574516E+001,-1.7353281E+001,-5.8568802E+001,-5.4263439E-001,-7.6137234E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8124675E+000,-2.8978145E+000, 1.5992170E-003, 1.5992170E-003
 6.0092163E+000, 7.9184166E+001,-1.8522569E+001,-5.0814320E+001,-5.2188287E-001,-7.5464881E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9852613E+000, 9.3178476E+000, 1.5996099E-003, 1.5996099E-003
 7.0094681E+000, 7.9320185E+001,-1.8460223E+001,-6.5334461E+001,-5.5763658E-001,-7.4934484E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8817388E+000,-5.0396287E+000, 1.5996627E-003, 1.5996627E-003
 8.0103989E+000, 7.7353906E+001,-1.8126195E+001,-6.2539461E+001,-4.8580602E-001,-7.5555124E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8658577E+000,-3.8051109E+000, 1.5996698E-003, 1.5996698E-003
 9.0055618E+000, 8.6408454E+001,-2.0515968E+001,-5.7737132E+001,-4.8663683E-001,-7.7872643E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6114347E+000, 7.6609299E+000, 1.5996708E-003, 1.5996708E-003
 1.0008071E+001, 7.5056316E+001,-1.7633603E+001,-5.8735910E+001,-4.9917782E-001,-7.4548872E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7973142E+000,-1.8198291E+000, 1.5996709E-003, 1.5996709E-003
 1.1005327E+001, 8.5342026E+001,-2.0305850E+001,-5.5767504E+001,-4.7120322E-001,-7.6922550E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4627082E+000, 8.7897765E+000, 1.5996709E-003, 1.5996709E-003
 1.2008018E+001, 7.3517854E+001,-1.7315008E+001,-6.4869397E+001,-5.1571999E-001,-7.5451120E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3449447E+000,-9.1898161E+000, 1.5996709E-003, 1.5996709E-003
 1.3002268E+001, 8.2080251E+001,-1.9378465E+001,-6.0344805E+001,-4.2480372E-001,-7.5230335E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0056210E+000, 1.9246545E+000, 1.5996709E-003, 1.5996709E-003
 1.4008690E+001, 7.6409874E+001,-1.7952242E+001,-6.2299195E+001,-4.5451734E-001,-7.5109990E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4609707E+000,-4.3035915E+000, 1.5996709E-003, 1.5996709E-003
 1.5008432E+001, 8.5423498E+001,-2.0250290E+001,-6.1902594E+001,-4.3564788E-001,-7.6829138E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6876020E+000, 2.8272826E+000, 1.5996709E-003, 1.5996709E-003
 1.6003345E+001, 7.7549695E+001,-1.8295723E+001,-6.1594172E+001,-4.3883907E-001,-7.6579185E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5395726E+000,-2.7866975E+000, 1.5996709E-003, 1.5996709E-003
 1.7006048E+001, 7.8220965E+001,-1.8476389E+001,-5.9515974E+001,-4.4796502E-001,-7.7321884E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6250519E-001,-2.2709490E-001, 1.5996709E-003, 1.5996709E-003
 1.8000660E+001, 8.2604399E+001,-1.9258016E+001,-5.5960560E+001,-4.3434263E-001,-7.7147322E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9381989E+000, 6.9437653E+000, 1.5996709E-003, 1.5996709E-003
 1.9001352E+001, 8.1142488E+001,-1.9244967E+001,-6.4366367E+001,-4.7977079E-001,-7.7123558E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9505073E+000,-2.9563296E+000, 1.5996709E-003, 1.5996709E-003
 2.0001486E+001, 7.7156769E+001,-1.8101578E+001,-5.3276996E+001,-4.3109628E-001,-7.6379959E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0454269E+000, 5.3394611E+000, 1.5996709E-003, 1.5996709E-003
 2.1000099E+001, 7.7898304E+001,-1.8101290E+001,-6.4078139E+001,-4.1193580E-001,-7.6143880E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3847466E+000,-4.7006752E+000, 1.5996709E-003, 1.5996709E-003
 2.2000692E+001, 8.0915588E+001,-1.8357368E+001,-6.3785132E+001,-4.2979924E-001,-7.6396707E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8781194E+000,-1.6643517E+000, 1.5996709E-003, 1.5996709E-003
 2.3010706E+001, 7.7960173E+001,-1.8200224E+001,-5.6117007E+001,-4.1772833E-001,-7.5473056E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5269913E+000, 3.2176671E+000, 1.5996709E-003, 1.5996709E-003
 2.4006294E+001, 7.9871476E+001,-1.8872173E+001,-6.6207400E+001,-4.4203279E-001,-7.6042167E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1724081E+000,-5.6577338E+000, 1.5996709E-003, 1.5996709E-003
 2.5000175E+001, 7.9303911E+001,-1.8754571E+001,-6.1991547E+001,-3.8733843E-001,-7.6461765E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8616000E+000,-1.8371921E+000, 1.5996709E-003, 1.5996709E-003
 2.6001923E+001, 8.2153577E+001,-1.9359199E+001,-5.5376451E+001,-3.5778243E-001,-7.6377949E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1223565E+000, 7.0525074E+000, 1.5996709E-003, 1.5996709E-003
