s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000,-1.1298684E-007
 1.0030670E+000, 2.9542290E+002, 2.3038705E+002, 1.5609221E+002, 1.2194740E+002, 6.5779628E+001, 2.5738734E+001, 2.0116002E+001, 2.0011969E+001, 2.0007634E+001, 2.0005813E+001, 2.0003936E+001, 2.0003041E+001, 4.2322299E+001, 3.4746324E+001, 2.5694095E+001, 2.3122825E+001, 2.0703986E+001, 2.0152090E+001, 2.0079830E+001, 2.0059825E+001, 2.0040027E+001, 2.0030866E+001, 2.0020963E+001, 2.0016176E+001,-5.6843419E-017, 2.9727560E-001
 2.0031541E+000, 6.0104398E+002, 7.2802710E+002, 8.2602366E+002, 8.9152385E+002, 9.4049300E+002, 9.0967986E+002, 7.6628196E+002, 6.8144654E+002, 5.8640222E+002, 5.2479251E+002, 4.2780931E+002, 3.6841209E+002, 2.3624991E+002, 2.5813428E+002, 2.6410089E+002, 2.6957766E+002, 2.5367337E+002, 2.2397224E+002, 1.8359473E+002, 1.6256409E+002, 1.3828738E+002, 1.2319177E+002, 9.8335320E+001, 8.2615035E+001,-5.6843419E-017, 9.6884046E-001
 3.0023953E+000, 7.5065023E+002, 9.7609000E+002, 9.6950347E+002, 8.5405728E+002, 7.5142099E+002, 7.0887968E+002, 6.0279137E+002, 5.2665786E+002, 4.3277940E+002, 3.8115408E+002, 3.3389672E+002, 3.0369613E+002, 4.4343887E+002, 5.5620839E+002, 5.9941134E+002, 5.9799556E+002, 5.8543961E+002, 5.4738903E+002, 4.6159174E+002, 4.0883530E+002, 3.4577195E+002, 3.0943022E+002, 2.5491153E+002, 2.1874386E+002,-5.6843419E-017, 1.3251914E+000
 4.0036491E+000, 6.7029259E+002, 7.3684062E+002, 7.8894166E+002, 7.9303698E+002, 6.9374367E+002, 5.8050371E+002, 4.0545519E+002, 3.4816641E+002, 3.2911519E+002, 3.1114643E+002, 2.6968212E+002, 2.4317991E+002, 5.4450158E+002, 6.7043475E+002, 7.1187621E+002, 6.9842070E+002, 6.5354610E+002, 5.9670960E+002, 4.9207653E+002, 4.4149448E+002, 3.8340083E+002, 3.4108049E+002, 2.8065168E+002, 2.4488187E+002,-5.6843419E-017, 1.5096374E+000
 5.0027533E+000, 5.5227573E+002, 7.8539339E+002, 1.0436331E+003, 1.1021550E+003, 9.3400730E+002, 7.5308071E+002, 5.6878541E+002, 5.0110405E+002, 4.1818883E+002, 3.7683231E+002, 3.3281338E+002, 3.1390951E+002, 5.6214527E+002, 6.9155864E+002, 7.7730608E+002, 7.8469372E+002, 7.1342099E+002, 6.2630069E+002, 4.9446548E+002, 4.3782820E+002, 3.8416018E+002, 3.5014640E+002, 2.9918267E+002, 2.6739525E+002,-5.6843419E-017, 1.3871205E+000
 6.0012956E+000, 5.5590191E+002, 7.8958557E+002, 1.0023695E+003, 1.0471006E+003, 8.9205361E+002, 7.2010924E+002, 5.0419072E+002, 4.3428182E+002, 3.9051305E+002, 3.3658870E+002, 2.6026504E+002, 2.2353016E+002, 5.4426129E+002, 7.0145201E+002, 8.5448373E+002, 8.8446566E+002, 7.8466729E+002, 6.7035153E+002, 5.2656431E+002, 4.7155863E+002, 4.1594651E+002, 3.7011524E+002, 3.0986524E+002, 2.7756220E+002,-5.6843419E-017, 1.4481144E+000
 7.0007156E+000, 7.7916439E+002, 9.4763666E+002, 9.8551312E+002, 9.7447029E+002, 9.1161077E+002, 8.3972127E+002, 6.7753886E+002, 5.6396729E+002, 4.2946098E+002, 3.6523320E+002, 2.7908262E+002, 2.4620458E+002, 5.9276093E+002, 7.5264852E+002, 8.6037049E+002, 8.7395357E+002, 8.0395089E+002, 7.1610666E+002, 5.7029285E+002, 4.9693109E+002, 4.1331283E+002, 3.5561519E+002, 2.8919460E+002, 2.6070720E+002,-5.6843419E-017, 1.5377060E+000
 8.0021893E+000, 7.2183483E+002, 9.5564785E+002, 1.0610343E+003, 9.8254625E+002, 8.1868268E+002, 6.7780748E+002, 4.9816419E+002, 4.4105334E+002, 4.0289101E+002, 3.7672072E+002, 3.3354300E+002, 2.9851635E+002, 6.4626619E+002, 7.9670573E+002, 8.6777640E+002, 8.5268327E+002, 7.8965702E+002, 7.1404295E+002, 5.7134104E+002, 5.0053317E+002, 4.2329430E+002, 3.7069149E+002, 3.0382713E+002, 2.6998133E+002,-5.6843419E-017, 1.3592143E+000
 9.0017077E+000, 6.0638405E+002, 8.1043558E+002, 9.2993102E+002, 9.7147126E+002, 9.3486708E+002, 8.4520723E+002, 7.1952240E+002, 6.1576944E+002, 4.6334909E+002, 3.6902201E+002, 2.8089131E+002, 2.4717340E+002, 6.3646040E+002, 7.9413730E+002, 8.6902168E+002, 8.6938596E+002, 8.1741693E+002, 7.4537545E+002, 6.0791713E+002, 5.3649401E+002, 4.5023016E+002, 3.8814845E+002, 3.1283837E+002, 2.7476262E+002,-5.6843419E-017, 1.3910872E+000
 1.0003866E+001, 6.2970908E+002, 8.9854600E+002, 9.6039125E+002, 9.0992671E+002, 8.2611217E+002, 8.0016229E+002, 7.5204321E+002, 6.7332377E+002, 5.2815574E+002, 4.4326194E+002, 3.4906143E+002, 3.1214786E+002, 6.0236731E+002, 7.7156403E+002, 8.4335997E+002, 8.4616170E+002, 8.1619201E+002, 7.7589794E+002, 6.7564252E+002, 5.9831313E+002, 4.7973680E+002, 4.0196305E+002, 3.1612934E+002, 2.7776798E+002,-5.6843419E-017, 1.4177572E+000
 1.1003174E+001, 6.6205561E+002, 7.7665893E+002, 8.3597143E+002, 8.9975862E+002, 8.6796787E+002, 7.5856201E+002, 5.3168966E+002, 4.1746345E+002, 3.5739074E+002, 3.2743629E+002, 2.7889592E+002, 2.6524085E+002, 6.2802980E+002, 7.5175094E+002, 8.0898174E+002, 8.1918905E+002, 7.8821021E+002, 7.3415736E+002, 6.2486928E+002, 5.5007416E+002, 4.5095728E+002, 3.8981869E+002, 3.1838701E+002, 2.8587049E+002,-5.6843419E-017, 1.5575248E+000
 1.2000337E+001, 6.5399521E+002, 8.0726404E+002, 8.7266244E+002, 8.4738386E+002, 7.3255743E+002, 6.9167054E+002, 6.5998620E+002, 6.0476118E+002, 4.7430434E+002, 4.1762953E+002, 3.4976360E+002, 3.0664755E+002, 5.9790218E+002, 7.2300389E+002, 8.0473317E+002, 8.3639038E+002, 8.1509235E+002, 7.6434030E+002, 6.5754638E+002, 5.7623516E+002, 4.6431315E+002, 4.0837537E+002, 3.3526684E+002, 2.9746901E+002,-5.6843419E-017, 1.4688686E+000
 1.3000010E+001, 5.2656772E+002, 7.5052004E+002, 9.4568448E+002, 9.6804610E+002, 8.3812631E+002, 6.1256425E+002, 4.3567946E+002, 3.7060844E+002, 2.9638950E+002, 2.3464922E+002, 1.9894849E+002, 1.8527918E+002, 5.9362763E+002, 7.2260074E+002, 8.1344662E+002, 8.2738319E+002, 7.4898167E+002, 6.7722374E+002, 5.9457005E+002, 5.2676903E+002, 4.1881003E+002, 3.6519883E+002, 3.0448583E+002, 2.7549182E+002,-5.6843419E-017, 1.6120547E+000
 1.4001977E+001, 6.5101934E+002, 8.4438814E+002, 9.0919884E+002, 9.1453029E+002, 8.7667992E+002, 8.1612324E+002, 6.4030760E+002, 5.2309010E+002, 4.1933753E+002, 3.5928926E+002, 3.0068546E+002, 2.8223965E+002, 5.7635451E+002, 7.1905141E+002, 8.1744174E+002, 8.3397608E+002, 7.8302643E+002, 7.0548985E+002, 6.0756256E+002, 5.4349642E+002, 4.3559528E+002, 3.6651099E+002, 2.9794767E+002, 2.6945356E+002,-5.6843419E-017, 1.3705734E+000
 1.5002738E+001, 6.7973212E+002, 7.9942494E+002, 8.7459846E+002, 8.4695240E+002, 6.4614166E+002, 5.1922025E+002, 4.7532713E+002, 4.3394095E+002, 3.0055350E+002, 2.6009813E+002, 2.4860140E+002, 2.4602111E+002, 6.1070070E+002, 7.3155922E+002, 8.0574554E+002, 8.1234517E+002, 7.5286722E+002, 6.7987960E+002, 5.7788655E+002, 5.0849962E+002, 3.9923016E+002, 3.4138605E+002, 2.8541497E+002, 2.6214766E+002,-5.6843419E-017, 1.4864360E+000
 1.6004350E+001, 8.7865089E+002, 9.4113902E+002, 9.1978128E+002, 8.4269755E+002, 7.0178696E+002, 6.5062195E+002, 6.0286510E+002, 5.1572500E+002, 4.2939337E+002, 3.8013841E+002, 3.0236626E+002, 2.7509990E+002, 6.4241153E+002, 7.4454508E+002, 7.9958178E+002, 7.8479037E+002, 7.0757651E+002, 6.5014731E+002, 5.8561694E+002, 5.2601162E+002, 4.2931963E+002, 3.6735323E+002, 2.9853147E+002, 2.7430692E+002,-5.6843419E-017, 1.4144000E+000
 1.7002043E+001, 6.4119301E+002, 7.5241433E+002, 8.5513430E+002, 8.3424144E+002, 7.3309737E+002, 6.0438105E+002, 4.8549591E+002, 4.6148306E+002, 4.3417657E+002, 4.0588720E+002, 3.5976088E+002, 3.1731274E+002, 6.8246104E+002, 7.6383678E+002, 8.0800969E+002, 7.9300138E+002, 7.1637322E+002, 6.5534318E+002, 5.8767684E+002, 5.1764253E+002, 4.2559043E+002, 3.7070031E+002, 3.0843886E+002, 2.8140383E+002,-5.6843419E-017, 1.4657069E+000
