m,kW/m
Height,HRRPUL
 4.0000000E-001, 1.1645954E+002
 4.4583333E-001, 1.0473933E+002
 4.9166667E-001, 1.0451782E+002
 5.3750000E-001, 1.0633371E+002
 5.8333333E-001, 1.0661847E+002
 6.2916667E-001, 1.0478534E+002
 6.7500000E-001, 1.0087767E+002
 7.2083333E-001, 8.8215611E+001
 7.6666667E-001, 8.0549308E+001
 8.1250000E-001, 7.2116035E+001
 8.5833333E-001, 6.3336934E+001
 9.0416667E-001, 5.4609345E+001
 9.5000000E-001, 4.6206744E+001
 9.9583333E-001, 3.8426249E+001
 1.0416667E+000, 2.5463096E+001
 1.0875000E+000, 2.0289361E+001
 1.1333333E+000, 1.5952388E+001
 1.1791667E+000, 1.2416149E+001
 1.2250000E+000, 9.5778538E+000
 1.2708333E+000, 7.3538075E+000
 1.3166667E+000, 5.6160590E+000
 1.3625000E+000, 3.2563959E+000
 1.4083333E+000, 2.4749061E+000
 1.4541667E+000, 1.8806926E+000
 1.5000000E+000, 1.4331813E+000
