s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-5.3668394E-005,-2.8412130E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3696806E-005, 0.0000000E+000, 0.0000000E+000
 1.0056853E+000, 1.6311862E+001,-3.1925794E+000, 2.0084724E-001,-5.9984295E-001,-2.4701130E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2086835E+001, 1.2717817E+001, 7.1367772E-004, 7.1367772E-004
 2.0026786E+000, 5.5992698E+001,-1.1030695E+001, 6.7814696E-001,-3.7028427E+000,-5.0088679E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1919782E+001, 4.1932298E+001, 1.4279858E-003, 1.4279858E-003
 3.0006065E+000, 8.3458247E+001,-1.6737564E+001, 9.3856481E-001,-1.0520825E+001,-5.6304439E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7346111E+001, 5.7132793E+001, 1.5747813E-003, 1.5747813E-003
 4.0014143E+000, 8.1794665E+001,-1.6851933E+001,-7.6295185E+000,-1.2688569E+001,-5.8714601E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4814232E+001, 4.4618773E+001, 1.5962654E-003, 1.5962654E-003
 5.0008349E+000, 7.6758416E+001,-1.5736134E+001,-3.6610448E+001,-1.2925697E+001,-5.5318460E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1829004E+001, 1.1480604E+001, 1.5992097E-003, 1.5992097E-003
 6.0028467E+000, 7.8625458E+001,-1.5924956E+001,-5.0280813E+001,-1.1747960E+001,-5.5058129E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8572710E-001, 6.6622421E-001, 1.5996086E-003, 1.5996086E-003
 7.0015621E+000, 7.9429282E+001,-1.6191436E+001,-5.1120117E+001,-1.1883511E+001,-5.5006033E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9886012E-001, 2.2871749E-001, 1.5996625E-003, 1.5996625E-003
 8.0017509E+000, 8.5287567E+001,-1.7357508E+001,-5.1478842E+001,-1.2927018E+001,-5.5775787E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7799278E+000, 3.5186220E+000, 1.5996698E-003, 1.5996698E-003
 9.0003405E+000, 7.5031837E+001,-1.5159525E+001,-5.5353550E+001,-1.1504708E+001,-5.7034975E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7591887E+000,-6.9916499E+000, 1.5996708E-003, 1.5996708E-003
 1.0002594E+001, 8.3426557E+001,-1.6868796E+001,-5.6422807E+001,-1.2358038E+001,-5.6306973E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0044010E+000,-2.2287147E+000, 1.5996709E-003, 1.5996709E-003
 1.1002829E+001, 7.7784601E+001,-1.5830126E+001,-5.1061240E+001,-1.1588950E+001,-5.7161672E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8358147E-001,-7.0143149E-001, 1.5996709E-003, 1.5996709E-003
 1.2003404E+001, 7.7092703E+001,-1.5594791E+001,-5.2156891E+001,-1.1208095E+001,-5.5724525E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6144614E+000,-1.8726461E+000, 1.5996709E-003, 1.5996709E-003
 1.3001024E+001, 9.0101412E+001,-1.8275850E+001,-4.5098465E+001,-1.1453060E+001,-5.9081879E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5277208E+001, 1.5268129E+001, 1.5996709E-003, 1.5996709E-003
 1.4002920E+001, 6.6320924E+001,-1.3503298E+001,-4.7615607E+001,-9.7447521E+000,-5.4388326E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5577255E+000,-4.5481713E+000, 1.5996709E-003, 1.5996709E-003
 1.5002959E+001, 8.4547893E+001,-1.7204222E+001,-5.1263441E+001,-1.2352265E+001,-5.5145513E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0983392E+000, 3.7224509E+000, 1.5996709E-003, 1.5996709E-003
 1.6002510E+001, 8.4721722E+001,-1.6962365E+001,-5.3044179E+001,-1.0484967E+001,-5.4788136E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3180623E+000, 4.2247320E+000, 1.5996709E-003, 1.5996709E-003
 1.7000586E+001, 7.5450509E+001,-1.5378295E+001,-5.9767755E+001,-1.0897348E+001,-5.5844305E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0520044E+001,-1.0598474E+001, 1.5996709E-003, 1.5996709E-003
 1.8002420E+001, 8.0566387E+001,-1.6266648E+001,-5.4295313E+001,-1.2351746E+001,-5.5823201E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0615800E+000,-2.3529014E+000, 1.5996709E-003, 1.5996709E-003
 1.9002516E+001, 8.2414576E+001,-1.6805945E+001,-5.1922929E+001,-1.3907132E+001,-5.5467529E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9625980E-002,-2.2697695E-001, 1.5996709E-003, 1.5996709E-003
 2.0000517E+001, 7.3389108E+001,-1.4839853E+001,-5.3791847E+001,-1.0767541E+001,-5.3313184E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8443368E+000,-6.0154637E+000, 1.5996709E-003, 1.5996709E-003
 2.1003609E+001, 8.4611073E+001,-1.7160550E+001,-5.4146474E+001,-1.3213011E+001,-5.5608661E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6128352E-001, 8.5476666E-002, 1.5996709E-003, 1.5996709E-003
 2.2002445E+001, 8.3583671E+001,-1.6690488E+001,-5.1953282E+001,-1.0523610E+001,-5.7345249E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5473932E+000, 4.4105561E+000, 1.5996709E-003, 1.5996709E-003
 2.3001135E+001, 7.3273635E+001,-1.4796204E+001,-5.3100458E+001,-1.1384515E+001,-5.4379883E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7353325E+000,-6.0129802E+000, 1.5996709E-003, 1.5996709E-003
 2.4002663E+001, 8.6660537E+001,-1.7403925E+001,-5.1769876E+001,-1.2217470E+001,-5.9394117E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3895339E+000, 5.2633265E+000, 1.5996709E-003, 1.5996709E-003
 2.5001009E+001, 7.6314838E+001,-1.5215084E+001,-5.2701496E+001,-1.0182049E+001,-5.3957483E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5597576E+000,-1.7891860E+000, 1.5996709E-003, 1.5996709E-003
 2.6001938E+001, 7.5992360E+001,-1.5128681E+001,-5.5579683E+001,-1.1083884E+001,-5.5137750E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4978476E+000,-5.8054023E+000, 1.5996709E-003, 1.5996709E-003
 2.7001957E+001, 8.4262001E+001,-1.6688585E+001,-5.4442464E+001,-8.1304548E+000,-5.3510284E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0574604E+000, 4.9951463E+000, 1.5996709E-003, 1.5996709E-003
 2.8001389E+001, 8.1402720E+001,-1.6423113E+001,-4.5897792E+001,-1.1074165E+001,-5.5111752E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2405591E+000, 8.0021385E+000, 1.5996709E-003, 1.5996709E-003
 2.9000595E+001, 7.7456727E+001,-1.5768091E+001,-4.8457884E+001,-1.1014153E+001,-5.4193947E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4494905E+000, 2.2111796E+000, 1.5996709E-003, 1.5996709E-003
 3.0002502E+001, 8.5458345E+001,-1.7245556E+001,-5.5959775E+001,-1.1354241E+001,-5.8138013E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2499353E+000, 8.9295996E-001, 1.5996709E-003, 1.5996709E-003
 3.1001341E+001, 7.6052292E+001,-1.5304741E+001,-5.8692750E+001,-1.1818129E+001,-5.6355601E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5271550E+000,-9.7689626E+000, 1.5996709E-003, 1.5996709E-003
 3.2000866E+001, 7.9545179E+001,-1.5939219E+001,-5.5859323E+001,-1.0378844E+001,-5.4387084E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4504082E+000,-2.6376447E+000, 1.5996709E-003, 1.5996709E-003
 3.3000671E+001, 7.9696776E+001,-1.5906300E+001,-5.3253124E+001,-1.1067153E+001,-5.7290043E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9737635E-001,-5.3552967E-001, 1.5996709E-003, 1.5996709E-003
 3.4003418E+001, 8.3524609E+001,-1.6581870E+001,-5.5153447E+001,-1.0922987E+001,-5.5047226E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0903982E+000, 8.6080044E-001, 1.5996709E-003, 1.5996709E-003
 3.5000881E+001, 7.4277130E+001,-1.4933930E+001,-4.9726964E+001,-1.0534450E+001,-5.3439310E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1125100E-001,-9.2355890E-001, 1.5996709E-003, 1.5996709E-003
 3.6001179E+001, 8.2179232E+001,-1.6409058E+001,-4.9767002E+001,-1.1282728E+001,-5.5473421E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8452318E+000, 4.7148968E+000, 1.5996709E-003, 1.5996709E-003
