m,kW/m
Height,HRRPUL
 3.6000000E-001, 3.7803178E+001
 4.4333333E-001, 4.1306921E+001
 5.2666667E-001, 4.5927369E+001
 6.1000000E-001, 3.6463682E+001
 6.9333333E-001, 2.1265049E+001
 7.7666667E-001, 2.5973576E+001
 8.6000000E-001, 2.8710009E+001
 9.4333333E-001, 4.0074744E+001
 1.0266667E+000, 1.7436409E+002
 1.1100000E+000, 1.7063251E+002
 1.1933333E+000, 8.3239752E+001
 1.2766667E+000, 7.8386093E+001
 1.3600000E+000, 1.3935903E+002
 1.4433333E+000, 1.6238510E+002
 1.5266667E+000, 4.3651693E+001
 1.6100000E+000, 1.0995185E+001
 1.6933333E+000, 9.0447298E+000
 1.7766667E+000, 1.3324685E+001
 1.8600000E+000, 8.8180525E-001
 1.9433333E+000, 2.7187179E-003
 2.0266667E+000, 1.7876250E-003
 2.1100000E+000, 1.4908805E-004
 2.1933333E+000, 4.8644211E-004
 2.2766667E+000, 1.7489093E-001
 2.3600000E+000, 8.0091759E+000
