s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-3.2430322E-002,-1.5654818E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2430323E-002, 0.0000000E+000, 0.0000000E+000
 1.0010113E+000, 1.6056886E+001,-3.1394337E+000, 1.7523072E-001,-5.8269932E-001,-2.4110989E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2194900E+001, 1.2507572E+001, 7.0289370E-004, 7.0289370E-004
 2.0008326E+000, 6.4237774E+001,-1.2337626E+001, 8.0124310E-001,-3.1199570E+000,-3.6416953E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9557811E+001, 4.9577792E+001, 1.4262987E-003, 1.4262987E-003
 3.0011315E+000, 7.6138703E+001,-1.4673416E+001, 8.6101171E-001,-7.2417614E+000,-3.8160395E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5172846E+001, 5.5080722E+001, 1.5746875E-003, 1.5746875E-003
 4.0003219E+000, 8.0175946E+001,-1.5562976E+001,-5.1762479E+000,-7.6492149E+000,-3.8545067E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1801668E+001, 5.1783652E+001, 1.5962589E-003, 1.5962589E-003
 5.0012636E+000, 8.0018378E+001,-1.5613143E+001,-3.3248776E+001,-8.5682210E+000,-3.8934272E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2711318E+001, 2.2584345E+001, 1.5992084E-003, 1.5992084E-003
 6.0012512E+000, 7.8961766E+001,-1.5381816E+001,-4.8509005E+001,-8.5060677E+000,-3.7849458E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6806359E+000, 6.5610925E+000, 1.5996084E-003, 1.5996084E-003
 7.0013585E+000, 8.0505304E+001,-1.5644919E+001,-5.3950654E+001,-8.5013672E+000,-3.7228963E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5647341E+000, 2.4046410E+000, 1.5996625E-003, 1.5996625E-003
 8.0011864E+000, 8.1146243E+001,-1.5769856E+001,-6.0691171E+001,-9.1572926E+000,-3.7599764E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3173905E+000,-4.4758364E+000, 1.5996698E-003, 1.5996698E-003
 9.0003204E+000, 7.7593876E+001,-1.5289564E+001,-6.0245587E+001,-9.4409330E+000,-3.7882337E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2736004E+000,-7.3859968E+000, 1.5996708E-003, 1.5996708E-003
 1.0000854E+001, 8.0278775E+001,-1.5727253E+001,-5.9326087E+001,-8.3623953E+000,-3.7442974E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0139627E+000,-3.1407050E+000, 1.5996709E-003, 1.5996709E-003
 1.1001199E+001, 8.4114121E+001,-1.6600272E+001,-5.5422985E+001,-7.7051600E+000,-3.9026051E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4359690E+000, 4.3818009E+000, 1.5996709E-003, 1.5996709E-003
 1.2001348E+001, 7.7910546E+001,-1.5248177E+001,-5.2248497E+001,-8.3692000E+000,-3.8364858E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1796822E+000, 2.0408356E+000, 1.5996709E-003, 1.5996709E-003
 1.3000562E+001, 7.8442873E+001,-1.5518561E+001,-6.0378609E+001,-7.9866608E+000,-3.7448289E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3532034E+000,-5.4447021E+000, 1.5996709E-003, 1.5996709E-003
 1.4000701E+001, 8.2103578E+001,-1.5989055E+001,-5.7691373E+001,-7.8061984E+000,-3.8428940E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0093764E-001, 6.1310940E-001, 1.5996709E-003, 1.5996709E-003
 1.5000466E+001, 7.8655244E+001,-1.5224256E+001,-5.5814847E+001,-7.3567155E+000,-3.7986931E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2958085E-001, 2.5562588E-001, 1.5996709E-003, 1.5996709E-003
 1.6001114E+001, 8.0938185E+001,-1.5790729E+001,-5.1525473E+001,-9.4778926E+000,-3.8693500E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2756472E+000, 4.1402205E+000, 1.5996709E-003, 1.5996709E-003
 1.7001097E+001, 7.8395623E+001,-1.5331384E+001,-5.5554904E+001,-9.5846105E+000,-3.8080586E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9804411E+000,-2.0790838E+000, 1.5996709E-003, 1.5996709E-003
 1.8000801E+001, 8.3016336E+001,-1.5995137E+001,-5.7368294E+001,-7.4807873E+000,-3.8825129E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2992682E+000, 2.1682352E+000, 1.5996709E-003, 1.5996709E-003
 1.9000217E+001, 7.7294900E+001,-1.5009195E+001,-6.2605893E+001,-7.5702133E+000,-3.8678124E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7928132E+000,-7.8942689E+000, 1.5996709E-003, 1.5996709E-003
 2.0001633E+001, 8.2824435E+001,-1.6136236E+001,-5.5646261E+001,-8.1267852E+000,-3.7880867E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0319438E+000, 2.9113654E+000, 1.5996709E-003, 1.5996709E-003
 2.1001587E+001, 7.8032097E+001,-1.4902296E+001,-5.5524852E+001,-8.3261161E+000,-3.7518601E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6375007E-001,-7.2491887E-001, 1.5996709E-003, 1.5996709E-003
 2.2000208E+001, 8.2055609E+001,-1.5805591E+001,-5.6047021E+001,-7.0364676E+000,-3.8848361E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3021129E+000, 3.1626447E+000, 1.5996709E-003, 1.5996709E-003
 2.3001284E+001, 7.9192784E+001,-1.5284284E+001,-5.6206335E+001,-8.2417005E+000,-3.9250998E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2894772E-001,-5.4346098E-001, 1.5996709E-003, 1.5996709E-003
 2.4000069E+001, 8.0096222E+001,-1.5725697E+001,-5.5918991E+001,-8.1492312E+000,-3.9298922E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7575841E-001, 2.9837312E-001, 1.5996709E-003, 1.5996709E-003
 2.5000862E+001, 7.9106334E+001,-1.5262731E+001,-5.5978276E+001,-7.6370776E+000,-3.8856230E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2102924E-001, 2.2436349E-001, 1.5996709E-003, 1.5996709E-003
 2.6000208E+001, 7.8694749E+001,-1.5664210E+001,-5.1282541E+001,-6.5682290E+000,-3.8792503E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2230491E+000, 5.1758893E+000, 1.5996709E-003, 1.5996709E-003
 2.7000681E+001, 8.4380067E+001,-1.6294933E+001,-6.2365635E+001,-7.9616753E+000,-3.9958795E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1141087E+000,-2.2461714E+000, 1.5996709E-003, 1.5996709E-003
 2.8000097E+001, 7.7659818E+001,-1.5089821E+001,-5.9682102E+001,-7.7310574E+000,-3.9586125E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7643831E+000,-4.8471209E+000, 1.5996709E-003, 1.5996709E-003
 2.9001823E+001, 7.7764740E+001,-1.5173244E+001,-5.3560848E+001,-6.8799742E+000,-3.7959455E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2169228E+000, 2.1468778E+000, 1.5996709E-003, 1.5996709E-003
 3.0000755E+001, 8.4747399E+001,-1.6363757E+001,-5.8694566E+001,-8.2575862E+000,-3.9489517E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5661189E+000, 1.4275407E+000, 1.5996709E-003, 1.5996709E-003
