m,kW/m
Height,HRRPUL
 3.6000000E-001, 8.4302305E+001
 4.4333333E-001, 8.3866405E+001
 5.2666667E-001, 7.9919752E+001
 6.1000000E-001, 7.4327737E+001
 6.9333333E-001, 6.8390689E+001
 7.7666667E-001, 6.1707230E+001
 8.6000000E-001, 5.3203244E+001
 9.4333333E-001, 4.6380186E+001
 1.0266667E+000, 3.9337620E+001
 1.1100000E+000, 3.2429543E+001
 1.1933333E+000, 2.6081729E+001
 1.2766667E+000, 2.0224656E+001
 1.3600000E+000, 1.4963832E+001
 1.4433333E+000, 9.7846054E+000
 1.5266667E+000, 6.6862669E+000
 1.6100000E+000, 4.4332489E+000
 1.6933333E+000, 2.7986483E+000
 1.7766667E+000, 1.7014931E+000
 1.8600000E+000, 8.9100377E-001
 1.9433333E+000, 5.1120210E-001
 2.0266667E+000, 2.9169797E-001
 2.1100000E+000, 1.7299682E-001
 2.1933333E+000, 1.0162835E-001
 2.2766667E+000, 5.5564116E-002
 2.3600000E+000, 3.9085584E-002
