m,kW/m
Height,HRRPUL
 3.4000000E-001, 3.7285263E+002
 3.8080000E-001, 1.7296402E+002
 4.2160000E-001, 1.1857949E+002
 4.6240000E-001, 1.0683173E+002
 5.0320000E-001, 1.0442377E+002
 5.4400000E-001, 1.0299031E+002
 5.8480000E-001, 1.0017798E+002
 6.2560000E-001, 9.5669682E+001
 6.6640000E-001, 8.9977407E+001
 7.0720000E-001, 8.3634472E+001
 7.4800000E-001, 7.7024345E+001
 7.8880000E-001, 7.0484993E+001
 8.2960000E-001, 6.3935494E+001
 8.7040000E-001, 5.7693001E+001
 9.1120000E-001, 5.1746845E+001
 9.5200000E-001, 4.6171396E+001
 9.9280000E-001, 4.0940538E+001
 1.0336000E+000, 3.6096376E+001
 1.0744000E+000, 3.1725590E+001
 1.1152000E+000, 2.7767336E+001
 1.1560000E+000, 2.4175151E+001
 1.1968000E+000, 2.0964344E+001
 1.2376000E+000, 1.8099392E+001
 1.2784000E+000, 1.5529750E+001
 1.3192000E+000, 1.3239439E+001
 1.3600000E+000, 9.5274374E+000
 1.4008000E+000, 8.0130887E+000
 1.4416000E+000, 6.7003348E+000
 1.4824000E+000, 5.5655399E+000
 1.5232000E+000, 4.5994118E+000
 1.5640000E+000, 3.7778692E+000
 1.6048000E+000, 3.0861039E+000
 1.6456000E+000, 2.5063141E+000
 1.6864000E+000, 2.0330339E+000
 1.7272000E+000, 1.6379082E+000
 1.7680000E+000, 1.3120494E+000
 1.8088000E+000, 1.0501307E+000
 1.8496000E+000, 8.3620985E-001
 1.8904000E+000, 6.6585032E-001
 1.9312000E+000, 5.2592905E-001
 1.9720000E+000, 4.1817442E-001
 2.0128000E+000, 3.3212616E-001
 2.0536000E+000, 2.6709628E-001
 2.0944000E+000, 2.1473345E-001
 2.1352000E+000, 1.6819938E-001
 2.1760000E+000, 1.3244587E-001
 2.2168000E+000, 1.0208877E-001
 2.2576000E+000, 7.7996418E-002
 2.2984000E+000, 6.0156833E-002
 2.3392000E+000, 4.6470583E-002
 2.3800000E+000, 3.6463337E-002
