m,kW/m
Height,HRRPUL
 3.4000000E-001, 4.1287429E+002
 3.8080000E-001, 2.0410817E+002
 4.2160000E-001, 1.3662955E+002
 4.6240000E-001, 1.2028233E+002
 5.0320000E-001, 1.1542521E+002
 5.4400000E-001, 1.1239344E+002
 5.8480000E-001, 1.0843115E+002
 6.2560000E-001, 1.0294554E+002
 6.6640000E-001, 9.6230828E+001
 7.0720000E-001, 8.8538116E+001
 7.4800000E-001, 8.0413887E+001
 7.8880000E-001, 7.1825384E+001
 8.2960000E-001, 6.2880510E+001
 8.7040000E-001, 5.4206234E+001
 9.1120000E-001, 4.5967155E+001
 9.5200000E-001, 3.8382675E+001
 9.9280000E-001, 3.1585805E+001
 1.0336000E+000, 2.5591177E+001
 1.0744000E+000, 2.0448289E+001
 1.1152000E+000, 1.6164380E+001
 1.1560000E+000, 1.2647600E+001
 1.1968000E+000, 9.7993445E+000
 1.2376000E+000, 7.5469739E+000
 1.2784000E+000, 5.7778696E+000
 1.3192000E+000, 4.4081971E+000
 1.3600000E+000, 2.5567624E+000
 1.4008000E+000, 1.9477184E+000
 1.4416000E+000, 1.4848406E+000
 1.4824000E+000, 1.1337898E+000
 1.5232000E+000, 8.6567859E-001
 1.5640000E+000, 6.6307174E-001
 1.6048000E+000, 5.0869980E-001
 1.6456000E+000, 3.9121535E-001
 1.6864000E+000, 3.0099733E-001
 1.7272000E+000, 2.3194839E-001
 1.7680000E+000, 1.7898420E-001
 1.8088000E+000, 1.3859741E-001
 1.8496000E+000, 1.0748488E-001
 1.8904000E+000, 8.3588482E-002
 1.9312000E+000, 6.5102972E-002
 1.9720000E+000, 5.0798206E-002
 2.0128000E+000, 3.9736278E-002
 2.0536000E+000, 3.1136975E-002
 2.0944000E+000, 2.4406257E-002
 2.1352000E+000, 1.9171437E-002
 2.1760000E+000, 1.5091203E-002
 2.2168000E+000, 1.1895399E-002
 2.2576000E+000, 9.3949149E-003
 2.2984000E+000, 7.4295129E-003
 2.3392000E+000, 5.8809992E-003
 2.3800000E+000, 4.6687788E-003
