m,kW/m
Height,HRRPUL
 3.6000000E-001, 3.7894586E+002
 4.4333333E-001, 1.9356776E+002
 5.2666667E-001, 1.2137482E+002
 6.1000000E-001, 8.8350737E+001
 6.9333333E-001, 6.5223015E+001
 7.7666667E-001, 4.6359419E+001
 8.6000000E-001, 3.1866579E+001
 9.4333333E-001, 2.1646668E+001
 1.0266667E+000, 1.4688354E+001
 1.1100000E+000, 1.0028772E+001
 1.1933333E+000, 6.8777217E+000
 1.2766667E+000, 4.7579907E+000
 1.3600000E+000, 2.2976068E+000
 1.4433333E+000, 1.6066318E+000
 1.5266667E+000, 1.1359707E+000
 1.6100000E+000, 8.0625401E-001
 1.6933333E+000, 5.7614965E-001
 1.7766667E+000, 4.1183697E-001
 1.8600000E+000, 2.9713903E-001
 1.9433333E+000, 2.1384312E-001
 2.0266667E+000, 1.5563377E-001
 2.1100000E+000, 1.1274808E-001
 2.1933333E+000, 8.2627734E-002
 2.2766667E+000, 6.0929903E-002
 2.3600000E+000, 3.6094212E-002
