s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","TC01_Wall","TC02_Wall","TC03_Wall","TC04_Wall","TC05_Wall","TC06_Wall","TC07_Wall","TC08_Wall","TC09_Wall","TC10_Wall","Temp_TC01_Wall","Temp_TC02_Wall","Temp_TC03_Wall","Temp_TC04_Wall","Temp_TC05_Wall","Temp_TC06_Wall","Temp_TC07_Wall","Temp_TC08_Wall","Temp_TC09_Wall","Temp_TC10_Wall","GHF1_Wall_CL","GHF2_Wall_CL","GHF3_Wall_CL","GHF4_Wall_CL","GHF5_Wall_CL","GHF6_Wall_CL","GHF1_Wall_R","GHF2_Wall_R","GHF3_Wall_R","GHF4_Wall_R","GHF5_Wall_R","GHF6_Wall_R","HF1","GHF1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-4.7405616E-007,-3.0800150E-007,-1.8374867E-007,-1.3519357E-007,-9.0036235E-008,-6.8399164E-008,-4.5939573E-007,-3.0398624E-007,-1.7891985E-007,-1.3043934E-007,-8.6580735E-008,-6.5391417E-008, 0.0000000E+000,-2.8520435E-007
 1.0041562E+000, 4.3575384E+002, 2.9078420E+002, 2.0187300E+002, 1.4601943E+002, 7.6373575E+001, 5.1303091E+001, 3.3509408E+001, 2.5264446E+001, 7.6373575E+001, 5.1303091E+001, 3.3509408E+001, 2.5264446E+001, 6.6167560E+001, 4.5961810E+001, 3.5241708E+001, 2.8402250E+001, 2.1714924E+001, 2.0590255E+001, 2.0208108E+001, 2.0093654E+001, 2.1714924E+001, 2.0590255E+001, 2.0208108E+001, 2.0093654E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0676071E+001, 2.0568395E+001, 2.0312442E+001, 2.0205812E+001, 2.0129042E+001, 2.0097462E+001, 2.0060915E+001, 2.0042504E+001, 2.0023010E+001, 2.0014634E+001, 5.9931933E-001, 5.3246334E-001, 2.9253608E-001, 1.8857397E-001, 1.1915189E-001, 9.0751033E-002, 4.3619161E-001, 4.1125483E-001, 2.7427443E-001, 1.8481829E-001, 1.1083802E-001, 8.3930095E-002, 1.4172838E-001, 1.4123116E-001
 2.0038413E+000, 8.2787979E+002, 9.2865618E+002, 8.9852952E+002, 8.2667095E+002, 6.3144882E+002, 5.4202159E+002, 4.6944868E+002, 4.0738035E+002, 6.3144882E+002, 5.4202159E+002, 4.6944868E+002, 4.0738035E+002, 3.2440535E+002, 3.2609606E+002, 2.9050518E+002, 2.4547290E+002, 1.6317578E+002, 1.3365468E+002, 1.1305543E+002, 9.7054535E+001, 1.6317578E+002, 1.3365468E+002, 1.1305543E+002, 9.7054535E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.5439260E+001, 2.5224944E+001, 2.3709162E+001, 2.2760552E+001, 2.1736884E+001, 2.1283899E+001, 2.0809490E+001, 2.0579456E+001, 2.0336577E+001, 2.0229093E+001, 2.5755630E+000, 2.5339353E+000, 1.8859645E+000, 1.4289062E+000, 9.0095343E-001, 6.6788646E-001, 2.0325074E+000, 2.0154527E+000, 1.5819255E+000, 1.2631959E+000, 8.5130375E-001, 6.5353672E-001, 7.3153365E-001, 7.2892201E-001
 3.0067286E+000, 8.4126140E+002, 9.0045222E+002, 8.5923296E+002, 7.9307028E+002, 6.6251862E+002, 5.9623814E+002, 5.3690457E+002, 4.7978280E+002, 6.6251862E+002, 5.9623814E+002, 5.3690457E+002, 4.7978280E+002, 5.5586565E+002, 6.0775621E+002, 5.8459982E+002, 5.3271172E+002, 4.0467266E+002, 3.4255258E+002, 2.9031956E+002, 2.4800129E+002, 4.0467266E+002, 3.4255258E+002, 2.9031956E+002, 2.4800129E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.9710555E+001, 2.9543289E+001, 2.7139204E+001, 2.5479683E+001, 2.3598391E+001, 2.2720338E+001, 2.1762503E+001, 2.1290202E+001, 2.0778303E+001, 2.0538342E+001, 2.8869577E+000, 2.8349329E+000, 2.1839824E+000, 1.7281037E+000, 1.1691090E+000, 8.9067313E-001, 2.4085825E+000, 2.3659453E+000, 1.8705076E+000, 1.5140299E+000, 1.0804289E+000, 8.5395867E-001, 8.8912617E-001, 8.8599930E-001
 4.0039327E+000, 7.2673496E+002, 7.6314612E+002, 7.2853363E+002, 6.6840648E+002, 5.4783386E+002, 4.9618213E+002, 4.4944594E+002, 4.1087498E+002, 5.4783386E+002, 4.9618213E+002, 4.4944594E+002, 4.1087498E+002, 6.3249062E+002, 6.8976463E+002, 6.7979233E+002, 6.4010632E+002, 5.1580088E+002, 4.5117642E+002, 3.9466750E+002, 3.4598009E+002, 5.1580088E+002, 4.5117642E+002, 3.9466750E+002, 3.4598009E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.1737506E+001, 3.1680753E+001, 2.9059400E+001, 2.7167890E+001, 2.4854677E+001, 2.3718568E+001, 2.2457156E+001, 2.1831024E+001, 2.1148160E+001, 2.0808836E+001, 2.7227338E+000, 2.7705199E+000, 2.2361188E+000, 1.8147282E+000, 1.2731372E+000, 9.8667876E-001, 2.3506256E+000, 2.3934367E+000, 1.9849622E+000, 1.6559134E+000, 1.2243748E+000, 9.8045735E-001, 8.9720378E-001, 8.9407023E-001
 5.0016623E+000, 6.9124225E+002, 8.3970909E+002, 9.2011910E+002, 8.9509808E+002, 6.5233447E+002, 5.3455290E+002, 4.4730540E+002, 3.7206406E+002, 6.5233447E+002, 5.3455290E+002, 4.4730540E+002, 3.7206406E+002, 6.3482550E+002, 7.1340822E+002, 7.3427967E+002, 6.9706421E+002, 5.3889214E+002, 4.6472842E+002, 4.0285729E+002, 3.5037409E+002, 5.3889214E+002, 4.6472842E+002, 4.0285729E+002, 3.5037409E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.4239187E+001, 3.4303342E+001, 3.0846409E+001, 2.8469521E+001, 2.5719884E+001, 2.4369425E+001, 2.2893343E+001, 2.2158872E+001, 2.1344725E+001, 2.0946122E+001, 3.1841347E+000, 3.2484031E+000, 2.4176225E+000, 1.8529724E+000, 1.2285026E+000, 9.3076522E-001, 2.6750831E+000, 2.7311183E+000, 2.1466669E+000, 1.6997861E+000, 1.1925141E+000, 9.2916411E-001, 1.0099178E+000, 1.0064228E+000
 6.0096334E+000, 7.9246787E+002, 9.7751228E+002, 9.4102121E+002, 8.1430923E+002, 5.3999262E+002, 4.4685478E+002, 3.7937862E+002, 3.2913622E+002, 5.3999262E+002, 4.4685478E+002, 3.7937862E+002, 3.2913622E+002, 6.9323050E+002, 7.6690745E+002, 7.7008699E+002, 7.2598675E+002, 5.6870370E+002, 4.9198278E+002, 4.2737135E+002, 3.7400002E+002, 5.6870370E+002, 4.9198278E+002, 4.2737135E+002, 3.7400002E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.6199247E+001, 3.6118827E+001, 3.2323222E+001, 2.9673513E+001, 2.6632081E+001, 2.5112996E+001, 2.3386341E+001, 2.2528008E+001, 2.1584339E+001, 2.1139379E+001, 3.0844872E+000, 2.9878200E+000, 2.2563217E+000, 1.7821317E+000, 1.2533620E+000, 9.8747795E-001, 2.5714158E+000, 2.5120787E+000, 1.9712755E+000, 1.5908148E+000, 1.1421500E+000, 9.2325165E-001, 9.2478499E-001, 9.2159560E-001
 7.0050945E+000, 8.6193617E+002, 8.7970168E+002, 8.5150923E+002, 8.1052672E+002, 7.0771192E+002, 6.4162842E+002, 5.7084036E+002, 5.0080485E+002, 7.0771192E+002, 6.4162842E+002, 5.7084036E+002, 5.0080485E+002, 7.0278433E+002, 7.9892952E+002, 8.0622436E+002, 7.6433622E+002, 6.1635014E+002, 5.3653960E+002, 4.6308400E+002, 3.9889672E+002, 6.1635014E+002, 5.3653960E+002, 4.6308400E+002, 3.9889672E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.8451850E+001, 3.8346645E+001, 3.4066579E+001, 3.1042711E+001, 2.7491352E+001, 2.5723502E+001, 2.3761845E+001, 2.2790524E+001, 2.1734937E+001, 2.1293389E+001, 3.3326899E+000, 3.3158201E+000, 2.5802987E+000, 2.0460441E+000, 1.3839317E+000, 1.0409128E+000, 2.7010242E+000, 2.6931246E+000, 2.1452260E+000, 1.7698234E+000, 1.2806311E+000, 1.0038369E+000, 9.8512621E-001, 9.8173359E-001
 8.0101555E+000, 7.8654104E+002, 8.7316864E+002, 8.4895077E+002, 7.8317382E+002, 6.0902515E+002, 5.2518963E+002, 4.4621424E+002, 3.8904745E+002, 6.0902515E+002, 5.2518963E+002, 4.4621424E+002, 3.8904745E+002, 7.2780022E+002, 8.0113978E+002, 7.9692649E+002, 7.5319846E+002, 6.1211675E+002, 5.3839033E+002, 4.7009989E+002, 4.1188596E+002, 6.1211675E+002, 5.3839033E+002, 4.7009989E+002, 4.1188596E+002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0037127E+001, 3.9683253E+001, 3.5128744E+001, 3.1861956E+001, 2.7946339E+001, 2.6047302E+001, 2.3962464E+001, 2.2949838E+001, 2.1847834E+001, 2.1348755E+001, 3.1464121E+000, 3.0811079E+000, 2.4612701E+000, 1.8952728E+000, 1.2141793E+000, 9.0988436E-001, 2.4961812E+000, 2.4132197E+000, 1.9851527E+000, 1.6461319E+000, 1.1224817E+000, 8.7115154E-001, 8.4048985E-001, 8.3764126E-001
