s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-6.2000067E-007,-1.2235776E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2122425E-007, 0.0000000E+000, 0.0000000E+000
 1.0041562E+000, 2.9350790E+001,-4.7549525E+000, 4.0144330E-001,-3.5885271E-001,-3.1760415E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1914486E+001, 2.4635252E+001, 7.3093131E-004, 7.3093131E-004
 2.0038414E+000, 6.6887605E+001,-1.2911553E+001,-2.3242061E+001,-4.4238109E-001,-6.8501308E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9821578E+001, 3.0284760E+001, 1.4288791E-003, 1.4288791E-003
 3.0067286E+000, 7.1694174E+001,-1.3575360E+001,-5.2159803E+001,-5.5030476E-001,-7.2852416E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0213156E+000, 5.4014213E+000, 1.5751150E-003, 1.5751150E-003
 4.0039325E+000, 8.0588481E+001,-1.5296499E+001,-6.5001001E+001,-5.4780445E-001,-7.3516116E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9918133E-001,-2.6417502E-001, 1.5963218E-003, 1.5963218E-003
 5.0016623E+000, 8.4601062E+001,-1.6286971E+001,-5.9959337E+001,-5.2194601E-001,-7.5798416E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7464714E+000, 7.8252281E+000, 1.5992147E-003, 1.5992147E-003
 6.0096335E+000, 7.5126867E+001,-1.4184110E+001,-6.5393187E+001,-6.0650400E-001,-7.5438762E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2117685E+000,-5.0644780E+000, 1.5996094E-003, 1.5996094E-003
 7.0050945E+000, 8.4612043E+001,-1.6083942E+001,-6.2330664E+001,-5.2172206E-001,-7.6951794E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7386169E+000, 5.6680195E+000, 1.5996627E-003, 1.5996627E-003
 8.0101557E+000, 7.2018944E+001,-1.3713015E+001,-6.3423495E+001,-4.9633712E-001,-7.5077427E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7222761E+000,-5.6214099E+000, 1.5996698E-003, 1.5996698E-003
 9.0014381E+000, 8.0720936E+001,-1.5380101E+001,-6.4152122E+001,-4.5745287E-001,-7.5402114E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5690853E-001, 7.2371929E-001, 1.5996708E-003, 1.5996708E-003
 1.0004250E+001, 8.2784719E+001,-1.5745468E+001,-5.8741340E+001,-4.6464551E-001,-7.6095421E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7743755E+000, 7.8256557E+000, 1.5996709E-003, 1.5996709E-003
 1.1007089E+001, 8.1356006E+001,-1.5578208E+001,-6.7046747E+001,-4.7013669E-001,-7.5374131E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8873251E+000,-1.7466242E+000, 1.5996709E-003, 1.5996709E-003
 1.2002789E+001, 8.1621482E+001,-1.5572736E+001,-6.5204182E+001,-4.7617890E-001,-7.6726394E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9667394E-001, 3.6071247E-001, 1.5996709E-003, 1.5996709E-003
 1.3010743E+001, 7.5584850E+001,-1.4295176E+001,-6.4992736E+001,-5.6049640E-001,-7.6151658E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3396771E+000,-4.2711734E+000, 1.5996709E-003, 1.5996709E-003
 1.4009197E+001, 8.0640661E+001,-1.5429846E+001,-6.2509318E+001,-4.1400916E-001,-7.4476381E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1426803E+000, 2.2800397E+000, 1.5996709E-003, 1.5996709E-003
 1.5002409E+001, 7.5521304E+001,-1.4319385E+001,-6.4300859E+001,-4.2934367E-001,-7.4300055E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6663527E+000,-3.5357127E+000, 1.5996709E-003, 1.5996709E-003
 1.6007252E+001, 8.3083331E+001,-1.5978124E+001,-5.9045376E+001,-4.0596083E-001,-7.4354942E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7066238E+000, 7.6464347E+000, 1.5996709E-003, 1.5996709E-003
 1.7006346E+001, 7.6772610E+001,-1.4522884E+001,-6.7353269E+001,-4.1386199E-001,-7.4800728E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6520034E+000,-5.5248844E+000, 1.5996709E-003, 1.5996709E-003
 1.8005287E+001, 8.1481062E+001,-1.5639206E+001,-6.6122032E+001,-4.2253422E-001,-7.4085629E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3651461E-001,-7.1011873E-001, 1.5996709E-003, 1.5996709E-003
 1.9008415E+001, 7.9560819E+001,-1.5074074E+001,-6.0647254E+001,-4.1366089E-001,-7.4040958E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2505423E+000, 3.4184260E+000, 1.5996709E-003, 1.5996709E-003
 2.0003660E+001, 8.4616739E+001,-1.6203792E+001,-6.4052668E+001,-4.0551706E-001,-7.5034933E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0297047E+000, 3.9472585E+000, 1.5996709E-003, 1.5996709E-003
 2.1000458E+001, 7.7556350E+001,-1.4852402E+001,-7.0696266E+001,-4.2306788E-001,-7.3622386E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7748878E+000,-8.4227470E+000, 1.5996709E-003, 1.5996709E-003
 2.2008652E+001, 7.6551183E+001,-1.4458715E+001,-5.9126860E+001,-3.4509157E-001,-7.5806020E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6801889E+000, 2.6129357E+000, 1.5996709E-003, 1.5996709E-003
 2.3008432E+001, 8.0992285E+001,-1.5439260E+001,-6.1358906E+001,-4.2282422E-001,-7.2874652E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8898239E+000, 3.7640067E+000, 1.5996709E-003, 1.5996709E-003
 2.4010187E+001, 7.8890136E+001,-1.4983800E+001,-7.2942716E+001,-3.5442529E-001,-7.5927584E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0033581E+001,-9.3983988E+000, 1.5996709E-003, 1.5996709E-003
 2.5002272E+001, 8.1456004E+001,-1.5528762E+001,-5.9348557E+001,-3.9706637E-001,-7.8449702E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4197041E+000, 6.1737736E+000, 1.5996709E-003, 1.5996709E-003
 2.6004702E+001, 8.0137847E+001,-1.5236426E+001,-5.7443334E+001,-3.5225120E-001,-7.4885523E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8713520E+000, 7.0983466E+000, 1.5996709E-003, 1.5996709E-003
 2.7006693E+001, 8.0981159E+001,-1.5444012E+001,-7.0970695E+001,-4.2524393E-001,-7.6852729E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8598888E+000,-5.8664766E+000, 1.5996709E-003, 1.5996709E-003
 2.8004114E+001, 7.5531165E+001,-1.4271731E+001,-6.0047429E+001,-4.1546940E-001,-7.6976428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5823713E-001, 7.8883784E-001, 1.5996709E-003, 1.5996709E-003
