s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.2421072E-003,-1.6808033E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2422753E-003, 0.0000000E+000, 0.0000000E+000
 1.0024546E+000, 2.1232100E+001,-7.1582821E+000,-1.2628206E+001,-3.8840186E-001, 1.3099071E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4709783E-001, 1.1882009E+000, 7.0357701E-004, 7.0357701E-004
 2.0001912E+000, 5.9173994E+001,-1.9260525E+001,-3.8583034E+001,-5.3025938E-001, 1.9294466E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2998222E-001, 9.9312145E-001, 1.4265348E-003, 1.4265348E-003
 3.0008419E+000, 7.7694146E+001,-2.5419984E+001,-5.1360327E+001,-7.2523507E-001, 2.0897304E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9395965E-002, 3.9757321E-001, 1.5746588E-003, 1.5746588E-003
 4.0015531E+000, 8.0004192E+001,-2.6220112E+001,-5.3243465E+001,-6.0566924E-001, 2.0790008E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2364275E-001, 1.4284575E-001, 1.5962556E-003, 1.5962556E-003
 5.0020642E+000, 8.0655805E+001,-2.6511520E+001,-5.3113155E+001,-6.1447451E-001, 2.0245616E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5403275E-001, 6.1911267E-001, 1.5992036E-003, 1.5992036E-003
 6.0007772E+000, 8.1256252E+001,-2.6497464E+001,-5.4075178E+001,-7.0638543E-001, 2.0113519E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1332968E-002, 1.7836040E-001, 1.5996025E-003, 1.5996025E-003
 7.0010571E+000, 7.9124128E+001,-2.5798637E+001,-5.2766035E+001,-5.6439809E-001, 1.9923117E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5337475E-001, 1.9428899E-001, 1.5996565E-003, 1.5996565E-003
 8.0013037E+000, 8.1049331E+001,-2.6502556E+001,-5.3745612E+001,-6.0622576E-001, 2.0286165E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3813094E-002, 3.9779789E-001, 1.5996639E-003, 1.5996639E-003
 9.0017529E+000, 8.2257579E+001,-2.6901287E+001,-5.4586416E+001,-6.1051439E-001, 2.0321402E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9351371E-002, 3.6257615E-001, 1.5996649E-003, 1.5996649E-003
 1.0000091E+001, 8.0447147E+001,-2.6434765E+001,-5.3343088E+001,-5.1549278E-001, 2.0492957E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0617065E-003, 3.5873036E-001, 1.5996650E-003, 1.5996650E-003
 1.1000888E+001, 8.3155343E+001,-2.7173569E+001,-5.5323299E+001,-6.3886427E-001, 2.1138700E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9932179E-002, 2.3099731E-001, 1.5996650E-003, 1.5996650E-003
 1.2000864E+001, 8.0263806E+001,-2.6377787E+001,-5.2950308E+001,-6.1143952E-001, 2.1620284E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0785818E-001, 5.4047422E-001, 1.5996650E-003, 1.5996650E-003
 1.3001316E+001, 8.0687784E+001,-2.6514794E+001,-5.3723186E+001,-4.5577607E-001, 2.1574375E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1613809E-001, 2.0977150E-001, 1.5996650E-003, 1.5996650E-003
 1.4000517E+001, 8.1164734E+001,-2.6653823E+001,-5.3881446E+001,-6.0467599E-001, 2.1606214E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5096546E-001, 2.4085133E-001, 1.5996650E-003, 1.5996650E-003
 1.5001265E+001, 8.0644227E+001,-2.6586661E+001,-5.3154731E+001,-5.3573181E-001, 2.1464316E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3852253E-001, 5.8174680E-001, 1.5996650E-003, 1.5996650E-003
 1.6001421E+001, 7.8759796E+001,-2.5808425E+001,-5.2470112E+001,-5.2679241E-001, 2.1341884E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8491903E-001, 1.6788494E-001, 1.5996650E-003, 1.5996650E-003
